date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,8.06,8.12,7.58,7.76,152631.3,威龙股份,,,
2025-03-25,7.77,7.81,7.62,7.81,96215.8,威龙股份,,,
2025-03-26,7.76,7.91,7.71,7.9,67149.6,威龙股份,,,
2025-03-27,7.87,7.95,7.78,7.83,62129.0,威龙股份,,,
2025-03-28,7.84,7.85,7.67,7.67,56795.0,威龙股份,7.794,,
2025-03-31,7.6,7.6,7.43,7.52,65202.53,威龙股份,7.746,,
2025-04-01,7.51,7.7,7.51,7.63,52498.21,威龙股份,7.709999999999999,,
2025-04-02,7.64,7.74,7.59,7.65,51764.0,威龙股份,7.659999999999999,,
2025-04-03,7.59,7.71,7.58,7.69,56624.0,威龙股份,7.632,,
2025-04-07,7.45,7.45,6.92,6.92,109183.0,威龙股份,7.482000000000001,7.638,
2025-04-08,6.83,6.98,6.56,6.85,153947.07,威龙股份,7.348000000000001,7.547,
2025-04-09,6.69,7.04,6.31,6.98,159969.95,威龙股份,7.217999999999999,7.464,
2025-04-10,7.05,7.2,7.0,7.15,112503.85,威龙股份,7.118,7.389,
2025-04-11,7.1,7.19,7.06,7.12,62267.75,威龙股份,7.004,7.3180000000000005,
2025-04-14,7.17,7.28,7.16,7.24,72339.25,威龙股份,7.0680000000000005,7.275,
2025-04-15,7.22,7.29,7.14,7.21,64860.0,威龙股份,7.140000000000001,7.2440000000000015,
2025-04-16,7.16,7.22,6.88,7.03,80777.38,威龙股份,7.15,7.184,
2025-04-17,7.01,7.25,6.95,7.17,80147.0,威龙股份,7.154000000000001,7.136,
2025-04-18,7.17,7.24,7.02,7.11,53874.05,威龙股份,7.151999999999999,7.078,
2025-04-21,7.1,7.28,7.01,7.17,72940.45,威龙股份,7.138,7.103,7.3705
2025-04-22,7.15,7.23,7.1,7.14,49639.5,威龙股份,7.1240000000000006,7.132000000000001,7.339500000000001
2025-04-23,7.17,7.17,7.07,7.1,56822.9,威龙股份,7.138,7.144,7.304
2025-04-24,7.16,7.16,6.85,6.94,111038.0,威龙股份,7.0920000000000005,7.122999999999999,7.256
