date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,25.9,26.27,25.34,25.8,29259.07,新化股份,,,
2025-03-25,25.8,26.86,25.7,26.56,54140.82,新化股份,,,
2025-03-26,26.28,27.21,26.22,26.3,41803.04,新化股份,,,
2025-03-27,26.19,26.83,26.18,26.3,33196.56,新化股份,,,
2025-03-28,26.22,26.32,25.49,25.5,32748.31,新化股份,26.092000000000002,,
2025-03-31,25.6,25.75,24.96,25.66,30501.03,新化股份,26.064,,
2025-04-01,25.76,26.06,25.55,25.57,17593.22,新化股份,25.866000000000003,,
2025-04-02,25.58,26.08,25.45,25.75,18465.55,新化股份,25.756,,
2025-04-03,25.55,25.82,25.39,25.53,18522.65,新化股份,25.601999999999997,,
2025-04-07,23.64,24.7,22.98,22.98,64750.05,新化股份,25.098,25.595,
2025-04-08,23.29,24.05,22.82,23.17,47244.8,新化股份,24.6,25.332,
2025-04-09,22.86,24.0,22.01,23.75,55052.09,新化股份,24.236,25.051,
2025-04-10,24.2,24.57,24.01,24.3,38639.12,新化股份,23.946,24.851000000000003,
2025-04-11,24.31,24.4,24.01,24.03,26067.76,新化股份,23.646,24.624000000000002,
2025-04-14,24.24,24.28,23.88,23.98,19960.57,新化股份,23.846,24.472,
2025-04-15,24.0,24.55,23.8,24.2,24665.7,新化股份,24.052,24.326,
2025-04-16,24.25,24.32,23.38,23.79,19169.13,新化股份,24.06,24.148000000000003,
2025-04-17,23.75,24.18,23.53,23.55,15733.0,新化股份,23.910000000000004,23.928,
2025-04-18,23.55,23.62,22.99,23.29,19569.7,新化股份,23.762,23.704,
2025-04-21,23.25,23.68,23.0,23.63,16531.98,新化股份,23.692,23.769,24.682
2025-04-22,23.58,23.96,23.4,23.62,15342.26,新化股份,23.576,23.814,24.573
2025-04-23,23.87,23.9,23.47,23.62,11350.62,新化股份,23.542,23.801,24.426
2025-04-24,23.8,23.89,23.26,23.52,16794.3,新化股份,23.535999999999998,23.723,24.287
2025-04-25,23.53,24.7,23.46,24.39,41837.67,新化股份,23.756,23.758999999999997,24.1915
2025-04-28,24.38,24.56,23.94,24.5,30568.71,新化股份,23.93,23.811,24.1415
2025-04-29,24.3,24.38,24.0,24.11,24994.0,新化股份,24.028,23.802,24.064
2025-04-30,24.43,24.5,23.91,23.98,26589.74,新化股份,24.1,23.820999999999998,23.9845
2025-05-06,23.99,24.54,23.99,24.46,22605.1,新化股份,24.288,23.912,23.92
2025-05-07,24.63,25.1,24.57,24.75,29950.03,新化股份,24.36,24.058,23.881
2025-05-08,24.6,24.82,24.48,24.62,24727.4,新化股份,24.384,24.157,23.963
2025-05-09,24.62,24.63,24.16,24.29,16148.97,新化股份,24.419999999999998,24.223999999999997,24.019
2025-05-12,24.5,24.8,24.35,24.6,19592.09,新化股份,24.544,24.322000000000003,24.061500000000002
2025-05-13,24.89,24.89,24.45,24.65,13953.0,新化股份,24.582,24.435,24.079
2025-05-14,24.65,24.75,24.32,24.5,17253.0,新化股份,24.532,24.445999999999998,24.1025
2025-05-15,24.57,24.8,24.31,24.51,18427.3,新化股份,24.509999999999998,24.447,24.128999999999998
2025-05-16,24.53,24.7,24.3,24.4,15558.77,新化股份,24.532,24.476,24.139000000000003
2025-05-19,24.4,24.46,23.92,24.29,17619.0,新化股份,24.47,24.507,24.163999999999998
2025-05-20,24.33,24.4,24.11,24.32,18202.46,新化股份,24.404,24.493000000000002,24.202499999999997
2025-05-21,24.26,24.34,24.01,24.06,14752.0,新化股份,24.316000000000003,24.424,24.241
2025-05-22,24.07,24.46,23.86,23.99,20583.51,新化股份,24.212,24.360999999999997,24.259
2025-05-23,23.95,24.45,23.9,23.9,22553.0,新化股份,24.112,24.322,24.273000000000003
2025-05-26,23.7,24.0,23.67,23.77,17136.19,新化股份,24.008,24.239,24.2805
2025-05-27,23.8,24.66,23.74,24.31,48319.81,新化股份,24.005999999999997,24.205000000000002,24.32
2025-05-28,24.35,24.42,23.82,23.85,22778.3,新化股份,23.964000000000002,24.14,24.293
2025-05-29,23.77,24.02,23.67,23.99,16951.3,新化股份,23.964,24.088,24.2675
2025-05-30,23.9,24.37,23.68,23.74,23906.98,新化股份,23.932,24.022,24.249000000000002
2025-06-03,23.86,24.25,23.55,24.01,22698.3,新化股份,23.979999999999997,23.994,24.2505
2025-06-04,24.1,24.63,23.87,24.45,26345.3,新化股份,24.008000000000003,24.006999999999998,24.249999999999996
2025-06-05,24.5,24.54,24.25,24.44,14890.3,新化股份,24.125999999999998,24.044999999999998,24.234499999999997
2025-06-06,24.53,24.67,24.26,24.6,17216.98,新化股份,24.248,24.106,24.2335
2025-06-09,24.68,24.7,24.53,24.64,15621.11,新化股份,24.428000000000004,24.18,24.250999999999998
2025-06-10,24.65,24.69,24.09,24.32,20479.9,新化股份,24.490000000000002,24.235,24.237000000000002
2025-06-11,24.32,24.76,24.28,24.48,24026.76,新化股份,24.496000000000002,24.252,24.2285
2025-06-12,24.48,25.89,24.35,25.45,80042.67,新化股份,24.698,24.412,24.276
2025-06-13,25.38,25.55,24.55,24.67,43575.95,新化股份,24.712,24.479999999999997,24.284
2025-06-16,24.67,25.35,24.67,25.1,32914.77,新化股份,24.804,24.616000000000003,24.319
2025-06-17,25.11,25.25,24.81,25.2,32245.5,新化股份,24.98,24.735000000000003,24.3645
2025-06-18,24.81,24.81,23.8,24.17,35600.76,新化股份,24.918,24.707,24.357000000000003
2025-06-19,24.17,24.32,23.71,23.8,25891.21,新化股份,24.588,24.643,24.344
2025-06-20,23.8,25.45,23.72,25.11,74955.03,新化股份,24.676000000000002,24.694,24.4
2025-06-23,25.0,25.97,24.83,25.6,56543.07,新化股份,24.776,24.79,24.485
2025-06-24,25.53,25.89,25.53,25.6,46838.22,新化股份,24.856,24.918,24.5765
2025-06-25,25.64,25.99,25.55,25.59,30605.0,新化股份,25.14,25.029000000000003,24.6405
2025-06-26,25.5,25.8,25.14,25.3,36156.82,新化股份,25.44,25.014,24.713
2025-06-27,25.39,25.78,25.06,25.09,32682.5,新化股份,25.436,25.056,24.768
2025-06-30,25.35,25.93,24.92,25.58,57049.93,新化股份,25.432000000000002,25.104,24.86
2025-07-01,25.59,26.35,25.31,25.73,44718.35,新化股份,25.458,25.157,24.946
2025-07-02,25.81,25.92,25.31,25.42,23233.0,新化股份,25.424,25.282000000000004,24.994500000000002
2025-07-03,25.3,25.34,25.1,25.31,21973.45,新化股份,25.426,25.433,25.038000000000004
2025-07-04,25.45,25.45,25.02,25.08,20437.7,新化股份,25.424,25.43,25.062
2025-07-07,25.08,25.17,24.85,25.1,19845.1,新化股份,25.328,25.38,25.085
2025-07-08,25.16,25.35,24.92,25.24,25683.0,新化股份,25.229999999999997,25.344,25.131
2025-07-09,25.2,25.3,24.86,24.93,23746.3,新化股份,25.131999999999998,25.278,25.1535
2025-07-10,24.97,25.58,24.93,25.0,24835.07,新化股份,25.07,25.248,25.131
2025-07-11,24.99,25.3,24.9,25.0,29432.0,新化股份,25.054000000000002,25.239,25.1475
2025-07-14,25.36,26.0,25.25,25.75,60151.9,新化股份,25.183999999999997,25.256,25.18
2025-07-15,25.75,25.92,25.4,25.77,42292.12,新化股份,25.29,25.259999999999998,25.2085
2025-07-16,25.69,25.78,25.08,25.15,45182.0,新化股份,25.334,25.232999999999997,25.2575
