date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,19.12,19.32,18.5,18.91,267844.67,老百姓,,,
2025-03-25,18.91,19.55,18.89,19.11,206989.53,老百姓,,,
2025-03-26,19.0,19.25,18.82,18.89,149652.69,老百姓,,,
2025-03-27,19.0,19.48,18.9,19.15,197058.33,老百姓,,,
2025-03-28,19.28,19.28,18.51,18.51,216810.01,老百姓,18.913999999999998,,
2025-03-31,18.4,18.4,17.92,18.29,183260.56,老百姓,18.79,,
2025-04-01,18.32,19.61,18.32,19.2,325559.64,老百姓,18.808,,
2025-04-02,19.09,19.32,18.95,19.04,152490.03,老百姓,18.838,,
2025-04-03,18.6,19.16,18.6,19.04,119840.6,老百姓,18.816,,
2025-04-07,17.92,18.44,17.14,17.22,366585.55,老百姓,18.558,18.735999999999997,
2025-04-08,17.4,18.14,17.4,17.99,254594.27,老百姓,18.497999999999998,18.644,
2025-04-09,17.6,18.26,16.76,18.15,294105.21,老百姓,18.288,18.548,
2025-04-10,18.53,18.69,18.1,18.43,201203.58,老百姓,18.166,18.502,
2025-04-11,18.3,19.34,18.2,18.8,250965.36,老百姓,18.118,18.467,
2025-04-14,19.0,19.19,18.65,18.82,176744.4,老百姓,18.438,18.497999999999998,
2025-04-15,18.82,19.23,18.7,18.95,153133.85,老百姓,18.630000000000003,18.564,
2025-04-16,18.96,19.02,18.45,18.66,112151.09,老百姓,18.732,18.509999999999998,
2025-04-17,18.57,19.6,18.48,18.99,258633.07,老百姓,18.844,18.505000000000003,
2025-04-18,19.05,19.6,18.67,18.71,167720.56,老百姓,18.826,18.472,
2025-04-21,18.6,18.68,18.23,18.61,147343.3,老百姓,18.784,18.611,18.673499999999997
2025-04-22,18.78,19.1,18.57,18.75,160315.9,老百姓,18.744,18.687,18.665499999999998
2025-04-23,18.66,19.48,18.27,19.06,319511.62,老百姓,18.823999999999998,18.778,18.663
2025-04-24,18.98,19.19,18.6,18.62,192592.1,老百姓,18.75,18.797000000000004,18.649499999999996
2025-04-25,18.7,18.8,18.21,18.36,174144.0,老百姓,18.68,18.753,18.61
2025-04-28,18.21,18.7,18.18,18.36,145462.53,老百姓,18.63,18.707,18.6025
2025-04-29,18.3,18.86,18.15,18.32,168529.67,老百姓,18.544,18.644,18.604
2025-04-30,18.3,20.15,18.22,20.15,599426.69,老百姓,18.762,18.793,18.6515
2025-05-06,20.32,20.33,19.42,19.8,443024.04,老百姓,18.997999999999998,18.874,18.6895
2025-05-07,19.41,19.7,18.92,19.33,534756.5,老百姓,19.192,18.936,18.704
2025-05-08,19.15,19.89,19.08,19.16,369781.44,老百姓,19.351999999999997,18.991,18.801
2025-05-09,19.28,20.26,18.92,19.89,520275.27,老百姓,19.666000000000004,19.104999999999997,18.895999999999997
2025-05-12,19.85,20.55,19.63,20.37,504117.33,老百姓,19.71,19.235999999999997,19.006999999999998
2025-05-13,20.1,20.65,19.93,20.17,308067.72,老百姓,19.784,19.391000000000002,19.094
2025-05-14,19.9,20.05,19.18,19.45,392648.49,老百姓,19.808,19.5,19.1265
2025-05-15,19.43,19.65,18.8,18.8,230927.3,老百姓,19.735999999999997,19.544,19.1255
2025-05-16,18.8,19.12,18.51,18.93,158029.68,老百姓,19.544,19.604999999999997,19.1245
2025-05-19,19.16,19.6,18.8,19.09,173230.58,老百姓,19.288,19.499,19.146
2025-05-20,19.15,19.43,18.81,19.14,219945.07,老百姓,19.082,19.433,19.1535
2025-05-21,19.13,19.51,19.12,19.38,233237.25,老百姓,19.068,19.438,19.186999999999998
2025-05-22,19.16,19.2,18.6,18.61,226150.63,老百姓,19.03,19.383,19.187
2025-05-23,18.61,19.1,18.52,18.73,159923.95,老百姓,18.99,19.267000000000003,19.186
2025-05-26,18.73,18.85,18.5,18.83,99190.6,老百姓,18.938,19.113,19.174500000000002
2025-05-27,18.87,18.87,18.29,18.3,156505.48,老百姓,18.770000000000003,18.926,19.1585
2025-05-28,18.35,19.34,18.01,19.08,347465.5,老百姓,18.71,18.889,19.194499999999998
2025-05-29,19.05,19.2,18.89,19.19,182152.76,老百姓,18.826,18.927999999999997,19.235999999999997
2025-05-30,19.18,19.46,19.02,19.24,205139.33,老百姓,18.928,18.959,19.282
2025-06-03,19.23,19.62,19.1,19.51,213209.64,老百姓,19.064,19.000999999999998,19.25
2025-06-04,19.56,20.89,19.55,20.43,460924.82,老百姓,19.49,19.13,19.2815
2025-06-05,20.62,22.1,20.62,22.0,610498.04,老百姓,20.074,19.392,19.415
2025-06-06,22.0,22.82,21.33,21.42,630586.08,老百姓,20.52,19.673000000000002,19.528
2025-06-09,21.83,22.32,21.18,21.68,399134.9,老百姓,21.008000000000003,19.968,19.6175
2025-06-10,21.95,22.16,21.52,21.64,274335.32,老百姓,21.434,20.249000000000002,19.681
2025-06-11,21.62,21.81,20.79,20.84,312321.73,老百姓,21.516000000000002,20.503,19.714499999999997
2025-06-12,20.86,22.16,20.75,22.09,454820.29,老百姓,21.534000000000002,20.804000000000002,19.8465
2025-06-13,22.09,22.13,20.88,20.88,396648.43,老百姓,21.426,20.973000000000003,19.950499999999998
2025-06-16,21.13,22.97,21.13,22.52,756932.08,老百姓,21.594,21.301,20.13
2025-06-17,22.0,22.34,21.59,21.82,486681.49,老百姓,21.630000000000003,21.532000000000004,20.2665
2025-06-18,21.61,21.68,20.92,21.36,305200.95,老百姓,21.733999999999998,21.625,20.3775
2025-06-19,21.3,21.44,20.52,20.65,272161.67,老百姓,21.445999999999998,21.490000000000002,20.441000000000003
2025-06-20,20.47,21.8,20.33,21.35,472035.46,老百姓,21.54,21.482999999999997,20.578
2025-06-23,20.79,20.92,19.9,20.83,461612.99,老百姓,21.201999999999998,21.398,20.683
2025-06-24,20.7,21.6,20.69,21.39,378375.01,老百姓,21.116000000000003,21.372999999999998,20.811
2025-06-25,21.58,21.9,20.53,21.05,387199.8,老百姓,21.054,21.394,20.9485
2025-06-26,20.84,21.14,20.52,20.91,293999.51,老百姓,21.106,21.276,21.04
2025-06-27,20.92,21.25,20.68,20.89,258849.18,老百姓,21.014000000000003,21.276999999999997,21.125
