date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,6.57,6.6,6.47,6.55,55117.8,新澳股份,,,
2025-03-25,6.55,6.62,6.53,6.62,37629.67,新澳股份,,,
2025-03-26,6.62,6.68,6.59,6.67,48380.65,新澳股份,,,
2025-03-27,6.68,6.72,6.6,6.64,35320.08,新澳股份,,,
2025-03-28,6.64,6.66,6.55,6.58,37574.7,新澳股份,6.612,,
2025-03-31,6.55,6.58,6.46,6.49,45201.55,新澳股份,6.6,,
2025-04-01,6.5,6.63,6.5,6.62,49567.9,新澳股份,6.6,,
2025-04-02,6.62,6.67,6.59,6.64,39921.78,新澳股份,6.593999999999999,,
2025-04-03,6.58,6.6,6.46,6.52,75409.6,新澳股份,6.57,,
2025-04-07,6.23,6.28,5.87,5.87,68729.0,新澳股份,6.428,6.5200000000000005,
2025-04-08,5.79,5.79,5.35,5.44,231624.54,新澳股份,6.218,6.409000000000001,
2025-04-09,5.26,5.39,5.09,5.36,150876.62,新澳股份,5.965999999999999,6.2829999999999995,
2025-04-10,5.5,5.82,5.48,5.69,128055.87,新澳股份,5.776000000000001,6.185,
2025-04-11,5.72,5.72,5.58,5.59,93462.11,新澳股份,5.590000000000001,6.08,
2025-04-14,5.66,5.68,5.59,5.67,74305.42,新澳股份,5.55,5.989,
2025-04-15,5.66,5.76,5.66,5.74,55592.31,新澳股份,5.61,5.914,
2025-04-16,5.74,5.76,5.64,5.69,64253.73,新澳股份,5.676,5.821,
2025-04-17,5.68,5.78,5.66,5.78,63293.35,新澳股份,5.694,5.735,
2025-04-18,5.74,5.79,5.64,5.71,73575.1,新澳股份,5.718,5.654000000000001,
2025-04-21,5.72,5.76,5.66,5.73,71031.58,新澳股份,5.73,5.64,6.08
2025-04-22,5.7,5.74,5.68,5.72,69584.64,新澳股份,5.726,5.668,6.038500000000001
2025-04-23,5.75,5.87,5.74,5.84,72036.83,新澳股份,5.755999999999999,5.716,5.999499999999999
2025-04-24,5.85,5.94,5.84,5.9,60700.0,新澳股份,5.78,5.737,5.961
2025-04-25,5.91,6.03,5.91,5.99,65875.0,新澳股份,5.836,5.777,5.9285
2025-04-28,6.0,6.0,5.88,5.94,49777.46,新澳股份,5.878,5.804,5.8965000000000005
2025-04-29,5.94,6.1,5.9,6.02,90509.83,新澳股份,5.938000000000001,5.832000000000001,5.873
2025-04-30,6.01,6.11,5.9,5.91,64059.16,新澳股份,5.952,5.854,5.8375
2025-05-06,5.92,5.98,5.82,5.89,147264.6,新澳股份,5.95,5.865,5.8
2025-05-07,5.93,6.18,5.91,6.01,164789.87,新澳股份,5.954,5.895,5.774500000000001
2025-05-08,6.01,6.05,5.93,6.01,77211.55,新澳股份,5.968,5.923,5.781499999999999
2025-05-09,6.02,6.11,6.02,6.09,82662.85,新澳股份,5.982,5.96,5.814
2025-05-12,6.14,6.35,6.06,6.12,95280.22,新澳股份,6.023999999999999,5.9879999999999995,5.852
2025-05-13,6.18,6.3,6.13,6.15,73385.7,新澳股份,6.076,6.013,5.875
2025-05-14,6.15,6.15,6.05,6.13,67248.62,新澳股份,6.1,6.026999999999999,5.902
2025-05-15,6.1,6.16,6.08,6.12,39501.53,新澳股份,6.122,6.045,5.9245
2025-05-16,6.12,6.15,6.06,6.1,41273.0,新澳股份,6.124,6.053,5.942500000000001
2025-05-19,6.08,6.14,6.08,6.13,35204.31,新澳股份,6.126,6.075,5.9645
2025-05-20,6.14,6.19,6.12,6.17,39361.6,新澳股份,6.13,6.103,5.984
2025-05-21,6.21,6.22,6.12,6.15,75927.65,新澳股份,6.134,6.117,6.005999999999999
2025-05-22,6.15,6.18,6.07,6.1,43562.0,新澳股份,6.13,6.126,6.0245
2025-05-23,6.08,6.15,6.08,6.09,55927.04,新澳股份,6.127999999999999,6.1259999999999994,6.043
2025-05-26,6.09,6.13,6.03,6.12,53549.7,新澳股份,6.1259999999999994,6.126,6.057
2025-05-27,6.1,6.17,6.07,6.13,59442.05,新澳股份,6.118,6.124,6.0685
2025-05-28,5.85,5.93,5.83,5.9,61488.29,新澳股份,6.068,6.101,6.064
2025-05-29,5.89,5.92,5.83,5.91,51684.92,新澳股份,6.03,6.08,6.0625
2025-05-30,5.9,5.99,5.87,5.9,59810.0,新澳股份,5.992,6.0600000000000005,6.0565
2025-06-03,5.85,5.94,5.85,5.92,58153.3,新澳股份,5.952,6.039,6.057
2025-06-04,5.93,5.98,5.91,5.97,42962.41,新澳股份,5.92,6.019,6.061
2025-06-05,5.97,5.99,5.85,5.85,60292.82,新澳股份,5.909999999999999,5.989,6.052999999999999
2025-06-06,5.88,5.88,5.82,5.87,42362.9,新澳股份,5.901999999999999,5.965999999999999,6.046
2025-06-09,5.88,5.92,5.85,5.9,50954.34,新澳股份,5.902,5.947,6.0365
2025-06-10,5.91,5.93,5.8,5.91,52683.31,新澳股份,5.9,5.926,6.026
2025-06-11,5.9,5.94,5.88,5.91,63034.4,新澳股份,5.888,5.904,6.014
2025-06-12,5.91,5.92,5.83,5.87,42758.05,新澳股份,5.892,5.901000000000001,6.0009999999999994
2025-06-13,5.87,5.87,5.78,5.79,53595.72,新澳股份,5.876,5.889,5.9845
2025-06-16,5.78,5.84,5.77,5.8,37691.88,新澳股份,5.856,5.879,5.9695
