date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,24.61,24.89,24.4,24.57,25782.54,益丰药房,,,
2025-03-25,24.6,25.38,24.4,25.08,52682.77,益丰药房,,,
2025-03-26,25.0,25.12,24.66,24.71,29865.67,益丰药房,,,
2025-03-27,24.74,25.68,24.5,25.49,64873.74,益丰药房,,,
2025-03-28,25.48,26.38,24.9,24.94,47435.88,益丰药房,24.958,,
2025-03-31,24.76,25.28,24.64,24.91,44321.42,益丰药房,25.026000000000003,,
2025-04-01,24.9,26.18,24.79,25.73,112186.06,益丰药房,25.156,,
2025-04-02,25.7,26.59,25.46,25.89,66519.13,益丰药房,25.392000000000003,,
2025-04-03,25.67,26.5,25.6,26.34,64854.31,益丰药房,25.562,,
2025-04-07,25.7,26.7,24.52,25.69,116735.93,益丰药房,25.712,25.335,
2025-04-08,25.61,26.41,25.5,26.3,155913.41,益丰药房,25.99,25.508000000000003,
2025-04-09,26.04,27.59,25.22,27.59,223973.83,益丰药房,26.362000000000002,25.758999999999997,
2025-04-10,27.98,28.45,27.2,28.43,170968.37,益丰药房,26.869999999999997,26.131,
2025-04-11,28.42,28.88,27.7,28.33,107917.07,益丰药房,27.268,26.415,
2025-04-14,28.01,28.68,28.01,28.29,64299.95,益丰药房,27.788,26.75,
2025-04-15,28.29,28.9,27.96,28.45,61977.19,益丰药房,28.218,27.104000000000003,
2025-04-16,28.88,29.06,27.72,29.06,83271.34,益丰药房,28.512,27.437,
2025-04-17,28.89,29.26,27.7,28.66,77832.67,益丰药房,28.558,27.714,
2025-04-18,28.08,28.64,27.9,28.38,38618.88,益丰药房,28.568,27.918,
2025-04-21,28.14,28.6,27.85,28.38,43940.95,益丰药房,28.586000000000002,28.187,26.761000000000003
2025-04-22,28.44,29.2,28.27,28.96,46779.12,益丰药房,28.688,28.452999999999996,26.9805
2025-04-23,28.97,29.14,27.84,28.38,59553.02,益丰药房,28.552,28.532,27.1455
2025-04-24,28.35,28.69,28.1,28.56,55794.67,益丰药房,28.532,28.544999999999998,27.338
2025-04-25,28.6,28.79,26.43,26.81,153350.24,益丰药房,28.218,28.393,27.404000000000003
2025-04-28,26.45,27.76,26.45,27.51,108543.84,益丰药房,28.044,28.314999999999998,27.5325
2025-04-29,27.6,28.19,27.37,28.0,60798.46,益丰药房,27.851999999999997,28.27,27.687
2025-04-30,27.94,28.76,27.72,28.4,74345.74,益丰药房,27.856,28.203999999999997,27.8205
2025-05-06,28.19,28.37,27.72,28.18,109622.7,益丰药房,27.78,28.156,27.935000000000002
2025-05-07,28.18,28.38,27.15,27.78,75738.85,益丰药房,27.974,28.095999999999997,28.006999999999998
2025-05-08,27.51,28.15,27.31,27.74,52486.67,益丰药房,28.02,28.032,28.109500000000004
2025-05-09,27.73,28.22,27.62,27.83,31978.12,益丰药房,27.986,27.919,28.185999999999996
2025-05-12,27.74,28.09,27.13,27.75,74683.37,益丰药房,27.856,27.856,28.194
2025-05-13,27.7,27.85,27.33,27.77,78841.89,益丰药房,27.774,27.776999999999997,28.161
2025-05-14,27.68,27.91,27.26,27.35,77079.95,益丰药房,27.688,27.831,28.112000000000002
2025-05-15,27.35,27.58,27.07,27.3,78200.43,益丰药房,27.6,27.810000000000002,28.0625
2025-05-16,27.26,27.96,26.96,27.96,63263.98,益丰药房,27.625999999999998,27.806,28.038
2025-05-19,27.89,28.12,27.26,27.5,42172.49,益丰药房,27.576,27.715999999999998,27.959999999999997
2025-05-20,27.66,28.05,27.31,27.76,37657.26,益丰药房,27.574,27.674,27.915000000000003
2025-05-21,28.05,28.8,27.97,28.06,73105.74,益丰药房,27.715999999999998,27.701999999999998,27.899
2025-05-22,27.83,28.02,27.14,27.3,59120.92,益丰药房,27.716,27.657999999999998,27.845
2025-05-23,27.32,27.81,27.16,27.18,55768.23,益丰药房,27.559999999999995,27.593,27.756
2025-05-26,27.16,27.56,26.88,27.3,26592.97,益丰药房,27.52,27.548000000000002,27.701999999999998
2025-05-27,27.27,27.5,26.8,26.9,32427.67,益丰药房,27.348000000000003,27.461000000000002,27.619
2025-05-28,26.91,26.97,26.58,26.92,31071.41,益丰药房,27.119999999999997,27.418,27.6245
2025-05-29,26.73,26.92,26.0,26.17,80515.88,益丰药房,26.894,27.305,27.557499999999997
2025-05-30,26.14,26.56,26.04,26.06,61219.26,益丰药房,26.669999999999998,27.115,27.460500000000003
2025-06-03,25.96,26.78,25.81,26.43,68849.84,益丰药房,26.496,27.008,27.362000000000002
2025-06-04,26.46,27.25,26.25,26.93,66910.61,益丰药房,26.502,26.925,27.299500000000002
2025-06-05,26.97,27.17,26.72,26.83,48316.31,益丰药房,26.484,26.802,27.252
2025-06-06,26.39,26.83,26.29,26.3,55787.81,益丰药房,26.509999999999998,26.701999999999998,27.18
2025-06-09,26.4,26.44,25.59,25.75,86875.18,益丰药房,26.448,26.559000000000005,27.076000000000004
2025-06-10,25.8,26.41,25.65,25.65,79208.75,益丰药房,26.291999999999994,26.394,26.971000000000004
2025-06-11,25.71,25.91,25.38,25.42,53386.51,益丰药房,25.99,26.246,26.853500000000004
2025-06-12,25.38,25.57,25.13,25.42,97185.94,益丰药房,25.708000000000006,26.096000000000004,26.756999999999998
2025-06-13,25.01,25.11,24.5,25.02,109662.82,益丰药房,25.451999999999998,25.981,26.643
2025-06-16,24.83,25.65,24.66,24.74,83355.29,益丰药房,25.25,25.849,26.482
2025-06-17,24.74,24.97,24.4,24.49,79324.68,益丰药房,25.018,25.655,26.3315
2025-06-18,24.08,24.15,23.65,23.82,71091.3,益丰药房,24.698,25.344,26.134500000000003
2025-06-19,23.82,24.09,23.51,23.58,54875.87,益丰药房,24.33,25.019,25.910500000000003
2025-06-20,23.58,23.81,23.42,23.53,85112.6,益丰药房,24.032,24.742,25.721999999999998
2025-06-23,23.4,23.57,22.95,23.07,85470.44,益丰药房,23.698,24.474,25.5165
2025-06-24,23.1,23.82,23.07,23.67,89630.75,益丰药房,23.534,24.276,25.335
2025-06-25,23.77,23.84,23.19,23.68,93842.47,益丰药房,23.506,24.101999999999997,25.174
2025-06-26,23.69,23.77,23.5,23.61,62267.95,益丰药房,23.512,23.921,25.008499999999998
2025-06-27,23.5,23.77,23.48,23.66,61335.28,益丰药房,23.538,23.785,24.883000000000003
2025-06-30,23.68,24.74,23.58,24.47,113168.99,益丰药房,23.818,23.758000000000003,24.8035
2025-07-01,24.47,24.67,24.21,24.59,45787.69,益丰药房,24.002,23.768,24.7115
2025-07-02,24.58,24.77,24.26,24.57,47004.59,益丰药房,24.18,23.843,24.5935
2025-07-03,24.48,24.93,24.41,24.71,50488.51,益丰药房,24.4,23.956,24.4875
2025-07-04,24.75,25.1,24.65,24.99,61866.7,益丰药房,24.666000000000004,24.101999999999997,24.422
2025-07-07,24.9,25.08,24.45,24.86,64992.05,益丰药房,24.744,24.281,24.3775
2025-07-08,24.83,24.99,24.53,24.7,54166.09,益丰药房,24.766,24.384,24.33
2025-07-09,24.68,24.75,24.3,24.44,50175.32,益丰药房,24.74,24.46,24.281
2025-07-10,24.45,25.0,24.35,24.81,58800.74,益丰药房,24.759999999999998,24.58,24.2505
2025-07-11,24.78,24.87,24.44,24.46,42793.05,益丰药房,24.654000000000003,24.66,24.2225
2025-07-14,24.43,24.5,24.28,24.29,38457.69,益丰药房,24.54,24.642,24.2
2025-07-15,24.29,24.34,23.28,23.31,135340.5,益丰药房,24.262,24.514,24.141
2025-07-16,23.31,23.95,23.31,23.9,63059.8,益丰药房,24.154000000000003,24.447,24.145
2025-07-17,23.9,24.15,23.43,23.6,88328.08,益丰药房,23.912,24.336,24.146
2025-07-18,23.61,23.85,23.51,23.68,74350.29,益丰药房,23.756,24.205000000000002,24.1535
2025-07-21,23.56,24.08,23.56,23.84,82621.53,益丰药房,23.666,24.103,24.192
2025-07-22,23.84,24.19,23.75,23.93,132662.19,益丰药房,23.79,24.026,24.205
2025-07-23,24.0,24.18,23.78,23.96,112663.97,益丰药房,23.802,23.978,24.219
2025-07-24,23.95,24.5,23.86,24.36,107587.26,益丰药房,23.954,23.933,24.2565
2025-07-25,24.4,24.88,24.27,24.44,93633.92,益丰药房,24.106,23.931,24.295499999999997
2025-07-28,24.5,24.58,23.88,23.92,108574.28,益丰药房,24.122000000000003,23.894,24.268
2025-07-29,23.92,24.05,23.6,23.85,136147.45,益丰药房,24.106,23.948,24.231
2025-07-30,23.85,24.36,23.76,24.22,86135.4,益丰药房,24.158,23.98,24.2135
2025-07-31,24.12,24.15,23.7,23.71,86761.13,益丰药房,24.028000000000002,23.991,24.163500000000003
2025-08-01,23.75,24.35,23.74,24.21,81296.02,益丰药房,23.982000000000003,24.044,24.1245
2025-08-04,24.12,24.79,23.91,24.6,67479.17,益丰药房,24.118000000000002,24.119999999999997,24.1115
2025-08-05,24.6,24.7,24.31,24.45,37446.79,益丰药房,24.238,24.172000000000004,24.099
2025-08-06,24.5,24.57,24.26,24.5,59938.71,益丰药房,24.294,24.226000000000003,24.102
2025-08-07,24.4,24.66,23.83,23.96,89918.2,益丰药房,24.344,24.186,24.0595
2025-08-08,23.95,24.83,23.88,23.93,77545.11,益丰药房,24.288,24.134999999999998,24.033
2025-08-11,23.85,24.09,23.64,24.05,67974.56,益丰药房,24.178000000000004,24.148000000000003,24.021
2025-08-12,24.05,24.11,23.8,23.87,53865.29,益丰药房,24.062,24.15,24.049
2025-08-13,24.0,24.13,23.68,23.81,62101.01,益丰药房,23.924,24.109,24.044500000000003
2025-08-14,23.81,24.06,23.69,23.71,70071.39,益丰药房,23.874000000000002,24.109,24.05
2025-08-15,23.67,23.7,23.22,23.37,112482.7,益丰药房,23.762,24.025,24.0345
2025-08-18,23.41,23.95,23.35,23.87,100930.91,益丰药房,23.726,23.952,24.036
2025-08-19,23.88,24.36,23.8,24.06,94198.76,益丰药房,23.764000000000003,23.913,24.0425
2025-08-20,24.06,24.3,23.79,24.27,58706.47,益丰药房,23.856,23.889999999999997,24.058
2025-08-21,24.3,24.69,24.24,24.49,88099.53,益丰药房,24.011999999999997,23.943,24.064500000000002
2025-08-22,24.49,24.59,24.37,24.54,68998.84,益丰药房,24.246000000000002,24.003999999999998,24.0695
2025-08-25,24.5,24.53,23.8,24.13,150459.16,益丰药房,24.298,24.012,24.080000000000002
2025-08-26,24.12,24.2,23.85,24.05,95578.45,益丰药房,24.296,24.029999999999998,24.09
2025-08-27,24.08,24.19,23.61,23.62,109745.13,益丰药房,24.166,24.011000000000003,24.060000000000002
2025-08-28,23.59,23.98,23.48,23.98,104705.19,益丰药房,24.064,24.038,24.0735
2025-08-29,23.99,24.33,23.61,23.74,129016.9,益丰药房,23.904,24.075,24.05
2025-09-01,23.87,23.93,23.42,23.51,134325.93,益丰药房,23.78,24.038999999999998,23.9955
2025-09-02,23.58,24.7,23.42,24.42,271998.17,益丰药房,23.854000000000003,24.075,23.994
2025-09-03,24.5,25.3,24.3,24.93,203919.12,益丰药房,24.116,24.141000000000002,24.0155
2025-09-04,24.92,25.15,24.65,25.0,110442.11,益丰药房,24.32,24.192,24.067500000000003
2025-09-05,24.95,25.08,24.48,24.87,110635.43,益丰药房,24.546,24.225,24.1145
2025-09-08,24.79,26.19,24.79,26.18,186052.16,益丰药房,25.080000000000002,24.43,24.221
2025-09-09,26.0,26.56,25.66,25.89,110908.65,益丰药房,25.374000000000002,24.614,24.322
2025-09-10,25.9,26.31,25.48,25.65,92536.55,益丰药房,25.518,24.817,24.413999999999998
2025-09-11,25.5,26.29,25.08,26.18,110422.5,益丰药房,25.754,25.037,24.5375
2025-09-12,26.06,26.35,25.65,25.76,71918.37,益丰药房,25.932,25.239,24.657
2025-09-15,25.7,26.06,25.58,25.86,66201.21,益丰药房,25.868000000000002,25.474,24.7565
2025-09-16,25.85,26.01,25.55,25.84,57204.82,益丰药房,25.858000000000004,25.615999999999996,24.845499999999998
2025-09-17,25.53,26.52,25.45,26.22,106748.61,益丰药房,25.972,25.744999999999997,24.943
2025-09-18,26.23,26.56,25.38,25.46,84782.52,益丰药房,25.827999999999996,25.790999999999997,24.9915
2025-09-19,25.4,25.49,25.07,25.22,53675.37,益丰药房,25.72,25.826,25.0255
2025-09-22,25.22,25.5,24.55,24.75,62619.47,益丰药房,25.498,25.683,25.0565
2025-09-23,24.75,24.75,24.09,24.54,89129.96,益丰药房,25.238,25.548,25.081
2025-09-24,24.52,25.56,24.41,25.29,74641.44,益丰药房,25.052,25.511999999999997,25.164499999999997
2025-09-25,25.32,25.32,24.63,24.65,82749.33,益丰药房,24.889999999999997,25.359,25.198
2025-09-26,24.57,25.06,24.37,24.82,48605.35,益丰药房,24.809999999999995,25.264999999999997,25.252000000000002
2025-09-29,24.82,24.86,24.31,24.61,74744.43,益丰药房,24.782,25.14,25.307
2025-09-30,24.41,24.8,24.17,24.65,57139.1,益丰药房,24.804,25.020999999999997,25.3185
2025-10-09,24.35,24.91,23.93,24.59,105894.68,益丰药房,24.663999999999998,24.857999999999997,25.301499999999997
2025-10-10,24.47,24.83,24.38,24.51,57069.54,益丰药房,24.636000000000003,24.762999999999998,25.276999999999997
2025-10-13,24.0,25.0,23.99,24.52,65167.73,益丰药房,24.576,24.692999999999998,25.2595
2025-10-14,24.5,24.57,24.01,24.11,64787.81,益丰药房,24.476000000000003,24.628999999999998,25.156
2025-10-15,24.07,24.42,24.04,24.14,50487.2,益丰药房,24.374000000000002,24.589,25.0685
2025-10-16,24.08,24.62,24.03,24.41,75355.49,益丰药房,24.338,24.500999999999998,25.0065
2025-10-17,24.31,24.82,24.26,24.7,81297.5,益丰药房,24.376,24.506,24.932499999999997
2025-10-20,24.7,25.5,24.7,25.32,129959.38,益丰药房,24.535999999999998,24.556,24.910500000000003
2025-10-21,25.3,25.43,24.73,25.11,83486.92,益丰药房,24.735999999999997,24.606,24.872999999999998
2025-10-22,25.07,25.57,25.01,25.11,50990.59,益丰药房,24.93,24.652,24.8365
2025-10-23,25.08,25.76,25.0,25.44,74125.9,益丰药房,25.136000000000003,24.737000000000002,24.7975
2025-10-24,25.49,25.65,25.11,25.21,48310.34,益丰药房,25.238,24.807,24.785000000000004
2025-10-27,25.02,25.62,24.91,25.34,64538.91,益丰药房,25.242,24.889000000000003,24.791
2025-10-28,25.19,25.51,24.85,25.49,65677.76,益丰药房,25.318,25.026999999999997,24.828
2025-10-29,25.34,25.58,24.9,25.49,62827.51,益丰药房,25.394,25.162,24.8755
2025-10-30,25.34,25.4,24.65,24.65,88559.81,益丰药房,25.236,25.186,24.8435
2025-10-31,24.53,24.72,24.26,24.42,53539.72,益丰药房,25.078,25.157999999999998,24.832
2025-11-03,24.43,24.95,24.35,24.55,70552.23,益丰药房,24.919999999999998,25.081,24.8185
2025-11-04,24.56,24.56,23.67,23.76,98400.35,益丰药房,24.574,24.945999999999998,24.776000000000003
2025-11-05,23.53,23.74,23.16,23.38,69670.02,益丰药房,24.152,24.773000000000003,24.7125
2025-11-06,23.39,23.46,23.15,23.24,66200.89,益丰药房,23.869999999999997,24.553,24.645000000000003
2025-11-07,23.27,23.82,23.04,23.68,88082.99,益丰药房,23.722,24.4,24.6035
2025-11-10,23.64,25.06,23.56,24.54,135057.2,益丰药房,23.72,24.32,24.604499999999998
