date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,271.0,271.61,257.88,262.44,21167.42,国盾量子,,,
2025-03-25,262.45,264.78,256.7,258.54,12576.84,国盾量子,,,
2025-03-26,256.55,263.71,256.55,260.89,9780.57,国盾量子,,,
2025-03-27,259.5,263.3,256.02,260.35,9280.45,国盾量子,,,
2025-03-28,260.3,261.32,254.6,254.66,9957.55,国盾量子,259.37600000000003,,
2025-03-31,254.28,256.88,248.0,255.99,14206.45,国盾量子,258.086,,
2025-04-01,256.8,263.8,256.01,260.94,13846.57,国盾量子,258.566,,
2025-04-02,260.86,265.97,260.0,262.8,9858.78,国盾量子,258.94800000000004,,
2025-04-03,262.79,265.89,259.99,263.11,8768.02,国盾量子,259.5,,
2025-04-07,245.0,247.0,211.03,221.95,30985.08,国盾量子,252.958,256.16700000000003,
2025-04-08,222.07,232.77,222.07,232.49,21750.37,国盾量子,248.25799999999998,253.17200000000003,
2025-04-09,230.22,250.97,228.0,247.91,26135.19,国盾量子,245.652,252.109,
2025-04-10,255.12,256.03,247.08,247.68,16863.66,国盾量子,242.62800000000001,250.788,
2025-04-11,245.88,252.88,245.8,251.33,13449.91,国盾量子,240.272,249.88599999999997,
2025-04-14,254.29,255.28,251.53,252.87,10486.38,国盾量子,246.456,249.70700000000002,
2025-04-15,252.72,253.2,248.1,250.46,7683.22,国盾量子,250.05,249.15400000000005,
2025-04-16,250.6,253.57,245.08,252.06,11794.39,国盾量子,250.88000000000002,248.26600000000002,
2025-04-17,251.13,253.48,250.01,250.01,6677.16,国盾量子,251.346,246.987,
2025-04-18,250.13,250.97,247.68,249.02,5421.83,国盾量子,250.88400000000001,245.57799999999997,
2025-04-21,249.33,253.35,248.0,253.15,9767.29,国盾量子,250.94,248.698,252.43250000000003
2025-04-22,248.1,249.9,238.14,240.6,21862.99,国盾量子,248.96800000000002,249.50899999999996,251.34050000000002
2025-04-23,240.6,243.88,239.8,241.75,8799.03,国盾量子,246.906,248.89299999999997,250.50100000000003
2025-04-24,240.8,242.31,236.28,237.25,7753.89,国盾量子,244.35399999999998,247.85,249.31900000000002
2025-04-25,237.88,243.5,237.02,241.35,8249.0,国盾量子,242.82,246.852,248.369
2025-04-28,242.0,242.0,233.01,235.5,10212.18,国盾量子,239.29000000000002,245.11499999999995,247.411
2025-04-29,235.5,237.49,233.5,236.3,6924.5,国盾量子,238.43,243.69899999999998,246.42650000000003
2025-04-30,236.88,242.0,235.6,240.33,8502.34,国盾量子,238.14600000000002,242.52599999999998,245.39600000000002
2025-05-06,243.0,251.0,242.0,249.28,14261.73,国盾量子,240.552,242.45300000000003,244.72000000000003
2025-05-07,254.0,255.8,247.02,249.4,13895.76,国盾量子,242.16199999999998,242.49100000000004,244.03449999999998
2025-05-08,250.0,252.39,245.5,249.92,11653.78,国盾量子,245.046,242.16799999999998,245.433
2025-05-09,253.01,254.91,245.24,245.3,13535.21,国盾量子,246.846,242.638,246.07350000000002
2025-05-12,246.55,255.4,246.55,253.73,17696.93,国盾量子,249.526,243.836,246.36450000000005
2025-05-13,256.96,256.96,247.35,247.85,11634.44,国盾量子,249.24,244.89600000000002,246.373
2025-05-14,248.52,251.3,245.51,248.31,9722.2,国盾量子,249.022,245.592,246.22200000000004
2025-05-15,248.18,248.99,242.58,243.61,9532.0,国盾量子,247.76,246.40300000000002,245.75900000000001
2025-05-16,242.71,244.8,242.33,243.0,5820.94,国盾量子,247.3,247.073,245.38600000000002
2025-05-19,243.1,243.56,240.27,243.15,5582.73,国盾量子,245.18400000000003,247.35500000000002,244.9405
2025-05-20,244.0,245.95,242.43,244.38,6584.3,国盾量子,244.49,246.865,244.65899999999996
2025-05-21,245.0,245.8,242.3,243.01,7436.98,国盾量子,243.43,246.22599999999997,244.3585
2025-05-22,243.3,245.66,238.2,238.37,8900.76,国盾量子,242.382,245.071,243.61949999999996
2025-05-23,242.89,252.4,242.89,244.39,21858.58,国盾量子,242.66,244.98000000000002,243.80900000000003
2025-05-26,243.09,244.0,238.4,243.47,11976.21,国盾量子,242.724,243.954,243.89500000000004
2025-05-27,243.0,251.98,240.23,249.27,19670.69,国盾量子,243.702,244.096,244.496
2025-05-28,248.02,256.99,248.02,249.96,10873.26,国盾量子,245.092,244.26100000000002,244.92649999999998
2025-05-29,249.02,254.88,248.6,251.96,10415.53,国盾量子,247.81,245.096,245.74949999999998
2025-05-30,250.03,260.0,249.48,258.87,20870.26,国盾量子,250.70600000000005,246.683,246.878
2025-06-03,259.9,268.8,256.0,262.5,22339.09,国盾量子,254.512,248.618,247.98649999999998
2025-06-04,263.68,263.78,257.34,262.51,13006.85,国盾量子,257.16,250.43099999999998,248.648
2025-06-05,261.1,267.0,260.7,266.15,13837.79,国盾量子,260.398,252.74499999999998,249.4855
2025-06-06,265.01,274.28,264.71,272.66,17443.18,国盾量子,264.538,256.17400000000004,250.6225
2025-06-09,272.39,276.57,269.02,276.0,13882.67,国盾量子,267.96400000000006,259.335,252.15749999999997
2025-06-10,274.92,278.5,266.0,277.6,20245.57,国盾量子,270.98400000000004,262.748,253.35100000000003
2025-06-11,277.5,279.19,271.1,271.78,12291.67,国盾量子,272.83799999999997,264.999,254.54749999999999
2025-06-12,277.26,285.0,274.57,277.26,26881.5,国盾量子,275.06,267.729,255.99499999999998
2025-06-13,272.69,277.0,266.66,277.0,26723.56,国盾量子,275.928,270.233,257.6645
2025-06-16,275.62,281.1,272.1,278.32,14831.9,国盾量子,276.392,272.178,259.4305
2025-06-17,282.99,287.9,278.2,286.05,24088.61,国盾量子,278.082,274.533,261.57550000000003
2025-06-18,283.93,286.5,279.51,282.3,11731.12,国盾量子,280.18600000000004,276.512,263.4715
2025-06-19,281.06,282.8,271.5,272.0,14577.55,国盾量子,279.134,277.09700000000004,264.921
2025-06-20,272.0,273.18,266.6,267.39,11200.08,国盾量子,277.212,276.57,266.372
2025-06-23,266.0,273.83,265.43,273.45,11034.16,国盾量子,276.23799999999994,276.315,267.825
2025-06-24,271.73,278.0,271.73,273.2,11088.07,国盾量子,273.668,275.875,269.31149999999997
2025-06-25,273.0,280.7,272.91,279.38,13266.32,国盾量子,273.084,276.635,270.817
2025-06-26,278.96,281.6,276.0,276.87,9584.18,国盾量子,274.058,276.596,272.1625
2025-06-27,277.5,278.21,273.53,273.7,9007.7,国盾量子,275.32000000000005,276.26599999999996,273.2495
2025-06-30,274.0,277.57,274.0,275.01,6882.59,国盾量子,275.632,275.935,274.0565
2025-07-01,274.5,280.58,269.8,277.5,12661.57,国盾量子,276.492,275.08000000000004,274.8065
2025-07-02,276.99,276.99,271.0,271.2,9542.13,国盾量子,274.85599999999994,273.96999999999997,275.241
2025-07-03,271.99,275.58,270.01,271.88,6049.73,国盾量子,273.858,273.95799999999997,275.52750000000003
2025-07-04,272.0,274.0,269.2,271.06,6461.48,国盾量子,273.33,274.325,275.44750000000005
2025-07-07,269.0,270.85,267.24,268.59,5495.41,国盾量子,272.046,273.839,275.077
2025-07-08,268.59,272.0,267.51,271.65,6833.17,国盾量子,270.876,273.684,274.7795
