date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,49.19,49.45,46.9,48.49,21461.32,映翰通,,,
2025-03-25,48.2,48.78,47.19,47.79,17055.74,映翰通,,,
2025-03-26,47.8,48.66,47.45,47.55,15687.08,映翰通,,,
2025-03-27,47.4,49.0,46.63,47.51,18045.21,映翰通,,,
2025-03-28,47.48,48.56,47.1,47.39,12382.33,映翰通,47.745999999999995,,
2025-03-31,47.11,48.0,46.12,47.68,15151.11,映翰通,47.583999999999996,,
2025-04-01,47.89,48.28,47.22,47.34,13526.78,映翰通,47.494,,
2025-04-02,47.03,48.18,47.03,47.57,10830.28,映翰通,47.498000000000005,,
2025-04-03,47.0,47.65,45.09,45.54,22869.17,映翰通,47.104,,
2025-04-07,41.87,41.87,36.43,37.2,40263.62,映翰通,45.066,46.406,
2025-04-08,37.25,38.98,36.3,37.5,28983.21,映翰通,43.03,45.307,
2025-04-09,36.5,38.48,34.22,37.9,31469.95,映翰通,41.142,44.318,
2025-04-10,38.89,40.88,38.89,39.5,27458.44,映翰通,39.528000000000006,43.513,
2025-04-11,38.61,41.15,38.4,40.35,23604.01,映翰通,38.49,42.797000000000004,
2025-04-14,41.3,41.64,40.24,40.54,16397.48,映翰通,39.158,42.112,
2025-04-15,40.71,40.97,39.8,40.29,11625.69,映翰通,39.715999999999994,41.373000000000005,
2025-04-16,39.95,40.2,38.18,39.0,13488.46,映翰通,39.936,40.539,
2025-04-17,38.88,40.47,38.81,39.72,13684.16,映翰通,39.98,39.754000000000005,
2025-04-18,39.67,41.08,39.1,40.7,20752.41,映翰通,40.05,39.269999999999996,
2025-04-21,40.7,42.57,40.0,42.2,26830.32,映翰通,40.382000000000005,39.769999999999996,43.088
2025-04-22,41.9,44.58,41.9,44.23,33269.18,映翰通,41.17,40.443,42.875
2025-04-23,42.72,43.77,42.0,43.51,51168.83,映翰通,42.072,41.004000000000005,42.661
2025-04-24,43.33,43.59,41.77,41.96,27331.55,映翰通,42.519999999999996,41.25,42.3815
2025-04-25,41.7,42.73,41.7,41.85,19021.79,映翰通,42.75,41.4,42.0985
2025-04-28,40.1,41.27,40.1,40.91,20919.72,映翰通,42.492000000000004,41.437,41.7745
2025-04-29,40.65,41.55,40.18,41.33,12510.37,映翰通,41.912,41.541000000000004,41.457
2025-04-30,41.1,43.2,41.1,42.91,18650.16,映翰通,41.791999999999994,41.932,41.2355
2025-05-06,43.82,44.66,43.17,44.51,24924.17,映翰通,42.302,42.410999999999994,41.082499999999996
2025-05-07,44.75,45.25,43.97,44.39,15647.94,映翰通,42.809999999999995,42.78,41.025
2025-05-08,44.51,45.9,44.03,45.18,16806.8,映翰通,43.664,43.077999999999996,41.42399999999999
2025-05-09,45.01,45.33,43.44,43.96,12804.09,映翰通,44.190000000000005,43.051,41.747
2025-05-12,44.8,45.3,44.68,44.93,12305.56,映翰通,44.59400000000001,43.193,42.098499999999994
2025-05-13,45.43,45.83,44.52,44.65,12446.77,映翰通,44.622,43.462,42.356
2025-05-14,44.58,45.5,43.93,44.35,11077.03,映翰通,44.614,43.712,42.556
2025-05-15,44.21,44.35,42.76,43.14,11807.18,映翰通,44.206,43.935,42.686
2025-05-16,42.87,43.69,42.51,43.02,10178.92,映翰通,44.018,44.104,42.822500000000005
2025-05-19,42.88,43.01,42.15,42.71,8839.45,映翰通,43.574,44.084,43.007999999999996
2025-05-20,42.98,43.46,42.3,43.2,9150.85,映翰通,43.284000000000006,43.953,43.182
2025-05-21,43.2,43.35,42.03,42.2,11246.19,映翰通,42.854,43.733999999999995,43.257000000000005
2025-05-22,42.08,42.76,41.58,41.8,8607.68,映翰通,42.586,43.396,43.237
2025-05-23,41.51,47.8,41.13,45.18,47146.26,映翰通,43.018,43.518,43.284499999999994
2025-05-26,45.25,46.0,44.5,45.01,29106.58,映翰通,43.477999999999994,43.525999999999996,43.359500000000004
2025-05-27,45.01,45.3,43.63,44.0,17368.56,映翰通,43.638,43.461,43.4615
2025-05-28,43.78,46.5,43.78,45.38,22453.78,映翰通,44.274,43.564,43.638000000000005
2025-05-29,45.51,48.16,45.51,47.35,29591.31,映翰通,45.384,43.985,43.959999999999994
2025-05-30,47.0,47.81,46.15,46.25,19017.54,映翰通,45.598,44.30800000000001,44.206
2025-06-03,46.26,51.48,46.26,49.88,38036.84,映翰通,46.572,45.025,44.5545
2025-06-04,49.94,50.33,48.9,50.05,19558.05,映翰通,47.782,45.71,44.8315
2025-06-05,50.55,50.68,49.08,49.99,15910.88,映翰通,48.704,46.489,45.1115
2025-06-06,49.9,51.85,48.6,51.64,25691.86,映翰通,49.562,47.473,45.4345
2025-06-09,51.25,51.99,50.08,50.31,19785.06,映翰通,50.374,47.986000000000004,45.751999999999995
2025-06-10,50.3,50.38,48.4,48.69,19596.24,映翰通,50.136,48.354,45.940000000000005
2025-06-11,48.74,49.57,48.51,48.71,11686.14,映翰通,49.868,48.825,46.143
2025-06-12,48.31,49.55,48.31,48.68,11461.17,映翰通,49.606,49.155,46.359500000000004
2025-06-13,48.18,48.8,47.15,47.51,15983.82,映翰通,48.779999999999994,49.171,46.577999999999996
2025-06-16,47.47,48.18,47.02,47.27,13535.54,映翰通,48.172,49.273,46.790499999999994
2025-06-17,47.39,47.54,46.2,46.8,13548.29,映翰通,47.794000000000004,48.964999999999996,46.995000000000005
2025-06-18,46.8,48.48,45.81,47.76,22200.07,映翰通,47.604,48.736,47.223
2025-06-19,47.8,49.33,45.8,46.16,24971.09,映翰通,47.1,48.353,47.421
2025-06-20,46.0,46.96,45.56,45.96,14067.06,映翰通,46.79,47.785,47.629000000000005
2025-06-23,46.0,46.5,45.29,46.08,9638.96,映翰通,46.552,47.362,47.674
2025-06-24,46.39,48.51,46.21,47.65,20284.21,映翰通,46.721999999999994,47.257999999999996,47.806
2025-06-25,47.99,49.08,47.3,48.62,22527.96,映翰通,46.89399999999999,47.249,48.03699999999999
2025-06-26,48.65,49.48,47.64,47.66,17970.31,映翰通,47.193999999999996,47.147,48.150999999999996
2025-06-27,47.9,50.05,47.51,48.85,20350.54,映翰通,47.772000000000006,47.281,48.226
2025-06-30,49.5,51.88,48.91,50.89,29723.49,映翰通,48.733999999999995,47.642999999999994,48.458000000000006
2025-07-01,50.82,50.9,48.6,48.89,24436.69,映翰通,48.982,47.852,48.408500000000004
2025-07-02,48.89,48.89,47.8,48.24,12030.7,映翰通,48.906000000000006,47.9,48.318
2025-07-03,48.08,48.86,48.02,48.68,9995.58,映翰通,49.11,48.152,48.2525
2025-07-04,48.44,48.8,47.41,47.77,11004.56,映翰通,48.894,48.333000000000006,48.059
2025-07-07,48.0,48.0,47.2,47.66,6239.53,映翰通,48.248000000000005,48.491,47.9265
2025-07-08,47.5,48.76,47.41,48.59,9528.9,映翰通,48.188,48.585,47.921499999999995
2025-07-09,48.59,48.9,47.5,47.76,11432.76,映翰通,48.092,48.499,47.873999999999995
2025-07-10,46.01,47.5,45.23,46.52,16595.04,映翰通,47.660000000000004,48.385000000000005,47.766
2025-07-11,46.08,46.87,46.08,46.53,9193.25,映翰通,47.412,48.153,47.717
2025-07-14,46.48,47.03,46.21,46.99,5995.6,映翰通,47.278000000000006,47.763,47.703
2025-07-15,46.99,49.79,46.63,48.95,21800.09,映翰通,47.35,47.769000000000005,47.8105
2025-07-16,49.19,49.27,48.22,48.57,13793.77,映翰通,47.512,47.80200000000001,47.851
2025-07-17,48.63,49.3,48.03,48.77,16585.74,映翰通,47.962,47.811,47.9815
2025-07-18,48.9,49.08,47.79,48.01,12737.64,映翰通,48.258,47.835,48.083999999999996
2025-07-21,47.95,48.6,47.81,48.13,10170.16,映翰通,48.486000000000004,47.882,48.1865
2025-07-22,47.8,50.19,47.8,48.12,25545.45,映翰通,48.32000000000001,47.835,48.21
2025-07-23,47.77,48.96,46.93,48.42,20396.11,映翰通,48.290000000000006,47.900999999999996,48.2
2025-07-24,48.18,48.87,47.57,47.8,25891.57,映翰通,48.096000000000004,48.029,48.207
