date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,5.53,5.64,5.2,5.36,37898.41,*ST观典,,,
2025-03-25,5.41,5.41,5.27,5.3,15988.99,*ST观典,,,
2025-03-26,5.29,5.36,5.25,5.34,15405.53,*ST观典,,,
2025-03-27,5.34,5.37,5.21,5.28,18467.64,*ST观典,,,
2025-03-28,5.3,5.56,5.2,5.47,32946.57,*ST观典,5.35,,
2025-03-31,5.47,5.75,5.38,5.61,47377.21,*ST观典,5.4,,
2025-04-01,5.55,5.68,5.55,5.57,18004.8,*ST观典,5.454,,
2025-04-02,5.53,5.63,5.41,5.45,24588.37,*ST观典,5.476000000000001,,
2025-04-03,5.4,5.41,5.26,5.29,25434.2,*ST观典,5.478,,
2025-04-07,5.07,5.07,4.3,4.38,57126.07,*ST观典,5.26,5.305,
2025-04-08,4.4,4.72,4.4,4.48,29968.26,*ST观典,5.034000000000001,5.2170000000000005,
2025-04-09,4.43,4.67,4.23,4.63,30733.31,*ST观典,4.846,5.15,
2025-04-10,4.7,4.84,4.69,4.75,23857.8,*ST观典,4.706,5.091,
2025-04-11,4.7,4.8,4.7,4.76,17325.18,*ST观典,4.6,5.039,
2025-04-14,4.45,4.45,4.06,4.32,165080.35,*ST观典,4.588,4.924,
2025-04-15,4.23,4.34,4.21,4.22,79549.25,*ST观典,4.536,4.785,
2025-04-16,4.21,4.27,3.99,4.06,73069.34,*ST观典,4.422,4.634,
2025-04-17,4.05,4.09,4.01,4.05,43435.58,*ST观典,4.282,4.494,
2025-04-18,4.04,4.44,4.01,4.29,84933.07,*ST观典,4.188,4.394,
2025-04-21,4.23,4.35,4.2,4.22,43293.63,*ST观典,4.167999999999999,4.378,4.8415
2025-04-22,4.22,4.23,4.11,4.13,35110.33,*ST观典,4.15,4.343,4.779999999999999
2025-04-23,4.17,4.17,4.11,4.13,21710.31,*ST观典,4.164,4.292999999999999,4.721500000000001
2025-04-24,4.12,4.16,4.0,4.05,34412.18,*ST观典,4.164,4.223,4.657
2025-04-25,4.07,4.08,4.01,4.04,30750.63,*ST观典,4.114,4.151,4.595000000000001
2025-04-28,3.94,3.94,3.65,3.79,83752.2,*ST观典,4.0280000000000005,4.098,4.511
2025-04-30,3.75,4.13,3.75,4.1,101400.25,*ST观典,4.022,4.086,4.435499999999999
2025-05-06,4.08,4.37,4.07,4.36,70437.29,*ST观典,4.068,4.116,4.375
2025-05-07,4.4,4.52,4.32,4.42,57117.26,*ST观典,4.142,4.1530000000000005,4.3235
2025-05-08,4.39,4.62,4.37,4.55,44818.81,*ST观典,4.244,4.179,4.2865
2025-05-09,4.61,5.08,4.55,4.77,136863.11,*ST观典,4.4399999999999995,4.234,4.306
2025-05-12,4.78,4.98,4.62,4.83,77776.12,*ST观典,4.586,4.304,4.3235
2025-05-13,4.8,4.85,4.68,4.74,45397.74,*ST观典,4.662,4.365,4.329
2025-05-14,4.78,4.78,4.57,4.6,45300.18,*ST观典,4.698,4.42,4.3215
2025-05-15,4.61,4.75,4.58,4.62,24437.11,*ST观典,4.712000000000001,4.478,4.3145
2025-05-16,4.64,4.67,4.54,4.56,22410.01,*ST观典,4.67,4.555,4.3265
2025-05-19,4.65,4.88,4.6,4.73,38497.66,*ST观典,4.65,4.618,4.352
2025-05-20,4.76,4.77,4.67,4.71,30565.94,*ST观典,4.644,4.6530000000000005,4.3845
2025-05-21,4.72,4.72,4.64,4.69,24377.92,*ST观典,4.662,4.68,4.4165
2025-05-22,4.7,4.7,4.52,4.53,37069.0,*ST观典,4.644,4.678,4.4285
2025-05-23,4.55,4.61,4.44,4.55,28734.23,*ST观典,4.642,4.656,4.445
2025-05-26,4.51,4.69,4.49,4.66,21698.17,*ST观典,4.628,4.639,4.471500000000001
2025-05-27,4.61,4.69,4.55,4.64,23841.16,*ST观典,4.614,4.629,4.497
2025-05-28,4.65,4.72,4.58,4.65,22694.45,*ST观典,4.606,4.634,4.526999999999999
2025-05-29,4.61,4.76,4.54,4.69,38064.55,*ST观典,4.638,4.641,4.559500000000001
2025-05-30,4.67,4.83,4.64,4.81,44687.77,*ST观典,4.6899999999999995,4.666,4.6105
2025-06-03,4.9,5.1,4.84,5.08,72277.22,*ST观典,4.773999999999999,4.701,4.6595
2025-06-04,5.07,5.08,5.01,5.05,32928.24,*ST观典,4.856,4.735,4.694000000000001
2025-06-05,5.08,5.25,5.02,5.14,50417.56,*ST观典,4.954,4.779999999999999,4.73
2025-06-06,5.14,5.17,5.08,5.1,29697.46,*ST观典,5.036,4.837,4.757499999999999
2025-06-09,5.11,5.18,5.08,5.17,33156.0,*ST观典,5.108,4.899,4.7775
2025-06-10,5.2,5.2,4.93,4.94,53478.67,*ST观典,5.08,4.927,4.7829999999999995
2025-06-11,5.01,5.11,4.98,5.02,28382.93,*ST观典,5.074,4.965,4.797
2025-06-12,5.03,5.1,5.02,5.06,28166.26,*ST观典,5.058,5.006,4.819999999999999
2025-06-13,5.03,5.25,5.03,5.18,64090.05,*ST观典,5.074,5.055,4.848000000000001
2025-06-16,5.18,5.23,5.07,5.21,22468.15,*ST观典,5.082,5.095,4.8805
2025-06-17,5.2,5.2,4.97,5.0,59131.37,*ST观典,5.093999999999999,5.087,4.894
