date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,76.16,76.89,73.2,75.29,16604.14,科德数控,,,
2025-03-25,75.0,76.93,74.18,74.67,10711.29,科德数控,,,
2025-03-26,74.4,79.39,74.3,76.6,23724.54,科德数控,,,
2025-03-27,76.89,79.5,75.81,77.85,18955.15,科德数控,,,
2025-03-28,77.4,80.48,76.72,79.56,22235.64,科德数控,76.79400000000001,,
2025-03-31,78.0,78.9,76.3,78.0,17131.95,科德数控,77.33599999999998,,
2025-04-01,78.04,78.98,75.88,76.11,14189.24,科德数控,77.624,,
2025-04-02,76.0,80.3,75.55,77.97,25659.45,科德数控,77.898,,
2025-04-03,77.0,78.99,74.15,75.4,22654.82,科德数控,77.40799999999999,,
2025-04-07,72.0,73.98,68.0,70.1,29621.09,科德数控,75.516,76.155,
2025-04-08,72.0,73.15,69.23,71.3,19891.27,科德数控,74.176,75.756,
2025-04-09,70.0,75.44,68.17,74.15,25273.59,科德数控,73.784,75.704,
2025-04-10,75.94,77.5,75.0,76.23,22108.89,科德数控,73.436,75.667,
2025-04-11,75.5,78.18,75.0,77.98,22794.51,科德数控,73.952,75.68,
2025-04-14,78.51,78.51,77.03,77.63,11812.43,科德数控,75.458,75.487,
2025-04-15,77.2,77.75,75.6,77.23,10728.69,科德数控,76.644,75.41,
2025-04-16,77.0,78.3,75.2,75.72,13051.6,科德数控,76.958,75.371,
2025-04-17,75.5,80.57,75.3,78.91,28730.42,科德数控,77.494,75.465,
2025-04-18,78.81,80.4,78.31,79.91,14476.67,科德数控,77.88000000000001,75.916,
2025-04-21,80.87,80.87,78.69,79.46,14208.79,科德数控,78.246,76.852,76.5035
2025-04-22,79.46,80.0,78.52,79.15,12017.52,科德数控,78.63,77.637,76.6965
2025-04-23,79.45,80.59,78.75,79.09,14967.8,科德数控,79.304,78.131,76.91749999999999
2025-04-24,79.25,79.53,77.83,79.04,12642.23,科德数控,79.33000000000001,78.412,77.0395
2025-04-25,79.86,80.88,78.04,80.4,15602.93,科德数控,79.428,78.654,77.167
2025-04-28,80.5,81.13,74.33,74.78,31615.03,科德数控,78.492,78.369,76.928
2025-04-29,75.95,76.58,73.82,76.03,20481.93,科德数控,77.86800000000001,78.249,76.8295
2025-04-30,75.8,76.66,75.35,75.43,14762.58,科德数控,77.136,78.22,76.7955
2025-05-06,75.9,77.87,75.47,77.58,24658.94,科德数控,76.84400000000001,78.087,76.776
2025-05-07,78.16,79.88,77.52,79.25,25083.96,科德数控,76.614,78.021,76.96849999999999
2025-05-08,79.18,79.6,78.0,79.12,15713.35,科德数控,77.482,77.987,77.4195
2025-05-09,79.18,79.97,76.59,77.82,17725.28,科德数控,77.84,77.854,77.7455
2025-05-12,78.6,80.78,78.6,79.46,27538.13,科德数控,78.646,77.891,78.011
2025-05-13,79.96,79.96,76.99,77.33,22040.92,科德数控,78.59599999999999,77.72,78.066
2025-05-14,77.2,77.57,75.62,75.86,23734.17,科德数控,77.918,77.26599999999999,77.96000000000001
2025-05-15,76.2,76.2,74.75,75.29,10688.95,科德数控,77.152,77.31700000000001,77.843
2025-05-16,75.29,77.7,75.04,75.94,19101.15,科德数控,76.776,77.30799999999999,77.77850000000001
2025-05-19,75.82,75.85,74.56,75.12,12411.57,科德数控,75.90799999999999,77.277,77.7485
2025-05-20,74.9,75.52,74.65,74.95,11190.55,科德数控,75.432,77.014,77.5505
2025-05-21,75.0,75.13,73.6,74.34,13418.34,科德数控,75.128,76.523,77.272
2025-05-22,74.3,74.67,72.51,72.54,13049.05,科德数控,74.578,75.865,76.926
2025-05-23,72.54,73.17,71.86,71.86,9735.71,科德数控,73.76200000000001,75.269,76.5615
2025-05-26,71.6,72.05,71.3,71.89,7604.03,科德数控,73.11600000000001,74.512,76.20150000000001
2025-05-27,71.92,72.48,71.2,71.33,5541.06,科德数控,72.392,73.912,75.816
2025-05-28,71.75,72.9,71.61,71.99,9638.95,科德数控,71.922,73.525,75.3955
2025-05-29,71.58,72.72,71.56,72.67,10350.14,科德数控,71.94800000000001,73.263,75.28999999999999
2025-05-30,72.76,72.95,71.8,72.18,7294.71,科德数控,72.012,72.887,75.0975
2025-06-03,72.11,72.49,71.75,72.37,7253.43,科德数控,72.108,72.612,74.9445
2025-06-04,56.0,56.0,55.04,55.06,11741.24,科德数控,68.85400000000001,70.623,73.8185
2025-06-05,55.07,55.74,54.72,55.65,10421.74,科德数控,65.586,68.75399999999999,72.63850000000001
2025-06-06,55.5,55.64,55.2,55.38,7228.13,科德数控,62.128,67.038,71.4515
2025-06-09,55.33,56.17,55.33,55.9,10103.17,科德数控,58.872,65.442,70.3555
2025-06-10,55.79,55.89,54.0,54.95,18801.16,科德数控,55.388,63.748000000000005,69.13
2025-06-11,54.95,55.3,54.6,54.68,11236.03,科德数控,55.312,62.08299999999999,67.9975
2025-06-12,54.64,54.85,54.2,54.71,5963.59,科德数控,55.124,60.355,66.94
2025-06-13,54.96,55.75,54.24,54.29,14752.01,科德数控,54.906000000000006,58.516999999999996,65.89
2025-06-16,54.0,54.8,53.98,54.4,7160.76,科德数控,54.60600000000001,56.73900000000001,64.813
2025-06-17,54.08,54.85,54.08,54.4,4299.7,科德数控,54.496,54.94199999999999,63.777
2025-06-18,54.2,54.76,54.2,54.5,5077.22,科德数控,54.459999999999994,54.886,62.75449999999999
2025-06-19,54.5,54.78,53.35,53.4,13338.95,科德数控,54.198,54.661,61.7075
2025-06-20,53.4,53.73,52.48,52.48,11989.19,科德数控,53.83599999999999,54.371,60.70450000000001
2025-06-23,52.2,52.91,52.12,52.76,6075.95,科德数控,53.508,54.056999999999995,59.7495
2025-06-24,53.0,54.38,52.75,54.35,12050.81,科德数控,53.498000000000005,53.997,58.87249999999999
2025-06-25,54.34,55.18,54.1,55.05,14504.72,科德数控,53.60799999999999,54.03399999999999,58.0585
2025-06-26,54.77,55.67,54.5,54.56,9881.15,科德数控,53.839999999999996,54.019000000000005,57.187
2025-06-27,54.65,54.99,54.5,54.73,8171.67,科德数控,54.29,54.063,56.290000000000006
2025-06-30,55.66,56.06,55.32,55.81,17627.29,科德数控,54.9,54.20399999999999,55.471500000000006
