date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,24.9,25.2,24.41,24.74,7693.01,赛科希德,,,
2025-03-25,24.88,24.88,24.52,24.83,5051.83,赛科希德,,,
2025-03-26,24.87,25.25,24.7,25.09,7793.18,赛科希德,,,
2025-03-27,25.07,25.37,24.61,25.14,7350.52,赛科希德,,,
2025-03-28,24.96,25.6,24.95,25.19,11051.15,赛科希德,24.997999999999998,,
2025-03-31,24.92,25.06,24.62,24.93,7674.07,赛科希德,25.036,,
2025-04-01,24.9,26.05,24.85,25.67,18793.85,赛科希德,25.204,,
2025-04-02,25.51,25.97,25.49,25.79,10400.61,赛科希德,25.344,,
2025-04-03,25.6,26.09,25.51,25.75,10558.6,赛科希德,25.466,,
2025-04-07,25.08,25.08,21.78,22.11,20586.84,赛科希德,24.85,24.924,
2025-04-08,22.3,23.07,22.18,22.66,11718.76,赛科希德,24.395999999999997,24.716,
2025-04-09,22.31,23.01,21.28,22.87,13524.49,赛科希德,23.836,24.520000000000003,
2025-04-10,23.15,23.78,23.15,23.29,10609.65,赛科希德,23.336000000000002,24.34,
2025-04-11,23.36,23.68,23.07,23.56,7178.79,赛科希德,22.898000000000003,24.182,
2025-04-14,23.78,23.88,23.59,23.68,6613.0,赛科希德,23.212,24.031,
2025-04-15,23.69,23.82,23.46,23.69,4805.54,赛科希德,23.418,23.907000000000004,
2025-04-16,23.69,23.69,22.89,23.27,6933.84,赛科希德,23.498,23.666999999999998,
2025-04-17,23.0,23.67,23.0,23.43,5747.78,赛科希德,23.526,23.431,
2025-04-18,23.39,23.7,23.3,23.48,5791.66,赛科希德,23.509999999999998,23.204,
2025-04-21,23.33,23.88,23.29,23.86,6640.29,赛科希德,23.546,23.378999999999998,24.1515
2025-04-22,23.71,24.03,23.66,23.95,5789.74,赛科希德,23.598000000000003,23.508,24.112000000000002
2025-04-23,24.08,24.19,23.91,24.16,6582.75,赛科希德,23.776,23.636999999999997,24.0785
