date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,35.52,35.9,34.75,35.46,16823.3,有研粉材,,,
2025-03-25,35.52,36.66,35.31,36.21,22714.47,有研粉材,,,
2025-03-26,36.01,37.0,36.01,36.69,16025.73,有研粉材,,,
2025-03-27,36.51,36.91,35.67,35.72,17142.6,有研粉材,,,
2025-03-28,35.8,35.81,35.13,35.24,12343.22,有研粉材,35.864,,
2025-03-31,35.28,35.99,34.81,35.96,13284.0,有研粉材,35.964,,
2025-04-01,35.97,36.98,35.9,36.27,13535.76,有研粉材,35.976000000000006,,
2025-04-02,36.39,36.5,35.9,36.25,8491.68,有研粉材,35.888,,
2025-04-03,36.2,36.6,35.25,35.51,11671.97,有研粉材,35.846000000000004,,
2025-04-07,33.89,33.89,30.15,30.81,39699.79,有研粉材,34.96,35.412,
2025-04-08,30.85,31.9,30.0,30.6,25672.8,有研粉材,33.888,34.926,
2025-04-09,30.16,32.24,29.24,31.88,25744.76,有研粉材,33.01,34.493,
2025-04-10,32.2,33.33,31.83,31.9,23364.51,有研粉材,32.14,34.013999999999996,
2025-04-11,31.6,32.96,31.51,32.6,20148.35,有研粉材,31.558,33.702000000000005,
2025-04-14,32.9,33.05,32.48,32.57,22236.31,有研粉材,31.910000000000004,33.435,
2025-04-15,32.88,33.9,32.55,32.71,21881.79,有研粉材,32.332,33.11,
2025-04-16,32.52,32.88,31.51,31.96,15573.77,有研粉材,32.348,32.678999999999995,
2025-04-17,31.67,32.44,31.66,31.86,8888.56,有研粉材,32.339999999999996,32.239999999999995,
2025-04-18,31.88,32.04,31.4,31.69,9534.41,有研粉材,32.158,31.857999999999997,
2025-04-21,31.41,32.51,31.39,32.41,8351.7,有研粉材,32.126,32.018,33.714999999999996
2025-04-22,32.41,32.5,32.15,32.21,6609.85,有研粉材,32.025999999999996,32.178999999999995,33.552499999999995
2025-04-23,32.32,32.95,32.2,32.6,12964.27,有研粉材,32.153999999999996,32.251,33.372
2025-04-24,32.6,32.85,31.8,32.3,10217.08,有研粉材,32.242,32.291,33.152499999999996
2025-04-25,32.38,32.93,32.15,32.59,8682.74,有研粉材,32.422,32.29,32.995999999999995
2025-04-28,32.4,32.8,31.97,32.3,9922.39,有研粉材,32.4,32.263,32.849
2025-04-29,32.3,32.54,31.99,32.14,7512.53,有研粉材,32.386,32.206,32.658
2025-04-30,32.0,33.11,32.0,32.69,9597.38,有研粉材,32.403999999999996,32.279,32.479
2025-05-06,32.77,33.77,32.77,33.6,11845.61,有研粉材,32.664,32.453,32.346500000000006
2025-05-07,33.99,34.19,33.3,33.66,12081.73,有研粉材,32.878,32.65,32.254000000000005
2025-05-08,33.26,34.31,33.26,34.07,11546.93,有研粉材,33.23199999999999,32.815999999999995,32.417
2025-05-09,34.34,34.34,33.25,33.28,12751.2,有研粉材,33.46,32.923,32.551
2025-05-12,33.71,34.52,33.38,34.05,11765.43,有研粉材,33.732,33.068,32.659499999999994
2025-05-13,34.63,34.79,33.66,33.68,10607.32,有研粉材,33.748000000000005,33.206,32.7485
2025-05-14,33.88,34.82,33.6,34.06,14077.86,有研粉材,33.828,33.352999999999994,32.8215
2025-05-15,34.16,34.25,33.51,33.66,9000.22,有研粉材,33.745999999999995,33.489,32.876
2025-05-16,33.66,34.14,33.51,33.59,9830.15,有研粉材,33.808,33.634,32.92
2025-05-19,33.47,34.8,33.25,34.42,19449.02,有研粉材,33.882,33.807,33.043
2025-05-20,34.26,35.25,34.06,35.2,22057.48,有研粉材,34.186,33.967,33.209999999999994
2025-05-21,35.2,35.39,34.83,35.0,16071.88,有研粉材,34.374,34.101,33.3755
2025-05-22,34.9,35.18,34.64,34.66,11141.85,有研粉材,34.574,34.160000000000004,33.488
2025-05-23,35.28,35.88,34.71,34.72,24147.54,有研粉材,34.8,34.303999999999995,33.6135
