date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-12-10,58.0,69.8,55.01,65.8,272033.4,百奥赛图,,,
2025-12-11,59.0,66.79,55.1,64.48,211496.08,百奥赛图,,,
2025-12-12,61.0,61.94,57.01,58.23,124296.2,百奥赛图,,,
2025-12-15,55.11,58.7,55.06,55.96,68029.74,百奥赛图,,,
2025-12-16,55.05,55.45,50.0,50.1,92142.54,百奥赛图,58.914,,
2025-12-17,49.6,50.95,48.06,50.25,63558.91,百奥赛图,55.803999999999995,,
2025-12-18,50.0,52.86,48.5,50.45,62319.39,百奥赛图,52.998000000000005,,
2025-12-19,50.5,51.65,49.55,50.07,39514.64,百奥赛图,51.36600000000001,,
2025-12-22,49.66,53.38,49.5,51.64,58638.32,百奥赛图,50.501999999999995,,
2025-12-23,51.57,51.97,50.8,50.86,34617.89,百奥赛图,50.654,54.784000000000006,
2025-12-24,50.93,54.0,50.75,52.6,57742.7,百奥赛图,51.124,53.464,
2025-12-25,52.7,52.95,51.3,51.8,35505.58,百奥赛图,51.39399999999999,52.19599999999999,
2025-12-26,51.4,51.78,49.78,50.91,38346.48,百奥赛图,51.562,51.464,
2025-12-29,50.81,52.79,50.48,51.85,36854.34,百奥赛图,51.604,51.053,
2025-12-30,51.2,52.88,51.06,51.28,29737.87,百奥赛图,51.688,51.17100000000001,
2025-12-31,51.3,53.96,50.5,52.6,41483.92,百奥赛图,51.688,51.406000000000006,
2026-01-05,52.7,56.96,52.66,55.05,63644.7,百奥赛图,52.338,51.866,
2026-01-06,55.0,56.54,54.33,54.8,30826.36,百奥赛图,53.116,52.339,
2026-01-07,54.81,57.3,54.81,55.76,38990.28,百奥赛图,53.898,52.751,
2026-01-08,55.7,57.37,55.02,56.17,36026.74,百奥赛图,54.876,53.282,54.033
2026-01-09,55.71,60.0,55.71,59.79,50366.98,百奥赛图,56.314,54.001,53.7325
2026-01-12,61.59,69.48,61.02,68.68,64376.16,百奥赛图,59.04,55.689,53.942499999999995
2026-01-13,68.96,73.3,65.81,69.81,59105.1,百奥赛图,62.04200000000001,57.57899999999999,54.5215
2026-01-14,67.67,74.29,67.67,69.91,45467.43,百奥赛图,64.872,59.385000000000005,55.218999999999994
2026-01-15,69.8,71.49,67.8,68.9,29965.14,百奥赛图,67.418,61.147000000000006,56.159000000000006
2026-01-16,68.11,69.83,66.3,68.55,28910.3,百奥赛图,69.16999999999999,62.742,57.074
2026-01-19,68.88,68.99,64.64,65.33,28826.05,百奥赛图,68.5,63.77,57.818000000000005
2026-01-20,65.25,65.9,61.88,63.22,32621.93,百奥赛图,67.182,64.612,58.4755
2026-01-21,63.3,67.27,63.3,65.26,26379.2,百奥赛图,66.252,65.562,59.156499999999994
2026-01-22,65.0,68.2,64.88,66.15,24598.16,百奥赛图,65.70200000000001,66.56,59.92100000000001
2026-01-23,66.0,70.88,65.68,69.88,32803.64,百奥赛图,65.968,67.56899999999999,60.785000000000004
2026-01-26,69.88,70.63,67.1,68.7,25655.02,百奥赛图,66.642,67.571,61.629999999999995
2026-01-27,67.67,71.5,67.55,70.86,28102.08,百奥赛图,68.17,67.67600000000002,62.6275
2026-01-28,69.99,70.67,65.85,68.9,36510.99,百奥赛图,68.898,67.575,63.48
2026-01-29,68.9,69.69,66.35,66.58,15810.92,百奥赛图,68.984,67.343,64.245
