date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-12-17,700.0,895.0,650.0,829.9,153670.27,沐曦股份-U,,,
2025-12-18,763.0,829.0,756.0,787.04,68398.25,沐曦股份-U,,,
2025-12-19,800.0,808.11,710.0,715.6,61475.31,沐曦股份-U,,,
2025-12-22,702.0,725.0,672.5,703.35,36844.77,沐曦股份-U,,,
2025-12-23,693.36,693.36,666.66,667.6,45454.7,沐曦股份-U,740.698,,
2025-12-24,660.3,666.5,617.98,620.66,46319.62,沐曦股份-U,698.85,,
2025-12-25,620.18,665.72,605.0,642.94,43279.57,沐曦股份-U,670.03,,
2025-12-26,628.01,635.99,612.05,619.7,27843.17,沐曦股份-U,650.85,,
2025-12-29,610.0,629.9,609.6,615.1,21035.91,沐曦股份-U,633.2,,
2025-12-30,610.0,622.07,605.11,608.92,21127.03,沐曦股份-U,621.4639999999999,681.081,
2025-12-31,610.07,610.07,580.0,580.1,27541.16,沐曦股份-U,613.3520000000001,656.101,
2026-01-05,579.49,605.79,566.2,605.78,30968.51,沐曦股份-U,605.92,637.975,
2026-01-06,600.0,614.66,592.0,594.21,24390.41,沐曦股份-U,600.822,625.836,
2026-01-07,590.01,614.0,590.01,603.96,21357.92,沐曦股份-U,598.594,615.8969999999999,
2026-01-08,601.12,655.0,600.01,642.55,39323.42,沐曦股份-U,605.32,613.392,
2026-01-09,628.0,636.0,617.78,634.81,23581.43,沐曦股份-U,616.262,614.807,
2026-01-12,631.88,632.89,615.5,621.73,20888.77,沐曦股份-U,619.452,612.6859999999999,
2026-01-13,623.8,644.88,612.76,621.0,22160.65,沐曦股份-U,624.8100000000001,612.816,
2026-01-14,619.93,619.93,610.0,613.6,18223.19,沐曦股份-U,626.738,612.6659999999999,
2026-01-15,610.0,613.07,588.0,597.33,17442.08,沐曦股份-U,617.6940000000001,611.507,646.2940000000001
2026-01-16,597.4,605.88,597.4,601.8,12235.5,沐曦股份-U,611.092,613.677,634.889
2026-01-19,602.1,603.99,595.01,595.66,8877.74,沐曦股份-U,605.878,612.665,625.3199999999999
2026-01-20,596.02,599.5,587.35,590.0,9914.99,沐曦股份-U,599.6780000000001,612.244,619.04
2026-01-21,585.37,607.17,584.0,601.3,12919.19,沐曦股份-U,597.218,611.978,613.9375
2026-01-22,601.35,612.25,595.0,597.64,10558.29,沐曦股份-U,597.28,607.487,610.4395000000001
2026-01-23,594.68,594.68,586.58,587.43,11426.94,沐曦股份-U,594.406,602.749,608.778
2026-01-26,589.9,589.9,570.05,571.2,10504.85,沐曦股份-U,589.5139999999999,597.696,605.191
2026-01-27,570.89,574.77,558.58,572.18,10823.91,沐曦股份-U,585.95,592.8140000000001,602.8149999999999
2026-01-28,576.0,583.17,573.0,577.2,10769.44,沐曦股份-U,581.13,589.174,600.9200000000001
