date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,34.85,35.2,34.81,35.0,44464.81,丽珠集团,35.0,35.0,35.0
2025-03-25,35.04,35.44,34.88,35.43,47799.3,丽珠集团,35.22,35.22,35.22
2025-03-26,35.38,35.5,35.07,35.09,45294.14,丽珠集团,35.17,35.17,35.17
2025-03-27,35.2,35.6,35.12,35.44,78016.06,丽珠集团,35.24,35.24,35.24
2025-03-28,35.4,36.48,35.34,36.04,121705.31,丽珠集团,35.4,35.4,35.4
2025-03-31,35.88,36.38,35.39,35.48,61540.88,丽珠集团,35.5,35.41,35.41
2025-04-01,35.5,36.59,35.33,36.42,104822.11,丽珠集团,35.69,35.56,35.56
2025-04-02,36.24,36.48,36.07,36.19,54729.08,丽珠集团,35.91,35.64,35.64
2025-04-03,36.01,36.38,35.89,36.19,45661.06,丽珠集团,36.06,35.7,35.7
2025-04-07,35.0,35.44,32.94,33.8,116218.08,丽珠集团,35.62,35.51,35.51
2025-04-08,33.9,34.73,33.71,34.13,86395.59,丽珠集团,35.35,35.42,35.38
2025-04-09,33.7,34.23,33.2,34.12,69654.52,丽珠集团,34.89,35.29,35.28
2025-04-10,34.35,34.66,34.11,34.45,56438.25,丽珠集团,34.54,35.23,35.21
2025-04-11,34.29,34.61,34.17,34.18,39994.0,丽珠集团,34.14,35.1,35.14
2025-04-14,34.37,34.63,34.14,34.56,40564.21,丽珠集团,34.29,34.95,35.1
2025-04-15,34.39,34.64,34.2,34.6,28533.94,丽珠集团,34.38,34.86,35.07
2025-04-16,34.46,34.65,34.21,34.57,30812.85,丽珠集团,34.47,34.68,35.04
2025-04-17,34.42,34.64,34.35,34.44,20843.3,丽珠集团,34.47,34.5,35.01
2025-04-18,34.45,34.69,34.27,34.35,23764.94,丽珠集团,34.5,34.32,34.97
2025-04-21,34.25,34.5,34.08,34.41,25316.83,丽珠集团,34.47,34.38,34.94
2025-04-22,34.46,34.88,34.34,34.8,49877.21,丽珠集团,34.51,34.45,34.93
