date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,2.88,2.89,2.74,2.8,2208588.21,供销大集,2.8,2.8,2.8
2025-03-25,2.8,2.81,2.75,2.76,1464383.05,供销大集,2.78,2.78,2.78
2025-03-26,2.76,2.78,2.73,2.77,1406703.97,供销大集,2.78,2.78,2.78
2025-03-27,2.75,2.79,2.72,2.76,1428623.15,供销大集,2.77,2.77,2.77
2025-03-28,2.75,2.75,2.68,2.68,1698317.57,供销大集,2.75,2.75,2.75
2025-03-31,2.65,2.68,2.61,2.67,1853362.87,供销大集,2.73,2.74,2.74
2025-04-01,2.68,2.71,2.64,2.65,1597117.92,供销大集,2.71,2.73,2.73
2025-04-02,2.65,2.72,2.64,2.67,1290234.05,供销大集,2.69,2.72,2.72
2025-04-03,2.66,2.8,2.65,2.77,3192800.89,供销大集,2.69,2.73,2.73
2025-04-07,2.68,2.9,2.49,2.59,5821719.03,供销大集,2.67,2.71,2.71
2025-04-08,2.58,2.85,2.54,2.85,5833895.72,供销大集,2.71,2.72,2.72
2025-04-09,2.9,3.02,2.78,2.97,10526389.45,供销大集,2.77,2.74,2.74
2025-04-10,2.9,3.18,2.84,3.04,10661226.57,供销大集,2.84,2.76,2.77
2025-04-11,2.98,3.0,2.9,2.91,6519648.02,供销大集,2.87,2.78,2.78
2025-04-14,2.92,3.06,2.88,2.98,6107702.98,供销大集,2.95,2.81,2.79
2025-04-15,2.95,2.98,2.86,2.89,4478406.93,供销大集,2.96,2.83,2.8
2025-04-16,2.89,2.93,2.8,2.83,3345524.13,供销大集,2.93,2.85,2.8
2025-04-17,2.84,2.88,2.82,2.82,2792225.57,供销大集,2.89,2.86,2.8
2025-04-18,2.81,2.81,2.72,2.77,3356896.24,供销大集,2.86,2.86,2.8
2025-04-21,2.76,2.79,2.74,2.78,2445241.52,供销大集,2.82,2.88,2.8
2025-04-22,2.76,2.98,2.76,2.87,6081211.51,供销大集,2.81,2.89,2.8
2025-04-23,2.82,2.84,2.76,2.77,3863461.1,供销大集,2.8,2.87,2.8
2025-04-24,2.76,2.77,2.7,2.71,2543308.21,供销大集,2.78,2.83,2.8
2025-04-25,2.71,2.76,2.68,2.72,1713714.2,供销大集,2.77,2.81,2.8
