date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,4.72,4.75,4.46,4.55,172026.0,青岛双星,4.55,4.55,4.55
2025-03-25,4.53,4.57,4.43,4.45,136515.17,青岛双星,4.5,4.5,4.5
2025-03-26,4.45,4.63,4.43,4.62,162677.13,青岛双星,4.54,4.54,4.54
2025-03-27,4.59,4.66,4.5,4.5,138666.91,青岛双星,4.53,4.53,4.53
2025-03-28,4.5,4.59,4.41,4.45,155393.02,青岛双星,4.51,4.51,4.51
2025-03-31,4.43,4.44,4.23,4.28,134278.0,青岛双星,4.46,4.48,4.48
2025-04-01,4.29,4.43,4.29,4.35,95131.0,青岛双星,4.44,4.46,4.46
2025-04-02,4.36,4.43,4.31,4.36,82297.83,青岛双星,4.39,4.44,4.44
2025-04-03,4.36,4.8,4.31,4.8,280791.39,青岛双星,4.45,4.48,4.48
2025-04-07,5.0,5.28,4.68,4.74,1214954.81,青岛双星,4.51,4.51,4.51
2025-04-08,4.37,5.15,4.37,5.0,1047350.21,青岛双星,4.65,4.56,4.55
2025-04-09,4.74,4.95,4.5,4.82,933671.99,青岛双星,4.74,4.59,4.58
2025-04-10,4.83,5.05,4.8,4.82,727440.86,青岛双星,4.84,4.61,4.6
2025-04-11,4.78,4.97,4.71,4.71,495114.33,青岛双星,4.82,4.63,4.6
2025-04-14,4.75,4.85,4.72,4.78,391740.4,青岛双星,4.83,4.67,4.62
2025-04-15,4.77,4.82,4.6,4.66,277192.5,青岛双星,4.76,4.7,4.62
2025-04-16,4.68,4.71,4.37,4.48,336963.0,青岛双星,4.69,4.72,4.61
2025-04-17,4.44,4.54,4.41,4.46,171599.0,青岛双星,4.62,4.73,4.6
2025-04-18,4.46,4.47,4.38,4.45,142321.95,青岛双星,4.57,4.69,4.59
2025-04-21,4.45,4.52,4.43,4.47,137700.29,青岛双星,4.5,4.66,4.59
2025-04-22,4.46,4.61,4.46,4.55,201265.0,青岛双星,4.48,4.62,4.59
2025-04-23,4.55,4.64,4.53,4.53,143852.95,青岛双星,4.49,4.59,4.59
2025-04-24,4.52,4.54,4.38,4.39,171810.77,青岛双星,4.48,4.55,4.58
2025-04-25,4.59,4.83,4.56,4.63,495668.94,青岛双星,4.51,4.54,4.59
2025-04-28,4.7,4.71,4.51,4.51,275243.0,青岛双星,4.52,4.51,4.59
2025-04-29,4.49,4.51,4.41,4.43,185329.77,青岛双星,4.5,4.49,4.6
2025-04-30,4.42,4.64,4.42,4.49,209488.22,青岛双星,4.49,4.49,4.6
2025-05-06,4.5,4.59,4.5,4.58,162053.0,青岛双星,4.53,4.5,4.62
2025-05-07,4.61,4.65,4.58,4.62,169846.09,青岛双星,4.53,4.52,4.61
2025-05-08,4.6,4.76,4.58,4.76,234279.31,青岛双星,4.58,4.55,4.61
2025-05-09,4.76,4.8,4.71,4.79,196033.1,青岛双星,4.65,4.57,4.6
2025-05-12,4.81,4.97,4.81,4.88,239654.01,青岛双星,4.73,4.61,4.6
2025-05-13,4.89,4.93,4.77,4.8,177016.1,青岛双星,4.77,4.65,4.6
2025-05-14,4.8,4.83,4.74,4.81,132478.0,青岛双星,4.81,4.67,4.6
2025-05-15,4.82,4.82,4.73,4.78,87108.66,青岛双星,4.81,4.69,4.6
2025-05-16,4.75,4.85,4.75,4.85,128682.09,青岛双星,4.82,4.74,4.61
2025-05-19,4.7,4.84,4.62,4.83,292468.14,青岛双星,4.81,4.77,4.63
2025-05-20,4.86,5.14,4.86,4.98,461623.0,青岛双星,4.85,4.81,4.66
2025-05-21,4.94,4.97,4.82,4.9,262120.0,青岛双星,4.87,4.84,4.68
2025-05-22,4.86,4.89,4.79,4.79,152629.63,青岛双星,4.87,4.84,4.7
2025-05-23,4.79,4.89,4.75,4.77,156363.0,青岛双星,4.85,4.84,4.71
2025-05-26,4.75,4.86,4.74,4.81,132734.51,青岛双星,4.85,4.83,4.72
2025-05-27,4.8,4.9,4.75,4.89,146834.51,青岛双星,4.83,4.84,4.74
2025-05-28,4.89,4.92,4.79,4.81,116292.0,青岛双星,4.81,4.84,4.75
2025-05-29,4.8,4.92,4.79,4.89,144769.0,青岛双星,4.83,4.85,4.77
2025-05-30,4.87,4.9,4.73,4.74,151107.01,青岛双星,4.83,4.84,4.79
2025-06-03,4.71,5.21,4.71,5.21,507975.26,青岛双星,4.91,4.88,4.82
2025-06-04,5.4,5.56,5.13,5.19,1009895.82,青岛双星,4.97,4.9,4.85
2025-06-05,5.19,5.25,5.06,5.1,516169.0,青岛双星,5.03,4.92,4.88
2025-06-06,5.09,5.61,5.03,5.61,858730.79,青岛双星,5.17,5.0,4.92
2025-06-09,5.56,6.09,5.41,5.7,1217208.67,青岛双星,5.36,5.1,4.97
2025-06-10,5.61,6.07,5.56,5.8,984194.36,青岛双星,5.48,5.19,5.01
2025-06-11,5.68,5.72,5.49,5.5,641904.3,青岛双星,5.54,5.26,5.05
2025-06-12,5.46,5.5,5.35,5.47,414879.03,青岛双星,5.62,5.32,5.08
2025-06-13,5.45,5.45,5.1,5.13,472227.0,青岛双星,5.52,5.35,5.1
2025-06-16,5.15,5.19,5.06,5.08,274072.72,青岛双星,5.4,5.38,5.11
2025-06-17,5.11,5.13,4.96,5.02,296390.04,青岛双星,5.24,5.36,5.12
2025-06-18,5.02,5.05,4.92,4.96,209420.37,青岛双星,5.13,5.34,5.12
2025-06-19,4.96,5.14,4.91,4.96,342899.31,青岛双星,5.03,5.32,5.12
2025-06-20,4.92,5.04,4.88,4.98,201966.67,青岛双星,5.0,5.26,5.13
2025-06-23,4.93,5.07,4.91,5.04,158403.21,青岛双星,4.99,5.19,5.14
2025-06-24,5.04,5.08,5.01,5.06,206174.6,青岛双星,5.0,5.12,5.16
2025-06-25,5.04,5.08,5.01,5.06,180350.51,青岛双星,5.02,5.08,5.17
2025-06-26,5.04,5.42,5.04,5.21,421278.82,青岛双星,5.07,5.05,5.19
2025-06-27,5.22,5.39,5.18,5.35,355460.0,青岛双星,5.14,5.07,5.21
2025-06-30,5.35,5.35,5.25,5.3,195283.01,青岛双星,5.2,5.09,5.24
2025-07-01,5.3,5.31,5.12,5.16,296639.93,青岛双星,5.22,5.11,5.23
2025-07-02,5.08,5.16,5.0,5.12,232161.35,青岛双星,5.23,5.12,5.23
2025-07-03,5.11,5.13,5.05,5.06,157556.0,青岛双星,5.2,5.13,5.23
2025-07-04,5.05,5.12,5.0,5.01,163748.0,青岛双星,5.13,5.14,5.2
2025-07-07,4.99,5.09,4.97,5.06,115353.0,青岛双星,5.08,5.14,5.17
2025-07-08,5.09,5.18,5.06,5.1,161966.16,青岛双星,5.07,5.14,5.13
2025-07-09,5.1,5.1,5.03,5.03,138390.0,青岛双星,5.05,5.14,5.11
2025-07-10,5.03,5.06,5.01,5.06,103877.01,青岛双星,5.05,5.12,5.09
2025-07-11,5.06,5.11,5.04,5.08,121400.11,青岛双星,5.07,5.1,5.08
2025-07-14,5.08,5.15,5.05,5.08,107715.11,青岛双星,5.07,5.08,5.08
2025-07-15,5.05,5.05,4.91,4.94,189295.17,青岛双星,5.04,5.05,5.08
2025-07-16,4.95,5.0,4.92,4.98,91925.93,青岛双星,5.03,5.04,5.08
2025-07-17,4.98,5.04,4.94,4.99,132757.11,青岛双星,5.01,5.03,5.08
2025-07-18,4.99,5.03,4.96,4.99,97035.01,青岛双星,5.0,5.03,5.08
2025-07-21,5.01,5.11,5.0,5.1,159459.03,青岛双星,5.0,5.04,5.09
2025-07-22,5.1,5.15,5.04,5.14,187275.61,青岛双星,5.04,5.04,5.09
2025-07-23,5.12,5.27,5.06,5.11,270540.01,青岛双星,5.07,5.05,5.09
2025-07-24,5.11,5.16,5.1,5.13,154582.01,青岛双星,5.09,5.05,5.09
2025-07-25,5.12,5.17,5.07,5.17,170281.05,青岛双星,5.13,5.06,5.08
2025-07-28,5.17,5.17,5.08,5.1,143383.01,青岛双星,5.13,5.06,5.07
2025-07-29,5.09,5.1,5.0,5.03,138185.53,青岛双星,5.11,5.07,5.06
2025-07-30,5.02,5.08,5.01,5.06,119960.1,青岛双星,5.1,5.08,5.06
2025-07-31,5.05,5.08,4.92,4.94,154300.3,青岛双星,5.06,5.08,5.06
2025-08-01,4.93,4.99,4.93,4.95,95413.94,青岛双星,5.02,5.07,5.05
2025-08-04,4.93,5.0,4.91,5.0,72713.28,青岛双星,5.0,5.06,5.05
2025-08-05,5.0,5.09,4.99,5.08,114834.01,青岛双星,5.01,5.06,5.05
2025-08-06,5.09,5.11,5.03,5.06,100722.0,青岛双星,5.01,5.05,5.05
2025-08-07,5.07,5.19,5.06,5.09,149564.0,青岛双星,5.04,5.05,5.05
2025-08-08,5.08,5.1,5.0,5.1,123153.87,青岛双星,5.07,5.04,5.05
2025-08-11,5.09,5.17,5.09,5.13,154844.0,青岛双星,5.09,5.04,5.05
2025-08-12,5.13,5.17,5.11,5.15,143156.53,青岛双星,5.11,5.06,5.06
2025-08-13,5.16,5.18,5.12,5.16,142007.94,青岛双星,5.13,5.07,5.07
2025-08-14,5.17,5.2,4.97,4.97,268883.07,青岛双星,5.1,5.07,5.07
2025-08-15,4.97,5.02,4.97,5.02,128185.0,青岛双星,5.09,5.08,5.07
2025-08-18,5.03,5.12,5.02,5.05,189720.0,青岛双星,5.07,5.08,5.07
2025-08-19,5.03,5.08,5.0,5.05,122714.01,青岛双星,5.05,5.08,5.07
2025-08-20,5.04,5.15,5.02,5.15,234950.22,青岛双星,5.05,5.09,5.07
2025-08-21,5.12,5.21,5.11,5.14,160998.51,青岛双星,5.08,5.09,5.07
2025-08-22,5.13,5.15,5.08,5.13,159019.0,青岛双星,5.1,5.1,5.07
2025-08-25,5.13,5.15,5.07,5.11,145193.64,青岛双星,5.12,5.09,5.07
2025-08-26,5.08,5.18,5.08,5.16,200704.02,青岛双星,5.14,5.09,5.08
2025-08-27,5.16,5.16,4.99,5.0,228700.84,青岛双星,5.11,5.08,5.07
