date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,5.67,5.71,5.62,5.7,251805.79,博源化工,5.7,5.7,5.7
2025-03-25,5.69,5.85,5.67,5.85,618142.36,博源化工,5.78,5.78,5.78
2025-03-26,5.83,5.93,5.81,5.83,501477.49,博源化工,5.79,5.79,5.79
2025-03-27,5.81,5.87,5.77,5.79,313239.43,博源化工,5.79,5.79,5.79
2025-03-28,5.79,5.81,5.55,5.57,679178.13,博源化工,5.75,5.75,5.75
2025-03-31,5.55,5.59,5.42,5.46,431402.74,博源化工,5.7,5.7,5.7
2025-04-01,5.49,5.58,5.45,5.57,310780.91,博源化工,5.64,5.68,5.68
2025-04-02,5.56,5.61,5.51,5.56,203945.42,博源化工,5.59,5.67,5.67
2025-04-03,5.52,5.58,5.48,5.53,248094.72,博源化工,5.54,5.65,5.65
2025-04-07,5.35,5.35,4.98,5.01,809301.56,博源化工,5.43,5.59,5.59
2025-04-08,5.02,5.26,5.02,5.16,666373.5,博源化工,5.37,5.53,5.55
2025-04-09,5.1,5.1,4.97,5.07,528463.09,博源化工,5.27,5.46,5.51
2025-04-10,5.15,5.17,5.1,5.13,432736.01,博源化工,5.18,5.38,5.48
2025-04-11,5.1,5.16,5.08,5.11,300467.22,博源化工,5.1,5.32,5.45
2025-04-14,5.14,5.18,5.11,5.14,332642.06,博源化工,5.12,5.27,5.43
2025-04-15,5.15,5.16,5.07,5.08,316481.41,博源化工,5.11,5.24,5.41
2025-04-16,5.08,5.08,4.98,5.03,426659.79,博源化工,5.1,5.18,5.39
2025-04-17,5.01,5.12,5.0,5.09,331780.0,博源化工,5.09,5.14,5.37
2025-04-18,5.1,5.11,5.05,5.06,157944.51,博源化工,5.08,5.09,5.35
2025-04-21,5.07,5.09,5.04,5.08,194994.35,博源化工,5.07,5.1,5.34
2025-04-22,5.07,5.11,5.05,5.06,296717.34,博源化工,5.06,5.08,5.31
2025-04-23,5.09,5.18,5.06,5.15,384120.57,博源化工,5.09,5.09,5.27
2025-04-24,5.14,5.14,5.07,5.09,292772.3,博源化工,5.09,5.09,5.24
2025-04-25,5.1,5.28,5.1,5.21,625746.45,博源化工,5.12,5.1,5.21
2025-04-28,5.22,5.24,5.12,5.16,360864.89,博源化工,5.13,5.1,5.19
2025-04-29,5.14,5.17,5.08,5.13,338551.72,博源化工,5.15,5.11,5.17
2025-04-30,5.12,5.15,5.11,5.13,232265.36,博源化工,5.14,5.12,5.15
2025-05-06,5.15,5.16,5.09,5.14,306139.98,博源化工,5.15,5.12,5.13
2025-05-07,5.17,5.21,5.14,5.19,344288.13,博源化工,5.15,5.13,5.11
2025-05-08,5.17,5.18,5.13,5.16,213754.89,博源化工,5.15,5.14,5.12
2025-05-09,5.17,5.17,5.13,5.14,183166.26,博源化工,5.15,5.15,5.12
2025-05-12,5.15,5.18,5.13,5.18,234007.56,博源化工,5.16,5.15,5.12
2025-05-13,5.2,5.21,5.16,5.18,293734.3,博源化工,5.17,5.16,5.13
2025-05-14,5.18,5.25,5.16,5.25,366217.75,博源化工,5.18,5.17,5.13
2025-05-15,5.24,5.29,5.18,5.18,356296.39,博源化工,5.19,5.17,5.13
2025-05-16,5.18,5.19,5.15,5.16,226697.31,博源化工,5.19,5.17,5.14
2025-05-19,5.14,5.16,5.12,5.14,283604.9,博源化工,5.18,5.17,5.14
2025-05-20,5.13,5.14,5.09,5.12,359111.75,博源化工,5.17,5.17,5.15
2025-05-21,5.12,5.18,5.11,5.12,379712.38,博源化工,5.14,5.16,5.15
2025-05-22,5.12,5.13,5.06,5.07,370255.0,博源化工,5.12,5.15,5.15
2025-05-23,5.07,5.11,5.06,5.06,260195.07,博源化工,5.1,5.15,5.15
2025-05-26,5.06,5.07,5.0,5.02,236999.19,博源化工,5.08,5.13,5.14
2025-05-27,5.02,5.03,5.0,5.01,204688.72,博源化工,5.06,5.11,5.14
2025-05-28,5.01,5.03,5.0,5.01,141369.0,博源化工,5.03,5.09,5.13
2025-05-29,5.02,5.06,5.0,5.05,208171.73,博源化工,5.03,5.08,5.12
2025-05-30,5.04,5.06,5.02,5.03,171162.11,博源化工,5.02,5.06,5.12
2025-06-03,5.03,5.05,5.01,5.04,155057.2,博源化工,5.03,5.05,5.11
2025-06-04,5.05,5.14,5.04,5.12,312717.36,博源化工,5.05,5.05,5.11
2025-06-05,5.12,5.17,5.1,5.11,312558.82,博源化工,5.07,5.05,5.11
2025-06-06,5.12,5.13,5.09,5.09,134957.2,博源化工,5.08,5.05,5.1
2025-06-09,5.11,5.11,5.07,5.09,209001.72,博源化工,5.09,5.06,5.1
2025-06-10,5.13,5.14,5.07,5.11,287764.6,博源化工,5.1,5.07,5.1
2025-06-11,5.1,5.17,5.1,5.13,266853.62,博源化工,5.11,5.08,5.1
2025-06-12,5.14,5.15,5.08,5.09,293613.0,博源化工,5.1,5.09,5.09
2025-06-13,5.08,5.15,5.08,5.13,357764.06,博源化工,5.11,5.09,5.08
2025-06-16,5.15,5.18,5.12,5.16,492940.22,博源化工,5.12,5.11,5.08
2025-06-17,4.87,4.89,4.81,4.87,445207.23,博源化工,5.08,5.09,5.07
2025-06-18,4.88,4.94,4.84,4.84,330728.84,博源化工,5.02,5.06,5.06
2025-06-19,4.84,4.84,4.75,4.76,288010.12,博源化工,4.95,5.03,5.04
2025-06-20,4.76,4.8,4.73,4.74,194037.5,博源化工,4.87,4.99,5.02
2025-06-23,4.73,4.77,4.72,4.75,147617.5,博源化工,4.79,4.96,5.01
2025-06-24,4.75,4.79,4.73,4.78,232489.47,博源化工,4.77,4.92,5.0
2025-06-25,4.78,4.79,4.73,4.78,298214.49,博源化工,4.76,4.89,4.98
2025-06-26,4.78,4.79,4.76,4.77,215395.02,博源化工,4.76,4.86,4.97
2025-06-27,4.79,4.88,4.79,4.83,455563.53,博源化工,4.78,4.83,4.96
2025-06-30,4.83,4.85,4.75,4.79,338606.59,博源化工,4.79,4.79,4.95
2025-07-01,4.77,4.78,4.75,4.77,164678.65,博源化工,4.79,4.78,4.94
2025-07-02,4.77,4.89,4.75,4.88,512731.34,博源化工,4.81,4.78,4.92
2025-07-03,4.85,4.85,4.81,4.83,233481.41,博源化工,4.82,4.79,4.91
2025-07-04,4.85,4.86,4.81,4.81,214160.0,博源化工,4.82,4.8,4.9
2025-07-07,4.82,4.83,4.79,4.83,171534.53,博源化工,4.82,4.81,4.88
2025-07-08,4.83,4.92,4.82,4.9,495200.3,博源化工,4.85,4.82,4.87
2025-07-09,4.91,4.97,4.89,4.9,443303.5,博源化工,4.85,4.83,4.86
2025-07-10,4.92,5.1,4.91,5.09,719823.72,博源化工,4.91,4.86,4.86
2025-07-11,5.09,5.11,5.04,5.06,420743.85,博源化工,4.96,4.89,4.86
2025-07-14,5.05,5.06,4.99,5.01,309160.97,博源化工,4.99,4.91,4.85
2025-07-15,5.04,5.05,4.97,4.99,290805.21,博源化工,5.01,4.93,4.86
2025-07-16,4.98,5.0,4.92,4.94,322240.33,博源化工,5.02,4.94,4.86
2025-07-17,4.94,4.97,4.92,4.95,225546.8,博源化工,4.99,4.95,4.87
2025-07-18,4.96,4.99,4.93,4.97,341375.84,博源化工,4.97,4.96,4.88
2025-07-21,5.19,5.47,5.19,5.47,2202987.16,博源化工,5.06,5.03,4.92
2025-07-22,5.47,5.71,5.38,5.7,1994667.84,博源化工,5.21,5.11,4.96
2025-07-23,5.66,5.77,5.5,5.54,1295801.61,博源化工,5.33,5.17,5.0
2025-07-24,5.51,5.78,5.43,5.76,1355708.02,博源化工,5.49,5.24,5.05
2025-07-25,5.83,6.24,5.82,6.0,2702510.61,博源化工,5.69,5.33,5.11
2025-07-28,5.81,6.03,5.7,5.93,1726399.11,博源化工,5.79,5.42,5.17
2025-07-29,5.9,6.09,5.72,6.07,1405880.24,博源化工,5.86,5.53,5.23
2025-07-30,6.12,6.22,6.01,6.09,1251141.98,博源化工,5.97,5.65,5.29
2025-07-31,5.97,6.09,5.72,5.77,1550719.75,博源化工,5.97,5.73,5.34
2025-08-01,5.74,5.82,5.69,5.74,761762.62,博源化工,5.92,5.81,5.39
2025-08-04,5.67,5.71,5.6,5.69,647474.98,博源化工,5.87,5.83,5.43
2025-08-05,5.7,5.8,5.66,5.73,469697.69,博源化工,5.8,5.83,5.47
2025-08-06,5.7,5.79,5.65,5.73,428327.0,博源化工,5.73,5.85,5.51
2025-08-07,5.7,5.74,5.57,5.62,576670.45,博源化工,5.7,5.84,5.54
2025-08-08,5.86,5.93,5.74,5.79,1004513.12,博源化工,5.71,5.82,5.57
2025-08-11,5.81,5.84,5.7,5.8,762793.11,博源化工,5.73,5.8,5.61
2025-08-12,5.79,5.94,5.69,5.9,812821.27,博源化工,5.77,5.79,5.66
2025-08-13,5.86,5.9,5.8,5.82,564097.85,博源化工,5.79,5.76,5.7
2025-08-14,5.82,5.82,5.69,5.7,599140.38,博源化工,5.8,5.75,5.74
2025-08-15,5.68,6.03,5.66,5.92,883523.4,博源化工,5.83,5.77,5.79
2025-08-18,5.97,6.03,5.81,5.89,797216.6,博源化工,5.85,5.79,5.81
2025-08-19,5.89,5.91,5.74,5.76,604920.43,博源化工,5.82,5.79,5.81
2025-08-20,5.72,5.85,5.69,5.79,464668.43,博源化工,5.81,5.8,5.82
2025-08-21,5.79,6.22,5.78,6.1,1786006.83,博源化工,5.89,5.85,5.84
2025-08-22,6.1,6.13,5.97,6.07,808750.58,博源化工,5.92,5.88,5.85
2025-08-25,6.12,6.34,6.07,6.23,903743.26,博源化工,5.99,5.92,5.86
2025-08-26,6.23,6.62,6.15,6.53,1229979.17,博源化工,6.14,5.98,5.88
2025-08-27,6.49,6.71,6.39,6.41,1052536.02,博源化工,6.27,6.04,5.9
2025-08-28,6.37,6.52,6.29,6.43,692782.13,博源化工,6.33,6.11,5.93
2025-08-29,6.43,6.71,6.41,6.69,996643.02,博源化工,6.46,6.19,5.98
2025-09-01,6.69,6.78,6.57,6.63,620433.29,博源化工,6.54,6.26,6.03
2025-09-02,6.65,6.66,6.36,6.41,618107.56,博源化工,6.51,6.33,6.06
2025-09-03,6.42,6.47,6.26,6.32,549010.15,博源化工,6.5,6.38,6.09
2025-09-04,6.3,6.35,6.16,6.32,592716.47,博源化工,6.47,6.4,6.13
2025-09-05,6.31,6.5,6.25,6.47,521481.92,博源化工,6.43,6.44,6.16
2025-09-08,6.44,6.62,6.43,6.6,565166.91,博源化工,6.42,6.48,6.2
2025-09-09,6.56,6.65,6.47,6.53,426530.73,博源化工,6.45,6.48,6.23
2025-09-10,6.5,6.52,6.28,6.35,612296.84,博源化工,6.45,6.48,6.26
2025-09-11,6.35,6.52,6.28,6.51,519686.08,博源化工,6.49,6.48,6.3
2025-09-12,6.49,6.51,6.34,6.42,321135.38,博源化工,6.48,6.46,6.32
2025-09-15,6.41,6.43,6.29,6.36,332445.28,博源化工,6.43,6.43,6.35
2025-09-16,6.53,6.6,6.28,6.38,569856.0,博源化工,6.4,6.43,6.38
2025-09-17,6.35,6.35,6.22,6.3,393410.46,博源化工,6.39,6.42,6.4
2025-09-18,6.3,6.3,5.93,6.02,686275.12,博源化工,6.3,6.39,6.4
2025-09-19,6.04,6.2,6.04,6.12,376082.98,博源化工,6.24,6.36,6.4
2025-09-22,6.12,6.14,5.98,6.07,273617.13,博源化工,6.18,6.31,6.39
2025-09-23,6.05,6.06,5.93,6.02,280901.1,博源化工,6.11,6.26,6.37
2025-09-24,6.0,6.28,5.97,6.25,509355.91,博源化工,6.1,6.24,6.36
2025-09-25,6.25,6.39,6.19,6.25,369836.83,博源化工,6.14,6.22,6.35
2025-09-26,6.2,6.34,6.19,6.25,428672.98,博源化工,6.17,6.2,6.33
2025-09-29,6.25,6.32,6.08,6.28,485874.6,博源化工,6.21,6.19,6.31
2025-09-30,6.29,6.39,6.19,6.35,517184.6,博源化工,6.28,6.19,6.31
2025-10-09,6.39,6.45,6.22,6.41,524862.56,博源化工,6.31,6.2,6.31
2025-10-10,6.36,6.5,6.34,6.42,446897.74,博源化工,6.34,6.24,6.32
2025-10-13,6.3,6.36,6.2,6.31,486148.83,博源化工,6.35,6.26,6.31
2025-10-14,6.31,6.37,6.03,6.07,576179.84,博源化工,6.31,6.26,6.28
2025-10-15,6.13,6.22,6.03,6.11,478172.8,博源化工,6.26,6.27,6.26
