date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,12.2,12.46,12.18,12.46,275768.52,鲁西化工,12.46,12.46,12.46
2025-03-25,12.43,12.74,12.35,12.68,410437.22,鲁西化工,12.57,12.57,12.57
2025-03-26,12.57,12.78,12.48,12.51,329698.9,鲁西化工,12.55,12.55,12.55
2025-03-27,12.51,12.74,12.45,12.54,315478.41,鲁西化工,12.55,12.55,12.55
2025-03-28,12.47,12.49,12.08,12.12,341027.6,鲁西化工,12.46,12.46,12.46
2025-03-31,12.09,12.18,11.91,12.06,216932.85,鲁西化工,12.38,12.4,12.4
2025-04-01,12.07,12.17,12.05,12.15,158009.0,鲁西化工,12.28,12.36,12.36
2025-04-02,12.18,12.24,12.05,12.13,111739.89,鲁西化工,12.2,12.33,12.33
2025-04-03,12.01,12.15,11.94,12.13,157761.0,鲁西化工,12.12,12.31,12.31
2025-04-07,11.36,11.57,10.92,10.92,338500.98,鲁西化工,11.88,12.17,12.17
2025-04-08,10.99,11.2,10.9,11.14,278352.88,鲁西化工,11.69,12.04,12.08
2025-04-09,11.03,11.17,10.76,11.16,254491.71,鲁西化工,11.5,11.89,12.0
2025-04-10,11.29,11.52,11.23,11.27,248480.83,鲁西化工,11.32,11.76,11.94
2025-04-11,11.2,11.27,11.11,11.19,144304.02,鲁西化工,11.14,11.63,11.89
2025-04-14,11.28,11.33,11.23,11.31,173615.2,鲁西化工,11.21,11.55,11.85
2025-04-15,11.3,11.3,11.17,11.23,111872.01,鲁西化工,11.23,11.46,11.81
2025-04-16,11.2,11.22,10.96,11.04,160055.0,鲁西化工,11.21,11.35,11.77
2025-04-17,10.98,11.22,10.97,11.15,126666.0,鲁西化工,11.18,11.25,11.73
2025-04-18,11.15,11.16,11.06,11.1,83031.0,鲁西化工,11.17,11.15,11.7
2025-04-21,11.11,11.15,11.04,11.13,151616.0,鲁西化工,11.13,11.17,11.67
2025-04-22,11.12,11.33,11.1,11.28,175018.7,鲁西化工,11.14,11.19,11.61
2025-04-23,11.3,11.46,11.26,11.38,144388.21,鲁西化工,11.21,11.21,11.55
