date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,8.21,8.56,8.18,8.39,90193.52,罗莱生活,8.39,8.39,8.39
2025-03-25,8.38,8.41,8.22,8.3,36831.74,罗莱生活,8.35,8.35,8.35
2025-03-26,8.27,8.33,8.2,8.26,26481.9,罗莱生活,8.32,8.32,8.32
2025-03-27,8.26,8.38,8.19,8.31,36333.98,罗莱生活,8.32,8.32,8.32
2025-03-28,8.26,8.31,8.19,8.2,27035.51,罗莱生活,8.29,8.29,8.29
2025-03-31,8.19,8.23,7.93,8.1,46132.78,罗莱生活,8.23,8.26,8.26
2025-04-01,8.14,8.27,8.13,8.21,34099.13,罗莱生活,8.22,8.25,8.25
2025-04-02,8.35,8.46,8.23,8.44,49414.1,罗莱生活,8.25,8.28,8.28
2025-04-03,8.3,8.41,8.23,8.36,36278.83,罗莱生活,8.26,8.29,8.29
2025-04-07,8.0,8.2,7.53,7.68,85670.2,罗莱生活,8.16,8.22,8.22
2025-04-08,7.7,8.05,7.69,7.97,82054.25,罗莱生活,8.13,8.18,8.2
2025-04-09,7.92,8.1,7.63,8.01,57403.7,罗莱生活,8.09,8.15,8.19
2025-04-10,8.03,8.13,7.98,8.07,34703.93,罗莱生活,8.02,8.14,8.18
2025-04-11,7.99,8.12,7.93,8.0,37923.9,罗莱生活,7.95,8.1,8.16
2025-04-14,8.02,8.39,8.01,8.32,48165.8,罗莱生活,8.07,8.12,8.17
2025-04-15,8.35,8.63,8.27,8.53,74718.66,罗莱生活,8.19,8.16,8.2
2025-04-16,8.51,8.54,8.31,8.42,35062.8,罗莱生活,8.27,8.18,8.21
2025-04-17,8.39,8.49,8.31,8.45,29253.74,罗莱生活,8.34,8.18,8.22
2025-04-18,8.44,8.48,8.28,8.3,31703.4,罗莱生活,8.4,8.18,8.23
2025-04-21,8.3,8.32,8.15,8.31,39259.54,罗莱生活,8.4,8.24,8.23
2025-04-22,8.31,8.58,8.22,8.55,62771.8,罗莱生活,8.41,8.3,8.24
2025-04-23,8.56,8.61,8.35,8.39,53800.67,罗莱生活,8.4,8.33,8.24
2025-04-24,8.36,8.46,8.28,8.37,39560.5,罗莱生活,8.38,8.36,8.25
2025-04-25,8.78,9.21,8.78,8.97,341867.26,罗莱生活,8.52,8.46,8.28
2025-04-28,8.88,9.45,8.81,9.32,335839.77,罗莱生活,8.72,8.56,8.34
2025-04-29,9.18,9.43,8.96,9.22,168308.1,罗莱生活,8.85,8.63,8.39
2025-04-30,9.23,9.29,9.01,9.03,82925.8,罗莱生活,8.98,8.69,8.44
2025-05-06,9.03,9.19,8.93,9.09,123765.01,罗莱生活,9.13,8.76,8.47
2025-05-07,9.14,9.2,8.88,8.99,86985.38,罗莱生活,9.13,8.82,8.5
2025-05-08,8.96,9.13,8.9,9.11,93065.13,罗莱生活,9.09,8.9,8.57
2025-05-09,9.09,9.28,9.05,9.16,63981.47,罗莱生活,9.08,8.96,8.63
2025-05-12,9.18,9.3,9.08,9.18,60378.4,罗莱生活,9.11,9.04,8.69
2025-05-13,9.1,9.28,8.91,9.18,84060.6,罗莱生活,9.12,9.12,8.74
2025-05-14,9.18,9.18,8.92,9.0,69839.55,罗莱生活,9.13,9.13,8.79
2025-05-15,8.95,9.05,8.91,9.03,59055.78,罗莱生活,9.11,9.1,8.83
2025-05-16,8.94,9.35,8.94,9.23,78788.0,罗莱生活,9.12,9.1,8.86
2025-05-19,9.3,9.74,9.3,9.65,154321.8,罗莱生活,9.22,9.16,8.93
2025-05-20,9.65,9.96,9.56,9.73,179865.9,罗莱生活,9.33,9.23,8.99
2025-05-21,9.7,9.82,9.57,9.78,88079.92,罗莱生活,9.48,9.3,9.06
2025-05-22,9.76,9.86,9.63,9.71,75742.99,罗莱生活,9.62,9.36,9.13
2025-05-23,9.7,9.77,9.5,9.62,91855.75,罗莱生活,9.7,9.41,9.19
2025-05-26,9.26,9.28,8.98,9.13,80322.82,罗莱生活,9.59,9.41,9.22
2025-05-27,9.12,9.36,9.01,9.29,90904.6,罗莱生活,9.51,9.42,9.27
2025-05-28,9.29,9.42,9.19,9.4,69467.87,罗莱生活,9.43,9.46,9.29
2025-05-29,9.37,9.37,9.06,9.1,98833.38,罗莱生活,9.31,9.46,9.28
2025-05-30,9.1,9.28,9.07,9.13,50643.5,罗莱生活,9.21,9.45,9.28
2025-06-03,9.08,9.4,9.0,9.4,95917.1,罗莱生活,9.26,9.43,9.3
2025-06-04,9.36,9.51,9.22,9.45,76828.95,罗莱生活,9.3,9.4,9.31
2025-06-05,9.5,9.52,9.13,9.14,72812.82,罗莱生活,9.24,9.34,9.32
2025-06-06,9.16,9.19,8.83,8.87,108893.0,罗莱生活,9.2,9.25,9.31
2025-06-09,8.86,9.29,8.85,9.27,105881.26,罗莱生活,9.23,9.22,9.31
2025-06-10,9.22,9.26,9.0,9.07,58659.43,罗莱生活,9.16,9.21,9.31
2025-06-11,9.07,9.11,8.82,8.95,65623.91,罗莱生活,9.06,9.18,9.3
2025-06-12,8.94,9.05,8.88,8.98,37435.16,罗莱生活,9.03,9.14,9.3
2025-06-13,8.98,9.0,8.7,8.84,56997.49,罗莱生活,9.02,9.11,9.29
2025-06-16,8.8,8.94,8.72,8.89,50409.26,罗莱生活,8.95,9.09,9.27
2025-06-17,8.89,8.94,8.73,8.81,34931.83,罗莱生活,8.89,9.03,9.23
2025-06-18,8.79,8.88,8.76,8.85,29910.29,罗莱生活,8.87,8.97,9.18
2025-06-19,8.85,8.9,8.63,8.67,34067.11,罗莱生活,8.81,8.92,9.13
2025-06-20,8.67,8.8,8.63,8.74,27999.2,罗莱生活,8.79,8.91,9.08
2025-06-23,8.74,8.74,8.56,8.66,41871.96,罗莱生活,8.75,8.85,9.03
2025-06-24,8.7,8.75,8.59,8.73,60658.1,罗莱生活,8.73,8.81,9.01
