date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,2.45,2.46,2.27,2.33,493385.0,南山控股,2.33,2.33,2.33
2025-03-25,2.32,2.32,2.26,2.29,279705.59,南山控股,2.31,2.31,2.31
2025-03-26,2.3,2.35,2.28,2.34,292516.44,南山控股,2.32,2.32,2.32
2025-03-27,2.33,2.34,2.28,2.31,205607.75,南山控股,2.32,2.32,2.32
2025-03-28,2.31,2.32,2.26,2.28,194692.14,南山控股,2.31,2.31,2.31
2025-03-31,2.28,2.29,2.22,2.23,203516.44,南山控股,2.29,2.3,2.3
2025-04-01,2.23,2.26,2.23,2.24,166194.35,南山控股,2.28,2.29,2.29
2025-04-02,2.25,2.26,2.23,2.24,112835.7,南山控股,2.26,2.28,2.28
2025-04-03,2.23,2.3,2.21,2.28,200127.2,南山控股,2.25,2.28,2.28
2025-04-07,2.21,2.21,2.05,2.05,302118.01,南山控股,2.21,2.26,2.26
2025-04-08,2.0,2.09,2.0,2.06,292195.22,南山控股,2.17,2.23,2.24
2025-04-09,2.04,2.16,1.96,2.15,322567.01,南山控股,2.16,2.22,2.23
2025-04-10,2.15,2.26,2.13,2.21,356502.91,南山控股,2.15,2.2,2.23
2025-04-11,2.21,2.24,2.18,2.21,231734.0,南山控股,2.14,2.19,2.23
2025-04-14,2.23,2.25,2.2,2.22,170756.0,南山控股,2.17,2.19,2.23
2025-04-15,2.21,2.23,2.17,2.19,150688.29,南山控股,2.2,2.18,2.23
2025-04-16,2.19,2.21,2.14,2.18,169134.69,南山控股,2.2,2.18,2.22
2025-04-17,2.17,2.26,2.15,2.22,243223.85,南山控股,2.2,2.18,2.22
2025-04-18,2.22,2.3,2.21,2.29,211509.0,南山控股,2.22,2.18,2.23
2025-04-21,2.28,2.32,2.24,2.31,215196.5,南山控股,2.24,2.2,2.23
2025-04-22,2.3,2.36,2.29,2.35,237625.0,南山控股,2.27,2.23,2.23
2025-04-23,2.35,2.37,2.28,2.3,211634.23,南山控股,2.29,2.25,2.23
2025-04-24,2.31,2.34,2.26,2.29,167486.0,南山控股,2.31,2.26,2.23
2025-04-25,2.29,2.37,2.28,2.3,299232.94,南山控股,2.31,2.26,2.23
2025-04-28,2.5,2.53,2.37,2.44,1025196.23,南山控股,2.34,2.29,2.24
2025-04-29,2.36,2.53,2.36,2.45,664121.73,南山控股,2.36,2.31,2.25
2025-04-30,2.44,2.64,2.43,2.57,831767.47,南山控股,2.41,2.35,2.27
2025-05-06,2.56,2.56,2.47,2.54,576296.43,南山控股,2.46,2.38,2.28
2025-05-07,2.57,2.62,2.52,2.53,576210.6,南山控股,2.51,2.41,2.29
2025-05-08,2.52,2.56,2.5,2.53,396757.82,南山控股,2.52,2.43,2.32
2025-05-09,2.53,2.55,2.48,2.49,264004.48,南山控股,2.53,2.44,2.34
