date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,14.3,14.35,13.71,14.01,74663.0,理工能科,14.01,14.01,14.01
2025-03-25,14.06,14.14,13.8,13.9,38306.3,理工能科,13.96,13.96,13.96
2025-03-26,13.89,13.93,13.78,13.83,40438.0,理工能科,13.91,13.91,13.91
2025-03-27,13.78,13.92,13.57,13.78,36285.75,理工能科,13.88,13.88,13.88
2025-03-28,13.76,13.85,13.65,13.71,32016.39,理工能科,13.85,13.85,13.85
2025-03-31,13.68,13.71,13.34,13.55,49821.0,理工能科,13.75,13.8,13.8
2025-04-01,13.62,13.82,13.57,13.64,39484.0,理工能科,13.7,13.77,13.77
2025-04-02,13.64,13.9,13.58,13.81,34920.0,理工能科,13.7,13.78,13.78
2025-04-03,13.71,13.83,13.49,13.58,37930.0,理工能科,13.66,13.76,13.76
2025-04-07,12.91,12.92,12.22,12.22,56944.0,理工能科,13.36,13.6,13.6
2025-04-08,11.95,12.45,11.51,11.76,96842.9,理工能科,13.0,13.38,13.44
2025-04-09,11.58,12.25,11.15,12.15,76018.32,理工能科,12.7,13.2,13.33
2025-04-10,12.45,12.73,12.38,12.4,97904.85,理工能科,12.42,13.06,13.26
2025-04-11,12.27,12.5,12.21,12.36,43786.95,理工能科,12.18,12.92,13.19
2025-04-14,12.48,12.57,12.42,12.49,42890.0,理工能科,12.23,12.8,13.15
2025-04-15,12.52,13.18,12.35,13.09,75925.99,理工能科,12.5,12.75,13.14
2025-04-16,12.91,12.91,12.56,12.72,70472.99,理工能科,12.61,12.66,13.12
2025-04-17,12.73,12.78,12.63,12.68,40099.0,理工能科,12.67,12.54,13.09
2025-04-18,12.65,12.74,12.59,12.69,22146.94,理工能科,12.73,12.46,13.07
2025-04-21,12.73,12.86,12.66,12.84,29309.04,理工能科,12.8,12.52,13.06
2025-04-22,12.84,12.89,12.76,12.8,24736.04,理工能科,12.75,12.62,13.0
2025-04-23,12.85,12.96,12.82,12.91,30375.0,理工能科,12.78,12.7,12.95
2025-04-24,12.9,12.97,12.75,12.79,26037.0,理工能科,12.81,12.74,12.9
2025-04-25,12.79,12.98,12.77,12.9,27892.1,理工能科,12.85,12.79,12.85
2025-04-28,12.43,12.43,11.91,12.06,85672.55,理工能科,12.69,12.75,12.77
2025-04-29,12.07,12.2,11.99,12.16,31596.0,理工能科,12.56,12.66,12.7
2025-04-30,12.15,12.4,12.13,12.26,54323.0,理工能科,12.43,12.61,12.63
2025-05-06,12.26,12.97,12.26,12.86,80893.0,理工能科,12.45,12.63,12.59
2025-05-07,13.02,13.05,12.67,12.78,34955.0,理工能科,12.42,12.64,12.55
2025-05-08,12.69,12.92,12.69,12.9,22233.95,理工能科,12.59,12.64,12.58
2025-05-09,12.92,12.93,12.71,12.78,26336.0,理工能科,12.72,12.64,12.63
2025-05-12,12.86,12.94,12.74,12.78,44197.99,理工能科,12.82,12.63,12.66
2025-05-13,12.89,12.89,12.69,12.76,26618.75,理工能科,12.8,12.62,12.68
2025-05-14,12.76,12.79,12.59,12.68,31084.0,理工能科,12.78,12.6,12.7
2025-05-15,12.64,12.65,12.43,12.44,25396.0,理工能科,12.69,12.64,12.69
2025-05-16,12.39,12.67,12.38,12.48,20094.75,理工能科,12.63,12.67,12.66
2025-05-19,12.47,12.62,12.45,12.56,17252.75,理工能科,12.58,12.7,12.66
2025-05-20,12.56,12.61,12.48,12.59,20625.76,理工能科,12.55,12.68,12.65
2025-05-21,12.64,12.64,12.48,12.56,17417.0,理工能科,12.53,12.65,12.64
2025-05-22,12.55,12.64,12.38,12.4,30921.0,理工能科,12.52,12.6,12.62
2025-05-23,12.49,12.53,12.25,12.26,28073.0,理工能科,12.47,12.55,12.6
2025-05-26,12.22,12.42,12.2,12.37,23537.02,理工能科,12.44,12.51,12.57
2025-05-27,12.36,12.38,12.23,12.28,21995.0,理工能科,12.37,12.46,12.54
2025-05-28,12.28,12.41,12.27,12.35,17635.0,理工能科,12.33,12.43,12.52
2025-05-29,12.35,12.64,12.34,12.64,34632.0,理工能科,12.38,12.45,12.54
2025-05-30,12.44,12.45,12.04,12.05,41022.0,理工能科,12.34,12.41,12.54
2025-06-03,12.01,12.11,11.95,12.01,38624.02,理工能科,12.27,12.35,12.53
2025-06-04,12.02,12.16,12.02,12.11,30085.26,理工能科,12.23,12.3,12.49
2025-06-05,12.16,12.24,12.05,12.23,27104.0,理工能科,12.21,12.27,12.46
2025-06-06,12.22,12.25,12.16,12.2,16434.0,理工能科,12.12,12.25,12.43
2025-06-09,12.27,12.32,12.22,12.29,28136.01,理工能科,12.17,12.25,12.4
2025-06-10,12.3,12.36,12.16,12.27,37814.0,理工能科,12.22,12.24,12.38
2025-06-11,12.27,12.37,12.21,12.25,34203.48,理工能科,12.25,12.24,12.35
2025-06-12,12.25,12.27,12.08,12.14,36119.0,理工能科,12.23,12.22,12.32
2025-06-13,12.13,12.13,11.89,11.92,31721.05,理工能科,12.17,12.15,12.3
2025-06-16,11.92,12.02,11.9,11.93,36370.0,理工能科,12.1,12.14,12.27
2025-06-17,11.96,11.98,11.85,11.89,27389.0,理工能科,12.03,12.12,12.24
2025-06-18,11.84,11.92,11.82,11.92,14980.0,理工能科,11.96,12.1,12.2
2025-06-19,11.98,11.98,11.73,11.75,23769.0,理工能科,11.88,12.06,12.16
2025-06-20,11.79,11.88,11.68,11.69,18835.99,理工能科,11.84,12.0,12.13
2025-06-23,11.65,11.8,11.58,11.77,23716.57,理工能科,11.8,11.95,12.1
2025-06-24,11.77,11.98,11.76,11.95,27940.02,理工能科,11.82,11.92,12.08
2025-06-25,11.94,12.02,11.88,12.02,27993.02,理工能科,11.84,11.9,12.07
2025-06-26,12.02,12.06,11.97,12.02,26655.0,理工能科,11.89,11.89,12.05
2025-06-27,12.01,12.08,11.99,12.05,24322.0,理工能科,11.96,11.9,12.02
2025-06-30,12.14,12.15,12.05,12.1,24737.0,理工能科,12.03,11.92,12.03
2025-07-01,12.12,12.13,12.0,12.11,32789.0,理工能科,12.06,11.94,12.03
2025-07-02,12.1,12.1,11.99,12.08,22619.0,理工能科,12.07,11.95,12.03
2025-07-03,12.08,12.54,12.04,12.43,79085.0,理工能科,12.15,12.02,12.04
2025-07-04,12.43,12.43,12.27,12.31,41278.0,理工能科,12.21,12.08,12.04
2025-07-07,12.29,12.47,12.25,12.44,32743.06,理工能科,12.27,12.15,12.05
2025-07-08,12.4,12.54,12.4,12.5,30742.04,理工能科,12.35,12.21,12.06
2025-07-09,12.47,12.57,12.47,12.5,29063.1,理工能科,12.44,12.25,12.08
2025-07-10,12.47,12.54,12.42,12.51,30856.06,理工能科,12.45,12.3,12.09
2025-07-11,12.51,12.58,12.45,12.55,38111.04,理工能科,12.5,12.35,12.13
2025-07-14,12.53,12.64,12.52,12.62,30340.04,理工能科,12.54,12.4,12.16
2025-07-15,12.62,12.67,12.46,12.55,33543.0,理工能科,12.55,12.45,12.19
2025-07-16,12.55,12.66,12.5,12.58,23943.0,理工能科,12.56,12.5,12.23
2025-07-17,12.56,12.61,12.53,12.57,23434.0,理工能科,12.57,12.51,12.27
2025-07-18,12.57,12.64,12.47,12.53,32408.0,理工能科,12.57,12.54,12.31
2025-07-21,12.55,12.83,12.51,12.81,63675.42,理工能科,12.61,12.57,12.36
2025-07-22,12.82,12.82,12.64,12.75,43482.39,理工能科,12.65,12.6,12.4
2025-07-23,13.01,13.47,12.86,12.89,114256.0,理工能科,12.71,12.64,12.44
2025-07-24,12.87,12.91,12.8,12.85,54668.0,理工能科,12.77,12.67,12.49
2025-07-25,12.9,12.93,12.85,12.88,40791.83,理工能科,12.84,12.7,12.53
2025-07-28,12.94,12.98,12.8,12.84,47371.39,理工能科,12.84,12.72,12.56
2025-07-29,12.81,12.83,12.7,12.79,31505.94,理工能科,12.85,12.75,12.6
2025-07-30,12.79,12.81,12.65,12.72,29282.0,理工能科,12.82,12.76,12.63
2025-07-31,12.73,12.77,12.5,12.52,43241.0,理工能科,12.75,12.76,12.64
2025-08-01,12.54,12.6,12.41,12.52,60344.0,理工能科,12.68,12.76,12.65
2025-08-04,12.47,12.65,12.45,12.64,27965.0,理工能科,12.64,12.74,12.66
2025-08-05,12.64,12.71,12.63,12.67,33037.0,理工能科,12.61,12.73,12.66
2025-08-06,12.66,12.76,12.6,12.75,34065.6,理工能科,12.62,12.72,12.68
2025-08-07,12.75,12.81,12.7,12.75,29460.87,理工能科,12.67,12.71,12.69
2025-08-08,12.73,12.76,12.65,12.72,26524.87,理工能科,12.71,12.69,12.7
2025-08-11,12.78,12.83,12.74,12.83,29973.0,理工能科,12.74,12.69,12.71
2025-08-12,12.8,12.87,12.75,12.82,31969.08,理工能科,12.77,12.69,12.72
2025-08-13,12.86,12.88,12.79,12.84,34525.18,理工能科,12.79,12.71,12.73
2025-08-14,12.85,12.89,12.55,12.56,55834.0,理工能科,12.75,12.71,12.73
2025-08-15,12.56,12.73,12.56,12.69,45947.18,理工能科,12.75,12.73,12.74
2025-08-18,12.71,12.85,12.71,12.83,53021.89,理工能科,12.75,12.75,12.74
2025-08-19,12.83,12.93,12.77,12.93,44607.0,理工能科,12.77,12.77,12.75
2025-08-20,12.9,13.07,12.86,13.07,53991.0,理工能科,12.82,12.8,12.76
2025-08-21,13.09,13.18,13.03,13.18,63667.11,理工能科,12.94,12.85,12.78
2025-08-22,13.68,14.45,13.49,14.03,283173.71,理工能科,13.21,12.98,12.84
2025-08-25,14.07,14.23,13.6,13.72,216011.0,理工能科,13.39,13.07,12.88
2025-08-26,13.7,13.84,13.63,13.82,103807.0,理工能科,13.56,13.17,12.93
2025-08-27,13.85,13.92,13.45,13.46,110885.06,理工能科,13.64,13.23,12.97
2025-08-28,13.42,13.59,13.05,13.4,97605.0,理工能科,13.69,13.31,13.01
2025-08-29,13.33,13.53,13.27,13.46,72062.0,理工能科,13.57,13.39,13.06
2025-09-01,13.52,13.55,13.29,13.32,56756.0,理工能科,13.49,13.44,13.09
2025-09-02,13.33,13.33,13.01,13.2,71287.0,理工能科,13.37,13.47,13.12
2025-09-03,13.22,13.28,12.96,12.96,45829.0,理工能科,13.27,13.46,13.13
2025-09-04,12.98,13.16,12.94,13.05,55838.0,理工能科,13.2,13.44,13.14
2025-09-05,13.13,13.23,13.01,13.23,44073.0,理工能科,13.15,13.36,13.17
2025-09-08,13.26,13.47,13.2,13.45,50859.0,理工能科,13.18,13.34,13.2
2025-09-09,13.49,13.49,13.17,13.24,39628.0,理工能科,13.19,13.28,13.22
2025-09-10,13.25,13.32,13.16,13.19,34625.23,理工能科,13.23,13.25,13.24
2025-09-11,13.21,13.35,13.07,13.33,43560.0,理工能科,13.29,13.24,13.28
2025-09-12,13.34,13.4,13.24,13.25,40600.95,理工能科,13.29,13.22,13.31
2025-09-15,13.27,13.29,13.11,13.14,37985.0,理工能科,13.23,13.2,13.32
2025-09-16,13.22,13.29,13.15,13.27,40800.0,理工能科,13.24,13.21,13.34
2025-09-17,13.26,13.33,13.22,13.32,52845.01,理工能科,13.26,13.25,13.35
2025-09-18,13.3,13.31,12.99,13.07,60310.0,理工能科,13.21,13.25,13.35
2025-09-19,13.08,13.16,13.03,13.1,31174.0,理工能科,13.18,13.24,13.3
2025-09-22,13.12,13.15,12.93,13.03,34158.77,理工能科,13.16,13.19,13.26
2025-09-23,12.84,12.88,12.33,12.58,43898.0,理工能科,13.02,13.13,13.2
2025-09-24,12.6,12.83,12.51,12.81,43449.0,理工能科,12.92,13.09,13.17
2025-09-25,12.77,12.86,12.66,12.71,30400.0,理工能科,12.85,13.03,13.14
2025-09-26,12.66,12.71,12.5,12.51,40367.11,理工能科,12.73,12.95,13.09
2025-09-29,12.51,12.56,12.31,12.5,37798.7,理工能科,12.62,12.89,13.05
2025-09-30,12.5,12.68,12.48,12.61,33211.5,理工能科,12.63,12.82,13.02
2025-10-09,12.65,12.83,12.61,12.8,39229.0,理工能科,12.63,12.77,13.01
2025-10-10,12.8,13.0,12.76,12.94,67731.01,理工能科,12.67,12.76,13.0
2025-10-13,12.58,12.91,12.42,12.88,57669.42,理工能科,12.75,12.74,12.99
2025-10-14,12.94,12.98,12.65,12.7,46654.0,理工能科,12.79,12.7,12.95
2025-10-15,12.71,13.06,12.66,13.06,70357.46,理工能科,12.88,12.75,12.94
2025-10-16,13.05,13.05,12.88,12.93,44183.95,理工能科,12.9,12.76,12.93
2025-10-17,12.87,12.93,12.51,12.52,57807.0,理工能科,12.82,12.74,12.89
2025-10-20,12.63,12.78,12.6,12.74,33585.0,理工能科,12.79,12.77,12.86
2025-10-21,12.77,12.97,12.71,12.95,44335.0,理工能科,12.84,12.81,12.85
2025-10-22,12.95,12.95,12.82,12.83,31117.0,理工能科,12.79,12.84,12.83
2025-10-23,12.83,13.04,12.73,13.03,53600.0,理工能科,12.81,12.86,12.82
2025-10-24,12.83,12.83,12.54,12.65,137442.6,理工能科,12.84,12.83,12.79
2025-10-27,12.62,12.69,12.58,12.64,55044.51,理工能科,12.82,12.81,12.77
2025-10-28,12.62,12.69,12.55,12.6,39145.0,理工能科,12.75,12.8,12.75
2025-10-29,12.61,12.62,12.5,12.62,36048.02,理工能科,12.71,12.75,12.75
2025-10-30,12.56,12.61,12.4,12.44,47058.0,理工能科,12.59,12.7,12.73
2025-10-31,12.4,12.6,12.4,12.59,29353.0,理工能科,12.58,12.71,12.73
2025-11-03,12.56,12.62,12.52,12.6,27614.99,理工能科,12.57,12.7,12.73
2025-11-04,12.59,12.67,12.51,12.61,39433.04,理工能科,12.57,12.66,12.74
2025-11-05,12.52,12.87,12.5,12.84,73044.0,理工能科,12.62,12.66,12.75
2025-11-06,12.88,12.91,12.8,12.83,43790.0,理工能科,12.69,12.64,12.75
2025-11-07,12.78,12.86,12.77,12.85,38606.0,理工能科,12.75,12.66,12.75
2025-11-10,12.86,12.87,12.75,12.82,35251.61,理工能科,12.79,12.68,12.74
2025-11-11,12.77,12.98,12.77,12.92,56658.63,理工能科,12.85,12.71,12.75
2025-11-12,12.9,12.97,12.75,12.84,35832.0,理工能科,12.85,12.73,12.74
2025-11-13,12.83,12.85,12.71,12.8,32876.0,理工能科,12.85,12.77,12.74
2025-11-14,12.73,12.93,12.68,12.81,39042.0,理工能科,12.84,12.79,12.75
2025-11-17,12.82,12.83,12.63,12.71,36478.59,理工能科,12.82,12.8,12.75
2025-11-18,12.66,12.78,12.65,12.75,32953.59,理工能科,12.78,12.82,12.74
2025-11-19,12.75,12.75,12.45,12.47,44672.0,理工能科,12.71,12.78,12.72
2025-11-20,12.57,12.58,12.28,12.48,35068.0,理工能科,12.64,12.74,12.69
2025-11-21,12.39,12.44,12.0,12.01,48956.0,理工能科,12.48,12.66,12.66
2025-11-24,12.07,12.4,12.02,12.3,39487.98,理工能科,12.4,12.61,12.64
