date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,13.0,13.15,12.61,12.86,607357.41,兴森科技,12.86,12.86,12.86
2025-03-25,12.88,12.9,12.4,12.44,455153.31,兴森科技,12.65,12.65,12.65
2025-03-26,12.5,12.71,12.42,12.57,316981.0,兴森科技,12.62,12.62,12.62
2025-03-27,12.56,13.13,12.51,12.74,641018.18,兴森科技,12.65,12.65,12.65
2025-03-28,12.65,12.7,12.32,12.32,420724.0,兴森科技,12.59,12.59,12.59
2025-03-31,12.2,12.31,11.92,12.23,454265.18,兴森科技,12.46,12.53,12.53
2025-04-01,12.35,12.43,12.11,12.31,350139.26,兴森科技,12.43,12.5,12.5
2025-04-02,12.27,12.44,12.24,12.27,209739.83,兴森科技,12.37,12.47,12.47
2025-04-03,12.11,12.34,11.88,11.93,354451.13,兴森科技,12.21,12.41,12.41
2025-04-07,11.0,11.3,10.74,10.74,419115.0,兴森科技,11.9,12.24,12.24
2025-04-08,10.5,10.71,9.8,10.13,827854.0,兴森科技,11.48,11.97,12.05
2025-04-09,9.85,10.64,9.26,10.53,728827.77,兴森科技,11.12,11.78,11.92
2025-04-10,10.88,10.98,10.53,10.54,586976.17,兴森科技,10.77,11.57,11.82
2025-04-11,10.44,11.06,10.37,10.85,540737.13,兴森科技,10.56,11.38,11.75
2025-04-14,11.05,11.69,10.91,11.29,730452.9,兴森科技,10.67,11.28,11.72
2025-04-15,11.12,11.27,10.88,10.96,423455.45,兴森科技,10.83,11.16,11.67
2025-04-16,11.35,11.54,10.87,10.98,472979.54,兴森科技,10.92,11.02,11.63
2025-04-17,10.88,11.34,10.85,10.96,357594.51,兴森科技,11.01,10.89,11.59
2025-04-18,11.04,11.05,10.8,10.9,240941.43,兴森科技,11.02,10.79,11.56
2025-04-21,10.86,10.99,10.81,10.95,276039.56,兴森科技,10.95,10.81,11.52
2025-04-22,11.17,11.46,11.06,11.16,531078.74,兴森科技,10.99,10.91,11.44
2025-04-23,11.17,11.35,11.08,11.14,437506.6,兴森科技,11.02,10.97,11.38
2025-04-24,11.08,11.1,10.7,10.72,465151.72,兴森科技,10.97,10.99,11.28
2025-04-25,10.98,11.69,10.85,11.37,948900.51,兴森科技,11.07,11.04,11.21
2025-04-28,11.38,11.66,11.33,11.4,524871.12,兴森科技,11.16,11.05,11.17
2025-04-29,11.37,11.57,11.31,11.38,420477.5,兴森科技,11.2,11.1,11.13
2025-04-30,11.42,12.52,11.36,12.52,1170914.1,兴森科技,11.48,11.25,11.14
2025-05-06,12.78,13.17,12.52,12.92,1337532.32,兴森科技,11.92,11.45,11.17
2025-05-07,12.99,13.15,12.79,13.06,1123644.8,兴森科技,12.26,11.66,11.22
2025-05-08,12.96,13.01,12.76,12.91,806221.84,兴森科技,12.56,11.86,11.33
2025-05-09,12.83,12.93,12.6,12.69,585100.32,兴森科技,12.82,12.01,11.46
2025-05-12,12.8,12.87,12.61,12.75,523034.24,兴森科技,12.87,12.17,11.57
2025-05-13,12.8,12.89,12.53,12.61,745281.13,兴森科技,12.8,12.36,11.68
2025-05-14,12.91,12.99,12.54,12.72,673685.28,兴森科技,12.74,12.5,11.77
2025-05-15,12.61,12.68,12.09,12.11,728390.56,兴森科技,12.58,12.57,11.81
2025-05-16,12.07,12.44,12.07,12.27,433323.76,兴森科技,12.49,12.66,11.88
2025-05-19,12.27,12.38,12.1,12.33,335996.0,兴森科技,12.41,12.64,11.94
2025-05-20,12.34,12.34,12.1,12.23,306306.17,兴森科技,12.33,12.57,12.01
2025-05-21,12.19,12.26,12.03,12.21,331039.0,兴森科技,12.23,12.48,12.07
2025-05-22,12.2,12.28,11.98,12.01,326287.45,兴森科技,12.21,12.39,12.13
2025-05-23,11.99,12.08,11.77,11.8,362800.95,兴森科技,12.12,12.3,12.16
2025-05-26,11.76,11.93,11.75,11.9,258923.0,兴森科技,12.03,12.22,12.2
2025-05-27,11.8,11.92,11.6,11.7,310062.99,兴森科技,11.92,12.13,12.24
2025-05-28,11.76,11.78,11.52,11.58,270042.0,兴森科技,11.8,12.01,12.26
2025-05-29,11.6,11.92,11.6,11.85,354429.15,兴森科技,11.77,11.99,12.28
2025-05-30,11.77,11.77,11.4,11.5,348900.0,兴森科技,11.71,11.91,12.28
2025-06-03,11.41,11.49,11.33,11.39,224553.83,兴森科技,11.6,11.82,12.23
2025-06-04,11.39,11.65,11.39,11.51,249990.34,兴森科技,11.57,11.74,12.16
2025-06-05,11.44,12.06,11.44,11.93,641781.86,兴森科技,11.64,11.72,12.1
2025-06-06,11.86,12.13,11.78,12.03,534723.04,兴森科技,11.67,11.72,12.06
2025-06-09,12.04,12.12,11.98,12.02,305413.57,兴森科技,11.78,11.74,12.02
2025-06-10,12.04,12.07,11.6,11.76,500694.63,兴森科技,11.85,11.73,11.97
2025-06-11,11.8,11.95,11.73,11.73,275592.99,兴森科技,11.89,11.73,11.93
2025-06-12,11.79,11.88,11.68,11.7,310963.5,兴森科技,11.85,11.74,11.88
2025-06-13,11.59,11.72,11.25,11.26,455898.03,兴森科技,11.69,11.68,11.84
