date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,5.98,6.04,5.72,5.84,214963.4,海联金汇,5.84,5.84,5.84
2025-03-25,5.84,5.92,5.78,5.83,111087.0,海联金汇,5.84,5.84,5.84
2025-03-26,5.81,5.96,5.8,5.92,122312.0,海联金汇,5.86,5.86,5.86
2025-03-27,5.9,5.93,5.8,5.85,97887.0,海联金汇,5.86,5.86,5.86
2025-03-28,5.83,5.94,5.75,5.79,140659.84,海联金汇,5.85,5.85,5.85
2025-03-31,5.77,5.79,5.6,5.67,126321.0,海联金汇,5.81,5.82,5.82
2025-04-01,5.65,5.76,5.65,5.68,88223.65,海联金汇,5.78,5.8,5.8
2025-04-02,5.69,5.77,5.65,5.72,80470.6,海联金汇,5.74,5.79,5.79
2025-04-03,5.65,5.98,5.65,5.81,249827.49,海联金汇,5.73,5.79,5.79
2025-04-07,5.52,5.6,5.23,5.23,212434.0,海联金汇,5.62,5.73,5.73
2025-04-08,5.15,5.28,5.04,5.18,279760.0,海联金汇,5.52,5.67,5.68
2025-04-09,5.08,5.5,4.87,5.45,366524.73,海联金汇,5.48,5.63,5.66
2025-04-10,5.55,6.0,5.52,6.0,537387.79,海联金汇,5.53,5.64,5.69
2025-04-11,6.3,6.6,6.2,6.6,1195200.74,海联金汇,5.69,5.71,5.76
2025-04-14,6.63,6.93,6.43,6.52,1690962.21,海联金汇,5.95,5.79,5.81
2025-04-15,6.59,6.64,6.3,6.36,909831.72,海联金汇,6.19,5.86,5.84
2025-04-16,6.44,6.62,6.23,6.53,991241.9,海联金汇,6.4,5.94,5.88
2025-04-17,6.4,6.49,6.18,6.2,827220.2,海联金汇,6.44,5.99,5.9
2025-04-18,6.11,6.45,6.1,6.12,787235.04,海联金汇,6.35,6.02,5.91
2025-04-21,6.1,6.73,5.96,6.73,725991.19,海联金汇,6.39,6.17,5.95
2025-04-22,7.4,7.4,7.4,7.4,188574.5,海联金汇,6.6,6.39,6.03
2025-04-23,8.14,8.14,8.14,8.14,134572.4,海联金汇,6.92,6.66,6.14
2025-04-24,8.69,8.95,8.55,8.95,4375550.64,海联金汇,7.47,6.96,6.3
2025-04-25,9.54,9.74,8.7,8.97,4010205.67,海联金汇,8.04,7.19,6.45
2025-04-28,8.87,9.06,8.07,8.07,3256596.11,海联金汇,8.31,7.35,6.57
2025-04-29,7.67,7.77,7.26,7.26,2738974.47,海联金汇,8.28,7.44,6.65
2025-04-30,7.26,7.35,6.93,6.95,2027361.7,海联金汇,8.04,7.48,6.71
2025-05-06,6.96,7.29,6.96,7.22,1698314.4,海联金汇,7.69,7.58,6.78
2025-05-07,7.33,7.41,6.99,7.07,1578630.55,海联金汇,7.31,7.68,6.85
2025-05-08,7.05,7.3,7.03,7.24,1303218.6,海联金汇,7.15,7.73,6.95
2025-05-09,7.24,7.25,6.9,7.08,1365317.55,海联金汇,7.11,7.7,7.04
2025-05-12,7.07,7.17,6.92,7.01,959280.33,海联金汇,7.12,7.58,7.12
2025-05-13,7.05,7.3,6.96,7.06,1666327.76,海联金汇,7.09,7.39,7.17
2025-05-14,6.99,7.7,6.86,7.48,2392771.92,海联金汇,7.17,7.24,7.22
2025-05-15,7.31,7.35,7.07,7.07,1522031.6,海联金汇,7.14,7.14,7.25
2025-05-16,7.03,7.18,6.96,7.06,865652.86,海联金汇,7.14,7.12,7.28
2025-05-19,7.1,7.2,6.96,7.17,827284.17,海联金汇,7.17,7.15,7.31
2025-05-20,7.23,7.24,7.03,7.09,765114.82,海联金汇,7.17,7.13,7.36
2025-05-21,7.04,7.1,6.93,6.96,729843.24,海联金汇,7.07,7.12,7.4
2025-05-22,6.9,7.09,6.83,6.85,668431.0,海联金汇,7.03,7.08,7.41
2025-05-23,6.8,6.82,6.54,6.57,914288.0,海联金汇,6.93,7.03,7.36
2025-05-26,6.56,6.69,6.53,6.69,561403.0,海联金汇,6.83,7.0,7.29
2025-05-27,6.66,6.84,6.64,6.77,687528.0,海联金汇,6.77,6.97,7.18
2025-05-28,6.78,7.04,6.75,6.88,910915.77,海联金汇,6.75,6.91,7.08
2025-05-29,6.89,7.57,6.86,7.57,1423316.89,海联金汇,6.9,6.96,7.05
2025-05-30,8.33,8.33,8.33,8.33,288919.42,海联金汇,7.25,7.09,7.11
2025-06-03,8.88,9.16,8.75,9.16,2497424.74,海联金汇,7.74,7.29,7.22
2025-06-04,8.5,9.0,8.26,8.49,3317010.31,海联金汇,8.09,7.43,7.28
2025-06-05,8.53,9.06,8.35,8.7,3235562.82,海联金汇,8.45,7.6,7.36
2025-06-06,8.4,8.72,8.0,8.02,2545161.47,海联金汇,8.54,7.72,7.4
2025-06-09,8.3,8.52,8.3,8.4,1970959.67,海联金汇,8.55,7.9,7.47
2025-06-10,8.55,8.68,8.26,8.43,2168997.28,海联金汇,8.41,8.07,7.54
2025-06-11,8.35,8.43,8.02,8.15,1662613.94,海联金汇,8.34,8.21,7.59
2025-06-12,8.05,8.49,8.02,8.09,1357825.82,海联金汇,8.22,8.33,7.62
2025-06-13,8.25,8.33,7.72,7.78,1345173.35,海联金汇,8.17,8.36,7.66
2025-06-16,7.88,8.56,7.88,8.56,1508687.22,海联金汇,8.2,8.38,7.73
2025-06-17,8.86,9.23,8.76,9.0,3294136.61,海联金汇,8.32,8.36,7.82
2025-06-18,9.01,9.88,8.78,9.45,3284106.01,海联金汇,8.58,8.46,7.94
2025-06-19,9.38,9.38,8.71,8.73,2187732.31,海联金汇,8.7,8.46,8.03
2025-06-20,8.85,9.04,8.13,8.61,1925527.34,海联金汇,8.87,8.52,8.12
2025-06-23,8.81,9.47,8.81,9.47,935939.16,海联金汇,9.05,8.63,8.26
2025-06-24,10.28,10.42,9.97,10.42,1218556.71,海联金汇,9.34,8.83,8.45
2025-06-25,10.6,11.46,10.5,11.46,3538018.64,海联金汇,9.74,9.16,8.68
2025-06-26,12.25,12.27,11.03,11.08,4364687.73,海联金汇,10.21,9.46,8.9
2025-06-27,11.12,11.39,10.76,10.81,2934025.56,海联金汇,10.65,9.76,9.06
2025-06-30,10.83,11.25,10.69,11.08,2390536.01,海联金汇,10.97,10.01,9.19
2025-07-01,11.0,11.32,10.47,10.55,2073378.61,海联金汇,11.0,10.17,9.26
2025-07-02,10.47,10.62,10.13,10.22,1350244.1,海联金汇,10.75,10.24,9.35
2025-07-03,10.16,10.28,9.92,10.02,1067569.0,海联金汇,10.54,10.37,9.42
2025-07-04,10.18,10.38,9.86,10.15,1964320.81,海联金汇,10.4,10.53,9.52
2025-07-07,10.45,11.17,10.45,11.17,2464860.93,海联金汇,10.42,10.7,9.66
2025-07-08,10.99,11.38,10.68,11.21,3044464.65,海联金汇,10.55,10.78,9.8
2025-07-09,11.2,11.28,10.88,11.07,1698013.66,海联金汇,10.72,10.74,9.95
2025-07-10,10.9,11.19,10.63,10.74,1895724.97,海联金汇,10.87,10.7,10.08
2025-07-11,10.74,11.07,10.59,10.83,1623812.01,海联金汇,11.0,10.7,10.23
2025-07-14,10.73,10.82,10.35,10.55,1288543.48,海联金汇,10.88,10.65,10.33
2025-07-15,10.7,11.45,10.6,11.11,2299870.85,海联金汇,10.86,10.71,10.44
2025-07-16,10.76,11.44,10.35,11.03,1985588.41,海联金汇,10.85,10.79,10.52
2025-07-17,11.13,11.44,11.01,11.05,1764740.5,海联金汇,10.91,10.89,10.63
2025-07-18,10.96,11.22,10.67,10.75,1356380.04,海联金汇,10.9,10.95,10.74
2025-07-21,10.54,10.69,10.26,10.31,1351192.99,海联金汇,10.85,10.86,10.78
2025-07-22,10.26,10.36,10.19,10.3,907361.65,海联金汇,10.69,10.77,10.77
2025-07-23,10.3,10.3,9.92,10.07,866216.2,海联金汇,10.5,10.67,10.71
2025-07-24,10.03,10.15,9.98,10.15,646152.73,海联金汇,10.32,10.62,10.66
2025-07-25,10.13,10.13,9.84,9.87,820124.27,海联金汇,10.14,10.52,10.61
2025-07-28,9.88,10.2,9.88,10.16,864218.33,海联金汇,10.11,10.48,10.57
2025-07-29,10.13,10.31,9.86,10.3,971523.17,海联金汇,10.11,10.4,10.55
2025-07-30,10.31,10.32,9.86,9.95,845838.24,海联金汇,10.09,10.29,10.54
2025-07-31,9.9,10.03,9.78,9.81,507107.94,海联金汇,10.02,10.17,10.53
2025-08-01,9.74,9.74,9.35,9.42,743357.84,海联金汇,9.93,10.03,10.49
2025-08-04,9.27,9.35,9.22,9.34,445889.59,海联金汇,9.76,9.94,10.4
2025-08-05,9.34,9.51,9.29,9.44,544117.04,海联金汇,9.59,9.85,10.31
2025-08-06,9.39,9.51,9.32,9.46,486576.1,海联金汇,9.49,9.79,10.23
