date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,3.91,3.91,3.52,3.52,959691.0,海南瑞泽,3.52,3.52,3.52
2025-03-25,3.5,3.53,3.41,3.46,471090.06,海南瑞泽,3.49,3.49,3.49
2025-03-26,3.46,3.65,3.43,3.58,479125.05,海南瑞泽,3.52,3.52,3.52
2025-03-27,3.56,3.64,3.46,3.55,349431.0,海南瑞泽,3.53,3.53,3.53
2025-03-28,3.55,3.57,3.48,3.5,192622.06,海南瑞泽,3.52,3.52,3.52
2025-03-31,3.48,3.48,3.28,3.35,460965.8,海南瑞泽,3.49,3.49,3.49
2025-04-01,3.35,3.48,3.34,3.44,368387.05,海南瑞泽,3.48,3.49,3.49
2025-04-02,3.45,3.48,3.4,3.41,169905.0,海南瑞泽,3.45,3.48,3.48
2025-04-03,3.4,3.52,3.38,3.47,271882.71,海南瑞泽,3.43,3.48,3.48
2025-04-07,3.28,3.28,3.12,3.12,304607.0,海南瑞泽,3.36,3.44,3.44
2025-04-08,3.0,3.18,3.0,3.14,449508.77,海南瑞泽,3.32,3.4,3.41
2025-04-09,3.12,3.31,2.84,3.23,544144.74,海南瑞泽,3.27,3.38,3.4
2025-04-10,3.24,3.33,3.22,3.24,423692.71,海南瑞泽,3.24,3.34,3.39
2025-04-11,3.21,3.35,3.18,3.29,399967.1,海南瑞泽,3.2,3.32,3.38
2025-04-14,3.32,3.6,3.32,3.45,598461.22,海南瑞泽,3.27,3.31,3.38
2025-04-15,3.41,3.44,3.32,3.36,376849.08,海南瑞泽,3.31,3.32,3.38
2025-04-16,3.33,3.34,3.24,3.28,275153.5,海南瑞泽,3.32,3.3,3.38
2025-04-17,3.28,3.38,3.25,3.36,260937.0,海南瑞泽,3.35,3.29,3.38
2025-04-18,3.38,3.39,3.28,3.32,158180.36,海南瑞泽,3.35,3.28,3.37
2025-04-21,3.32,3.42,3.27,3.41,268392.36,海南瑞泽,3.35,3.31,3.37
2025-04-22,3.42,3.58,3.41,3.44,261455.0,海南瑞泽,3.36,3.34,3.37
2025-04-23,3.47,3.48,3.38,3.4,189509.85,海南瑞泽,3.39,3.35,3.37
2025-04-24,3.4,3.49,3.4,3.46,303280.4,海南瑞泽,3.41,3.38,3.36
2025-04-25,3.45,3.46,3.39,3.41,159579.27,海南瑞泽,3.42,3.39,3.35
2025-04-28,3.43,3.54,3.43,3.44,242278.06,海南瑞泽,3.43,3.39,3.35
2025-04-29,3.45,3.52,3.4,3.47,193139.0,海南瑞泽,3.44,3.4,3.36
2025-04-30,3.47,3.6,3.47,3.57,360560.0,海南瑞泽,3.47,3.43,3.36
2025-05-06,3.59,3.74,3.59,3.72,346154.42,海南瑞泽,3.52,3.46,3.38
2025-05-07,3.77,3.89,3.69,3.71,342179.38,海南瑞泽,3.58,3.5,3.39
2025-05-08,3.7,3.76,3.68,3.71,200950.83,海南瑞泽,3.64,3.53,3.42
2025-05-09,3.73,3.8,3.71,3.76,258050.0,海南瑞泽,3.69,3.56,3.45
2025-05-12,3.78,3.87,3.67,3.69,282805.03,海南瑞泽,3.72,3.59,3.47
2025-05-13,3.72,3.76,3.64,3.65,214587.0,海南瑞泽,3.7,3.61,3.49
2025-05-14,3.65,3.69,3.62,3.67,150485.0,海南瑞泽,3.7,3.64,3.51
2025-05-15,3.67,3.68,3.61,3.68,136035.0,海南瑞泽,3.69,3.66,3.53
2025-05-16,3.68,3.74,3.64,3.66,163097.0,海南瑞泽,3.67,3.68,3.54
2025-05-19,3.7,3.72,3.63,3.71,151427.0,海南瑞泽,3.67,3.7,3.56
2025-05-20,3.71,3.76,3.68,3.74,206538.0,海南瑞泽,3.69,3.7,3.58
2025-05-21,3.73,3.76,3.68,3.72,139093.0,海南瑞泽,3.7,3.7,3.6
2025-05-22,3.73,3.74,3.64,3.68,168614.0,海南瑞泽,3.7,3.7,3.61
2025-05-23,3.68,3.7,3.56,3.6,253135.0,海南瑞泽,3.69,3.68,3.62
2025-05-26,3.6,3.6,3.39,3.46,526394.79,海南瑞泽,3.64,3.66,3.63
2025-05-27,3.46,3.51,3.39,3.45,237938.0,海南瑞泽,3.58,3.64,3.62
2025-05-28,3.45,3.51,3.43,3.43,218971.3,海南瑞泽,3.52,3.61,3.63
2025-05-29,3.42,3.5,3.39,3.45,240191.8,海南瑞泽,3.48,3.59,3.63
2025-05-30,3.45,3.45,3.35,3.36,157217.0,海南瑞泽,3.43,3.56,3.62
