date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,13.21,13.29,12.34,12.7,452548.0,万润科技,12.7,12.7,12.7
2025-03-25,12.73,12.8,12.29,12.41,272581.0,万润科技,12.56,12.56,12.56
2025-03-26,12.46,12.65,12.4,12.43,216247.14,万润科技,12.51,12.51,12.51
2025-03-27,12.38,12.72,12.22,12.49,260501.0,万润科技,12.51,12.51,12.51
2025-03-28,12.55,13.04,12.45,12.47,341750.77,万润科技,12.5,12.5,12.5
2025-03-31,12.3,12.37,11.98,12.3,286384.3,万润科技,12.42,12.47,12.47
2025-04-01,12.34,12.43,12.25,12.26,177659.66,万润科技,12.39,12.44,12.44
2025-04-02,12.23,12.85,12.21,12.8,473760.54,万润科技,12.46,12.48,12.48
2025-04-03,12.67,13.28,12.6,12.83,454883.0,万润科技,12.53,12.52,12.52
2025-04-07,11.56,12.29,11.55,11.55,274751.3,万润科技,12.35,12.42,12.42
2025-04-08,11.35,11.67,10.4,10.79,520641.62,万润科技,12.05,12.23,12.28
2025-04-09,10.45,11.16,9.72,11.01,461837.9,万润科技,11.8,12.09,12.17
2025-04-10,11.24,11.61,11.24,11.31,355277.14,万润科技,11.5,11.98,12.1
2025-04-11,11.2,11.88,11.12,11.72,457540.0,万润科技,11.28,11.9,12.08
2025-04-14,12.01,12.28,11.81,11.91,320677.66,万润科技,11.35,11.85,12.07
2025-04-15,11.82,12.04,11.71,11.8,236755.95,万润科技,11.55,11.8,12.05
2025-04-16,11.7,11.85,11.39,11.54,188717.0,万润科技,11.66,11.73,12.02
2025-04-17,11.41,11.79,11.4,11.48,171416.0,万润科技,11.69,11.59,11.99
2025-04-18,11.41,11.51,11.29,11.41,149664.13,万润科技,11.63,11.45,11.96
2025-04-21,11.39,11.58,11.39,11.53,160775.0,万润科技,11.55,11.45,11.94
2025-04-22,11.52,11.73,11.42,11.52,202485.0,万润科技,11.5,11.52,11.88
2025-04-23,11.58,11.73,11.56,11.66,195046.73,万润科技,11.52,11.59,11.84
2025-04-24,11.85,11.85,11.36,11.39,206531.58,万润科技,11.5,11.6,11.79
2025-04-25,11.02,11.33,10.89,11.13,295594.94,万润科技,11.45,11.54,11.72
2025-04-28,11.12,11.18,10.93,10.94,147748.0,万润科技,11.33,11.44,11.64
2025-04-29,10.95,11.12,10.86,11.06,148470.0,万润科技,11.24,11.37,11.58
2025-04-30,11.08,11.36,11.02,11.28,161938.49,万润科技,11.16,11.34,11.53
2025-05-06,11.4,11.71,11.4,11.7,205651.0,万润科技,11.22,11.36,11.48
2025-05-07,11.89,11.99,11.59,11.73,229020.0,万润科技,11.34,11.39,11.42
2025-05-08,11.69,12.06,11.63,12.0,290418.97,万润科技,11.55,11.44,11.45
2025-05-09,11.94,11.95,11.64,11.65,182109.0,万润科技,11.67,11.45,11.49
2025-05-12,11.76,11.85,11.72,11.82,140909.0,万润科技,11.78,11.47,11.53
2025-05-13,12.02,12.02,11.67,11.71,146408.0,万润科技,11.78,11.5,11.55
2025-05-14,11.72,11.83,11.6,11.73,141659.0,万润科技,11.78,11.56,11.55
2025-05-15,11.73,11.74,11.29,11.35,212513.42,万润科技,11.65,11.6,11.52
2025-05-16,11.3,11.44,11.26,11.32,108152.88,万润科技,11.59,11.63,11.5
2025-05-19,11.56,11.83,11.37,11.66,284821.06,万润科技,11.55,11.67,11.5
2025-05-20,11.76,12.83,11.72,12.83,418917.46,万润科技,11.78,11.78,11.57
2025-05-21,12.83,12.85,12.36,12.4,755784.32,万润科技,11.91,11.85,11.62
2025-05-22,12.41,12.53,12.24,12.31,359603.0,万润科技,12.1,11.88,11.66
2025-05-23,12.35,12.38,11.88,11.9,349286.0,万润科技,12.22,11.9,11.68
2025-05-26,12.05,12.4,11.98,12.31,521062.8,万润科技,12.35,11.95,11.71
2025-05-27,12.33,12.4,12.06,12.11,307704.39,万润科技,12.21,11.99,11.75
2025-05-28,12.1,12.24,11.85,12.03,349816.55,万润科技,12.13,12.02,11.79
2025-05-29,12.03,12.2,11.94,12.15,302695.54,万润科技,12.1,12.1,11.85
2025-05-30,12.05,12.06,11.68,11.69,289032.35,万润科技,12.06,12.14,11.88
2025-06-03,11.55,11.85,11.53,11.76,141869.0,万润科技,11.95,12.15,11.91
2025-06-04,11.68,11.82,11.65,11.75,148324.57,万润科技,11.88,12.04,11.91
2025-06-05,11.71,11.99,11.68,11.94,222102.22,万润科技,11.86,12.0,11.92
2025-06-06,11.9,12.4,11.76,12.12,527513.18,万润科技,11.85,11.98,11.93
2025-06-09,12.06,12.2,12.06,12.16,295582.1,万润科技,11.95,12.0,11.95
2025-06-10,12.21,12.25,11.66,11.8,356595.09,万润科技,11.95,11.95,11.95
2025-06-11,11.79,12.5,11.76,12.01,459941.53,万润科技,12.01,11.94,11.97
2025-06-12,11.92,12.18,11.88,11.91,284606.6,万润科技,12.0,11.93,11.98
2025-06-13,11.83,11.89,11.4,11.42,353310.0,万润科技,11.86,11.86,11.98
2025-06-16,11.36,11.89,11.33,11.64,214744.04,万润科技,11.76,11.85,12.0
2025-06-17,11.56,11.85,11.48,11.73,257618.35,万润科技,11.74,11.85,12.0
2025-06-18,11.6,12.08,11.57,11.96,404201.22,万润科技,11.73,11.87,11.96
2025-06-19,11.91,12.16,11.7,11.75,328106.09,万润科技,11.7,11.85,11.92
2025-06-20,11.74,12.15,11.7,11.8,308803.37,万润科技,11.78,11.82,11.9
2025-06-23,11.6,12.13,11.47,12.06,391124.05,万润科技,11.86,11.81,11.9
2025-06-24,12.3,12.33,12.07,12.15,528053.0,万润科技,11.94,11.84,11.9
2025-06-25,12.32,12.8,12.15,12.4,571604.0,万润科技,12.03,11.88,11.91
2025-06-26,12.45,12.61,12.27,12.29,419865.0,万润科技,12.14,11.92,11.92
2025-06-27,12.41,12.56,12.31,12.38,410827.0,万润科技,12.26,12.02,11.94
2025-06-30,12.41,12.59,12.35,12.47,385419.38,万润科技,12.34,12.1,11.98
2025-07-01,12.47,12.69,12.39,12.47,433020.01,万润科技,12.4,12.17,12.01
2025-07-02,12.32,12.4,12.0,12.1,391690.12,万润科技,12.34,12.19,12.03
2025-07-03,12.12,12.9,12.1,12.45,618716.99,万润科技,12.37,12.26,12.05
2025-07-04,12.34,12.5,12.05,12.11,424293.96,万润科技,12.32,12.29,12.05
2025-07-07,12.06,12.08,11.91,11.96,217102.0,万润科技,12.22,12.28,12.04
2025-07-08,12.27,12.43,12.06,12.35,464819.86,万润科技,12.19,12.3,12.07
2025-07-09,12.3,12.36,12.09,12.13,358718.0,万润科技,12.2,12.27,12.08
2025-07-10,12.06,12.11,11.9,11.98,261878.0,万润科技,12.11,12.24,12.08
2025-07-11,11.98,12.08,11.86,12.01,221256.3,万润科技,12.09,12.2,12.11
2025-07-14,12.01,12.07,11.92,11.96,151246.54,万润科技,12.09,12.15,12.13
2025-07-15,11.85,11.87,11.59,11.73,298272.63,万润科技,11.96,12.08,12.13
2025-07-16,11.76,11.92,11.71,11.76,164621.05,万润科技,11.89,12.04,12.12
2025-07-17,11.75,11.85,11.67,11.85,153300.0,万润科技,11.86,11.98,12.12
2025-07-18,11.85,11.9,11.72,11.8,151592.98,万润科技,11.82,11.95,12.12
2025-07-21,11.75,11.85,11.73,11.83,153173.0,万润科技,11.79,11.94,12.11
2025-07-22,11.84,11.85,11.71,11.76,175741.92,万润科技,11.8,11.88,12.09
2025-07-23,11.71,11.82,11.65,11.66,190853.0,万润科技,11.78,11.83,12.05
2025-07-24,11.63,11.8,11.63,11.8,168205.97,万润科技,11.77,11.82,12.03
2025-07-25,11.81,12.06,11.77,11.96,299445.0,万润科技,11.8,11.81,12.01
2025-07-28,12.0,12.03,11.85,11.87,189327.0,万润科技,11.81,11.8,11.98
2025-07-29,11.85,11.88,11.71,11.82,184102.76,万润科技,11.82,11.81,11.94
2025-07-30,11.85,11.87,11.6,11.71,178526.23,万润科技,11.83,11.81,11.92
2025-07-31,11.63,11.83,11.57,11.6,190936.83,万润科技,11.79,11.78,11.88
2025-08-01,11.6,11.63,11.5,11.57,141085.47,万润科技,11.71,11.76,11.86
2025-08-04,11.56,11.62,11.48,11.62,115304.0,万润科技,11.66,11.74,11.84
2025-08-05,11.62,11.72,11.62,11.68,114635.48,万润科技,11.64,11.73,11.81
2025-08-06,11.68,11.79,11.61,11.77,167069.0,万润科技,11.65,11.74,11.79
2025-08-07,11.75,11.95,11.74,11.8,280390.98,万润科技,11.69,11.74,11.78
2025-08-08,11.74,11.78,11.58,11.59,197515.42,万润科技,11.69,11.7,11.76
2025-08-11,11.76,12.75,11.75,12.23,882392.65,万润科技,11.81,11.74,11.77
2025-08-12,12.26,12.46,12.16,12.42,738403.82,万润科技,11.96,11.8,11.8
2025-08-13,12.31,12.39,12.15,12.2,460201.4,万润科技,12.05,11.85,11.83
2025-08-14,12.18,12.3,11.89,12.0,482390.87,万润科技,12.09,11.89,11.83
2025-08-15,11.93,12.09,11.93,12.02,317998.23,万润科技,12.17,11.93,11.85
2025-08-18,12.03,12.5,12.02,12.38,647774.47,万润科技,12.2,12.01,11.87
2025-08-19,12.4,12.44,12.27,12.32,398222.39,万润科技,12.18,12.07,11.9
2025-08-20,12.32,12.5,12.21,12.49,406353.27,万润科技,12.24,12.14,11.94
2025-08-21,12.53,12.87,12.36,12.65,816550.62,万润科技,12.37,12.23,11.98
2025-08-22,12.53,13.28,12.49,13.09,951395.03,万润科技,12.59,12.38,12.04
2025-08-25,13.15,13.3,12.88,13.12,837229.87,万润科技,12.73,12.47,12.1
2025-08-26,13.2,13.48,13.01,13.29,759645.69,万润科技,12.93,12.56,12.18
2025-08-27,13.58,13.64,12.81,12.82,831947.91,万润科技,12.99,12.62,12.23
2025-08-28,12.71,13.08,12.53,13.06,606890.84,万润科技,13.08,12.72,12.31
2025-08-29,12.98,12.98,12.67,12.72,405053.65,万润科技,13.0,12.79,12.36
2025-09-01,13.08,13.99,13.08,13.99,1091925.25,万润科技,13.18,12.96,12.48
2025-09-02,13.75,14.0,13.22,13.31,1201387.7,万润科技,13.18,13.05,12.56
2025-09-03,13.36,13.45,12.73,12.81,695246.71,万润科技,13.18,13.09,12.62
2025-09-04,12.81,12.92,11.9,12.19,563858.92,万润科技,13.0,13.04,12.64
2025-09-05,12.26,13.41,12.1,13.05,933128.1,万润科技,13.07,13.04,12.71
2025-09-08,12.93,13.67,12.75,13.33,840956.33,万润科技,12.94,13.06,12.76
2025-09-09,13.3,13.4,12.75,12.86,544604.8,万润科技,12.85,13.01,12.78
2025-09-10,12.92,13.28,12.78,13.02,466159.26,万润科技,12.89,13.03,12.83
2025-09-11,13.0,13.35,12.78,13.25,574044.9,万润科技,13.1,13.05,12.89
2025-09-12,13.51,14.22,13.43,13.7,1324370.61,万润科技,13.23,13.15,12.97
2025-09-15,14.01,14.66,13.67,14.24,1359706.44,万润科技,13.41,13.18,13.07
2025-09-16,14.15,14.58,14.02,14.36,1096297.73,万润科技,13.71,13.28,13.17
2025-09-17,14.3,14.55,13.98,14.06,858191.94,万润科技,13.92,13.41,13.25
2025-09-18,14.06,14.45,13.55,13.71,916944.38,万润科技,14.01,13.56,13.3
2025-09-19,13.73,14.8,13.73,14.38,1444181.05,万润科技,14.15,13.69,13.36
2025-09-22,14.41,15.82,14.38,15.82,1894829.11,万润科技,14.47,13.94,13.5
2025-09-23,15.07,15.41,14.38,14.88,1816475.07,万润科技,14.57,14.14,13.58
2025-09-24,15.12,15.78,14.83,15.57,1562282.4,万润科技,14.87,14.4,13.72
2025-09-25,15.58,16.1,15.14,15.62,1347019.94,万润科技,15.25,14.63,13.84
2025-09-26,15.69,16.98,15.55,16.15,1652866.74,万润科技,15.61,14.88,14.02
2025-09-29,16.3,16.77,15.7,15.75,1458656.73,万润科技,15.59,15.03,14.1
2025-09-30,16.05,16.3,15.75,15.97,1275909.13,万润科技,15.81,15.19,14.24
2025-10-09,16.35,16.49,15.9,16.02,1344412.76,万润科技,15.9,15.39,14.4
2025-10-10,15.41,15.48,14.42,14.56,1221600.01,万润科技,15.69,15.47,14.52
2025-10-13,13.79,14.89,13.79,14.79,743931.66,万润科技,15.42,15.51,14.6
2025-10-14,14.95,15.55,14.38,14.47,760345.97,万润科技,15.16,15.38,14.66
2025-10-15,14.45,14.6,14.13,14.41,473189.17,万润科技,14.85,15.33,14.74
2025-10-16,14.3,15.07,14.16,14.62,715078.28,万润科技,14.57,15.24,14.82
2025-10-17,14.47,16.08,14.25,15.67,1585823.11,万润科技,14.79,15.24,14.94
2025-10-20,15.99,17.24,15.86,17.24,1341809.78,万润科技,15.28,15.35,15.11
2025-10-21,16.5,17.85,16.22,17.17,2259979.91,万润科技,15.82,15.49,15.26
2025-10-22,16.9,17.35,16.45,16.6,1272327.92,万润科技,16.26,15.56,15.37
2025-10-23,16.76,16.8,15.7,16.19,1031148.44,万润科技,16.57,15.57,15.48
2025-10-24,16.69,16.93,16.13,16.76,1258703.0,万润科技,16.79,15.79,15.63
2025-10-27,17.0,17.15,16.15,16.6,1182077.02,万润科技,16.66,15.97,15.74
2025-10-28,16.1,17.65,15.84,16.98,1578372.5,万润科技,16.63,16.22,15.8
2025-10-29,16.73,17.46,16.53,16.84,998679.32,万润科技,16.67,16.47,15.9
2025-10-30,17.08,17.97,16.48,16.68,1386505.56,万润科技,16.77,16.67,15.95
2025-10-31,16.1,16.55,15.81,15.82,1087450.06,万润科技,16.58,16.69,15.96
2025-11-03,15.7,16.2,15.17,16.16,979045.57,万润科技,16.5,16.58,15.96
2025-11-04,16.12,16.32,15.71,15.9,567595.35,万润科技,16.28,16.45,15.97
2025-11-05,15.39,15.59,15.1,15.39,612675.87,万润科技,15.99,16.33,15.94
2025-11-06,16.01,16.34,15.45,15.83,809640.93,万润科技,15.82,16.3,15.93
2025-11-07,15.56,16.08,15.36,15.6,706781.0,万润科技,15.78,16.18,15.99
2025-11-10,15.9,17.16,15.83,17.16,1564529.33,万润科技,15.98,16.24,16.1
2025-11-11,17.78,17.79,16.72,16.85,1420088.23,万润科技,16.17,16.22,16.22
2025-11-12,16.62,17.3,16.06,17.02,1387234.9,万润科技,16.49,16.24,16.35
2025-11-13,17.02,17.57,16.78,17.17,1294492.28,万润科技,16.76,16.29,16.48
2025-11-14,16.65,16.76,15.5,15.51,1358902.06,万润科技,16.74,16.26,16.47
2025-11-17,15.58,16.5,15.58,15.95,753395.46,万润科技,16.5,16.24,16.41
2025-11-18,15.77,15.97,15.27,15.3,591586.83,万润科技,16.19,16.18,16.32
2025-11-19,15.14,15.18,14.5,14.97,701620.58,万润科技,15.78,16.14,16.23
2025-11-20,15.2,15.37,14.4,14.42,517010.67,万润科技,15.23,16.0,16.15
2025-11-21,13.8,13.97,13.3,13.3,601745.52,万润科技,14.79,15.76,15.97
2025-11-24,13.46,13.67,13.23,13.56,347298.75,万润科技,14.31,15.4,15.82
2025-11-25,13.81,13.95,13.7,13.7,366188.11,万润科技,13.99,15.09,15.66
2025-11-26,13.6,13.73,13.46,13.51,310371.06,万润科技,13.7,14.74,15.49
2025-11-27,13.5,13.75,13.43,13.46,289014.62,万润科技,13.51,14.37,15.33
2025-11-28,13.35,13.83,13.3,13.78,359824.19,万润科技,13.6,14.19,15.23
2025-12-01,13.79,14.06,13.72,13.93,373171.18,万润科技,13.68,13.99,15.12
2025-12-02,13.93,13.93,13.72,13.77,225358.68,万润科技,13.69,13.84,15.01
2025-12-03,13.73,13.74,13.3,13.35,343701.0,万润科技,13.66,13.68,14.91
2025-12-04,13.22,13.87,12.97,13.85,511583.69,万润科技,13.74,13.62,14.81
2025-12-05,13.71,13.78,13.46,13.63,325025.9,万润科技,13.71,13.65,14.71
2025-12-08,13.68,14.12,13.68,13.99,451774.57,万润科技,13.72,13.7,14.55
2025-12-09,13.91,14.03,13.63,13.68,353909.33,万润科技,13.7,13.69,14.39
2025-12-10,13.6,13.64,13.43,13.62,226397.32,万润科技,13.75,13.71,14.22
2025-12-11,13.72,13.76,13.33,13.35,237419.71,万润科技,13.65,13.69,14.03
2025-12-12,13.33,13.55,13.26,13.51,220369.28,万润科技,13.63,13.67,13.93
2025-12-15,13.27,13.31,13.03,13.07,269941.07,万润科技,13.45,13.58,13.79
2025-12-16,13.05,13.13,12.69,12.75,245945.68,万润科技,13.26,13.48,13.66
2025-12-17,12.75,13.02,12.62,12.95,205911.72,万润科技,13.13,13.44,13.56
2025-12-18,13.03,14.25,13.03,13.93,1115984.06,万润科技,13.24,13.45,13.53
2025-12-19,14.15,14.29,13.85,14.14,843228.7,万润科技,13.37,13.5,13.58
2025-12-22,14.1,14.7,14.1,14.41,649070.05,万润科技,13.64,13.54,13.62
2025-12-23,14.3,14.47,14.1,14.16,426615.89,万润科技,13.92,13.59,13.64
2025-12-24,14.17,14.5,14.17,14.44,394276.28,万润科技,14.22,13.67,13.69
2025-12-25,14.46,14.74,14.3,14.43,424256.24,万润科技,14.32,13.78,13.74
2025-12-26,14.35,14.74,14.27,14.37,381665.38,万润科技,14.36,13.86,13.77
2025-12-29,14.39,14.6,14.17,14.25,288665.04,万润科技,14.33,13.98,13.78
2025-12-30,14.2,14.5,14.18,14.27,281575.01,万润科技,14.35,14.14,13.81
2025-12-31,14.6,14.68,14.06,14.07,416157.81,万润科技,14.28,14.25,13.84
2026-01-05,14.34,14.6,14.28,14.56,493589.64,万润科技,14.3,14.31,13.88
2026-01-06,14.6,15.25,14.56,15.08,760840.12,万润科技,14.45,14.4,13.95
2026-01-07,15.58,15.96,15.15,15.28,1109465.51,万润科技,14.65,14.49,14.02
2026-01-08,15.22,15.7,15.22,15.32,789247.79,万润科技,14.86,14.61,14.1
2026-01-09,15.17,15.35,15.0,15.2,554106.13,万润科技,15.09,14.68,14.18
2026-01-12,15.46,15.75,15.4,15.63,671513.52,万润科技,15.3,14.8,14.29
2026-01-13,15.64,16.05,15.3,15.38,719778.93,万润科技,15.36,14.9,14.38
2026-01-14,15.61,15.71,14.92,15.25,684904.48,万润科技,15.36,15.0,14.49
2026-01-15,15.02,15.34,14.71,15.2,471207.61,万润科技,15.33,15.1,14.62
2026-01-16,15.45,16.06,15.17,15.78,980166.9,万润科技,15.45,15.27,14.76
2026-01-19,15.74,16.17,15.54,15.98,864607.0,万润科技,15.52,15.41,14.86
2026-01-20,15.8,16.56,15.7,16.05,932005.71,万润科技,15.65,15.51,14.96
2026-01-21,16.12,16.59,16.06,16.32,908861.65,万润科技,15.87,15.61,15.05
2026-01-22,16.85,16.87,16.06,16.14,806239.15,万润科技,16.05,15.69,15.15
2026-01-23,15.98,16.43,15.85,16.15,627665.69,万润科技,16.13,15.79,15.24
2026-01-26,16.38,16.66,15.55,15.8,624701.68,万润科技,16.09,15.81,15.3
2026-01-27,15.67,15.92,15.22,15.84,468756.1,万润科技,16.05,15.85,15.38
2026-01-28,15.98,16.06,15.53,15.62,420625.83,万润科技,15.91,15.89,15.45
2026-01-29,15.71,16.23,15.34,15.41,611788.3,万润科技,15.76,15.91,15.5
2026-01-30,15.26,16.14,15.08,15.97,808511.34,万润科技,15.73,15.93,15.6
2026-02-02,15.5,15.5,14.37,14.37,582646.01,万润科技,15.44,15.77,15.59
2026-02-03,14.3,14.39,13.75,14.21,740104.76,万润科技,15.12,15.58,15.55
2026-02-04,14.07,14.15,13.74,13.94,450935.45,万润科技,14.78,15.35,15.48
2026-02-05,13.71,14.18,13.57,13.9,553986.81,万润科技,14.48,15.12,15.41
2026-02-06,13.72,13.95,13.6,13.75,271291.58,万润科技,14.03,14.88,15.33
2026-02-09,13.98,14.02,13.81,14.0,290691.85,万润科技,13.96,14.7,15.25
2026-02-10,13.93,14.47,13.88,14.07,351766.83,万润科技,13.93,14.52,15.19
2026-02-11,14.03,14.26,13.96,13.98,230367.27,万润科技,13.94,14.36,15.12
2026-02-12,14.16,14.19,13.93,13.96,231806.29,万润科技,13.95,14.22,15.06
2026-02-13,14.02,14.98,13.95,14.37,634833.88,万润科技,14.08,14.06,14.99
2026-02-24,14.62,15.71,14.5,15.27,775311.85,万润科技,14.33,14.14,14.96
2026-02-25,15.16,15.66,15.12,15.52,528311.27,万润科技,14.62,14.28,14.93
2026-02-26,15.53,15.75,15.22,15.34,402429.27,万润科技,14.89,14.42,14.88
2026-02-27,15.24,15.4,15.02,15.27,291723.89,万润科技,15.15,14.55,14.84
2026-03-02,14.98,15.19,14.58,14.66,433199.8,万润科技,15.21,14.64,14.76
2026-03-03,14.69,14.74,13.32,13.38,604882.35,万润科技,14.83,14.58,14.64
2026-03-04,13.36,13.9,13.3,13.44,348120.6,万润科技,14.42,14.52,14.52
2026-03-05,13.82,14.28,13.82,14.02,468028.64,万润科技,14.15,14.52,14.44
