date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,6.91,7.0,6.68,6.86,113653.43,雪迪龙,6.86,6.86,6.86
2025-03-25,6.8,6.95,6.72,6.81,64681.0,雪迪龙,6.84,6.84,6.84
2025-03-26,6.77,6.94,6.77,6.94,87988.25,雪迪龙,6.87,6.87,6.87
2025-03-27,6.93,6.93,6.78,6.78,63760.22,雪迪龙,6.85,6.85,6.85
2025-03-28,6.89,7.2,6.85,7.01,204150.34,雪迪龙,6.88,6.88,6.88
2025-03-31,6.96,7.41,6.95,7.4,333877.29,雪迪龙,6.99,6.97,6.97
2025-04-01,7.16,7.48,7.06,7.37,309160.34,雪迪龙,7.1,7.02,7.02
2025-04-02,7.26,7.27,7.06,7.1,187545.26,雪迪龙,7.13,7.03,7.03
2025-04-03,6.98,7.08,6.76,6.84,181901.9,雪迪龙,7.14,7.01,7.01
2025-04-07,6.31,6.48,6.16,6.16,150366.51,雪迪龙,6.97,6.93,6.93
2025-04-08,6.05,6.21,5.86,6.08,148314.61,雪迪龙,6.71,6.85,6.85
2025-04-09,6.04,6.45,5.63,6.39,178313.0,雪迪龙,6.51,6.81,6.81
2025-04-10,6.37,6.58,6.36,6.43,118561.98,雪迪龙,6.38,6.76,6.78
2025-04-11,6.42,6.68,6.33,6.61,106955.0,雪迪龙,6.33,6.74,6.77
2025-04-14,6.69,6.9,6.67,6.85,117027.81,雪迪龙,6.47,6.72,6.78
2025-04-15,6.8,6.85,6.7,6.84,66239.02,雪迪龙,6.62,6.67,6.78
2025-04-16,6.79,6.85,6.59,6.7,63945.02,雪迪龙,6.69,6.6,6.77
2025-04-17,6.65,7.05,6.65,6.86,99564.27,雪迪龙,6.77,6.58,6.78
2025-04-18,6.84,6.89,6.73,6.76,63888.0,雪迪龙,6.8,6.57,6.78
2025-04-21,6.76,6.82,6.72,6.78,59796.0,雪迪龙,6.79,6.63,6.78
2025-04-22,6.76,6.92,6.74,6.89,66167.18,雪迪龙,6.8,6.71,6.78
2025-04-23,6.92,7.04,6.89,7.02,82022.0,雪迪龙,6.86,6.77,6.79
2025-04-24,7.0,7.05,6.95,7.0,64393.08,雪迪龙,6.89,6.83,6.79
2025-04-25,6.96,7.12,6.96,7.04,62897.08,雪迪龙,6.95,6.87,6.81
2025-04-28,7.01,7.04,6.75,6.79,111925.0,雪迪龙,6.95,6.87,6.8
