date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,13.18,13.35,12.02,12.07,722994.38,光洋股份,12.07,12.07,12.07
2025-03-25,12.15,12.61,11.93,12.02,505930.98,光洋股份,12.04,12.04,12.04
2025-03-26,11.91,13.22,11.91,13.22,291875.91,光洋股份,12.44,12.44,12.44
2025-03-27,13.3,13.5,12.7,12.72,689336.41,光洋股份,12.51,12.51,12.51
2025-03-28,12.79,13.2,12.28,12.65,526559.8,光洋股份,12.54,12.54,12.54
2025-03-31,12.61,13.5,12.07,13.21,681671.0,光洋股份,12.76,12.65,12.65
2025-04-01,13.08,13.23,12.53,12.66,497065.2,光洋股份,12.89,12.65,12.65
2025-04-02,12.53,13.3,12.37,12.91,516677.0,光洋股份,12.83,12.68,12.68
2025-04-03,12.51,13.07,12.32,12.46,387667.0,光洋股份,12.78,12.66,12.66
2025-04-07,11.21,11.46,11.21,11.21,103569.04,光洋股份,12.49,12.51,12.51
2025-04-08,10.09,10.6,10.09,10.1,418779.5,光洋股份,11.87,12.32,12.29
2025-04-09,9.7,10.34,9.09,10.12,492338.45,光洋股份,11.36,12.13,12.11
2025-04-10,10.37,10.72,10.32,10.34,391437.59,光洋股份,10.85,11.84,11.98
2025-04-11,10.12,10.63,10.12,10.5,309818.2,光洋股份,10.45,11.62,11.87
2025-04-14,10.7,10.95,10.64,10.69,263457.8,光洋股份,10.35,11.42,11.79
2025-04-15,10.69,10.78,10.47,10.62,217335.44,光洋股份,10.45,11.16,11.72
2025-04-16,10.55,10.62,10.08,10.18,246893.04,光洋股份,10.47,10.91,11.63
2025-04-17,10.09,10.3,9.95,9.96,219528.04,光洋股份,10.39,10.62,11.54
2025-04-18,10.03,10.3,9.92,10.15,201075.08,光洋股份,10.32,10.39,11.46
2025-04-21,10.1,10.42,10.01,10.4,194510.4,光洋股份,10.26,10.31,11.41
2025-04-22,10.37,10.39,10.14,10.22,175630.0,光洋股份,10.18,10.32,11.32
2025-04-23,10.35,11.24,10.35,11.24,356052.93,光洋股份,10.39,10.43,11.28
2025-04-24,11.33,11.57,11.15,11.2,616571.81,光洋股份,10.64,10.52,11.18
2025-04-25,11.3,11.75,11.3,11.48,449601.67,光洋股份,10.91,10.61,11.12
2025-04-28,11.42,11.63,11.25,11.52,301991.69,光洋股份,11.13,10.7,11.06
2025-04-29,11.4,12.0,11.4,11.89,373726.72,光洋股份,11.47,10.82,10.99
2025-04-30,11.99,12.26,11.78,12.09,362908.41,光洋股份,11.64,11.01,10.96
2025-05-06,12.12,12.29,11.95,12.27,349201.74,光洋股份,11.85,11.25,10.93
2025-05-07,12.36,12.47,12.1,12.3,337623.79,光洋股份,12.01,11.46,10.92
2025-05-08,12.18,12.42,12.18,12.34,252163.93,光洋股份,12.18,11.66,10.98
2025-05-09,12.37,12.6,11.97,12.31,372879.1,光洋股份,12.26,11.86,11.09
2025-05-12,12.35,12.52,12.32,12.39,249333.0,光洋股份,12.32,11.98,11.2
2025-05-13,12.48,12.57,12.13,12.17,222307.6,光洋股份,12.3,12.08,11.3
2025-05-14,12.15,12.25,11.94,12.09,222468.0,光洋股份,12.26,12.14,11.38
2025-05-15,12.02,12.46,11.8,12.17,308214.0,光洋股份,12.23,12.2,11.45
2025-05-16,12.2,12.59,12.2,12.43,388143.67,光洋股份,12.25,12.26,11.54
2025-05-30,11.22,11.61,11.19,11.2,633677.0,光洋股份,12.01,12.17,11.59
2025-06-03,11.0,11.3,10.98,11.07,314516.0,光洋股份,11.79,12.05,11.65
2025-06-04,11.08,11.5,11.07,11.09,266876.45,光洋股份,11.59,11.93,11.69
2025-06-05,11.1,11.24,10.9,11.12,244666.8,光洋股份,11.38,11.8,11.73
2025-06-06,11.12,11.12,10.95,10.98,167108.2,光洋股份,11.09,11.67,11.77
2025-06-09,11.02,11.18,10.98,11.14,175158.4,光洋股份,11.08,11.55,11.76
2025-06-10,11.15,11.3,10.85,11.13,280496.12,光洋股份,11.09,11.44,11.76
2025-06-11,11.18,11.18,11.03,11.07,207149.05,光洋股份,11.09,11.34,11.74
2025-06-12,11.06,11.06,10.84,10.85,178936.52,光洋股份,11.03,11.21,11.71
2025-06-13,10.81,10.94,10.55,10.7,223349.67,光洋股份,10.98,11.04,11.65
2025-06-16,10.6,10.74,10.56,10.65,114808.0,光洋股份,10.88,10.98,11.57
2025-06-17,10.7,10.73,10.45,10.52,146993.0,光洋股份,10.76,10.92,11.49
2025-06-18,10.48,10.57,10.39,10.56,117451.85,光洋股份,10.66,10.87,11.4
2025-06-19,10.51,10.66,10.38,10.4,159710.92,光洋股份,10.57,10.8,11.3
2025-06-20,10.4,10.47,10.26,10.29,96203.67,光洋股份,10.48,10.73,11.2
2025-06-23,10.15,10.35,10.15,10.32,115570.33,光洋股份,10.42,10.65,11.1
