date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,20.03,20.03,20.03,20.03,49072.5,先锋电子,20.03,20.03,20.03
2025-03-25,21.0,22.03,20.26,22.03,408548.19,先锋电子,21.03,21.03,21.03
2025-03-26,20.71,24.23,20.01,21.46,417798.24,先锋电子,21.17,21.17,21.17
2025-03-27,19.8,20.22,19.31,19.31,82942.0,先锋电子,20.71,20.71,20.71
2025-03-28,17.38,17.38,17.38,17.38,30663.0,先锋电子,20.04,20.04,20.04
2025-03-31,16.0,16.95,15.7,16.05,271870.71,先锋电子,19.25,19.38,19.38
2025-04-01,16.0,16.33,15.82,15.94,163880.94,先锋电子,18.03,18.89,18.89
2025-04-02,15.95,16.54,15.75,16.26,152620.1,先锋电子,16.99,18.56,18.56
2025-04-03,16.06,16.31,15.48,15.76,125374.27,先锋电子,16.28,18.25,18.25
2025-04-07,14.83,14.83,14.18,14.18,36801.0,先锋电子,15.64,17.84,17.84
2025-04-08,13.4,13.85,12.76,13.06,161906.5,先锋电子,15.04,17.14,17.41
2025-04-09,12.77,14.37,11.86,14.37,160018.18,先锋电子,14.73,16.38,17.15
2025-04-10,14.45,14.94,14.4,14.54,157382.0,先锋电子,14.38,15.68,16.95
2025-04-11,14.4,15.2,14.4,14.93,136774.5,先锋电子,14.22,15.25,16.81
2025-04-14,15.14,15.43,15.09,15.17,102704.5,先锋电子,14.41,15.03,16.7
2025-04-15,15.19,15.42,14.99,15.39,85567.88,先锋电子,14.88,14.96,16.62
2025-04-16,15.31,15.38,14.77,14.94,77690.0,先锋电子,14.99,14.86,16.52
2025-04-17,14.91,15.35,14.77,15.13,63956.0,先锋电子,15.11,14.75,16.44
2025-04-18,15.02,15.42,15.02,15.3,60548.0,先锋电子,15.19,14.7,16.38
2025-04-21,15.3,15.63,15.26,15.62,72503.0,先锋电子,15.28,14.84,16.34
2025-04-22,15.73,15.73,15.45,15.63,65564.0,先锋电子,15.32,15.1,16.12
