date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,13.3,13.35,13.03,13.23,29530.21,昂利康,13.23,13.23,13.23
2025-03-25,13.21,13.27,12.99,13.22,23721.52,昂利康,13.23,13.23,13.23
2025-03-26,13.18,13.56,13.12,13.5,33647.63,昂利康,13.32,13.32,13.32
2025-03-27,13.49,13.97,13.32,13.75,45342.66,昂利康,13.42,13.42,13.42
2025-03-28,13.78,14.85,13.69,14.17,126533.69,昂利康,13.57,13.57,13.57
2025-03-31,13.93,14.2,13.5,13.75,81812.78,昂利康,13.68,13.6,13.6
2025-04-01,13.75,14.44,13.61,14.09,75532.83,昂利康,13.85,13.67,13.67
2025-04-02,14.09,14.47,14.02,14.3,56935.38,昂利康,14.01,13.75,13.75
2025-04-03,14.15,14.46,14.08,14.19,46333.9,昂利康,14.1,13.8,13.8
2025-04-07,13.42,13.69,12.77,12.77,47874.63,昂利康,13.82,13.7,13.7
2025-04-08,12.76,12.91,12.12,12.4,64537.68,昂利康,13.55,13.61,13.58
2025-04-09,12.2,12.56,11.44,12.4,50266.02,昂利康,13.21,13.53,13.48
2025-04-10,12.52,12.88,12.47,12.67,40205.94,昂利康,12.89,13.45,13.42
2025-04-11,12.61,12.88,12.55,12.56,26496.45,昂利康,12.56,13.33,13.36
2025-04-14,12.68,13.0,12.59,12.86,29759.44,昂利康,12.58,13.2,13.32
2025-04-15,12.86,13.12,12.68,12.96,21862.72,昂利康,12.69,13.12,13.3
2025-04-16,12.9,12.9,12.4,12.61,27695.3,昂利康,12.73,12.97,13.26
2025-04-17,12.61,12.8,12.49,12.71,14424.15,昂利康,12.74,12.81,13.23
2025-04-18,12.65,12.97,12.55,12.68,13684.29,昂利康,12.76,12.66,13.2
2025-04-21,12.61,13.0,12.55,12.9,24087.5,昂利康,12.77,12.68,13.19
2025-04-22,12.98,13.53,12.86,13.49,54000.31,昂利康,12.88,12.78,13.2
2025-04-23,13.5,14.5,13.31,13.95,85839.84,昂利康,13.15,12.94,13.24
2025-04-24,13.82,14.32,13.78,13.82,67675.85,昂利康,13.37,13.05,13.25
2025-04-25,13.81,13.95,13.36,13.44,50287.91,昂利康,13.52,13.14,13.24
