date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,5.23,5.26,4.95,5.06,253957.0,康芝药业,5.06,5.06,5.06
2025-03-25,5.07,5.15,4.97,5.14,241139.0,康芝药业,5.1,5.1,5.1
2025-03-26,5.11,5.16,5.09,5.11,173565.0,康芝药业,5.1,5.1,5.1
2025-03-27,5.1,5.21,4.96,5.21,245525.0,康芝药业,5.13,5.13,5.13
2025-03-28,5.18,5.25,5.01,5.01,203183.0,康芝药业,5.11,5.11,5.11
2025-03-31,4.98,5.01,4.81,4.86,176372.12,康芝药业,5.07,5.07,5.07
2025-04-01,4.87,5.24,4.87,5.12,301128.0,康芝药业,5.06,5.07,5.07
2025-04-02,5.12,5.19,5.05,5.12,160427.0,康芝药业,5.06,5.08,5.08
2025-04-03,5.1,5.24,5.05,5.16,164737.05,康芝药业,5.05,5.09,5.09
2025-04-07,4.86,4.94,4.13,4.22,289500.12,康芝药业,4.9,5.0,5.0
2025-04-08,4.3,4.45,4.26,4.36,187838.0,康芝药业,4.8,4.93,4.94
2025-04-09,4.26,4.49,3.98,4.43,279123.0,康芝药业,4.66,4.86,4.9
2025-04-10,4.5,4.8,4.5,4.71,323475.05,康芝药业,4.58,4.82,4.89
2025-04-11,4.64,4.77,4.6,4.65,202563.0,康芝药业,4.47,4.76,4.87
2025-04-14,4.7,5.58,4.7,5.22,926060.33,康芝药业,4.67,4.78,4.89
2025-04-15,5.22,5.25,4.93,4.93,688312.0,康芝药业,4.79,4.79,4.89
2025-04-16,4.87,4.93,4.66,4.77,318964.12,康芝药业,4.86,4.76,4.89
2025-04-17,4.78,4.85,4.73,4.76,213471.0,康芝药业,4.87,4.72,4.88
2025-04-18,4.79,5.1,4.65,4.66,361912.0,康芝药业,4.87,4.67,4.87
2025-04-21,4.62,4.78,4.55,4.77,234911.12,康芝药业,4.78,4.73,4.86
2025-04-22,4.81,4.82,4.69,4.74,193197.85,康芝药业,4.74,4.76,4.85
2025-04-23,4.72,4.81,4.67,4.69,166365.0,康芝药业,4.72,4.79,4.82
2025-04-24,4.65,4.77,4.6,4.65,149724.08,康芝药业,4.7,4.78,4.8
2025-04-25,4.67,4.7,4.61,4.62,129447.0,康芝药业,4.69,4.78,4.77
2025-04-28,4.6,4.61,4.4,4.43,199091.72,康芝药业,4.63,4.7,4.74
2025-04-29,4.48,4.69,4.48,4.59,188110.41,康芝药业,4.6,4.67,4.73
2025-04-30,4.59,4.71,4.59,4.65,122347.0,康芝药业,4.59,4.66,4.71
2025-05-06,4.7,4.79,4.67,4.79,146537.02,康芝药业,4.62,4.66,4.69
2025-05-07,4.83,4.87,4.76,4.8,160910.0,康芝药业,4.65,4.67,4.67
2025-05-08,4.77,4.91,4.77,4.9,150722.22,康芝药业,4.75,4.69,4.71
2025-05-09,4.91,4.93,4.83,4.85,115757.0,康芝药业,4.8,4.7,4.73
2025-05-12,4.85,4.89,4.79,4.88,123237.5,康芝药业,4.84,4.72,4.75
2025-05-13,4.92,4.94,4.84,4.87,131985.5,康芝药业,4.86,4.74,4.76
2025-05-14,4.85,4.91,4.8,4.86,106982.5,康芝药业,4.87,4.76,4.77
2025-05-15,4.84,4.98,4.8,4.91,180410.12,康芝药业,4.87,4.81,4.76
