date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,11.25,11.39,11.02,11.28,224383.03,乾照光电,11.28,11.28,11.28
2025-03-25,11.28,11.57,11.17,11.26,180198.0,乾照光电,11.27,11.27,11.27
2025-03-26,11.15,11.43,11.15,11.37,152230.3,乾照光电,11.3,11.3,11.3
2025-03-27,11.48,11.53,11.27,11.35,181332.0,乾照光电,11.32,11.32,11.32
2025-03-28,11.31,11.46,11.12,11.13,169268.0,乾照光电,11.28,11.28,11.28
2025-03-31,11.13,11.27,10.92,11.13,165204.96,乾照光电,11.25,11.25,11.25
2025-04-01,11.2,11.75,11.1,11.69,316530.0,乾照光电,11.33,11.32,11.32
2025-04-02,11.68,11.68,11.48,11.56,207931.0,乾照光电,11.37,11.35,11.35
2025-04-03,11.45,11.69,11.36,11.49,187820.02,乾照光电,11.4,11.36,11.36
2025-04-07,10.81,10.88,9.19,9.19,423219.02,乾照光电,11.01,11.14,11.14
2025-04-08,9.3,9.72,9.03,9.33,300675.02,乾照光电,10.65,10.95,10.98
2025-04-09,9.04,10.21,8.6,10.15,481052.02,乾照光电,10.34,10.84,10.91
2025-04-10,10.18,10.86,10.14,10.75,434315.25,乾照光电,10.18,10.78,10.9
2025-04-11,10.41,10.7,10.28,10.53,394331.0,乾照光电,9.99,10.7,10.87
2025-04-14,10.73,10.78,10.52,10.53,223698.78,乾照光电,10.26,10.64,10.85
2025-04-15,10.53,10.66,10.39,10.55,137966.0,乾照光电,10.5,10.58,10.83
2025-04-16,10.59,10.6,10.01,10.25,207916.39,乾照光电,10.52,10.43,10.8
2025-04-17,10.17,10.56,10.15,10.24,155278.16,乾照光电,10.42,10.3,10.77
2025-04-18,10.17,10.55,10.15,10.42,132727.0,乾照光电,10.4,10.19,10.75
2025-04-21,10.3,10.48,10.23,10.45,122503.0,乾照光电,10.38,10.32,10.73
2025-04-22,10.46,10.52,10.34,10.47,133376.79,乾照光电,10.37,10.43,10.69
2025-04-23,10.56,10.74,10.47,10.52,168056.68,乾照光电,10.42,10.47,10.66
2025-04-24,10.57,10.8,10.49,10.51,203912.02,乾照光电,10.47,10.45,10.61
2025-04-25,10.5,10.6,10.42,10.46,121799.0,乾照光电,10.48,10.44,10.57
2025-04-28,10.5,10.5,10.33,10.35,121359.4,乾照光电,10.46,10.42,10.53
2025-04-29,10.31,10.54,10.28,10.42,105155.4,乾照光电,10.45,10.41,10.49
2025-04-30,10.43,10.7,10.43,10.62,210702.5,乾照光电,10.47,10.45,10.44
2025-05-06,10.72,11.2,10.63,11.05,226675.68,乾照光电,10.58,10.53,10.41
2025-05-07,11.15,11.28,10.88,10.96,242468.0,乾照光电,10.68,10.58,10.39
2025-05-08,11.0,11.16,10.89,11.11,156393.79,乾照光电,10.83,10.65,10.48
2025-05-09,11.04,11.11,10.78,10.82,131253.79,乾照光电,10.91,10.68,10.56
