date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,11.56,11.9,11.35,11.46,242398.69,沃森生物,11.46,11.46,11.46
2025-03-25,11.45,11.52,11.36,11.5,155633.64,沃森生物,11.48,11.48,11.48
2025-03-26,11.47,11.57,11.41,11.46,161529.38,沃森生物,11.47,11.47,11.47
2025-03-27,11.43,11.64,11.24,11.56,219006.99,沃森生物,11.5,11.5,11.5
2025-03-28,11.53,11.75,11.45,11.45,216271.78,沃森生物,11.49,11.49,11.49
2025-03-31,11.39,11.45,11.03,11.16,242698.01,沃森生物,11.43,11.43,11.43
2025-04-01,11.15,12.0,11.13,11.68,488276.58,沃森生物,11.46,11.47,11.47
2025-04-02,11.6,11.7,11.5,11.54,206686.4,沃森生物,11.48,11.48,11.48
2025-04-03,11.45,11.8,11.41,11.59,224355.14,沃森生物,11.48,11.49,11.49
2025-04-07,11.1,11.35,9.7,10.0,616770.56,沃森生物,11.19,11.34,11.34
2025-04-08,10.2,10.59,10.19,10.47,378204.37,沃森生物,11.06,11.24,11.26
2025-04-09,10.28,10.69,9.96,10.6,344265.42,沃森生物,10.84,11.15,11.21
2025-04-10,10.72,11.17,10.69,10.98,368604.9,沃森生物,10.73,11.1,11.19
2025-04-11,10.89,11.03,10.65,10.8,272090.88,沃森生物,10.57,11.03,11.16
2025-04-14,10.9,10.93,10.74,10.79,221637.25,沃森生物,10.73,10.96,11.14
2025-04-15,10.73,10.79,10.56,10.62,185024.67,沃森生物,10.76,10.91,11.1
2025-04-16,10.56,10.58,10.28,10.43,180199.98,沃森生物,10.72,10.78,11.06
2025-04-17,10.37,10.51,10.34,10.38,145733.97,沃森生物,10.6,10.67,11.03
2025-04-18,10.36,10.46,10.29,10.38,118567.0,沃森生物,10.52,10.54,10.99
2025-04-21,10.38,10.43,10.25,10.39,157031.19,沃森生物,10.44,10.58,10.96
2025-04-22,10.31,10.39,10.18,10.24,200518.1,沃森生物,10.36,10.56,10.9
2025-04-23,10.3,10.38,10.17,10.23,187366.94,沃森生物,10.32,10.52,10.84
2025-04-24,10.25,10.31,10.11,10.15,169590.33,沃森生物,10.28,10.44,10.77
2025-04-25,10.18,10.26,10.07,10.14,182720.38,沃森生物,10.23,10.38,10.7
2025-04-28,10.1,10.1,9.94,9.99,159563.96,沃森生物,10.15,10.3,10.63
2025-04-29,9.94,10.03,9.85,9.89,176130.82,沃森生物,10.08,10.22,10.56
2025-04-30,9.92,10.06,9.89,10.0,152600.31,沃森生物,10.03,10.18,10.48
2025-05-06,10.07,10.29,10.04,10.27,200791.41,沃森生物,10.06,10.17,10.42
2025-05-07,10.38,10.44,10.14,10.23,189102.09,沃森生物,10.08,10.15,10.35
2025-05-08,10.2,10.34,10.17,10.34,181378.35,沃森生物,10.15,10.15,10.37
2025-05-09,10.3,10.32,10.11,10.13,170909.28,沃森生物,10.19,10.14,10.35
2025-05-12,10.19,10.21,10.11,10.19,143390.68,沃森生物,10.23,10.13,10.33
2025-05-13,10.26,10.34,10.18,10.25,196893.75,沃森生物,10.23,10.14,10.29
