date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-25,4.41,4.41,4.41,4.41,81463.0,ST朗源,4.41,4.41,4.41
2025-03-26,3.86,4.43,3.86,4.2,720689.87,ST朗源,4.3,4.3,4.3
2025-03-27,4.1,4.6,4.1,4.46,367348.04,ST朗源,4.36,4.36,4.36
2025-03-28,4.46,4.6,4.36,4.45,210703.08,ST朗源,4.38,4.38,4.38
2025-03-31,4.37,4.74,4.37,4.71,198512.87,ST朗源,4.45,4.45,4.45
2025-04-01,4.73,5.15,4.59,4.62,235530.34,ST朗源,4.49,4.48,4.48
2025-04-02,4.7,4.81,4.62,4.65,129023.02,ST朗源,4.58,4.5,4.5
2025-04-03,4.59,4.72,4.59,4.69,89820.0,ST朗源,4.62,4.52,4.52
2025-04-07,4.48,4.65,4.22,4.27,194663.91,ST朗源,4.59,4.5,4.5
2025-04-08,4.27,4.52,4.27,4.42,111638.0,ST朗源,4.53,4.49,4.49
2025-04-09,4.35,4.48,4.16,4.45,113891.1,ST朗源,4.5,4.49,4.48
2025-04-10,4.48,4.67,4.48,4.58,123532.12,ST朗源,4.48,4.53,4.49
2025-04-11,4.54,4.66,4.53,4.59,87595.1,ST朗源,4.46,4.54,4.5
2025-04-14,4.63,4.73,4.58,4.69,82725.01,ST朗源,4.55,4.57,4.51
2025-04-15,4.72,5.05,4.65,4.89,161736.0,ST朗源,4.64,4.58,4.54
2025-04-16,4.81,4.94,4.75,4.9,103469.0,ST朗源,4.73,4.61,4.56
2025-04-17,4.88,5.02,4.83,4.85,92156.0,ST朗源,4.78,4.63,4.58
2025-04-18,4.84,4.87,4.75,4.81,64239.0,ST朗源,4.83,4.65,4.59
2025-04-21,4.83,4.9,4.78,4.81,71369.0,ST朗源,4.85,4.7,4.6
2025-04-22,4.78,4.84,4.72,4.73,77776.01,ST朗源,4.82,4.73,4.61
2025-04-23,4.75,4.81,4.7,4.77,56338.01,ST朗源,4.79,4.76,4.63
2025-04-24,4.76,4.83,4.74,4.78,42023.0,ST朗源,4.78,4.78,4.66
2025-04-25,4.76,4.81,4.68,4.8,65309.0,ST朗源,4.78,4.8,4.67
2025-04-28,4.96,5.08,4.77,4.78,88185.11,ST朗源,4.77,4.81,4.69
2025-04-29,4.72,4.88,4.65,4.88,58786.0,ST朗源,4.8,4.81,4.7
2025-04-30,4.87,4.87,4.77,4.8,76640.0,ST朗源,4.81,4.8,4.71
2025-05-06,4.8,4.8,4.75,4.79,67952.03,ST朗源,4.81,4.8,4.71
2025-05-07,4.79,4.88,4.77,4.84,84692.0,ST朗源,4.82,4.8,4.72
2025-05-08,4.81,4.95,4.81,4.91,83059.04,ST朗源,4.84,4.81,4.75
2025-05-09,4.91,5.15,4.84,5.09,145361.08,ST朗源,4.89,4.84,4.79
2025-05-12,5.07,5.1,5.01,5.04,69468.0,ST朗源,4.93,4.87,4.82
2025-05-13,5.09,5.16,5.01,5.1,88041.0,ST朗源,5.0,4.9,4.84
2025-05-14,5.1,5.12,5.05,5.07,53518.0,ST朗源,5.04,4.93,4.87
2025-05-15,5.08,5.11,5.04,5.04,45918.12,ST朗源,5.07,4.96,4.88
2025-05-16,5.03,5.09,4.99,5.03,45982.99,ST朗源,5.06,4.97,4.89
2025-05-19,5.2,5.3,5.19,5.2,130302.0,ST朗源,5.09,5.01,4.91
2025-05-20,5.21,5.34,5.21,5.23,91526.0,ST朗源,5.11,5.06,4.92
2025-05-21,5.23,5.3,5.18,5.19,60744.0,ST朗源,5.14,5.09,4.94
2025-05-22,5.18,5.2,5.03,5.04,98449.0,ST朗源,5.14,5.1,4.96
2025-05-23,5.04,5.09,5.0,5.0,44755.0,ST朗源,5.13,5.09,4.97
2025-05-26,5.0,5.07,5.0,5.05,36545.0,ST朗源,5.1,5.1,4.98
2025-05-27,5.05,5.18,5.03,5.11,38490.0,ST朗源,5.08,5.1,5.0
2025-05-28,5.1,5.17,5.09,5.12,38133.34,ST朗源,5.06,5.1,5.02
2025-05-29,5.16,5.26,5.12,5.24,69865.01,ST朗源,5.1,5.12,5.04
2025-05-30,5.2,5.28,5.13,5.15,66975.01,ST朗源,5.13,5.13,5.05
2025-06-03,5.12,5.19,5.12,5.12,44884.46,ST朗源,5.15,5.12,5.07
2025-06-04,5.1,5.18,5.1,5.14,40434.0,ST朗源,5.15,5.12,5.09
2025-06-05,5.13,5.14,5.06,5.1,58633.0,ST朗源,5.15,5.11,5.1
2025-06-06,5.1,5.18,5.08,5.18,48926.34,ST朗源,5.14,5.12,5.11
2025-06-09,5.17,5.26,5.14,5.25,71666.06,ST朗源,5.16,5.15,5.12
2025-06-10,5.25,5.26,5.14,5.24,60792.07,ST朗源,5.18,5.17,5.13
2025-06-11,5.2,5.28,5.2,5.26,42676.01,ST朗源,5.21,5.18,5.14
2025-06-12,5.25,5.31,5.17,5.18,53132.0,ST朗源,5.22,5.19,5.14
2025-06-13,5.19,5.19,5.09,5.13,44843.0,ST朗源,5.21,5.18,5.15
2025-06-16,5.1,5.22,5.07,5.2,37840.01,ST朗源,5.2,5.18,5.16
2025-06-17,5.2,5.26,5.17,5.23,28396.0,ST朗源,5.2,5.19,5.16
2025-06-18,5.24,5.24,5.17,5.18,32293.0,ST朗源,5.18,5.2,5.16
2025-06-19,5.18,5.2,5.02,5.04,73338.0,ST朗源,5.16,5.19,5.15
2025-06-20,5.02,5.14,5.02,5.06,33247.0,ST朗源,5.14,5.18,5.15
2025-06-23,5.06,5.08,5.01,5.04,34170.0,ST朗源,5.11,5.16,5.15
2025-06-24,5.04,5.1,5.04,5.09,33729.06,ST朗源,5.08,5.14,5.15
2025-06-25,5.1,5.12,5.06,5.11,45451.1,ST朗源,5.07,5.13,5.15
2025-06-26,5.12,5.12,5.03,5.04,34954.01,ST朗源,5.07,5.11,5.15
2025-06-27,5.05,5.05,4.97,4.98,53122.0,ST朗源,5.05,5.1,5.14
2025-06-30,5.0,5.02,4.95,5.0,28525.0,ST朗源,5.04,5.08,5.13
2025-07-01,5.02,5.04,4.98,5.0,51823.0,ST朗源,5.03,5.05,5.12
2025-07-02,5.0,5.01,4.96,4.97,41900.0,ST朗源,5.0,5.03,5.11
2025-07-03,4.99,5.03,4.97,5.03,40839.0,ST朗源,5.0,5.03,5.11
2025-07-04,5.02,5.02,4.97,4.97,39436.0,ST朗源,4.99,5.02,5.1
2025-07-07,4.97,4.97,4.84,4.85,61893.0,ST朗源,4.96,5.0,5.08
2025-07-08,4.8,4.87,4.8,4.84,55671.0,ST朗源,4.93,4.98,5.06
2025-07-09,4.86,4.92,4.84,4.86,38908.0,ST朗源,4.91,4.95,5.04
2025-07-10,4.84,4.87,4.82,4.84,31548.0,ST朗源,4.87,4.93,5.02
2025-07-11,4.85,4.89,4.84,4.87,42439.0,ST朗源,4.85,4.92,5.01
2025-07-14,4.86,4.86,4.7,4.75,88265.0,ST朗源,4.83,4.9,4.99
2025-07-15,4.78,4.78,4.65,4.78,74821.0,ST朗源,4.82,4.88,4.96
2025-07-16,4.76,4.78,4.73,4.77,31539.4,ST朗源,4.8,4.86,4.94
2025-07-17,4.76,4.82,4.73,4.79,37806.0,ST朗源,4.79,4.83,4.93
2025-07-18,4.79,5.47,4.73,5.27,218544.0,ST朗源,4.87,4.86,4.94
2025-07-21,5.12,5.22,5.07,5.09,122040.0,ST朗源,4.94,4.89,4.94
2025-07-22,5.13,5.21,5.08,5.12,69673.0,ST朗源,5.01,4.91,4.95
2025-07-23,5.08,5.12,5.04,5.1,45969.0,ST朗源,5.07,4.94,4.95
2025-07-24,5.1,5.13,5.07,5.08,44147.0,ST朗源,5.13,4.96,4.95
2025-07-25,5.07,5.09,5.02,5.02,45169.0,ST朗源,5.08,4.98,4.95
2025-07-28,5.06,5.09,5.01,5.02,46417.0,ST朗源,5.07,5.0,4.95
2025-07-29,5.0,5.13,4.93,5.07,74415.0,ST朗源,5.06,5.03,4.95
2025-07-30,5.04,5.2,5.02,5.11,64873.0,ST朗源,5.06,5.07,4.96
2025-07-31,5.08,5.19,5.04,5.06,48732.0,ST朗源,5.06,5.09,4.96
2025-08-01,5.06,5.08,4.99,5.0,40236.0,ST朗源,5.05,5.07,4.96
2025-08-04,5.0,5.01,4.94,4.96,46248.33,ST朗源,5.04,5.05,4.97
2025-08-05,4.98,5.08,4.96,5.06,52052.0,ST朗源,5.04,5.05,4.98
2025-08-06,5.06,5.08,5.03,5.06,34169.0,ST朗源,5.03,5.04,4.99
2025-08-07,5.06,5.14,5.05,5.09,46393.0,ST朗源,5.03,5.04,5.0
2025-08-08,5.07,5.23,5.07,5.11,81292.0,ST朗源,5.06,5.05,5.02
2025-08-11,5.12,5.18,5.09,5.11,62059.0,ST朗源,5.09,5.06,5.03
2025-08-12,5.11,5.19,5.09,5.18,59535.0,ST朗源,5.11,5.07,5.05
2025-08-13,5.18,5.33,5.16,5.3,91576.5,ST朗源,5.16,5.09,5.08
2025-08-14,5.32,5.56,5.2,5.25,137338.0,ST朗源,5.19,5.11,5.1
2025-08-15,5.24,5.49,5.24,5.45,114780.0,ST朗源,5.26,5.16,5.11
2025-08-18,5.48,5.8,5.48,5.65,171949.0,ST朗源,5.37,5.23,5.14
2025-08-19,5.7,5.88,5.64,5.88,173591.84,ST朗源,5.51,5.31,5.18
2025-08-20,5.7,5.85,5.63,5.75,147614.0,ST朗源,5.6,5.38,5.21
2025-08-21,5.76,5.85,5.7,5.74,99798.0,ST朗源,5.69,5.44,5.24
2025-08-22,5.79,5.79,5.68,5.75,67055.0,ST朗源,5.75,5.51,5.28
2025-08-25,5.78,5.96,5.68,5.86,91616.0,ST朗源,5.8,5.58,5.32
2025-08-26,5.85,5.98,5.81,5.93,68659.4,ST朗源,5.81,5.66,5.36
2025-08-27,5.9,6.08,5.79,5.81,119154.0,ST朗源,5.82,5.71,5.4
2025-08-28,5.85,5.9,5.63,5.81,93597.0,ST朗源,5.83,5.76,5.44
2025-08-29,5.82,6.02,5.79,5.83,85364.0,ST朗源,5.85,5.8,5.48
2025-09-01,5.85,5.94,5.7,5.91,111965.02,ST朗源,5.86,5.83,5.53
2025-09-02,5.91,5.91,5.75,5.79,62341.06,ST朗源,5.83,5.82,5.56
2025-09-03,5.78,5.85,5.71,5.79,69051.0,ST朗源,5.83,5.82,5.6
2025-09-04,5.75,5.79,5.64,5.69,68518.0,ST朗源,5.8,5.82,5.63
2025-09-05,5.69,5.92,5.69,5.88,72813.0,ST朗源,5.81,5.83,5.67
2025-09-08,5.96,6.09,5.88,6.05,87557.06,ST朗源,5.84,5.85,5.72
2025-09-09,6.08,6.15,6.01,6.1,71334.0,ST朗源,5.9,5.87,5.76
2025-09-10,6.13,6.14,6.05,6.12,40836.92,ST朗源,5.97,5.9,5.8
2025-09-11,6.1,6.13,6.05,6.08,47707.0,ST朗源,6.05,5.92,5.84
2025-09-12,6.09,6.13,6.06,6.08,39146.6,ST朗源,6.09,5.95,5.88
2025-09-15,6.1,6.61,6.08,6.41,170622.01,ST朗源,6.16,6.0,5.91
2025-09-16,6.41,6.6,6.29,6.37,121185.0,ST朗源,6.21,6.06,5.94
2025-09-17,6.41,6.47,6.24,6.34,89669.0,ST朗源,6.26,6.11,5.97
2025-09-18,6.35,6.35,6.11,6.18,119105.0,ST朗源,6.28,6.16,5.99
2025-09-19,6.17,6.35,6.17,6.29,62620.0,ST朗源,6.32,6.2,6.02
2025-09-22,6.29,6.31,6.2,6.26,35372.4,ST朗源,6.29,6.22,6.04
2025-09-23,6.27,6.28,6.05,6.19,69788.12,ST朗源,6.25,6.23,6.05
2025-09-24,6.2,6.4,6.16,6.35,67379.0,ST朗源,6.25,6.26,6.08
2025-09-25,6.39,6.39,6.3,6.34,44060.0,ST朗源,6.29,6.28,6.1
2025-09-26,6.38,6.48,6.31,6.48,76609.57,ST朗源,6.32,6.32,6.14
2025-09-29,6.6,6.6,6.4,6.48,65032.0,ST朗源,6.37,6.33,6.16
2025-09-30,6.5,6.53,6.35,6.42,62412.0,ST朗源,6.41,6.33,6.19
2025-10-09,6.42,6.42,6.24,6.27,61812.0,ST朗源,6.4,6.33,6.22
2025-10-10,6.3,6.33,6.2,6.23,39830.0,ST朗源,6.38,6.33,6.25
2025-10-13,5.98,6.14,5.82,5.96,103485.0,ST朗源,6.27,6.3,6.25
2025-10-14,6.0,6.07,5.93,5.94,41603.33,ST朗源,6.16,6.27,6.24
2025-10-15,5.93,5.96,5.85,5.94,40671.0,ST朗源,6.07,6.24,6.24
2025-10-16,5.94,6.04,5.94,6.02,46482.0,ST朗源,6.02,6.21,6.23
2025-10-17,6.02,6.09,5.93,5.93,50941.0,ST朗源,5.96,6.17,6.22
2025-10-20,5.98,6.18,5.98,6.15,76975.0,ST朗源,6.0,6.13,6.23
2025-10-21,6.19,6.36,6.17,6.33,67718.0,ST朗源,6.07,6.12,6.22
2025-10-22,6.32,6.39,6.27,6.36,59350.06,ST朗源,6.16,6.11,6.22
2025-10-23,6.31,6.39,6.23,6.31,61702.0,ST朗源,6.22,6.12,6.22
2025-10-24,6.31,6.34,6.28,6.29,37582.0,ST朗源,6.29,6.12,6.23
2025-10-27,6.35,6.37,6.23,6.26,43743.03,ST朗源,6.31,6.15,6.23
2025-10-28,6.26,6.33,6.24,6.33,59986.03,ST朗源,6.31,6.19,6.23
2025-10-29,6.4,6.67,6.38,6.59,135776.0,ST朗源,6.36,6.26,6.25
2025-10-30,6.6,6.8,6.59,6.61,96538.0,ST朗源,6.42,6.32,6.26
2025-10-31,7.01,7.06,6.36,6.58,285178.0,ST朗源,6.47,6.38,6.27
2025-11-03,6.32,6.38,6.11,6.29,174504.0,ST朗源,6.48,6.4,6.26
2025-11-04,6.35,6.42,6.25,6.3,84275.92,ST朗源,6.47,6.39,6.26
2025-11-05,6.26,6.32,6.2,6.23,61917.0,ST朗源,6.4,6.38,6.25
2025-11-06,6.22,6.29,6.1,6.14,92028.0,ST朗源,6.31,6.36,6.24
2025-11-07,6.12,6.17,6.06,6.13,52636.43,ST朗源,6.22,6.35,6.23
2025-11-10,6.11,6.22,6.08,6.17,57574.0,ST朗源,6.19,6.34,6.24
2025-11-11,6.18,6.21,6.13,6.15,49703.0,ST朗源,6.16,6.32,6.26
2025-11-12,6.13,6.17,6.11,6.14,31952.0,ST朗源,6.15,6.27,6.27
