date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,6.88,6.93,6.48,6.69,403804.39,ST任子行,6.69,6.69,6.69
2025-03-25,6.69,6.69,6.45,6.48,251405.36,ST任子行,6.59,6.59,6.59
2025-03-26,6.5,6.64,6.47,6.59,199893.21,ST任子行,6.59,6.59,6.59
2025-03-27,6.58,6.61,6.42,6.53,188313.61,ST任子行,6.57,6.57,6.57
2025-03-28,6.53,6.6,6.38,6.39,180716.22,ST任子行,6.54,6.54,6.54
2025-03-31,6.32,6.32,6.0,6.19,306114.88,ST任子行,6.44,6.48,6.48
2025-04-01,6.23,6.33,6.19,6.2,168234.26,ST任子行,6.38,6.44,6.44
2025-04-02,6.2,6.27,6.15,6.19,120029.99,ST任子行,6.3,6.41,6.41
2025-04-03,6.14,6.25,6.1,6.14,127435.0,ST任子行,6.22,6.38,6.38
2025-04-07,5.65,5.72,4.91,4.91,404955.39,ST任子行,5.93,6.23,6.23
2025-04-08,4.91,5.27,4.91,5.16,321714.47,ST任子行,5.72,6.08,6.13
2025-04-09,5.11,5.45,4.73,5.42,362273.21,ST任子行,5.56,5.97,6.07
2025-04-10,5.6,5.74,5.52,5.53,303442.91,ST任子行,5.43,5.87,6.03
2025-04-11,5.45,5.63,5.42,5.55,190318.42,ST任子行,5.31,5.77,6.0
2025-04-14,5.67,5.76,5.61,5.65,199022.19,ST任子行,5.46,5.69,5.97
2025-04-15,5.71,6.21,5.66,5.88,526062.74,ST任子行,5.61,5.66,5.97
2025-04-16,5.74,5.8,5.51,5.6,325279.74,ST任子行,5.64,5.6,5.95
2025-04-17,5.5,5.68,5.5,5.52,180837.6,ST任子行,5.64,5.54,5.92
2025-04-18,5.53,5.67,5.5,5.55,154654.13,ST任子行,5.64,5.48,5.9
2025-04-21,5.56,5.76,5.51,5.73,202061.31,ST任子行,5.66,5.56,5.9
2025-04-22,5.71,5.81,5.67,5.74,180797.0,ST任子行,5.63,5.62,5.85
2025-04-23,5.74,5.9,5.74,5.76,224790.84,ST任子行,5.66,5.65,5.81
2025-04-24,5.76,5.77,5.46,5.5,225905.0,ST任子行,5.66,5.65,5.76
2025-04-25,5.53,5.59,5.46,5.46,156776.0,ST任子行,5.64,5.64,5.7
2025-04-28,5.47,5.57,5.39,5.49,143032.88,ST任子行,5.59,5.62,5.66
2025-04-29,5.42,5.57,5.41,5.52,127489.53,ST任子行,5.55,5.59,5.62
2025-04-30,5.56,5.75,5.53,5.7,214351.45,ST任子行,5.53,5.6,5.6
2025-05-06,5.8,5.93,5.77,5.93,249216.14,ST任子行,5.62,5.64,5.59
2025-05-07,6.01,6.09,5.84,5.93,249713.84,ST任子行,5.71,5.68,5.58
2025-05-08,5.9,6.04,5.87,6.03,216218.38,ST任子行,5.82,5.71,5.63
2025-05-09,6.02,6.02,5.92,5.94,140857.0,ST任子行,5.91,5.73,5.67
2025-05-12,6.02,6.09,5.99,6.06,154879.71,ST任子行,5.98,5.76,5.7
2025-05-13,6.17,6.19,6.0,6.02,158762.27,ST任子行,6.0,5.81,5.73
2025-05-14,6.0,6.1,5.95,6.06,170557.5,ST任子行,6.02,5.87,5.75
2025-05-15,6.05,6.05,5.88,5.89,145948.49,ST任子行,5.99,5.91,5.77
2025-05-16,5.88,5.92,5.84,5.87,102295.52,ST任子行,5.98,5.94,5.76
2025-05-19,5.88,5.98,5.87,5.96,118667.47,ST任子行,5.96,5.97,5.78
2025-05-20,5.96,6.13,5.87,6.08,220382.45,ST任子行,5.97,5.98,5.81
2025-05-21,6.06,6.08,5.95,5.96,139128.15,ST任子行,5.95,5.99,5.83
2025-05-22,5.96,6.0,5.81,5.85,135331.75,ST任子行,5.94,5.97,5.84
2025-05-23,5.84,5.91,5.71,5.72,149316.52,ST任子行,5.91,5.95,5.84
2025-05-26,5.73,5.88,5.73,5.86,132297.66,ST任子行,5.89,5.93,5.84
2025-05-27,5.95,6.36,5.82,6.08,566671.0,ST任子行,5.89,5.93,5.87
2025-05-28,5.98,6.08,5.88,6.03,333979.14,ST任子行,5.91,5.93,5.9
2025-05-29,5.97,6.91,5.94,6.58,899704.29,ST任子行,6.05,6.0,5.95
2025-05-30,6.48,6.66,6.31,6.32,559868.77,ST任子行,6.17,6.04,5.99
2025-06-03,6.39,6.51,6.25,6.3,420770.0,ST任子行,6.26,6.08,6.02
2025-06-04,6.25,6.35,6.21,6.29,280394.46,ST任子行,6.3,6.1,6.04
2025-06-05,6.35,6.44,6.18,6.4,437288.02,ST任子行,6.38,6.14,6.06
2025-06-06,6.35,7.0,6.33,6.65,884309.12,ST任子行,6.39,6.22,6.1
2025-06-09,6.5,6.8,6.5,6.71,624141.34,ST任子行,6.47,6.32,6.13
2025-06-10,6.65,6.68,6.4,6.49,428439.44,ST任子行,6.51,6.38,6.16
2025-06-11,6.56,6.83,6.45,6.83,670805.43,ST任子行,6.62,6.46,6.2
2025-06-12,6.71,6.94,6.68,6.71,496559.14,ST任子行,6.68,6.53,6.23
2025-06-13,6.64,6.78,6.4,6.41,373907.2,ST任子行,6.63,6.51,6.26
2025-06-16,6.38,6.65,6.35,6.64,350272.99,ST任子行,6.62,6.54,6.29
2025-06-17,6.61,6.71,6.55,6.68,347141.51,ST任子行,6.65,6.58,6.33
2025-06-18,7.0,7.8,6.99,7.3,1279877.1,ST任子行,6.75,6.68,6.39
2025-06-19,7.06,7.27,6.73,6.76,881846.19,ST任子行,6.76,6.72,6.43
2025-06-20,6.67,6.84,6.41,6.41,508673.59,ST任子行,6.76,6.69,6.46
2025-06-24,5.13,5.13,5.13,5.13,58793.0,ST任子行,6.46,6.54,6.43
2025-06-25,4.78,5.02,4.62,4.92,1089511.82,ST任子行,6.1,6.38,6.38
2025-06-26,4.83,5.17,4.77,5.03,738524.23,ST任子行,5.65,6.2,6.33
2025-06-27,5.03,5.06,4.86,4.88,527482.65,ST任子行,5.27,6.02,6.27
2025-06-30,4.91,4.96,4.87,4.93,289734.04,ST任子行,4.98,5.87,6.19
2025-07-01,4.93,5.1,4.9,5.05,400130.89,ST任子行,4.96,5.71,6.13
2025-07-02,5.03,5.11,4.99,5.04,318558.51,ST任子行,4.99,5.54,6.06
2025-07-03,5.03,5.09,4.98,5.01,260327.68,ST任子行,4.98,5.32,6.0
