date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,19.3,19.35,17.82,18.29,215281.64,永贵电器,18.29,18.29,18.29
2025-03-25,18.3,18.66,18.1,18.18,138992.3,永贵电器,18.24,18.24,18.24
2025-03-26,18.12,18.62,18.07,18.38,114307.0,永贵电器,18.28,18.28,18.28
2025-03-27,18.27,18.45,17.88,18.2,96827.29,永贵电器,18.26,18.26,18.26
2025-03-28,18.21,18.45,17.67,17.69,112656.79,永贵电器,18.15,18.15,18.15
2025-03-31,17.57,17.74,17.19,17.62,104017.18,永贵电器,18.01,18.06,18.06
2025-04-01,17.75,18.03,17.44,17.44,99356.97,永贵电器,17.87,17.97,17.97
2025-04-02,17.41,17.65,17.35,17.46,69201.4,永贵电器,17.68,17.91,17.91
2025-04-03,17.22,17.53,17.14,17.27,75263.74,永贵电器,17.5,17.84,17.84
2025-04-07,16.08,16.08,13.82,13.82,209096.47,永贵电器,16.72,17.43,17.43
2025-04-08,14.05,14.79,14.01,14.39,154415.93,永贵电器,16.08,17.05,17.16
2025-04-09,14.04,15.1,13.16,14.95,170432.0,永贵电器,15.58,16.72,16.97
2025-04-10,15.22,15.61,15.1,15.12,138210.47,永贵电器,15.11,16.4,16.83
2025-04-11,15.07,15.44,14.85,15.28,99466.0,永贵电器,14.71,16.1,16.72
2025-04-14,15.59,15.75,15.4,15.48,90787.0,永贵电器,15.04,15.88,16.64
2025-04-15,15.36,15.68,15.28,15.56,76665.47,永贵电器,15.28,15.68,16.57
2025-04-16,15.43,15.52,14.9,15.08,80384.64,永贵电器,15.3,15.44,16.48
2025-04-17,15.11,16.29,14.98,15.82,190575.36,永贵电器,15.44,15.28,16.45
2025-04-18,15.81,16.47,15.6,16.26,181357.44,永贵电器,15.64,15.18,16.44
2025-04-21,16.96,17.79,16.6,17.47,308953.97,永贵电器,16.04,15.54,16.49
2025-04-22,17.15,17.66,16.88,16.88,220383.66,永贵电器,16.3,15.79,16.42
2025-04-23,17.12,17.31,16.6,16.71,181394.44,永贵电器,16.63,15.97,16.34
2025-04-24,16.63,16.69,16.25,16.36,115339.45,永贵电器,16.74,16.09,16.24
2025-04-25,16.0,16.1,15.63,15.84,138722.0,永贵电器,16.65,16.15,16.12
2025-04-28,15.9,15.99,15.43,15.5,71316.0,永贵电器,16.26,16.15,16.02
2025-04-29,15.6,15.74,15.43,15.57,64579.0,永贵电器,16.0,16.15,15.91
2025-04-30,15.69,15.81,15.55,15.71,63586.0,永贵电器,15.8,16.21,15.83
2025-05-06,15.79,16.25,15.79,16.25,86770.0,永贵电器,15.77,16.26,15.77
2025-05-07,16.47,16.55,16.02,16.22,103207.15,永贵电器,15.85,16.25,15.71
2025-05-08,15.9,16.38,15.9,16.33,99277.0,永贵电器,16.02,16.14,15.84
2025-05-09,16.33,16.33,15.85,15.92,75746.33,永贵电器,16.09,16.04,15.92
2025-05-12,16.21,16.42,16.05,16.42,92626.2,永贵电器,16.23,16.01,15.99
2025-05-13,16.57,16.65,16.18,16.23,65064.14,永贵电器,16.22,16.0,16.04
2025-05-14,16.18,16.3,16.08,16.12,64800.34,永贵电器,16.2,16.03,16.09
2025-05-15,16.14,16.14,15.73,15.73,67167.0,永贵电器,16.08,16.05,16.1
2025-05-16,15.68,15.94,15.65,15.7,43912.36,永贵电器,16.04,16.06,16.11
2025-05-19,15.71,15.87,15.5,15.85,49295.09,永贵电器,15.93,16.08,16.14
2025-05-20,15.85,15.94,15.64,15.93,41151.99,永贵电器,15.87,16.04,16.15
2025-05-21,15.9,16.23,15.78,15.91,68966.0,永贵电器,15.82,16.01,16.13
2025-05-22,15.82,16.2,15.67,15.69,79943.03,永贵电器,15.82,15.95,16.04
2025-05-23,15.61,15.79,15.33,15.33,65930.09,永贵电器,15.74,15.89,15.97
2025-05-26,15.36,15.58,15.28,15.58,40104.5,永贵电器,15.69,15.81,15.91
2025-05-27,15.57,15.57,15.34,15.42,31263.99,永贵电器,15.59,15.73,15.86
2025-05-28,15.41,15.59,15.28,15.33,33710.0,永贵电器,15.47,15.65,15.84
2025-05-29,15.31,15.65,15.31,15.64,48090.97,永贵电器,15.46,15.64,15.84
2025-05-30,15.63,15.63,15.2,15.21,57898.5,永贵电器,15.44,15.59,15.83
2025-06-03,15.13,15.28,15.09,15.14,31702.35,永贵电器,15.35,15.52,15.8
2025-06-04,15.2,15.47,15.15,15.37,37367.0,永贵电器,15.34,15.46,15.75
2025-06-05,15.5,15.61,15.27,15.56,50771.58,永贵电器,15.38,15.43,15.72
2025-06-06,15.56,15.58,15.41,15.5,31902.94,永贵电器,15.36,15.41,15.68
2025-06-09,15.52,15.69,15.51,15.65,42545.34,永贵电器,15.44,15.44,15.67
2025-06-10,15.6,15.69,15.22,15.44,59007.12,永贵电器,15.5,15.43,15.62
2025-06-11,15.38,15.6,15.38,15.42,42271.97,永贵电器,15.51,15.43,15.58
2025-06-12,15.41,15.58,15.28,15.44,43416.0,永贵电器,15.49,15.44,15.54
2025-06-13,15.34,15.39,14.94,14.96,69340.55,永贵电器,15.38,15.37,15.5
2025-06-16,14.87,15.34,14.8,15.22,65695.27,永贵电器,15.3,15.37,15.48
2025-06-17,15.28,15.33,15.1,15.3,52402.8,永贵电器,15.27,15.39,15.45
2025-06-18,15.22,15.28,15.0,15.19,54249.81,永贵电器,15.22,15.37,15.42
2025-06-19,15.12,15.22,14.88,14.96,51248.27,永贵电器,15.13,15.31,15.37
2025-06-20,15.0,15.26,14.86,14.91,63291.23,永贵电器,15.12,15.25,15.33
2025-06-23,14.72,15.06,14.65,15.02,45386.19,永贵电器,15.08,15.19,15.31
2025-06-24,15.0,15.81,15.0,15.61,108358.34,永贵电器,15.14,15.2,15.31
2025-06-25,15.57,15.74,15.49,15.68,74931.36,永贵电器,15.24,15.23,15.33
2025-06-26,15.68,15.79,15.55,15.59,74599.69,永贵电器,15.36,15.24,15.34
2025-06-27,15.58,16.06,15.56,15.9,111858.75,永贵电器,15.56,15.34,15.35
2025-06-30,16.0,16.01,15.84,15.92,73772.8,永贵电器,15.74,15.41,15.39
2025-07-01,15.88,15.97,15.71,15.85,52405.22,永贵电器,15.79,15.46,15.42
2025-07-02,15.77,15.88,15.63,15.73,50349.0,永贵电器,15.8,15.52,15.44
2025-07-03,15.73,15.95,15.65,15.95,57438.0,永贵电器,15.87,15.62,15.46
2025-07-04,15.9,16.12,15.64,15.76,82013.44,永贵电器,15.84,15.7,15.48
2025-07-07,15.74,17.18,15.66,16.6,239712.92,永贵电器,15.98,15.86,15.52
