date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,15.6,15.73,15.15,15.57,308868.84,道氏技术,15.57,15.57,15.57
2025-03-25,15.61,15.69,15.2,15.44,299338.96,道氏技术,15.5,15.5,15.5
2025-03-26,15.41,15.75,15.37,15.4,258259.64,道氏技术,15.47,15.47,15.47
2025-03-27,15.43,16.44,15.16,15.91,757166.51,道氏技术,15.58,15.58,15.58
2025-03-28,15.75,16.28,15.56,16.04,622400.49,道氏技术,15.67,15.67,15.67
2025-03-31,15.73,15.86,15.26,15.64,431189.96,道氏技术,15.69,15.67,15.67
2025-04-01,15.65,15.71,15.35,15.44,279045.78,道氏技术,15.69,15.63,15.63
2025-04-02,15.44,16.16,15.43,15.84,465493.27,道氏技术,15.77,15.66,15.66
2025-04-03,15.55,15.84,15.21,15.29,364757.63,道氏技术,15.65,15.62,15.62
2025-04-07,13.78,14.13,12.25,12.6,620492.99,道氏技术,14.96,15.32,15.32
2025-04-08,12.79,13.28,12.5,12.9,493525.2,道氏技术,14.41,15.05,15.1
2025-04-09,12.52,13.35,11.8,13.18,538365.03,道氏技术,13.96,14.82,14.94
2025-04-10,13.64,14.03,13.55,13.58,462731.23,道氏技术,13.51,14.64,14.83
2025-04-11,13.4,14.12,13.37,13.89,384901.55,道氏技术,13.23,14.44,14.77
2025-04-14,14.11,14.33,13.99,14.03,323375.73,道氏技术,13.52,14.24,14.72
2025-04-15,14.03,14.45,13.99,14.14,373824.14,道氏技术,13.76,14.09,14.68
2025-04-16,14.0,14.28,13.61,13.8,280400.12,道氏技术,13.89,13.92,14.63
2025-04-17,13.79,14.0,13.71,13.79,187390.26,道氏技术,13.93,13.72,14.58
2025-04-18,13.71,14.1,13.61,14.0,227541.01,道氏技术,13.95,13.59,14.55
2025-04-21,14.14,14.69,14.07,14.68,353796.86,道氏技术,14.08,13.8,14.56
2025-04-22,14.69,15.0,14.56,14.97,423264.21,道氏技术,14.25,14.01,14.53
2025-04-23,14.35,14.47,13.91,14.3,739473.84,道氏技术,14.35,14.12,14.47
2025-04-24,14.26,14.27,13.7,13.75,458184.25,道氏技术,14.34,14.14,14.39
2025-04-25,13.78,13.89,13.6,13.71,239917.83,道氏技术,14.28,14.12,14.28
2025-04-28,13.73,13.75,13.42,13.54,198262.43,道氏技术,14.05,14.07,14.15
2025-04-29,13.55,13.89,13.48,13.78,189112.06,道氏技术,13.82,14.03,14.06
2025-04-30,13.88,14.17,13.75,14.02,294322.45,道氏技术,13.76,14.05,13.99
2025-05-06,14.2,14.49,14.11,14.48,356956.64,道氏技术,13.91,14.12,13.92
2025-05-07,14.67,14.79,14.27,14.44,375357.86,道氏技术,14.05,14.17,13.88
2025-05-08,14.35,14.76,14.35,14.69,297051.0,道氏技术,14.28,14.17,13.98
2025-05-09,14.59,14.62,14.18,14.5,271708.09,道氏技术,14.43,14.12,14.06
2025-05-12,14.83,15.12,14.74,15.05,444736.83,道氏技术,14.63,14.2,14.16
2025-05-13,15.15,15.17,14.72,14.79,297118.84,道氏技术,14.69,14.3,14.22
2025-05-14,14.7,14.87,14.59,14.73,205740.65,道氏技术,14.75,14.4,14.26
2025-05-15,14.7,14.76,14.26,14.27,217739.03,道氏技术,14.67,14.48,14.27
2025-05-16,14.21,14.54,14.16,14.29,170000.36,道氏技术,14.63,14.53,14.28
2025-05-19,14.3,14.4,13.96,14.21,181001.36,道氏技术,14.46,14.55,14.3
2025-05-20,14.29,14.53,14.17,14.42,205733.77,道氏技术,14.38,14.54,14.33
2025-05-21,14.31,15.0,14.28,14.82,536283.55,道氏技术,14.4,14.58,14.37
2025-05-22,14.68,14.68,14.21,14.24,346179.45,道氏技术,14.4,14.53,14.35
2025-05-23,14.12,14.26,13.84,13.92,212214.94,道氏技术,14.32,14.47,14.3
2025-05-26,13.84,14.03,13.82,13.96,130653.94,道氏技术,14.27,14.36,14.28
2025-05-27,13.96,14.26,13.69,14.0,232038.33,道氏技术,14.19,14.29,14.29
2025-05-28,13.92,14.03,13.68,13.7,166961.71,道氏技术,13.96,14.18,14.29
2025-05-29,13.66,13.93,13.65,13.86,156993.52,道氏技术,13.89,14.14,14.31
2025-05-30,13.9,13.95,13.62,13.72,163200.04,道氏技术,13.85,14.08,14.31
2025-06-03,13.72,13.84,13.61,13.64,140107.75,道氏技术,13.78,14.03,14.29
2025-06-04,13.73,14.03,13.63,13.88,228708.84,道氏技术,13.76,13.97,14.26
2025-06-05,13.88,13.95,13.73,13.88,191035.63,道氏技术,13.8,13.88,14.23
2025-06-06,13.91,14.06,13.82,13.87,208293.97,道氏技术,13.8,13.84,14.19
2025-06-09,13.99,14.18,13.88,14.09,292850.55,道氏技术,13.87,13.86,14.17
2025-06-10,14.2,14.37,13.88,13.98,400870.03,道氏技术,13.94,13.86,14.11
2025-06-11,14.0,14.76,13.97,14.25,425340.51,道氏技术,14.01,13.89,14.09
2025-06-12,14.29,14.45,13.93,14.27,303095.04,道氏技术,14.09,13.94,14.06
2025-06-13,14.26,14.49,14.05,14.18,336301.43,道氏技术,14.15,13.98,14.06
2025-06-16,14.19,14.24,14.04,14.22,224645.23,道氏技术,14.18,14.03,14.06
2025-06-17,14.26,14.52,14.19,14.44,375433.96,道氏技术,14.27,14.11,14.07
2025-06-18,14.41,14.66,14.04,14.64,464138.18,道氏技术,14.35,14.18,14.08
2025-06-19,14.62,14.89,14.18,14.24,510291.93,道氏技术,14.34,14.22,14.05
2025-06-20,14.35,14.76,14.26,14.64,528034.44,道氏技术,14.44,14.29,14.07
2025-06-23,14.64,15.18,14.57,15.18,673902.83,道氏技术,14.63,14.4,14.13
2025-06-24,15.5,16.88,15.32,16.68,1271416.21,道氏技术,15.08,14.67,14.27
2025-06-25,16.6,16.98,16.35,16.67,1196531.16,道氏技术,15.48,14.92,14.4
2025-06-26,16.66,17.26,16.46,16.48,957272.12,道氏技术,15.93,15.14,14.54
2025-06-27,16.8,17.7,16.42,16.48,905439.68,道氏技术,16.3,15.37,14.67
2025-06-30,16.7,17.1,16.12,16.94,815581.84,道氏技术,16.65,15.64,14.83
2025-07-01,16.3,16.39,15.56,16.23,1082860.92,道氏技术,16.56,15.82,14.96
2025-07-02,16.01,16.28,15.76,15.94,463389.55,道氏技术,16.41,15.95,15.07
2025-07-03,16.0,17.03,15.51,16.65,1050602.68,道氏技术,16.45,16.19,15.2
2025-07-04,16.2,16.38,15.6,15.63,866735.12,道氏技术,16.28,16.29,15.29
2025-07-07,15.62,15.91,15.55,15.83,371307.7,道氏技术,16.06,16.35,15.38
2025-07-08,15.91,16.22,15.74,16.03,449763.31,道氏技术,16.02,16.29,15.48
2025-07-09,16.1,16.25,15.74,15.8,439340.95,道氏技术,15.99,16.2,15.56
2025-07-10,15.85,16.12,15.69,15.97,383599.55,道氏技术,15.85,16.15,15.64
2025-07-11,16.0,16.1,15.7,15.84,396149.31,道氏技术,15.89,16.09,15.73
2025-07-14,15.88,16.0,15.57,15.59,334510.02,道氏技术,15.85,15.95,15.8
2025-07-15,15.62,15.77,15.3,15.58,331931.83,道氏技术,15.76,15.89,15.85
2025-07-16,16.11,16.31,15.77,15.91,650450.18,道氏技术,15.78,15.88,15.92
2025-07-17,15.82,16.15,15.73,16.09,504060.13,道氏技术,15.8,15.83,16.01
2025-07-18,16.2,16.57,16.09,16.23,551335.86,道氏技术,15.88,15.89,16.09
2025-07-21,16.16,16.42,16.0,16.31,409165.37,道氏技术,16.02,15.93,16.14
2025-07-22,16.25,16.88,16.16,16.83,795545.04,道氏技术,16.27,16.02,16.15
2025-07-23,16.84,16.86,16.41,16.45,514087.17,道氏技术,16.38,16.08,16.14
2025-07-24,16.49,17.15,16.42,16.9,728697.76,道氏技术,16.54,16.17,16.16
2025-07-25,16.82,17.09,16.75,16.8,457292.35,道氏技术,16.66,16.27,16.18
