date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,39.1,39.5,36.75,38.38,87574.5,久之洋,38.38,38.38,38.38
2025-03-25,37.82,41.0,37.35,38.6,84330.5,久之洋,38.49,38.49,38.49
2025-03-26,37.77,39.45,37.01,37.03,61609.0,久之洋,38.0,38.0,38.0
2025-03-27,36.77,36.84,35.01,36.12,52774.5,久之洋,37.53,37.53,37.53
2025-03-28,35.65,36.15,34.71,34.74,33788.5,久之洋,36.97,36.97,36.97
2025-03-31,34.5,34.54,33.42,34.23,25377.5,久之洋,36.14,36.52,36.52
2025-04-01,34.22,36.43,34.22,34.88,31949.5,久之洋,35.4,36.28,36.28
2025-04-02,34.88,34.88,34.3,34.44,15863.5,久之洋,34.88,36.05,36.05
2025-04-03,34.0,34.75,33.6,34.07,16833.5,久之洋,34.47,35.83,35.83
2025-04-07,32.3,32.98,27.26,27.5,53937.0,久之洋,33.02,35.0,35.0
2025-04-08,27.85,29.28,27.85,28.53,33938.5,久之洋,31.88,34.01,34.41
2025-04-09,27.62,33.19,27.33,31.93,69688.5,久之洋,31.29,33.35,34.2
2025-04-10,31.3,32.69,31.3,31.52,55296.0,久之洋,30.71,32.8,34.0
2025-04-11,31.23,33.22,30.99,32.11,43597.88,久之洋,30.32,32.39,33.86
2025-04-14,32.42,32.88,32.13,32.38,29590.33,久之洋,31.29,32.16,33.76
2025-04-15,32.11,32.28,31.45,31.68,20153.5,久之洋,31.92,31.9,33.63
2025-04-16,31.68,32.1,30.45,30.9,19809.5,久之洋,31.72,31.51,33.47
2025-04-17,30.66,31.5,30.51,30.89,15704.5,久之洋,31.59,31.15,33.33
2025-04-18,30.0,30.56,29.9,30.35,20424.92,久之洋,31.24,30.78,33.17
2025-04-21,30.29,30.89,30.0,30.73,12537.0,久之洋,30.91,31.1,33.05
2025-04-22,30.73,31.0,30.4,30.63,10749.0,久之洋,30.7,31.31,32.66
2025-04-23,30.7,31.3,30.53,30.62,14161.5,久之洋,30.64,31.18,32.26
2025-04-24,30.63,30.63,29.4,29.74,20212.0,久之洋,30.41,31.0,31.9
2025-04-25,29.53,29.98,29.47,29.78,10903.0,久之洋,30.3,30.77,31.58
2025-04-28,29.7,29.95,29.08,29.4,12092.5,久之洋,30.03,30.47,31.32
2025-04-29,29.11,29.84,28.92,29.7,9940.0,久之洋,29.85,30.27,31.09
2025-04-30,30.0,30.23,29.61,30.09,11600.0,久之洋,29.74,30.19,30.85
2025-05-06,30.1,30.9,30.1,30.88,13707.0,久之洋,29.97,30.19,30.67
2025-05-07,31.36,32.07,31.03,31.49,31686.5,久之洋,30.31,30.31,30.54
2025-05-08,31.38,32.61,31.31,32.52,28478.5,久之洋,30.94,30.49,30.79
2025-05-09,32.78,33.09,32.09,32.47,31089.0,久之洋,31.49,30.67,30.99
2025-05-12,32.34,36.18,31.89,34.51,72031.0,久之洋,32.37,31.06,31.12
2025-05-13,34.4,34.78,33.47,33.53,40772.0,久之洋,32.9,31.44,31.22
2025-05-14,33.56,33.76,32.8,33.04,22977.0,久之洋,33.21,31.76,31.27
2025-05-15,32.81,33.08,32.38,32.5,15007.0,久之洋,33.21,32.07,31.27
2025-05-16,32.48,33.32,32.33,32.51,18421.33,久之洋,33.22,32.35,31.31
2025-05-19,32.39,32.93,32.0,32.84,16093.5,久之洋,32.88,32.63,31.41
2025-05-20,32.68,32.99,32.51,32.75,14161.5,久之洋,32.73,32.82,31.5
2025-05-21,32.72,32.72,32.05,32.29,12538.5,久之洋,32.58,32.9,31.6
2025-05-22,32.13,32.79,31.9,32.25,15382.5,久之洋,32.53,32.87,31.68
2025-05-23,32.2,32.95,32.0,32.05,18109.65,久之洋,32.44,32.83,31.75
2025-05-26,32.02,32.46,31.95,32.46,11496.0,久之洋,32.36,32.62,31.84
2025-05-27,32.44,32.44,32.0,32.17,9953.49,久之洋,32.24,32.49,31.96
2025-05-28,32.5,32.8,32.2,32.25,14660.5,久之洋,32.24,32.41,32.08
2025-05-29,32.04,32.72,32.04,32.68,13006.5,久之洋,32.32,32.42,32.25
2025-05-30,32.75,33.0,32.2,32.57,17697.5,久之洋,32.43,32.43,32.39
2025-06-03,32.45,33.26,32.45,32.71,19398.5,久之洋,32.48,32.42,32.52
2025-06-04,33.1,33.8,32.85,33.57,33765.0,久之洋,32.76,32.5,32.66
2025-06-05,33.3,33.46,32.81,33.46,17665.52,久之洋,33.0,32.62,32.76
2025-06-06,33.39,34.18,33.01,33.8,28776.0,久之洋,33.22,32.77,32.82
2025-06-09,33.9,34.15,33.55,33.97,21056.0,久之洋,33.5,32.96,32.9
2025-06-10,33.81,34.49,33.3,33.38,25253.0,久之洋,33.64,33.06,32.84
2025-06-11,33.27,33.9,33.15,33.45,13120.5,久之洋,33.61,33.18,32.84
2025-06-12,33.43,33.76,33.1,33.45,14822.0,久之洋,33.61,33.3,32.86
2025-06-13,33.47,34.9,33.46,34.5,47644.5,久之洋,33.75,33.49,32.96
2025-06-16,35.3,35.6,34.32,34.85,36761.0,久之洋,33.93,33.71,33.07
2025-06-17,34.86,35.22,34.33,35.18,26101.0,久之洋,34.29,33.96,33.19
2025-06-18,34.83,35.46,34.27,34.88,31071.0,久之洋,34.57,34.09,33.3
2025-06-19,34.65,35.8,33.5,35.6,45738.0,久之洋,35.0,34.31,33.46
2025-06-20,35.32,36.0,34.63,34.82,38068.05,久之洋,35.07,34.41,33.59
2025-06-23,34.42,34.95,34.23,34.85,21968.0,久之洋,35.07,34.5,33.73
2025-06-24,34.31,34.99,33.77,34.36,33724.0,久之洋,34.9,34.59,33.83
2025-06-25,34.5,36.75,34.26,36.34,60950.62,久之洋,35.19,34.88,34.03
2025-06-26,35.81,39.27,35.81,36.82,78364.94,久之洋,35.44,35.22,34.26
2025-06-27,36.65,37.24,36.34,36.49,44893.43,久之洋,35.77,35.42,34.45
2025-06-30,36.55,37.99,36.55,37.83,52358.95,久之洋,36.37,35.72,34.72
2025-07-01,37.79,39.9,37.2,38.49,74513.98,久之洋,37.19,36.05,35.0
2025-07-02,39.01,41.0,37.18,37.34,123082.39,久之洋,37.39,36.29,35.19
2025-07-03,37.27,44.81,37.27,42.95,240913.33,久之洋,38.62,37.03,35.67
2025-07-04,40.6,42.46,39.0,39.0,187099.28,久之洋,39.12,37.45,35.93
2025-07-07,38.6,40.98,37.92,40.3,142129.25,久之洋,39.62,37.99,36.24
2025-07-08,39.95,40.68,39.08,40.1,98656.5,久之洋,39.94,38.57,36.58
2025-07-09,40.08,40.09,38.83,39.14,75247.5,久之洋,40.3,38.85,36.86
2025-07-10,39.14,39.19,37.53,38.13,57749.49,久之洋,39.33,38.98,37.1
2025-07-11,38.27,39.49,38.13,38.76,61120.13,久之洋,39.29,39.2,37.31
2025-07-14,38.21,38.59,37.85,38.02,49683.5,久之洋,38.83,39.22,37.47
2025-07-15,37.99,38.15,36.93,37.02,46947.77,久之洋,38.21,39.08,37.56
2025-07-16,37.22,37.38,36.82,36.95,28828.0,久之洋,37.78,39.04,37.67
2025-07-17,36.8,37.54,36.7,37.5,31734.31,久之洋,37.65,38.49,37.76
2025-07-18,37.5,38.2,37.26,37.94,43170.0,久之洋,37.49,38.39,37.92
2025-07-21,37.71,38.63,37.55,38.59,40717.0,久之洋,37.6,38.22,38.1
2025-07-22,38.38,39.06,38.16,38.7,48246.5,久之洋,37.94,38.08,38.32
2025-07-23,38.64,38.64,37.57,38.0,39594.81,久之洋,38.15,37.96,38.4
2025-07-24,37.89,38.48,37.8,38.12,25094.5,久之洋,38.27,37.96,38.47
2025-07-25,38.12,39.1,37.71,38.76,39075.5,久之洋,38.43,37.96,38.58
2025-07-28,38.64,39.13,38.38,38.92,30728.5,久之洋,38.5,38.05,38.64
2025-07-29,38.72,39.99,38.63,39.65,48817.53,久之洋,38.69,38.31,38.69
2025-07-30,39.46,40.56,39.21,39.75,46145.0,久之洋,39.04,38.59,38.82
2025-07-31,39.27,39.87,38.6,38.85,43838.5,久之洋,39.19,38.73,38.61
2025-08-01,38.51,39.58,37.72,38.66,39465.5,久之洋,39.17,38.8,38.59
2025-08-04,38.33,40.07,38.18,40.0,47657.6,久之洋,39.38,38.94,38.58
2025-08-05,40.01,41.22,40.01,40.78,52588.5,久之洋,39.61,39.15,38.61
