date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,17.51,17.51,16.07,16.42,48961.5,朗进科技,16.42,16.42,16.42
2025-03-25,16.43,16.75,16.23,16.52,21426.82,朗进科技,16.47,16.47,16.47
2025-03-26,16.47,17.1,16.45,16.81,25659.02,朗进科技,16.58,16.58,16.58
2025-03-27,16.77,17.05,16.31,16.73,21937.0,朗进科技,16.62,16.62,16.62
2025-03-28,16.73,16.8,16.23,16.25,16632.0,朗进科技,16.55,16.55,16.55
2025-03-31,16.2,16.28,15.84,16.1,17739.0,朗进科技,16.48,16.47,16.47
2025-04-01,16.1,16.7,16.02,16.45,18197.0,朗进科技,16.47,16.47,16.47
2025-04-02,16.76,16.81,16.31,16.49,13936.0,朗进科技,16.4,16.47,16.47
2025-04-03,16.46,16.9,16.16,16.53,20587.0,朗进科技,16.36,16.48,16.48
2025-04-07,15.98,15.98,13.3,13.62,34886.0,朗进科技,15.84,16.19,16.19
2025-04-08,13.83,14.67,13.76,14.14,25275.0,朗进科技,15.45,15.96,16.01
2025-04-09,13.74,14.93,13.03,14.86,30007.0,朗进科技,15.13,15.8,15.91
2025-04-10,15.39,15.74,15.17,15.45,29888.0,朗进科技,14.92,15.66,15.87
2025-04-11,15.43,15.92,15.13,15.44,19148.0,朗进科技,14.7,15.53,15.84
2025-04-14,15.68,16.13,15.53,15.73,20476.5,朗进科技,15.12,15.48,15.84
2025-04-15,15.95,15.95,15.51,15.65,11346.52,朗进科技,15.43,15.44,15.82
2025-04-16,15.65,15.86,14.98,15.34,20231.0,朗进科技,15.52,15.32,15.8
2025-04-17,15.33,15.68,15.26,15.43,18112.0,朗进科技,15.52,15.22,15.78
2025-04-18,15.43,15.55,15.05,15.39,19968.0,朗进科技,15.51,15.1,15.76
2025-04-21,15.39,15.67,15.16,15.55,13563.0,朗进科技,15.47,15.3,15.74
2025-04-22,15.55,15.64,15.45,15.46,11241.53,朗进科技,15.43,15.43,15.7
2025-04-23,15.55,15.69,15.48,15.64,10547.53,朗进科技,15.49,15.51,15.65
2025-04-24,15.64,15.79,15.28,15.54,21517.53,朗进科技,15.52,15.52,15.59
2025-04-25,15.54,15.74,15.33,15.5,12859.0,朗进科技,15.54,15.52,15.53
2025-04-28,15.5,15.62,15.12,15.5,17190.0,朗进科技,15.53,15.5,15.49
2025-04-29,15.18,15.89,15.18,15.84,17948.0,朗进科技,15.6,15.52,15.48
2025-04-30,16.0,16.31,15.9,16.21,16751.0,朗进科技,15.72,15.61,15.47
2025-05-06,16.35,16.69,16.31,16.66,18609.0,朗进科技,15.94,15.73,15.47
2025-05-07,16.8,16.99,16.69,16.92,21201.0,朗进科技,16.23,15.88,15.49
2025-05-08,16.95,17.3,16.73,17.2,17989.0,朗进科技,16.57,16.05,15.67
2025-05-09,17.2,17.2,16.83,16.91,13739.0,朗进科技,16.78,16.19,15.81
2025-05-12,16.91,17.8,16.91,17.8,31201.5,朗进科技,17.1,16.41,15.96
2025-05-13,17.8,17.85,17.13,17.16,36074.0,朗进科技,17.2,16.57,16.04
2025-05-14,17.19,17.29,16.8,16.89,22444.0,朗进科技,17.19,16.71,16.12
2025-05-15,16.89,17.2,16.74,16.89,23434.0,朗进科技,17.13,16.85,16.17
2025-05-16,16.9,17.1,16.78,16.91,16567.52,朗进科技,17.13,16.96,16.24
2025-05-19,16.95,17.2,16.76,17.09,16411.0,朗进科技,16.99,17.04,16.32
2025-05-20,17.19,17.36,16.91,17.36,14354.0,朗进科技,17.03,17.11,16.42
2025-05-21,17.29,17.39,16.93,17.16,17588.83,朗进科技,17.08,17.14,16.51
2025-05-22,17.06,17.36,16.88,16.99,19152.0,朗进科技,17.1,17.12,16.58
2025-05-23,17.0,17.25,16.76,16.83,19491.0,朗进科技,17.09,17.11,16.65
2025-05-26,16.75,17.08,16.75,17.05,11825.0,朗进科技,17.08,17.03,16.72
2025-05-27,17.06,17.34,16.82,17.09,17871.33,朗进科技,17.02,17.03,16.8
