date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,16.63,16.65,16.1,16.47,80792.59,欧普康视,16.47,16.47,16.47
2025-03-25,16.46,16.54,16.29,16.52,53860.27,欧普康视,16.49,16.49,16.49
2025-03-26,16.49,16.6,16.42,16.46,51639.34,欧普康视,16.48,16.48,16.48
2025-03-27,16.41,16.7,16.2,16.66,72001.49,欧普康视,16.53,16.53,16.53
2025-03-28,16.64,16.81,16.41,16.41,63238.23,欧普康视,16.5,16.5,16.5
2025-03-31,16.21,16.37,15.72,15.87,109691.7,欧普康视,16.38,16.4,16.4
2025-04-01,15.92,16.47,15.91,16.21,85905.62,欧普康视,16.32,16.37,16.37
2025-04-02,16.18,16.23,16.0,16.05,56062.94,欧普康视,16.24,16.33,16.33
2025-04-03,15.9,16.25,15.88,15.98,64699.55,欧普康视,16.1,16.29,16.29
2025-04-07,15.45,15.65,13.6,13.75,238011.27,欧普康视,15.57,16.04,16.04
2025-04-08,14.1,14.7,14.08,14.39,142655.99,欧普康视,15.28,15.83,15.89
2025-04-09,14.24,14.69,13.79,14.6,116017.1,欧普康视,14.95,15.64,15.78
2025-04-10,14.88,15.16,14.73,14.86,98974.89,欧普康视,14.72,15.48,15.71
2025-04-11,14.82,15.0,14.73,14.86,73831.41,欧普康视,14.49,15.3,15.65
2025-04-14,15.03,15.09,14.83,14.85,66625.17,欧普康视,14.71,15.14,15.6
2025-04-15,14.82,15.38,14.7,15.0,135635.9,欧普康视,14.83,15.06,15.56
2025-04-16,14.87,14.9,14.49,14.73,71394.26,欧普康视,14.86,14.91,15.51
2025-04-17,14.66,14.84,14.6,14.61,56485.53,欧普康视,14.81,14.76,15.46
2025-04-18,14.59,14.71,14.49,14.56,38769.8,欧普康视,14.75,14.62,15.41
2025-04-21,14.58,14.76,14.45,14.72,41420.2,欧普康视,14.72,14.72,15.38
2025-04-22,14.68,14.84,14.6,14.73,45945.32,欧普康视,14.67,14.75,15.29
2025-04-23,14.84,14.91,14.61,14.71,66356.5,欧普康视,14.67,14.76,15.2
2025-04-24,14.71,14.84,14.63,14.68,50259.46,欧普康视,14.68,14.74,15.11
2025-04-25,14.75,14.93,14.7,14.72,50235.29,欧普康视,14.71,14.73,15.01
2025-04-28,14.7,14.78,14.5,14.52,58301.3,欧普康视,14.67,14.7,14.92
2025-04-29,14.53,14.61,14.47,14.58,38052.92,欧普康视,14.64,14.66,14.86
2025-04-30,14.6,14.75,14.58,14.71,47716.0,欧普康视,14.64,14.65,14.78
2025-05-06,14.85,15.1,14.77,15.07,76415.81,欧普康视,14.72,14.7,14.73
2025-05-07,15.34,15.44,14.92,15.14,83800.8,欧普康视,14.8,14.76,14.69
2025-05-08,15.08,15.27,15.03,15.24,55679.93,欧普康视,14.95,14.81,14.76
2025-05-09,15.29,15.3,15.0,15.04,48438.65,欧普康视,15.04,14.84,14.8
2025-05-12,15.11,15.22,15.06,15.17,61847.5,欧普康视,15.13,14.89,14.82
2025-05-13,15.29,15.32,15.13,15.24,58779.91,欧普康视,15.17,14.94,14.84
2025-05-14,15.2,15.34,15.06,15.24,55852.6,欧普康视,15.19,15.0,14.86
2025-05-15,15.06,15.07,14.89,14.98,42333.4,欧普康视,15.13,15.04,14.87
2025-05-16,14.95,15.13,14.93,15.07,36898.38,欧普康视,15.14,15.09,14.87
2025-05-19,15.07,15.07,14.88,15.04,41835.21,欧普康视,15.11,15.12,14.89
2025-05-20,15.1,15.35,15.02,15.32,70896.17,欧普康视,15.13,15.15,14.92
2025-05-21,15.23,15.42,15.19,15.28,43846.53,欧普康视,15.14,15.16,14.96
2025-05-22,15.22,15.3,15.05,15.07,41453.92,欧普康视,15.16,15.15,14.98
2025-05-23,15.1,15.24,14.96,14.96,47129.48,欧普康视,15.13,15.14,14.99
2025-05-26,14.97,15.08,14.86,14.98,36161.14,欧普康视,15.12,15.12,15.0
2025-05-27,14.97,15.03,14.87,14.98,31604.86,欧普康视,15.05,15.09,15.02
2025-05-28,14.95,15.05,14.91,14.97,27831.25,欧普康视,14.99,15.07,15.03
2025-05-29,14.95,15.24,14.91,15.22,55737.32,欧普康视,15.02,15.09,15.07
2025-05-30,15.19,15.3,15.13,15.17,50486.17,欧普康视,15.06,15.1,15.09
2025-06-03,15.05,15.72,15.0,15.65,121764.18,欧普康视,15.2,15.16,15.14
2025-06-04,15.53,15.62,15.46,15.54,64930.91,欧普康视,15.31,15.18,15.16
2025-06-05,15.54,15.59,15.38,15.44,60381.18,欧普康视,15.4,15.2,15.18
2025-06-06,15.49,15.5,15.25,15.29,43766.39,欧普康视,15.42,15.22,15.18
2025-06-09,15.3,15.61,15.29,15.51,72961.63,欧普康视,15.49,15.28,15.21
2025-06-10,15.5,15.62,15.15,15.37,66059.4,欧普康视,15.43,15.31,15.22
2025-06-11,15.36,15.53,15.3,15.32,54723.6,欧普康视,15.39,15.35,15.22
2025-06-12,15.29,15.43,15.22,15.42,54644.06,欧普康视,15.38,15.39,15.23
2025-06-13,15.42,15.49,15.01,15.05,110324.62,欧普康视,15.33,15.38,15.23
2025-06-16,15.0,15.08,14.91,14.95,55292.16,欧普康视,15.22,15.35,15.23
2025-06-17,15.03,15.33,14.98,15.09,61799.56,欧普康视,15.17,15.3,15.23
2025-06-18,15.01,15.06,14.81,14.85,47323.51,欧普康视,15.07,15.23,15.21
2025-06-19,14.86,14.93,14.6,14.68,46423.72,欧普康视,14.92,15.15,15.18
2025-06-20,14.68,14.79,14.63,14.66,32350.05,欧普康视,14.85,15.09,15.15
2025-06-23,14.7,14.83,14.6,14.78,37513.6,欧普康视,14.81,15.02,15.15
2025-06-24,14.8,15.05,14.79,15.04,62815.33,欧普康视,14.8,14.98,15.15
2025-06-25,15.08,15.34,14.93,15.34,74330.9,欧普康视,14.9,14.99,15.17
2025-06-26,15.34,15.42,15.11,15.13,57503.4,欧普康视,14.99,14.96,15.18
2025-06-27,15.21,15.33,15.13,15.14,55888.62,欧普康视,15.09,14.97,15.17
2025-06-30,15.16,15.3,15.11,15.27,63175.49,欧普康视,15.18,15.0,15.18
2025-07-01,15.28,15.36,15.15,15.34,60966.7,欧普康视,15.24,15.02,15.16
2025-07-02,15.33,15.35,15.19,15.29,48434.77,欧普康视,15.23,15.07,15.15
2025-07-03,15.38,15.47,15.3,15.42,72850.83,欧普康视,15.29,15.14,15.15
2025-07-04,15.45,15.46,15.27,15.33,59260.46,欧普康视,15.33,15.21,15.15
2025-07-07,15.4,15.57,15.36,15.39,67523.43,欧普康视,15.35,15.27,15.14
2025-07-08,15.3,15.59,15.27,15.54,78513.56,欧普康视,15.39,15.32,15.15
2025-07-09,15.54,15.72,15.45,15.5,78686.47,欧普康视,15.44,15.34,15.16
2025-07-10,15.5,15.68,15.44,15.63,68902.88,欧普康视,15.48,15.38,15.17
2025-07-11,15.55,15.73,15.53,15.67,71379.2,欧普康视,15.55,15.44,15.2
2025-07-14,15.67,15.69,15.55,15.61,52956.9,欧普康视,15.59,15.47,15.24
2025-07-15,15.64,15.65,15.27,15.5,86795.44,欧普康视,15.58,15.49,15.26
2025-07-16,15.53,15.62,15.45,15.56,60751.72,欧普康视,15.59,15.52,15.29
2025-07-17,15.56,15.8,15.55,15.79,68363.07,欧普康视,15.63,15.55,15.35
2025-07-18,15.81,15.96,15.71,15.96,73332.69,欧普康视,15.68,15.62,15.41
2025-07-21,15.97,15.99,15.84,15.92,72310.45,欧普康视,15.75,15.67,15.47
2025-07-22,15.92,16.08,15.87,16.0,97107.47,欧普康视,15.85,15.71,15.52
2025-07-23,16.0,19.2,15.98,18.26,759600.56,欧普康视,16.39,15.99,15.66
2025-07-24,17.61,18.25,17.52,18.03,507863.27,欧普康视,16.83,16.23,15.81
2025-07-25,18.1,18.55,17.89,17.98,332219.47,欧普康视,17.24,16.46,15.95
2025-07-28,18.08,18.28,17.86,18.06,234627.98,欧普康视,17.67,16.71,16.09
2025-07-29,18.08,18.65,17.59,18.2,333519.07,欧普康视,18.11,16.98,16.23
2025-07-30,18.16,18.55,17.93,18.12,258927.04,欧普康视,18.08,17.23,16.37
2025-07-31,18.08,18.31,17.81,17.91,212428.93,欧普康视,18.05,17.44,16.5
2025-08-01,17.91,18.26,17.75,18.03,153949.92,欧普康视,18.06,17.65,16.63
2025-08-04,18.48,19.6,18.48,19.3,422534.79,欧普康视,18.31,17.99,16.83
2025-08-05,19.35,19.69,18.81,18.93,272986.58,欧普康视,18.46,18.28,17.0
2025-08-06,18.9,18.9,18.52,18.74,178249.86,欧普康视,18.58,18.33,17.16
2025-08-07,18.61,19.48,18.61,19.29,247177.24,欧普康视,18.86,18.46,17.34
2025-08-08,19.2,19.31,18.7,18.78,191323.25,欧普康视,19.01,18.54,17.5
2025-08-11,18.76,18.94,18.59,18.87,129880.66,欧普康视,18.92,18.62,17.66
2025-08-12,18.86,19.36,18.71,19.11,197506.5,欧普康视,18.96,18.71,17.84
2025-08-13,19.12,19.39,18.85,19.2,200712.84,欧普康视,19.05,18.82,18.02
2025-08-14,19.3,19.31,18.52,18.56,200921.82,欧普康视,18.9,18.88,18.16
2025-08-15,18.58,19.03,18.5,18.94,147612.63,欧普康视,18.94,18.97,18.31
2025-08-18,18.95,19.4,18.95,19.23,202492.19,欧普康视,19.01,18.96,18.48
2025-08-19,19.23,19.98,19.11,19.32,239848.63,欧普康视,19.05,19.0,18.64
2025-08-20,19.3,19.74,19.1,19.3,173660.88,欧普康视,19.07,19.06,18.7
2025-08-21,19.27,19.64,18.9,19.08,177735.33,欧普康视,19.17,19.04,18.75
2025-08-22,19.18,19.63,18.96,19.38,202385.68,欧普康视,19.26,19.1,18.82
2025-08-25,19.05,19.5,18.95,19.18,272155.05,欧普康视,19.25,19.13,18.87
2025-08-26,19.19,19.58,18.85,19.0,207161.59,欧普康视,19.19,19.12,18.91
2025-08-27,18.97,19.09,18.37,18.42,194393.6,欧普康视,19.01,19.04,18.93
2025-08-28,18.42,18.65,17.63,18.24,218862.47,欧普康视,18.84,19.01,18.94
2025-08-29,18.21,18.35,17.97,18.05,137219.88,欧普康视,18.58,18.92,18.95
2025-09-01,18.06,18.68,18.0,18.54,193229.73,欧普康视,18.45,18.85,18.91
2025-09-02,18.4,18.49,17.82,18.05,133978.17,欧普康视,18.26,18.72,18.86
2025-09-03,18.06,18.19,17.57,17.61,105038.92,欧普康视,18.1,18.56,18.81
2025-09-04,17.63,17.85,17.18,17.46,111045.78,欧普康视,17.94,18.39,18.72
2025-09-05,17.58,17.98,17.36,17.95,97131.69,欧普康视,17.92,18.25,18.67
2025-09-08,17.97,18.67,17.9,18.28,226804.21,欧普康视,17.87,18.16,18.64
2025-09-09,18.25,18.27,17.8,17.92,114726.95,欧普康视,17.84,18.05,18.59
2025-09-10,17.88,18.04,17.73,17.75,76855.7,欧普康视,17.87,17.98,18.51
2025-09-11,17.7,18.15,17.34,18.13,128279.59,欧普康视,18.01,17.97,18.49
2025-09-12,18.14,18.27,17.91,18.03,93168.24,欧普康视,18.02,17.97,18.45
2025-09-15,17.99,18.08,17.67,17.76,102262.64,欧普康视,17.92,17.89,18.37
2025-09-16,17.76,17.84,17.6,17.8,68542.54,欧普康视,17.89,17.87,18.3
2025-09-17,17.86,17.94,17.63,17.88,75493.25,欧普康视,17.92,17.9,18.23
2025-09-18,17.88,17.98,17.22,17.36,127738.95,欧普康视,17.77,17.89,18.14
2025-09-19,17.35,17.48,17.08,17.15,88042.88,欧普康视,17.59,17.81,18.03
2025-09-22,17.52,17.52,16.95,17.08,68915.45,欧普康视,17.45,17.69,17.92
2025-09-23,17.03,17.15,16.44,16.77,114390.65,欧普康视,17.25,17.57,17.81
2025-09-24,16.78,16.96,16.73,16.92,70468.86,欧普康视,17.06,17.49,17.74
2025-09-25,16.96,17.05,16.8,16.84,78747.51,欧普康视,16.95,17.36,17.67
2025-09-26,16.73,16.73,16.48,16.53,85451.89,欧普康视,16.83,17.21,17.59
2025-09-29,16.61,16.78,16.21,16.67,128553.58,欧普康视,16.75,17.1,17.5
2025-09-30,16.66,17.28,16.61,17.15,138676.52,欧普康视,16.82,17.04,17.45
2025-10-09,17.15,17.29,17.02,17.16,127246.82,欧普康视,16.87,16.96,17.43
2025-10-10,17.08,17.1,16.6,16.71,142583.61,欧普康视,16.84,16.9,17.39
2025-10-13,16.4,16.58,16.12,16.54,106184.87,欧普康视,16.85,16.84,17.32
2025-10-14,16.56,16.78,16.38,16.43,88170.66,欧普康视,16.8,16.77,17.23
2025-10-15,16.5,16.65,16.31,16.59,68678.75,欧普康视,16.69,16.75,17.16
2025-10-16,16.54,16.65,16.4,16.44,66231.96,欧普康视,16.54,16.71,17.1
2025-10-17,16.41,16.53,16.01,16.02,88001.84,欧普康视,16.4,16.62,16.99
2025-10-20,16.13,16.19,16.0,16.09,65660.68,欧普康视,16.31,16.58,16.89
2025-10-21,16.09,16.14,16.03,16.1,85500.6,欧普康视,16.25,16.52,16.81
2025-10-22,16.08,16.21,15.94,15.96,81251.0,欧普康视,16.12,16.4,16.72
2025-10-23,15.93,16.1,15.76,16.08,68766.9,欧普康视,16.05,16.3,16.63
2025-10-24,16.07,16.22,16.05,16.11,68271.26,欧普康视,16.07,16.24,16.57
2025-10-27,16.4,16.73,16.29,16.4,139002.74,欧普康视,16.13,16.22,16.53
2025-10-28,16.4,16.68,16.3,16.58,109245.27,欧普康视,16.23,16.24,16.5
2025-10-29,16.6,16.68,16.44,16.66,76423.06,欧普康视,16.37,16.24,16.5
2025-10-30,16.58,16.75,16.46,16.52,106046.67,欧普康视,16.45,16.25,16.48
2025-10-31,16.52,16.75,16.51,16.66,94175.89,欧普康视,16.56,16.32,16.47
2025-11-03,16.69,16.73,16.44,16.69,89081.35,欧普康视,16.62,16.38,16.48
2025-11-04,16.66,16.66,16.37,16.48,76332.18,欧普康视,16.6,16.41,16.47
