date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,41.5,41.94,40.0,40.7,69752.73,华测导航,40.7,40.7,40.7
2025-03-25,40.6,40.96,39.9,40.06,45243.05,华测导航,40.38,40.38,40.38
2025-03-26,40.08,40.76,40.0,40.06,37423.57,华测导航,40.27,40.27,40.27
2025-03-27,40.01,41.2,39.76,40.77,44242.57,华测导航,40.4,40.4,40.4
2025-03-28,40.85,41.44,40.63,40.8,33024.61,华测导航,40.48,40.48,40.48
2025-03-31,40.79,41.89,40.69,41.35,54270.54,华测导航,40.61,40.62,40.62
2025-04-01,41.68,41.74,40.7,40.71,44189.35,华测导航,40.74,40.64,40.64
2025-04-02,40.73,41.86,40.68,41.34,51158.57,华测导航,40.99,40.72,40.72
2025-04-03,41.01,41.63,39.8,40.2,59153.27,华测导航,40.88,40.67,40.67
2025-04-07,38.12,39.0,35.53,36.55,105825.32,华测导航,40.03,40.25,40.25
2025-04-08,37.24,38.59,37.08,37.63,84784.9,华测导航,39.29,39.95,40.02
2025-04-09,37.73,40.87,37.2,39.41,127408.29,华测导航,39.03,39.88,39.97
2025-04-10,40.25,40.66,39.6,40.16,87241.09,华测导航,38.79,39.89,39.98
2025-04-11,39.87,41.75,39.8,41.53,75089.07,华测导航,39.06,39.97,40.09
2025-04-14,41.51,41.77,39.75,39.8,92368.52,华测导航,39.71,39.87,40.07
2025-04-15,39.85,39.98,38.95,39.5,59134.43,华测导航,40.08,39.68,40.04
2025-04-16,39.39,39.68,38.82,39.3,33331.52,华测导航,40.06,39.54,39.99
2025-04-17,38.99,39.9,38.91,39.57,40435.95,华测导航,39.94,39.36,39.97
2025-04-18,40.0,41.27,39.99,40.85,62904.56,华测导航,39.8,39.43,40.02
2025-04-21,40.74,41.3,40.61,40.82,36876.07,华测导航,40.01,39.86,40.06
2025-04-22,40.71,41.12,40.2,41.0,42656.44,华测导航,40.31,40.19,40.07
2025-04-23,41.18,41.38,40.3,40.9,91419.52,华测导航,40.63,40.34,40.11
2025-04-24,40.85,40.95,40.01,40.63,46837.77,华测导航,40.84,40.39,40.14
2025-04-25,40.78,42.4,40.76,42.21,100991.76,华测导航,41.11,40.46,40.21
2025-04-28,41.9,43.24,41.65,42.53,82699.56,华测导航,41.45,40.73,40.3
2025-04-29,42.5,42.5,41.31,41.81,45992.77,华测导航,41.62,40.96,40.32
2025-04-30,41.75,42.82,41.75,42.55,45642.73,华测导航,41.95,41.29,40.41
2025-05-06,42.6,43.66,42.6,43.49,89899.83,华测导航,42.52,41.68,40.52
2025-05-07,43.95,44.29,42.79,43.05,66877.91,华测导航,42.69,41.9,40.66
2025-05-08,42.87,43.95,42.78,43.54,49475.01,华测导航,42.89,42.17,41.01
2025-05-09,43.7,43.88,42.7,42.88,49042.88,华测导航,43.1,42.36,41.28
2025-05-12,43.18,44.34,42.95,43.96,74216.4,华测导航,43.38,42.67,41.5
2025-05-13,44.0,44.02,42.9,43.05,54519.45,华测导航,43.3,42.91,41.65
2025-05-14,42.94,44.05,42.9,43.38,44305.36,华测导航,43.36,43.02,41.74
2025-05-15,43.38,43.59,42.61,42.64,31024.07,华测导航,43.18,43.04,41.88
2025-05-16,42.53,43.04,42.3,42.4,31071.38,华测导航,43.09,43.09,42.03
2025-05-19,42.49,42.97,42.25,42.76,28928.06,华测导航,42.85,43.11,42.2
2025-05-20,42.78,43.35,42.66,42.95,31727.17,华测导航,42.83,43.06,42.37
2025-05-21,42.86,43.77,42.86,43.24,32837.23,华测导航,42.8,43.08,42.49
2025-05-22,43.18,43.78,42.7,43.44,46597.6,华测导航,42.96,43.07,42.62
2025-05-23,43.14,44.34,42.73,43.5,76817.62,华测导航,43.18,43.13,42.75
2025-05-26,43.51,44.08,42.95,43.13,49914.78,华测导航,43.25,43.05,42.86
2025-05-27,43.12,43.88,42.68,42.72,39460.6,华测导航,43.21,43.02,42.96
2025-05-28,42.72,45.35,42.72,45.1,127299.55,华测导航,43.58,43.19,43.11
2025-05-29,44.86,45.55,44.58,45.4,91279.76,华测导航,43.97,43.46,43.25
2025-05-30,45.12,45.8,44.55,44.95,48480.7,华测导航,44.26,43.72,43.41
2025-06-03,44.78,46.09,44.78,45.99,91398.33,华测导航,44.83,44.04,43.58
2025-06-04,45.74,46.79,45.73,46.05,76376.03,华测导航,45.5,44.35,43.71
