date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,7.87,8.04,7.69,7.79,61131.2,同和药业,7.79,7.79,7.79
2025-03-25,7.79,7.84,7.69,7.76,53120.51,同和药业,7.78,7.78,7.78
2025-03-26,7.75,7.96,7.73,7.94,52437.1,同和药业,7.83,7.83,7.83
2025-03-27,7.94,7.99,7.76,7.97,60904.2,同和药业,7.86,7.86,7.86
2025-03-28,7.91,8.09,7.86,7.86,71727.95,同和药业,7.86,7.86,7.86
2025-03-31,7.79,7.83,7.53,7.59,89444.04,同和药业,7.82,7.82,7.82
2025-04-01,7.64,8.15,7.62,7.92,192031.52,同和药业,7.86,7.83,7.83
2025-04-02,7.92,8.05,7.85,8.01,98218.7,同和药业,7.87,7.86,7.86
2025-04-03,7.95,8.12,7.91,8.0,103735.05,同和药业,7.88,7.87,7.87
2025-04-07,7.61,7.72,6.44,6.59,201540.14,同和药业,7.62,7.74,7.74
2025-04-08,6.72,7.07,6.72,6.92,111835.93,同和药业,7.49,7.66,7.67
2025-04-09,6.82,6.94,6.38,6.87,112208.08,同和药业,7.28,7.57,7.6
2025-04-10,7.02,7.18,6.98,7.08,99158.43,同和药业,7.09,7.48,7.56
2025-04-11,6.99,7.15,6.96,7.02,68432.42,同和药业,6.9,7.39,7.52
2025-04-14,7.05,7.23,7.05,7.14,65624.3,同和药业,7.01,7.31,7.5
2025-04-15,7.14,7.29,7.05,7.19,55622.2,同和药业,7.06,7.27,7.48
2025-04-16,7.15,7.15,6.89,7.02,59894.0,同和药业,7.09,7.18,7.45
2025-04-17,7.0,7.13,6.93,7.1,43855.3,同和药业,7.09,7.09,7.43
2025-04-18,7.08,7.27,7.03,7.09,46919.0,同和药业,7.11,7.0,7.41
2025-04-21,7.07,7.32,7.01,7.24,91107.84,同和药业,7.13,7.07,7.4
2025-04-22,7.24,7.37,7.2,7.31,59102.1,同和药业,7.15,7.11,7.38
2025-04-23,7.39,7.39,7.27,7.32,48484.91,同和药业,7.21,7.15,7.36
2025-04-24,7.33,7.44,7.3,7.4,66989.0,同和药业,7.27,7.18,7.33
2025-04-25,7.11,7.13,6.92,7.06,114304.8,同和药业,7.27,7.19,7.29
2025-04-28,7.03,7.04,6.74,6.82,91257.9,同和药业,7.18,7.15,7.23
2025-04-29,6.91,7.02,6.84,6.95,60506.09,同和药业,7.11,7.13,7.2
2025-04-30,7.0,7.13,6.93,7.09,47112.7,同和药业,7.06,7.14,7.16
2025-05-06,7.12,7.28,7.12,7.25,60823.23,同和药业,7.03,7.15,7.12
2025-05-07,7.3,7.36,7.21,7.27,58283.95,同和药业,7.08,7.17,7.09
2025-05-08,7.26,7.35,7.24,7.33,40089.9,同和药业,7.18,7.18,7.12
2025-05-09,7.33,7.36,7.21,7.23,33763.0,同和药业,7.23,7.17,7.14
2025-05-12,7.31,7.49,7.27,7.32,53768.0,同和药业,7.28,7.17,7.16
2025-05-13,7.36,7.4,7.25,7.31,40747.2,同和药业,7.29,7.16,7.17
2025-05-14,7.31,7.34,7.22,7.29,32968.0,同和药业,7.3,7.19,7.19
2025-05-15,7.3,7.39,7.25,7.31,43410.5,同和药业,7.29,7.24,7.19
2025-05-16,7.31,7.44,7.27,7.33,78403.2,同和药业,7.31,7.27,7.2
2025-05-19,7.33,7.33,7.18,7.26,56623.5,同和药业,7.3,7.29,7.21
2025-05-20,7.26,7.44,7.22,7.4,55531.5,同和药业,7.32,7.3,7.23
2025-05-21,7.37,7.48,7.35,7.43,47993.5,同和药业,7.35,7.32,7.25
2025-05-22,7.41,7.48,7.36,7.39,56623.0,同和药业,7.36,7.33,7.25
2025-05-23,7.39,7.64,7.32,7.45,97211.08,同和药业,7.39,7.35,7.26
2025-05-26,7.45,7.47,7.23,7.3,70198.5,同和药业,7.39,7.35,7.26
2025-05-27,7.31,7.46,7.27,7.42,70442.5,同和药业,7.4,7.36,7.26
2025-05-28,7.44,7.47,7.34,7.36,55659.0,同和药业,7.38,7.36,7.28
2025-05-29,7.36,7.59,7.3,7.53,59334.84,同和药业,7.41,7.39,7.31
2025-05-30,7.53,7.63,7.48,7.54,60103.81,同和药业,7.43,7.41,7.34
2025-06-03,7.49,8.26,7.49,8.08,263816.37,同和药业,7.59,7.49,7.39
2025-06-04,8.13,8.31,8.0,8.1,141044.7,同和药业,7.72,7.56,7.43
2025-06-05,8.08,8.14,7.95,8.12,87734.92,同和药业,7.87,7.63,7.48
2025-06-06,8.11,8.12,7.98,8.04,67787.2,同和药业,7.98,7.69,7.51
2025-06-09,8.04,8.25,8.04,8.2,92273.66,同和药业,8.11,7.77,7.56
2025-06-10,8.18,8.28,8.01,8.14,100880.79,同和药业,8.12,7.85,7.6
2025-06-11,8.15,8.22,8.06,8.07,63536.7,同和药业,8.11,7.92,7.64
2025-06-12,8.02,8.12,8.01,8.12,54836.7,同和药业,8.11,7.99,7.68
2025-06-13,8.06,8.16,7.84,7.86,78554.98,同和药业,8.08,8.03,7.71
2025-06-16,7.87,8.01,7.78,7.91,62090.0,同和药业,8.02,8.06,7.74
2025-06-17,7.97,8.09,7.75,7.82,74114.8,同和药业,7.96,8.04,7.76
2025-06-18,7.78,7.8,7.66,7.71,48668.0,同和药业,7.88,8.0,7.78
2025-06-19,7.71,7.73,7.45,7.48,66870.51,同和药业,7.76,7.94,7.78
2025-06-20,7.46,7.58,7.43,7.47,46942.0,同和药业,7.68,7.88,7.79
2025-06-23,7.36,7.67,7.31,7.59,57544.0,同和药业,7.61,7.82,7.79
2025-06-24,7.61,7.71,7.59,7.69,42768.7,同和药业,7.59,7.77,7.81
2025-06-25,7.68,7.72,7.56,7.65,52356.87,同和药业,7.58,7.73,7.82
2025-06-26,7.64,7.66,7.5,7.53,38046.0,同和药业,7.59,7.67,7.83
2025-06-27,7.54,7.61,7.52,7.56,30925.0,同和药业,7.6,7.64,7.83
2025-06-30,7.58,7.68,7.53,7.68,35791.7,同和药业,7.62,7.62,7.84
2025-07-01,7.67,8.03,7.66,8.01,101079.39,同和药业,7.69,7.64,7.84
2025-07-02,7.99,8.06,7.9,8.01,79699.5,同和药业,7.76,7.67,7.83
2025-07-03,7.99,8.08,7.94,8.06,56190.74,同和药业,7.86,7.72,7.83
2025-07-04,8.06,8.12,7.96,8.0,49986.5,同和药业,7.95,7.78,7.83
2025-07-07,7.95,8.03,7.9,7.93,42342.7,同和药业,8.0,7.81,7.81
2025-07-08,7.96,8.07,7.9,7.96,44508.0,同和药业,7.99,7.84,7.81
2025-07-09,7.95,7.99,7.89,7.95,41192.49,同和药业,7.98,7.87,7.8
2025-07-10,7.96,8.05,7.93,7.99,59757.66,同和药业,7.97,7.91,7.79
2025-07-11,7.99,8.04,7.9,8.0,52616.42,同和药业,7.97,7.96,7.8
2025-07-14,7.99,8.15,7.96,8.13,56758.88,同和药业,8.01,8.0,7.81
2025-07-15,8.11,8.13,7.92,8.02,55779.64,同和药业,8.02,8.0,7.82
2025-07-16,8.0,8.18,7.99,8.15,62203.01,同和药业,8.06,8.02,7.84
2025-07-17,8.16,8.25,8.12,8.2,59159.67,同和药业,8.1,8.03,7.88
2025-07-18,8.21,8.25,8.09,8.23,56093.0,同和药业,8.15,8.06,7.92
2025-07-21,8.21,8.27,8.14,8.25,44876.24,同和药业,8.17,8.09,7.95
2025-07-22,8.29,8.33,8.17,8.2,59874.91,同和药业,8.21,8.11,7.98
2025-07-23,8.23,8.38,8.18,8.19,66429.27,同和药业,8.21,8.14,8.0
2025-07-24,8.17,8.35,8.16,8.3,83247.09,同和药业,8.23,8.17,8.04
2025-07-25,8.29,8.39,8.24,8.27,81794.5,同和药业,8.24,8.19,8.08
2025-07-28,8.3,8.52,8.25,8.46,106421.9,同和药业,8.28,8.23,8.12
2025-07-29,8.49,8.58,8.35,8.57,106520.0,同和药业,8.36,8.28,8.14
2025-07-30,8.53,8.68,8.44,8.55,115956.5,同和药业,8.43,8.32,8.17
2025-07-31,8.5,8.9,8.48,8.74,215685.36,同和药业,8.52,8.38,8.2
2025-08-01,8.72,8.88,8.57,8.59,175880.57,同和药业,8.58,8.41,8.23
2025-08-04,8.57,8.8,8.41,8.77,171140.78,同和药业,8.64,8.46,8.28
2025-08-05,8.77,8.83,8.6,8.68,115129.5,同和药业,8.67,8.51,8.31
2025-08-06,8.67,8.7,8.49,8.63,112906.9,同和药业,8.68,8.56,8.35
2025-08-07,8.64,8.64,8.35,8.4,134182.77,同和药业,8.61,8.57,8.37
2025-08-08,8.46,8.47,8.27,8.42,96613.62,同和药业,8.58,8.58,8.39
2025-08-11,8.45,8.63,8.43,8.58,95262.5,同和药业,8.54,8.59,8.41
2025-08-12,8.65,8.7,8.47,8.55,73248.5,同和药业,8.52,8.59,8.44
2025-08-13,8.56,8.65,8.4,8.52,81154.17,同和药业,8.49,8.59,8.46
2025-08-14,8.52,8.56,8.35,8.35,64681.8,同和药业,8.48,8.55,8.46
