date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,10.2,10.39,9.95,10.33,384825.54,岱勒新材,10.33,10.33,10.33
2025-03-25,10.01,10.29,9.7,9.88,273234.49,岱勒新材,10.1,10.1,10.1
2025-03-26,9.79,9.94,9.59,9.81,170469.73,岱勒新材,10.01,10.01,10.01
2025-03-27,9.87,9.97,9.44,9.57,146581.6,岱勒新材,9.9,9.9,9.9
2025-03-28,9.77,10.49,9.53,9.69,247446.16,岱勒新材,9.86,9.86,9.86
2025-03-31,9.5,9.64,8.98,9.21,186123.28,岱勒新材,9.63,9.75,9.75
2025-04-01,9.39,9.68,9.26,9.64,141058.76,岱勒新材,9.58,9.73,9.73
2025-04-02,9.54,10.08,9.48,9.66,170191.9,岱勒新材,9.55,9.72,9.72
2025-04-03,9.65,10.05,9.23,9.48,177047.6,岱勒新材,9.54,9.7,9.7
2025-04-07,8.5,8.88,7.58,7.58,212000.61,岱勒新材,9.11,9.49,9.49
2025-04-08,7.69,7.75,7.11,7.49,204140.0,岱勒新材,8.77,9.2,9.3
2025-04-09,7.23,8.99,7.18,8.99,292855.83,岱勒新材,8.64,9.11,9.28
2025-04-10,8.97,9.67,8.7,9.22,507902.79,岱勒新材,8.55,9.05,9.27
2025-04-11,9.6,11.06,9.58,9.98,656446.87,岱勒新材,8.65,9.09,9.32
2025-04-14,10.05,10.18,9.47,9.57,516972.63,岱勒新材,9.05,9.08,9.34
2025-04-15,9.84,9.96,9.46,9.63,380249.0,岱勒新材,9.48,9.12,9.36
2025-04-16,9.31,9.45,8.72,8.85,326789.72,岱勒新材,9.45,9.04,9.33
2025-04-17,8.74,9.16,8.6,8.97,223973.89,岱勒新材,9.4,8.98,9.31
2025-04-18,9.05,9.14,8.43,8.44,218790.92,岱勒新材,9.09,8.87,9.26
2025-04-21,8.4,8.57,8.23,8.52,130849.04,岱勒新材,8.88,8.97,9.23
2025-04-22,8.51,8.55,8.3,8.41,122061.89,岱勒新材,8.64,9.06,9.13
2025-04-23,8.45,8.62,8.3,8.41,153576.27,岱勒新材,8.55,9.0,9.06
2025-04-24,8.21,8.7,8.02,8.59,236560.6,岱勒新材,8.47,8.94,9.0
2025-04-25,8.41,8.64,8.32,8.54,138319.4,岱勒新材,8.49,8.79,8.94
2025-04-28,8.45,8.53,8.31,8.41,80582.93,岱勒新材,8.47,8.68,8.88
2025-04-29,8.57,8.69,8.37,8.58,114346.2,岱勒新材,8.51,8.57,8.85
2025-04-30,8.62,8.87,8.55,8.71,121585.12,岱勒新材,8.57,8.56,8.8
2025-05-06,8.72,9.05,8.72,9.04,140723.04,岱勒新材,8.66,8.56,8.77
2025-05-07,9.16,9.25,8.86,9.01,153500.08,岱勒新材,8.75,8.62,8.75
2025-05-08,9.05,9.76,8.96,9.59,257774.14,岱勒新材,8.99,8.73,8.85
2025-05-09,9.62,10.05,9.29,9.36,203020.95,岱勒新材,9.14,8.82,8.94
2025-05-12,9.5,9.52,9.2,9.34,139341.8,岱勒新材,9.27,8.92,8.96
2025-05-13,9.49,9.5,9.15,9.32,115111.48,岱勒新材,9.32,8.99,8.96
2025-05-14,9.29,9.35,9.19,9.29,81913.68,岱勒新材,9.38,9.06,8.93
2025-05-15,9.28,9.38,9.11,9.33,86757.36,岱勒新材,9.33,9.16,8.92
2025-05-16,9.28,9.58,9.22,9.46,132806.8,岱勒新材,9.35,9.25,8.91
2025-05-19,9.4,9.55,9.16,9.55,109081.6,岱勒新材,9.39,9.33,8.94
2025-05-20,9.31,9.8,8.85,9.72,239265.04,岱勒新材,9.47,9.4,8.98
2025-05-21,9.71,9.77,9.37,9.39,122756.79,岱勒新材,9.49,9.43,9.03
2025-05-22,9.4,9.46,9.1,9.14,111196.12,岱勒新材,9.45,9.39,9.06
2025-05-23,9.14,9.4,9.1,9.15,91277.84,岱勒新材,9.39,9.37,9.1
2025-05-26,9.13,9.68,9.08,9.51,152683.41,岱勒新材,9.38,9.39,9.15
2025-05-27,9.5,9.6,9.35,9.51,90542.43,岱勒新材,9.34,9.4,9.2
2025-05-28,9.6,9.61,9.2,9.26,97610.07,岱勒新材,9.31,9.4,9.23
2025-05-29,9.21,9.58,9.18,9.43,84784.11,岱勒新材,9.37,9.41,9.28
2025-05-30,9.38,9.41,9.05,9.21,98314.6,岱勒新材,9.38,9.39,9.32
2025-06-03,9.1,9.45,9.08,9.36,80748.6,岱勒新材,9.35,9.37,9.35
2025-06-04,9.4,9.83,9.25,9.77,232008.0,岱勒新材,9.41,9.37,9.38
2025-06-05,9.8,9.95,9.59,9.86,169851.0,岱勒新材,9.53,9.42,9.43
2025-06-06,9.93,9.96,9.75,9.76,114432.61,岱勒新材,9.59,9.48,9.44
2025-06-09,9.8,9.81,9.57,9.75,124422.08,岱勒新材,9.7,9.54,9.46
2025-06-10,9.74,10.05,9.66,9.88,219365.9,岱勒新材,9.8,9.58,9.48
2025-06-11,9.85,10.2,9.8,9.97,160431.96,岱勒新材,9.84,9.62,9.52
2025-06-12,9.94,10.17,9.85,10.06,134616.48,岱勒新材,9.88,9.7,9.55
2025-06-13,9.96,10.23,9.9,10.03,150077.25,岱勒新材,9.94,9.76,9.59
2025-06-16,10.18,11.0,10.09,10.81,312891.23,岱勒新材,10.15,9.93,9.66
2025-06-17,10.81,11.07,10.64,11.0,266009.92,岱勒新材,10.37,10.09,9.73
2025-06-18,10.99,11.86,10.89,11.7,373502.97,岱勒新材,10.72,10.28,9.83
2025-06-19,11.66,11.88,10.6,10.75,425627.75,岱勒新材,10.86,10.37,9.9
2025-06-20,10.95,10.95,10.41,10.5,202695.58,岱勒新材,10.95,10.44,9.96
2025-06-23,10.47,11.22,10.27,10.89,218150.27,岱勒新材,10.97,10.56,10.05
2025-06-24,11.2,11.35,10.98,11.22,197676.79,岱勒新材,11.01,10.69,10.14
2025-06-25,11.43,11.82,11.0,11.24,215972.74,岱勒新材,10.92,10.82,10.22
2025-06-26,11.12,11.75,11.1,11.3,202606.02,岱勒新材,11.03,10.94,10.32
2025-06-27,11.34,11.71,11.21,11.3,168004.81,岱勒新材,11.19,11.07,10.42
2025-06-30,11.29,11.53,11.13,11.26,151667.19,岱勒新材,11.26,11.12,10.52
2025-07-01,11.24,11.77,11.13,11.44,268503.72,岱勒新材,11.31,11.16,10.62
2025-07-02,11.22,11.54,11.06,11.1,196694.66,岱勒新材,11.28,11.1,10.69
2025-07-03,11.02,12.16,10.75,11.95,359537.19,岱勒新材,11.41,11.22,10.8
2025-07-04,12.17,12.21,11.75,11.82,248149.92,岱勒新材,11.51,11.35,10.9
2025-07-07,12.05,12.8,12.05,12.57,309160.11,岱勒新材,11.78,11.52,11.04
