date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,150.0,150.88,145.0,147.35,31202.2,惠城环保,147.35,147.35,147.35
2025-03-25,148.53,149.28,145.3,146.85,16205.26,惠城环保,147.1,147.1,147.1
2025-03-26,147.0,151.85,146.42,151.72,28966.84,惠城环保,148.64,148.64,148.64
2025-03-27,151.72,154.41,138.56,145.0,57462.6,惠城环保,147.73,147.73,147.73
2025-03-28,142.91,145.79,138.6,143.59,40593.61,惠城环保,146.9,146.9,146.9
2025-03-31,142.5,144.95,140.0,144.0,23304.48,惠城环保,146.23,146.42,146.42
2025-04-01,144.0,149.79,143.5,147.42,20521.6,惠城环保,146.35,146.56,146.56
2025-04-02,147.89,149.33,144.0,146.76,23662.04,惠城环保,145.35,146.59,146.59
2025-04-03,145.85,147.1,138.6,140.35,31382.53,惠城环保,144.42,145.89,145.89
2025-04-07,129.01,134.5,112.28,112.28,79547.77,惠城环保,138.16,142.53,142.53
2025-04-08,112.0,128.3,112.0,125.69,84105.31,惠城环保,134.5,140.37,141.0
2025-04-09,138.69,145.05,125.5,143.33,72203.81,惠城环保,133.68,140.01,141.2
2025-04-10,144.98,148.72,142.22,145.08,40194.13,惠城环保,133.35,139.35,141.49
2025-04-11,145.08,149.57,144.4,147.5,35858.38,惠城环保,134.78,139.6,141.92
2025-04-14,148.51,150.3,147.03,147.89,24692.98,惠城环保,141.9,140.03,142.32
2025-04-15,148.2,148.68,145.75,147.87,16301.13,惠城环保,146.33,140.42,142.67
2025-04-16,147.65,151.58,145.0,147.14,24376.71,惠城环保,147.1,140.39,142.93
2025-04-17,146.05,147.2,142.47,143.1,20902.0,惠城环保,146.7,140.02,142.94
2025-04-18,143.01,145.97,138.6,138.98,23846.4,惠城环保,145.0,139.89,142.73
2025-04-21,136.5,140.2,134.32,134.43,35243.64,惠城环保,142.3,142.1,142.32
2025-04-22,134.85,139.21,131.5,132.2,31935.31,惠城环保,139.17,142.75,141.56
2025-04-23,133.3,137.37,131.45,132.3,31788.2,惠城环保,136.2,141.65,140.83
2025-04-24,132.3,132.6,128.66,130.35,26870.2,惠城环保,133.65,140.18,139.76
2025-04-25,132.0,134.5,127.8,130.88,28112.22,惠城环保,132.03,138.51,139.06
2025-04-28,130.5,132.68,125.36,127.56,27224.6,惠城环保,130.66,136.48,138.26
2025-04-29,126.57,132.46,123.0,129.0,37139.4,惠城环保,130.02,134.59,137.51
2025-04-30,129.01,136.3,126.95,136.0,37690.0,惠城环保,130.76,133.48,136.93
2025-05-06,136.4,137.79,130.11,131.2,38451.14,惠城环保,130.93,132.29,136.16
2025-05-07,131.25,135.0,130.5,131.62,28884.2,惠城环保,131.08,131.55,135.72
2025-05-08,131.8,138.63,130.19,137.59,38581.4,惠城环保,133.08,131.87,136.99
2025-05-09,137.9,139.5,132.5,135.41,28279.62,惠城环保,134.36,132.19,137.47
2025-05-12,135.4,138.88,133.69,138.42,23527.92,惠城环保,134.85,132.8,137.23
2025-05-13,138.41,139.24,133.0,134.86,23708.6,惠城环保,135.58,133.25,136.71
2025-05-14,136.1,141.5,134.13,138.99,24325.37,惠城环保,137.05,134.06,136.29
2025-05-15,138.9,141.0,135.2,136.71,18827.39,惠城环保,136.88,134.98,135.73
2025-05-16,136.71,137.8,134.8,135.01,16560.4,惠城环保,136.8,135.58,135.09
2025-05-19,134.7,136.6,131.05,135.88,21145.14,惠城环保,136.29,135.57,134.52
2025-05-20,136.15,147.41,135.11,145.45,41474.53,惠城环保,138.41,136.99,134.64
