date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,12.42,12.55,12.07,12.22,39190.6,中红医疗,12.22,12.22,12.22
2025-03-25,12.14,12.34,12.07,12.27,28230.16,中红医疗,12.24,12.24,12.24
2025-03-26,12.21,12.44,12.19,12.42,30415.45,中红医疗,12.3,12.3,12.3
2025-03-27,12.4,12.53,12.12,12.46,30849.63,中红医疗,12.34,12.34,12.34
2025-03-28,12.41,12.66,12.35,12.38,34037.5,中红医疗,12.35,12.35,12.35
2025-03-31,12.26,12.33,11.87,11.96,40916.66,中红医疗,12.3,12.29,12.29
2025-04-01,11.99,12.6,11.99,12.42,57902.87,中红医疗,12.33,12.3,12.3
2025-04-02,12.37,12.63,12.32,12.49,30017.63,中红医疗,12.34,12.33,12.33
2025-04-03,12.38,12.72,12.38,12.49,32025.84,中红医疗,12.35,12.35,12.35
2025-04-07,11.88,12.09,10.16,10.32,69689.56,中红医疗,11.94,12.14,12.14
2025-04-08,10.4,11.05,10.4,10.67,41406.36,中红医疗,11.68,11.99,12.01
2025-04-09,10.51,10.95,9.9,10.87,50772.34,中红医疗,11.37,11.85,11.91
2025-04-10,11.03,11.34,11.0,11.14,43843.52,中红医疗,11.1,11.72,11.85
2025-04-11,10.95,11.26,10.92,11.12,25638.1,中红医疗,10.82,11.59,11.8
2025-04-14,11.2,11.35,11.2,11.26,28320.09,中红医疗,11.01,11.47,11.77
2025-04-15,11.31,11.32,11.12,11.28,18105.26,中红医疗,11.13,11.41,11.74
2025-04-16,11.27,11.27,10.85,11.03,30400.37,中红医疗,11.17,11.27,11.69
2025-04-17,10.98,11.19,10.92,11.11,22645.29,中红医疗,11.16,11.13,11.66
2025-04-18,11.05,11.18,10.93,11.07,18090.65,中红医疗,11.15,10.99,11.63
2025-04-21,11.14,11.24,10.98,11.22,23269.03,中红医疗,11.14,11.08,11.61
2025-04-22,11.15,11.36,11.15,11.35,25688.42,中红医疗,11.16,11.14,11.57
2025-04-23,12.03,12.28,11.68,11.77,95858.23,中红医疗,11.3,11.24,11.54
2025-04-24,11.84,12.03,11.7,11.81,66664.08,中红医疗,11.44,11.3,11.51
2025-04-25,11.92,11.97,11.77,11.79,37613.4,中红医疗,11.59,11.37,11.48
2025-04-28,11.79,11.82,11.43,11.67,38817.67,中红医疗,11.68,11.41,11.44
2025-04-29,11.66,11.89,11.59,11.87,31683.74,中红医疗,11.78,11.47,11.44
2025-04-30,11.91,11.93,11.8,11.83,27459.98,中红医疗,11.79,11.55,11.41
2025-05-06,11.91,12.07,11.87,12.03,39168.54,中红医疗,11.84,11.64,11.38
2025-05-07,12.13,12.2,11.97,12.04,29542.04,中红医疗,11.89,11.74,11.36
2025-05-08,12.0,12.25,11.92,12.23,31977.76,中红医疗,12.0,11.84,11.46
2025-05-09,12.27,12.34,12.12,12.15,25974.34,中红医疗,12.06,11.92,11.53
2025-05-12,12.16,13.02,12.08,12.63,93830.01,中红医疗,12.22,12.0,11.62
2025-05-13,12.62,12.65,12.33,12.48,61489.85,中红医疗,12.31,12.07,11.69
2025-05-14,12.57,13.11,12.36,12.41,54457.77,中红医疗,12.38,12.13,11.75
2025-05-15,12.4,12.49,12.3,12.38,33218.12,中红医疗,12.41,12.2,11.81
2025-05-16,12.35,12.53,12.29,12.48,29737.04,中红医疗,12.48,12.27,11.87
2025-05-19,12.43,12.58,12.35,12.54,35665.01,中红医疗,12.46,12.34,11.94
2025-05-20,12.47,13.22,12.47,13.03,101218.63,中红医疗,12.57,12.44,12.04
2025-05-21,13.0,13.03,12.8,12.82,60603.4,中红医疗,12.65,12.52,12.13
2025-05-22,12.75,12.86,12.6,12.6,32324.51,中红医疗,12.69,12.55,12.2
2025-05-23,12.62,12.92,12.58,12.6,44829.76,中红医疗,12.72,12.6,12.26
2025-05-26,12.56,12.68,12.43,12.6,30095.62,中红医疗,12.73,12.59,12.3
2025-05-27,12.64,13.03,12.64,12.92,56478.25,中红医疗,12.71,12.64,12.36
2025-05-28,12.87,12.96,12.69,12.8,35747.46,中红医疗,12.7,12.68,12.41
2025-05-29,12.73,12.98,12.72,12.91,34581.02,中红医疗,12.77,12.73,12.47
2025-05-30,12.92,13.03,12.84,12.9,33183.91,中红医疗,12.83,12.77,12.52
2025-06-03,12.8,13.02,12.72,12.96,36290.36,中红医疗,12.9,12.81,12.58
2025-06-04,12.9,13.01,12.85,13.0,33995.96,中红医疗,12.91,12.81,12.62
2025-06-05,12.96,13.01,12.8,12.87,27535.48,中红医疗,12.93,12.82,12.67
2025-06-06,12.87,13.34,12.71,12.98,75924.06,中红医疗,12.94,12.85,12.7
2025-06-09,12.8,13.28,12.75,13.21,76587.9,中红医疗,13.0,12.92,12.76
2025-06-10,13.2,13.28,12.87,13.05,52254.0,中红医疗,13.02,12.96,12.78
2025-06-11,13.07,13.16,13.0,13.01,26560.5,中红医疗,13.02,12.97,12.8
2025-06-12,13.0,13.03,12.91,13.02,23499.11,中红医疗,13.05,12.99,12.83
2025-06-13,12.99,13.35,12.68,12.78,65406.23,中红医疗,13.01,12.98,12.85
2025-06-16,12.9,13.09,12.73,12.95,34325.68,中红医疗,12.96,12.98,12.88
2025-06-17,12.99,13.28,12.95,13.06,46211.72,中红医疗,12.96,12.99,12.9
2025-06-18,13.0,13.06,12.77,12.84,31319.14,中红医疗,12.93,12.98,12.89
2025-06-19,12.8,12.86,12.45,12.52,33598.88,中红医疗,12.83,12.94,12.88
2025-06-20,12.48,12.65,12.42,12.45,19252.64,中红医疗,12.76,12.89,12.87
2025-06-23,12.34,12.88,12.34,12.85,33367.1,中红医疗,12.74,12.85,12.88
2025-06-24,12.8,13.09,12.8,13.06,33481.73,中红医疗,12.74,12.85,12.91
2025-06-25,13.07,13.13,13.0,13.12,28114.26,中红医疗,12.8,12.86,12.92
2025-06-26,13.08,13.2,13.0,13.15,29475.04,中红医疗,12.93,12.88,12.93
2025-06-27,11.8,11.85,11.64,11.68,39608.31,中红医疗,12.77,12.77,12.87
2025-06-30,11.69,12.05,11.65,11.97,41642.72,中红医疗,12.6,12.67,12.83
2025-07-01,11.99,12.28,11.97,12.15,62208.8,中红医疗,12.41,12.58,12.79
2025-07-02,12.15,12.21,11.93,12.06,43755.4,中红医疗,12.2,12.5,12.74
2025-07-03,12.06,12.18,12.02,12.13,33468.31,中红医疗,12.0,12.46,12.7
2025-07-04,12.15,12.19,11.95,12.02,32095.52,中红医疗,12.07,12.42,12.65
2025-07-07,12.2,12.45,12.12,12.25,86327.68,中红医疗,12.12,12.36,12.61
2025-07-08,12.19,12.43,12.19,12.28,61505.41,中红医疗,12.15,12.28,12.57
2025-07-09,12.25,12.45,12.16,12.37,47983.87,中红医疗,12.21,12.21,12.54
2025-07-10,12.32,12.47,12.26,12.4,38530.51,中红医疗,12.26,12.13,12.5
2025-07-11,12.42,12.46,12.3,12.31,36834.34,中红医疗,12.32,12.19,12.48
2025-07-14,12.35,12.42,12.26,12.42,35680.4,中红医疗,12.36,12.24,12.45
2025-07-15,12.35,12.41,12.1,12.26,42769.94,中红医疗,12.35,12.25,12.41
2025-07-16,12.3,12.43,12.22,12.43,38206.21,中红医疗,12.36,12.29,12.39
2025-07-17,12.43,12.73,12.4,12.64,56246.43,中红医疗,12.41,12.34,12.4
2025-07-18,12.65,12.74,12.49,12.73,45428.42,中红医疗,12.5,12.41,12.41
2025-07-21,12.74,12.94,12.63,12.82,37019.15,中红医疗,12.58,12.47,12.41
2025-07-22,12.88,13.12,12.76,12.83,53685.02,中红医疗,12.69,12.52,12.4
