date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,127.1,128.38,124.18,126.8,8389.62,中熔电气,126.8,126.8,126.8
2025-03-25,127.19,129.29,123.99,124.34,6456.63,中熔电气,125.57,125.57,125.57
2025-03-26,123.52,125.79,121.9,122.19,6896.51,中熔电气,124.44,124.44,124.44
2025-03-27,121.81,124.39,120.2,120.9,8013.26,中熔电气,123.56,123.56,123.56
2025-03-28,122.0,127.95,121.01,122.91,12905.51,中熔电气,123.43,123.43,123.43
2025-03-31,122.64,123.35,119.36,121.04,7894.66,中熔电气,122.28,123.03,123.03
2025-04-01,121.24,123.46,120.28,121.26,8617.0,中熔电气,121.66,122.78,122.78
2025-04-02,121.0,127.0,120.96,124.07,8685.0,中熔电气,122.04,122.94,122.94
2025-04-03,122.24,123.04,118.56,120.5,8962.32,中熔电气,121.96,122.67,122.67
2025-04-07,112.96,113.63,97.04,100.91,14762.0,中熔电气,117.56,120.49,120.49
2025-04-08,102.11,108.5,102.1,106.01,11536.51,中熔电气,114.55,118.41,119.18
2025-04-09,103.88,107.4,99.23,104.89,10933.51,中熔电气,111.28,116.47,117.98
2025-04-10,107.7,111.75,107.44,107.66,11136.0,中熔电气,107.99,115.02,117.19
2025-04-11,106.61,111.75,106.0,110.3,6629.65,中熔电气,105.95,113.96,116.7
2025-04-14,111.69,112.85,109.25,109.6,7808.0,中熔电气,107.69,112.62,116.23
2025-04-15,109.15,111.35,108.51,110.83,4122.0,中熔电气,108.66,111.6,115.89
2025-04-16,110.5,110.92,107.2,108.03,5162.0,中熔电气,109.28,110.28,115.43
2025-04-17,108.0,118.54,106.0,116.0,13775.98,中熔电气,110.95,109.47,115.46
2025-04-18,115.97,119.5,114.25,119.0,10245.5,中熔电气,112.69,109.32,115.64
2025-04-21,124.94,127.94,119.53,122.58,21538.58,中熔电气,115.29,111.49,115.99
2025-04-22,121.79,124.0,120.5,121.65,10858.0,中熔电气,117.45,113.05,115.73
2025-04-23,123.87,123.87,120.59,121.0,8020.74,中熔电气,120.05,114.66,115.57
2025-04-24,120.87,121.9,118.21,120.41,11073.75,中熔电气,120.93,115.94,115.48
2025-04-25,121.21,121.21,119.31,120.95,6639.0,中熔电气,121.32,117.0,115.48
2025-04-28,120.84,121.4,117.02,117.95,7455.68,中熔电气,120.39,117.84,115.23
2025-04-29,117.32,120.8,117.03,118.13,7156.0,中熔电气,119.69,118.57,115.09
2025-04-30,118.0,121.14,117.57,119.32,6833.0,中熔电气,119.35,119.7,114.99
2025-05-06,120.4,125.7,120.01,125.7,14732.95,中熔电气,120.41,120.67,115.07
2025-05-07,126.51,128.5,126.05,127.45,9154.95,中熔电气,121.71,121.51,115.42
2025-05-08,127.45,130.69,126.01,127.62,6547.34,中熔电气,123.64,122.02,116.75
2025-05-09,127.49,130.86,125.4,126.3,10435.57,中熔电气,125.28,122.48,117.77
2025-05-12,127.51,127.7,125.41,126.87,5338.0,中熔电气,126.79,123.07,118.87
2025-05-13,128.01,129.2,125.9,126.45,6568.95,中熔电气,126.94,123.67,119.81
2025-05-14,126.45,131.0,125.5,128.36,10067.95,中熔电气,127.12,124.42,120.71
2025-05-15,128.01,128.67,125.15,126.05,6316.0,中熔电气,126.81,125.22,121.53
2025-05-16,125.87,127.27,124.06,124.55,5684.0,中熔电气,126.46,125.87,122.22
2025-05-19,124.61,124.95,123.0,123.33,4882.0,中熔电气,125.75,126.27,122.98
2025-05-20,123.78,124.22,121.51,123.57,4793.97,中熔电气,125.17,126.06,123.36
2025-05-21,123.89,124.58,121.0,121.61,7570.0,中熔电气,123.82,125.47,123.49
2025-05-22,121.61,125.79,121.04,122.4,9922.0,中熔电气,123.09,124.95,123.48
2025-05-23,122.39,122.8,118.9,119.14,8538.78,中熔电气,122.01,124.23,123.36
