date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,35.9,36.2,33.91,34.93,19602.3,正强股份,34.93,34.93,34.93
2025-03-25,35.21,35.34,33.5,33.8,16085.82,正强股份,34.36,34.36,34.36
2025-03-26,33.8,35.14,33.8,34.02,13762.52,正强股份,34.25,34.25,34.25
2025-03-27,34.18,34.87,33.1,34.39,22553.7,正强股份,34.28,34.28,34.28
2025-03-28,34.49,34.97,33.19,33.2,14085.0,正强股份,34.07,34.07,34.07
2025-03-31,32.9,33.41,31.0,31.77,24197.2,正强股份,33.44,33.68,33.68
2025-04-01,31.7,32.29,31.16,31.18,18308.71,正强股份,32.91,33.33,33.33
2025-04-02,31.15,32.45,30.93,31.2,17765.61,正强股份,32.35,33.06,33.06
2025-04-03,30.96,31.35,29.42,29.92,18419.4,正强股份,31.45,32.71,32.71
2025-04-07,27.27,27.65,23.94,23.94,33421.1,正强股份,29.6,31.84,31.84
2025-04-08,23.77,24.62,22.04,23.0,30324.73,正强股份,27.85,30.64,31.03
2025-04-09,22.51,24.98,20.3,24.55,36072.28,正强股份,26.52,29.72,30.49
2025-04-10,25.13,26.68,25.13,26.29,23298.7,正强股份,25.54,28.94,30.17
2025-04-11,26.2,26.66,25.89,26.38,20275.4,正强股份,24.83,28.14,29.9
2025-04-14,26.8,28.37,26.8,28.02,23031.4,正强股份,25.65,27.62,29.77
2025-04-15,28.58,30.3,28.0,30.14,33111.45,正强股份,27.08,27.46,29.8
2025-04-16,30.14,30.27,29.11,29.61,25645.1,正强股份,28.09,27.3,29.78
2025-04-17,29.48,31.55,29.44,29.97,28697.66,正强股份,28.82,27.18,29.8
2025-04-18,29.8,30.5,29.18,29.88,17400.4,正强股份,29.52,27.18,29.8
2025-04-21,29.65,32.5,29.65,32.46,27978.76,正强股份,30.41,28.03,29.93
2025-04-22,32.3,33.2,32.0,32.6,20860.8,正强股份,30.9,28.99,29.82
2025-04-23,32.9,35.28,32.65,34.54,24156.2,正强股份,31.89,29.99,29.85
2025-04-24,34.99,36.4,34.37,35.37,26703.37,正强股份,32.97,30.9,29.92
2025-04-25,35.92,36.19,34.85,35.78,23682.06,正强股份,34.15,31.84,29.99
2025-04-28,35.75,36.22,35.1,35.99,21359.17,正强股份,34.86,32.63,30.13
2025-04-29,36.5,39.7,36.5,38.94,46273.2,正强股份,36.12,33.51,30.49
2025-04-30,38.96,42.0,38.3,41.31,50500.05,正强股份,37.48,34.68,30.99
2025-05-06,41.34,42.99,41.15,42.1,45277.83,正强股份,38.82,35.9,31.54
2025-05-07,42.95,46.72,42.23,45.72,49852.3,正强股份,40.81,37.48,32.33
2025-05-08,45.73,48.65,44.0,48.58,47534.56,正强股份,43.33,39.09,33.56
2025-05-09,48.0,48.52,45.2,45.45,45151.37,正强股份,44.63,40.38,34.68
2025-05-12,47.75,54.38,46.03,48.82,63018.32,正强股份,46.13,41.81,35.9
2025-05-13,48.82,51.01,48.0,50.98,51377.17,正强股份,47.91,43.37,37.13
2025-05-14,50.0,50.48,47.2,48.08,49875.9,正强股份,48.38,44.6,38.22
2025-05-15,47.01,48.0,45.82,46.7,38753.94,正强股份,48.01,45.67,39.15
2025-05-16,46.01,50.67,46.01,49.48,50895.31,正强股份,48.81,46.72,40.12
2025-05-19,47.8,49.18,46.85,48.47,41645.66,正强股份,48.74,47.44,41.06
2025-05-20,48.61,48.61,47.31,47.7,24476.3,正强股份,48.09,48.0,41.95
2025-05-21,47.15,48.6,47.05,47.35,24084.92,正强股份,47.94,48.16,42.82
2025-05-22,46.96,48.36,46.96,47.78,17013.85,正强股份,48.16,48.08,43.59
2025-05-23,47.22,49.68,47.18,47.8,23128.3,正强股份,47.82,48.32,44.35
2025-05-26,47.8,49.5,46.8,48.98,22818.1,正强股份,47.92,48.33,45.07
2025-05-27,48.93,49.57,47.3,48.47,20098.9,正强股份,48.08,48.08,45.72
2025-05-28,48.52,49.44,47.4,47.88,15530.3,正强股份,48.18,48.06,46.33
2025-05-29,47.74,48.6,45.24,45.71,30623.0,正强股份,47.77,47.96,46.82
2025-05-30,45.99,46.44,43.78,44.38,39723.9,正强股份,47.08,47.45,47.09
2025-06-03,43.98,45.58,43.51,44.84,19847.6,正强股份,46.26,47.09,47.26
2025-06-04,44.85,45.4,43.09,43.29,17495.57,正强股份,45.22,46.65,47.32
2025-06-05,43.4,43.79,42.73,43.1,19208.1,正强股份,44.26,46.22,47.19
2025-06-06,43.31,43.31,41.0,41.59,23663.4,正强股份,43.44,45.6,46.84
2025-06-09,42.04,42.84,41.27,41.52,19194.57,正强股份,42.87,44.98,46.65
