date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,18.83,18.88,17.71,18.22,60204.2,泽宇智能,18.22,18.22,18.22
2025-03-25,18.16,18.46,17.98,18.07,38829.04,泽宇智能,18.14,18.14,18.14
2025-03-26,18.07,18.52,17.92,18.34,33088.6,泽宇智能,18.21,18.21,18.21
2025-03-27,18.32,18.34,17.81,18.03,29129.4,泽宇智能,18.16,18.16,18.16
2025-03-28,18.06,18.25,17.76,17.78,22904.72,泽宇智能,18.09,18.09,18.09
2025-03-31,17.65,17.85,17.3,17.69,32897.96,泽宇智能,17.98,18.02,18.02
2025-04-01,17.67,18.17,17.67,17.88,29543.12,泽宇智能,17.94,18.0,18.0
2025-04-02,17.84,18.29,17.71,17.99,24202.6,泽宇智能,17.87,18.0,18.0
2025-04-03,17.81,18.19,17.6,17.89,22486.2,泽宇智能,17.85,17.99,17.99
2025-04-07,16.96,17.01,14.31,14.33,76391.04,泽宇智能,17.16,17.62,17.62
2025-04-08,14.51,15.36,14.51,14.91,60812.32,泽宇智能,16.6,17.29,17.38
2025-04-09,14.55,15.49,13.87,15.41,51654.94,泽宇智能,16.11,17.02,17.21
2025-04-10,15.7,16.1,15.7,15.81,45795.52,泽宇智能,15.67,16.77,17.1
2025-04-11,15.65,16.0,15.6,15.85,32101.24,泽宇智能,15.26,16.55,17.01
2025-04-14,16.17,16.29,15.96,16.03,33294.8,泽宇智能,15.6,16.38,16.95
2025-04-15,16.05,16.11,15.83,16.0,20392.0,泽宇智能,15.82,16.21,16.89
2025-04-16,16.2,16.28,15.43,15.78,25588.71,泽宇智能,15.89,16.0,16.82
2025-04-17,15.75,16.41,15.53,16.33,43489.36,泽宇智能,16.0,15.83,16.8
2025-04-18,16.18,16.3,16.0,16.16,31086.16,泽宇智能,16.06,15.66,16.76
2025-04-21,16.15,16.36,16.0,16.3,32614.32,泽宇智能,16.11,15.86,16.74
2025-04-22,16.63,16.63,16.13,16.2,26543.76,泽宇智能,16.15,15.99,16.64
2025-04-23,16.27,16.53,16.25,16.5,35456.4,泽宇智能,16.3,16.1,16.56
2025-04-24,16.17,16.18,15.77,15.84,51576.88,泽宇智能,16.2,16.1,16.44
2025-04-25,15.88,16.0,15.75,15.96,26851.63,泽宇智能,16.16,16.11,16.33
2025-04-28,15.96,16.09,15.6,15.67,22672.44,泽宇智能,16.03,16.07,16.23
2025-04-29,15.67,15.95,15.56,15.8,17912.48,泽宇智能,15.95,16.05,16.13
2025-04-30,15.95,16.05,15.82,15.95,15738.66,泽宇智能,15.84,16.07,16.04
2025-05-06,16.4,16.4,15.99,16.35,24415.6,泽宇智能,15.95,16.07,15.95
2025-05-07,16.46,16.68,16.14,16.36,32785.32,泽宇智能,16.03,16.09,15.88
2025-05-08,16.31,16.75,16.25,16.74,32927.44,泽宇智能,16.24,16.14,16.0
2025-05-09,16.69,16.7,16.19,16.41,32575.62,泽宇智能,16.36,16.16,16.07
2025-05-12,16.46,16.65,16.42,16.62,25417.76,泽宇智能,16.5,16.17,16.13
2025-05-13,16.73,16.79,16.51,16.6,25380.4,泽宇智能,16.55,16.25,16.17
2025-05-14,16.59,16.69,16.35,16.52,27931.08,泽宇智能,16.58,16.3,16.21
2025-05-15,16.61,16.66,16.3,16.31,18815.68,泽宇智能,16.49,16.37,16.22
2025-05-16,16.35,16.56,16.31,16.35,21130.25,泽宇智能,16.48,16.42,16.24
2025-05-19,16.41,16.42,16.15,16.39,20334.0,泽宇智能,16.43,16.46,16.27
2025-05-20,16.43,16.6,16.25,16.59,23707.9,泽宇智能,16.43,16.49,16.28
2025-05-21,13.53,13.78,13.36,13.52,44394.23,泽宇智能,15.83,16.21,16.15
2025-05-22,13.48,13.63,13.24,13.25,41537.83,泽宇智能,15.22,15.86,16.0
2025-05-23,13.26,13.46,13.09,13.11,30673.43,泽宇智能,14.57,15.53,15.84
2025-05-26,13.1,13.53,13.1,13.43,31831.1,泽宇智能,13.98,15.21,15.69
2025-05-27,13.48,13.8,13.3,13.67,50863.7,泽宇智能,13.4,14.91,15.58
2025-05-28,13.75,13.83,13.34,13.39,34448.54,泽宇智能,13.37,14.6,15.45
2025-05-29,13.4,13.59,13.34,13.55,33389.08,泽宇智能,13.43,14.32,15.35
2025-05-30,13.5,13.51,13.16,13.2,30978.38,泽宇智能,13.45,14.01,15.22
