date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,24.73,24.78,23.1,23.64,11938.4,和顺科技,23.64,23.64,23.64
2025-03-25,23.67,23.7,22.89,23.25,9252.0,和顺科技,23.44,23.44,23.44
2025-03-26,23.48,24.15,22.92,24.02,7339.0,和顺科技,23.64,23.64,23.64
2025-03-27,23.99,23.99,23.2,23.63,5826.0,和顺科技,23.64,23.64,23.64
2025-03-28,23.45,23.78,23.01,23.07,5112.22,和顺科技,23.52,23.52,23.52
2025-03-31,22.9,23.18,22.5,23.1,5576.84,和顺科技,23.41,23.45,23.45
2025-04-01,23.67,23.92,23.21,23.52,7696.13,和顺科技,23.47,23.46,23.46
2025-04-02,23.6,24.07,23.35,23.82,6291.0,和顺科技,23.43,23.51,23.51
2025-04-03,23.75,23.91,23.16,23.51,5994.0,和顺科技,23.4,23.51,23.51
2025-04-07,22.9,23.42,19.6,20.0,17956.09,和顺科技,22.79,23.16,23.16
2025-04-08,19.99,21.21,19.89,20.44,8247.0,和顺科技,22.26,22.84,22.91
2025-04-09,19.99,21.46,19.03,21.27,10250.0,和顺科技,21.81,22.64,22.77
2025-04-10,21.63,22.43,21.33,22.02,7687.17,和顺科技,21.45,22.44,22.71
2025-04-11,21.87,22.39,21.87,22.1,3946.78,和顺科技,21.17,22.29,22.67
2025-04-14,23.13,23.13,22.35,22.45,3244.61,和顺科技,21.66,22.22,22.66
2025-04-15,22.73,22.84,22.45,22.68,2838.0,和顺科技,22.1,22.18,22.66
2025-04-16,22.57,22.78,21.75,22.0,5549.0,和顺科技,22.25,22.03,22.62
2025-04-17,21.84,22.56,21.7,22.2,5345.0,和顺科技,22.29,21.87,22.6
2025-04-18,22.34,22.58,21.73,22.25,4891.53,和顺科技,22.32,21.74,22.58
2025-04-21,22.28,22.88,22.01,22.84,5904.08,和顺科技,22.39,22.02,22.59
2025-04-22,22.79,23.06,22.55,22.83,3358.0,和顺科技,22.42,22.26,22.55
2025-04-23,23.1,23.28,22.84,23.21,4131.0,和顺科技,22.67,22.46,22.55
2025-04-24,23.35,23.43,22.7,23.01,5538.69,和顺科技,22.83,22.56,22.5
2025-04-25,23.29,23.29,22.74,22.93,2965.0,和顺科技,22.96,22.64,22.46
2025-04-28,22.87,22.96,22.2,22.69,4102.0,和顺科技,22.93,22.66,22.44
2025-04-29,22.97,23.58,22.61,23.29,5925.68,和顺科技,23.03,22.72,22.45
2025-04-30,23.56,23.8,23.35,23.66,4113.98,和顺科技,23.12,22.89,22.46
2025-05-06,23.66,24.35,23.66,24.32,6910.81,和顺科技,23.38,23.1,22.48
2025-05-07,24.59,24.8,24.3,24.67,7467.66,和顺科技,23.73,23.35,22.54
2025-05-08,24.44,24.95,24.35,24.94,4969.33,和顺科技,24.18,23.56,22.79
2025-05-09,25.65,25.77,24.52,24.68,11802.61,和顺科技,24.45,23.74,23.0
2025-05-12,24.71,25.23,24.69,24.94,7875.22,和顺科技,24.71,23.91,23.19
2025-05-13,25.38,25.38,24.82,24.84,5359.66,和顺科技,24.81,24.1,23.33
2025-05-14,25.07,25.13,24.61,24.73,5329.71,和顺科技,24.83,24.28,23.46
2025-05-15,24.79,25.24,24.56,24.8,6434.0,和顺科技,24.8,24.49,23.58
2025-05-16,25.02,25.35,24.81,25.15,7336.0,和顺科技,24.89,24.67,23.7
2025-05-19,25.04,25.72,24.92,25.35,6005.33,和顺科技,24.97,24.84,23.87
2025-05-20,25.56,25.56,25.02,25.42,3376.61,和顺科技,25.09,24.95,24.03
2025-05-21,25.38,25.57,25.11,25.45,8092.0,和顺科技,25.23,25.03,24.19
2025-05-22,25.33,25.69,24.77,24.89,7232.9,和顺科技,25.25,25.02,24.29
2025-05-23,24.9,25.35,24.63,24.78,7418.17,和顺科技,25.18,25.04,24.39
2025-05-26,25.0,25.43,24.79,25.3,5572.17,和顺科技,25.17,25.07,24.49
2025-05-27,25.5,25.5,24.91,25.35,6040.0,和顺科技,25.15,25.12,24.61
2025-05-28,25.35,25.4,24.8,24.89,5024.0,和顺科技,25.04,25.14,24.71
2025-05-29,24.9,25.63,24.8,25.5,7096.61,和顺科技,25.16,25.21,24.85
2025-05-30,25.5,25.7,24.96,25.16,4642.61,和顺科技,25.24,25.21,24.94
2025-06-03,25.0,26.7,24.9,26.29,21493.13,和顺科技,25.44,25.3,25.07
2025-06-04,26.48,26.57,25.61,25.91,15688.59,和顺科技,25.55,25.35,25.15
2025-06-05,26.0,27.4,25.99,27.18,30881.32,和顺科技,26.01,25.52,25.28
2025-06-06,26.95,27.18,26.52,26.61,14298.61,和顺科技,26.23,25.7,25.36
2025-06-09,26.6,26.8,26.28,26.6,11343.53,和顺科技,26.52,25.88,25.46
2025-06-10,26.6,26.76,26.02,26.56,9637.73,和顺科技,26.57,26.01,25.54
