date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,24.13,24.29,22.76,23.5,44072.0,金禄电子,23.5,23.5,23.5
2025-03-25,23.55,23.7,22.81,23.22,31058.0,金禄电子,23.36,23.36,23.36
2025-03-26,23.16,23.73,23.01,23.5,29699.0,金禄电子,23.41,23.41,23.41
2025-03-27,23.4,23.66,22.79,23.36,29901.0,金禄电子,23.4,23.4,23.4
2025-03-28,23.5,23.69,22.87,22.95,31089.98,金禄电子,23.31,23.31,23.31
2025-03-31,22.45,22.78,21.84,22.52,48729.17,金禄电子,23.11,23.18,23.18
2025-04-01,22.54,23.05,22.53,22.54,29889.03,金禄电子,22.97,23.08,23.08
2025-04-02,22.56,23.04,22.5,22.77,27424.03,金禄电子,22.83,23.04,23.04
2025-04-03,22.43,22.79,21.85,22.1,31217.69,金禄电子,22.58,22.94,22.94
2025-04-07,20.3,20.52,17.68,17.68,62881.67,金禄电子,21.52,22.41,22.41
2025-04-08,17.89,18.52,17.0,17.78,51196.0,金禄电子,20.57,21.84,21.99
2025-04-09,17.24,18.34,16.25,18.2,55269.8,金禄电子,19.71,21.34,21.68
2025-04-10,18.66,19.21,18.66,18.68,44503.98,金禄电子,18.89,20.86,21.45
2025-04-11,18.49,19.4,18.4,19.11,41834.0,金禄电子,18.29,20.43,21.28
2025-04-14,19.7,19.84,19.33,19.41,33595.0,金禄电子,18.64,20.08,21.15
2025-04-15,19.38,19.56,19.12,19.42,24595.07,金禄电子,18.96,19.77,21.05
2025-04-16,19.42,19.45,18.5,18.87,23722.0,金禄电子,19.1,19.4,20.92
2025-04-17,18.7,19.24,18.7,18.81,20992.0,金禄电子,19.12,19.01,20.8
2025-04-18,18.74,19.3,18.64,19.13,24759.0,金禄电子,19.13,18.71,20.71
2025-04-21,19.15,19.65,18.98,19.58,28593.0,金禄电子,19.16,18.9,20.66
2025-04-22,19.58,19.75,19.41,19.72,23023.0,金禄电子,19.22,19.09,20.47
2025-04-23,19.98,20.26,19.78,20.15,23258.0,金禄电子,19.48,19.29,20.31
2025-04-24,20.22,20.33,19.82,20.05,22763.0,金禄电子,19.73,19.42,20.14
2025-04-25,20.02,20.45,19.95,20.25,22421.0,金禄电子,19.95,19.54,19.99
2025-04-28,20.05,20.19,19.64,19.92,24238.1,金禄电子,20.02,19.59,19.83
2025-04-29,19.84,20.26,19.76,20.11,20412.0,金禄电子,20.1,19.66,19.71
2025-04-30,20.13,20.44,20.12,20.28,20008.1,金禄电子,20.12,19.8,19.6
2025-05-06,20.5,21.29,20.35,21.06,29285.87,金禄电子,20.32,20.02,19.52
2025-05-07,21.47,21.48,20.82,20.98,27617.98,金禄电子,20.47,20.21,19.46
2025-05-08,20.92,21.56,20.92,21.45,27782.46,金禄电子,20.78,20.4,19.65
2025-05-09,21.43,21.48,21.11,21.13,22679.0,金禄电子,20.98,20.54,19.82
2025-05-12,21.49,21.6,21.3,21.55,21384.0,金禄电子,21.23,20.68,19.98
2025-05-13,21.74,21.84,21.3,21.3,22478.0,金禄电子,21.28,20.8,20.11
2025-05-14,21.4,21.5,21.01,21.09,25593.0,金禄电子,21.3,20.89,20.21
2025-05-15,21.02,21.08,20.75,20.95,18228.0,金禄电子,21.2,20.99,20.29
2025-05-16,20.9,21.37,20.84,21.2,21100.77,金禄电子,21.22,21.1,20.38
2025-05-19,21.31,21.33,20.92,21.24,16218.27,金禄电子,21.16,21.2,20.5
2025-05-20,21.29,21.45,21.04,21.41,17265.0,金禄电子,21.18,21.23,20.63
2025-05-21,21.41,21.41,20.95,21.1,17060.77,金禄电子,21.18,21.24,20.73
2025-05-22,21.16,21.41,20.71,20.76,20013.18,金禄电子,21.14,21.17,20.78
2025-05-23,20.78,21.06,20.52,20.53,21613.46,金禄电子,21.01,21.11,20.83
2025-05-26,20.53,20.8,20.51,20.76,12472.0,金禄电子,20.91,21.03,20.86
2025-05-27,20.7,20.81,20.42,20.68,17052.0,金禄电子,20.77,20.97,20.89
2025-05-28,20.85,20.96,20.48,20.61,15014.0,金禄电子,20.67,20.92,20.91
2025-05-29,20.67,21.29,20.67,21.27,27224.0,金禄电子,20.77,20.96,20.97
2025-05-30,21.29,21.29,20.66,20.71,23374.0,金禄电子,20.81,20.91,21.0
2025-06-03,20.72,20.88,20.59,20.73,17107.0,金禄电子,20.8,20.86,21.03
2025-06-04,20.79,21.15,20.72,21.0,19029.0,金禄电子,20.86,20.82,21.02
2025-06-05,20.98,21.32,20.71,21.22,27494.0,金禄电子,20.99,20.83,21.03
2025-06-06,21.2,21.38,21.07,21.32,22294.51,金禄电子,21.0,20.88,21.03
2025-06-09,21.33,21.46,21.28,21.39,22048.0,金禄电子,21.13,20.97,21.04
2025-06-10,21.45,21.84,21.08,21.32,38243.0,金禄电子,21.25,21.02,21.03
2025-06-11,21.41,22.17,21.35,21.81,40727.0,金禄电子,21.41,21.14,21.06
2025-06-12,21.67,21.95,21.58,21.79,24623.5,金禄电子,21.53,21.26,21.09
2025-06-13,21.66,22.02,21.34,21.41,25632.0,金禄电子,21.54,21.27,21.11
2025-06-16,21.25,21.99,21.25,21.78,27891.5,金禄电子,21.62,21.38,21.14
2025-06-17,21.83,21.94,21.53,21.69,21663.0,金禄电子,21.7,21.47,21.16
2025-06-18,21.56,22.95,21.36,22.65,95085.0,金禄电子,21.86,21.64,21.23
2025-06-19,22.7,24.0,22.56,23.04,141920.76,金禄电子,22.11,21.82,21.32
2025-06-20,23.05,23.5,22.58,23.16,108786.18,金禄电子,22.46,22.0,21.44
2025-06-23,22.78,23.36,22.57,23.06,79808.0,金禄电子,22.72,22.17,21.57
2025-06-24,23.22,24.39,23.22,24.1,138657.67,金禄电子,23.2,22.45,21.74
2025-06-25,24.05,24.3,23.14,23.55,116378.53,金禄电子,23.38,22.62,21.88
2025-06-26,23.18,23.85,23.15,23.26,74226.3,金禄电子,23.43,22.77,22.01
2025-06-27,23.57,24.06,23.23,23.68,75959.0,金禄电子,23.53,23.0,22.13
2025-06-30,23.68,24.99,23.68,24.79,126701.38,金禄电子,23.88,23.3,22.34
2025-07-01,24.78,24.78,23.73,24.13,89753.38,金禄电子,23.88,23.54,22.51
2025-07-02,23.9,24.05,23.45,23.85,53183.19,金禄电子,23.94,23.66,22.65
2025-07-03,23.86,27.5,23.71,25.81,217033.25,金禄电子,24.45,23.94,22.88
2025-07-04,25.56,26.44,24.8,25.36,207367.16,金禄电子,24.79,24.16,23.08
2025-07-07,25.03,25.57,24.56,25.15,100841.08,金禄电子,24.86,24.37,23.27
2025-07-08,25.24,26.94,24.94,26.4,201818.1,金禄电子,25.31,24.6,23.52
2025-07-09,26.41,28.38,25.91,26.81,225230.37,金禄电子,25.91,24.92,23.77
2025-07-10,27.35,27.81,25.37,25.89,169155.34,金禄电子,25.92,25.19,23.98
2025-07-11,25.42,25.78,24.36,24.71,125722.16,金禄电子,25.79,25.29,24.14
2025-07-14,24.71,25.23,24.43,25.17,78717.12,金禄电子,25.8,25.33,24.31
2025-07-15,24.97,25.65,24.7,25.05,80607.85,金禄电子,25.53,25.42,24.48
2025-07-16,24.97,25.13,24.57,24.64,70702.0,金禄电子,25.09,25.5,24.58
2025-07-17,24.6,25.87,24.6,25.48,108395.85,金禄电子,25.01,25.47,24.7
