date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,38.05,39.45,37.2,39.14,90061.52,上大股份,39.14,39.14,39.14
2025-03-25,39.0,40.98,38.68,40.2,128293.38,上大股份,39.67,39.67,39.67
2025-03-26,39.65,40.11,39.25,39.76,65419.35,上大股份,39.7,39.7,39.7
2025-03-27,39.8,39.99,37.84,37.84,72765.19,上大股份,39.24,39.24,39.24
2025-03-28,37.89,37.89,36.66,36.66,47968.06,上大股份,38.72,38.72,38.72
2025-03-31,36.41,37.26,35.6,37.24,37156.49,上大股份,38.34,38.47,38.47
2025-04-01,37.02,38.69,36.77,38.29,55631.52,上大股份,37.96,38.45,38.45
2025-04-02,37.8,37.98,37.1,37.13,38783.89,上大股份,37.43,38.28,38.28
2025-04-03,36.79,37.9,36.73,37.43,31918.0,上大股份,37.35,38.19,38.19
2025-04-07,35.9,35.9,30.0,30.3,71558.63,上大股份,36.08,37.4,37.4
2025-04-08,30.94,32.1,30.68,31.63,48287.4,上大股份,34.96,36.65,36.87
2025-04-09,31.02,33.31,30.1,33.05,61330.89,上大股份,33.91,35.93,36.56
2025-04-10,33.4,34.09,33.02,33.09,47213.84,上大股份,33.1,35.27,36.29
2025-04-11,32.9,33.58,32.61,33.09,31637.0,上大股份,32.23,34.79,36.06
2025-04-14,33.41,33.71,33.11,33.3,29410.0,上大股份,32.83,34.46,35.88
2025-04-15,33.3,33.32,32.75,33.1,23269.05,上大股份,33.13,34.04,35.7
2025-04-16,32.63,33.0,32.13,32.55,49691.96,上大股份,33.03,33.47,35.52
2025-04-17,32.05,33.28,32.0,32.58,31654.89,上大股份,32.92,33.01,35.35
2025-04-18,32.38,32.63,32.0,32.14,23152.75,上大股份,32.73,32.48,35.19
2025-04-21,31.98,32.64,31.87,32.56,20810.76,上大股份,32.59,32.71,35.05
2025-04-22,32.57,32.7,32.23,32.44,19160.59,上大股份,32.45,32.79,34.72
2025-04-23,32.53,33.44,32.53,33.14,36059.72,上大股份,32.57,32.8,34.37
2025-04-24,33.0,33.0,32.11,32.29,25250.57,上大股份,32.51,32.72,33.99
2025-04-25,31.71,32.5,31.18,31.99,32132.69,上大股份,32.48,32.61,33.7
2025-04-28,32.22,32.56,31.25,31.26,28830.1,上大股份,32.22,32.4,33.43
2025-04-29,31.26,31.54,30.33,30.93,27780.35,上大股份,31.92,32.19,33.11
2025-04-30,30.9,31.54,30.9,31.32,20290.56,上大股份,31.56,32.06,32.77
2025-05-06,31.74,32.99,31.66,32.98,41143.24,上大股份,31.7,32.11,32.56
2025-05-07,33.13,33.92,32.72,33.54,43183.3,上大股份,32.01,32.25,32.36
2025-05-08,33.39,34.0,33.1,33.91,41556.91,上大股份,32.54,32.38,32.54
2025-05-09,33.94,34.01,33.13,33.17,29089.22,上大股份,32.98,32.45,32.62
2025-05-12,33.46,34.3,33.32,33.88,34912.17,上大股份,33.5,32.53,32.66
2025-05-13,34.28,34.28,33.42,33.49,26632.09,上大股份,33.6,32.65,32.68
2025-05-14,33.53,33.64,33.19,33.24,20164.56,上大股份,33.54,32.77,32.69
2025-05-15,33.17,33.35,32.87,32.87,17612.75,上大股份,33.33,32.93,32.67
2025-05-16,33.0,34.44,32.68,33.3,41722.41,上大股份,33.36,33.17,32.68
2025-05-19,33.32,34.52,32.88,34.03,47860.96,上大股份,33.39,33.44,32.75
2025-05-20,34.0,34.77,33.8,33.83,40872.01,上大股份,33.45,33.53,32.82
2025-05-21,33.53,33.82,33.21,33.37,25445.39,上大股份,33.48,33.51,32.88
2025-05-22,33.2,33.89,33.05,33.07,24774.49,上大股份,33.52,33.42,32.9
2025-05-23,33.02,33.98,33.02,33.21,30309.62,上大股份,33.5,33.43,32.94
2025-05-26,33.34,34.56,33.01,34.23,62663.31,上大股份,33.54,33.46,33.0
2025-05-27,34.1,34.38,33.4,33.86,42699.15,上大股份,33.55,33.5,33.07
2025-05-28,33.85,34.25,33.24,33.34,31423.1,上大股份,33.54,33.51,33.14
2025-05-29,33.23,34.02,33.23,33.67,29224.96,上大股份,33.66,33.59,33.26
2025-05-30,33.47,35.2,33.08,34.8,99362.59,上大股份,33.98,33.74,33.46
2025-06-03,34.6,35.53,34.36,35.29,75725.38,上大股份,34.19,33.87,33.65
2025-06-04,35.05,36.5,34.88,35.0,87314.57,上大股份,34.42,33.98,33.76
2025-06-05,35.0,37.63,35.0,36.5,133676.78,上大股份,35.05,34.3,33.9
2025-06-06,37.6,37.81,35.45,35.54,80418.09,上大股份,35.43,34.54,33.98
2025-06-09,36.0,36.19,35.1,35.43,57173.7,上大股份,35.55,34.77,34.1
2025-06-10,35.5,36.8,34.92,35.18,63661.55,上大股份,35.53,34.86,34.16
2025-06-11,35.08,35.85,35.0,35.23,46806.33,上大股份,35.58,35.0,34.25
2025-06-12,35.05,35.84,34.7,35.48,51653.4,上大股份,35.37,35.21,34.36
2025-06-13,35.66,37.2,35.48,37.05,127191.36,上大股份,35.67,35.55,34.57
2025-06-16,36.3,36.8,35.89,36.22,77259.33,上大股份,35.83,35.69,34.72
2025-06-17,35.9,36.16,35.17,35.36,44219.49,上大股份,35.87,35.7,34.78
2025-06-18,35.11,35.5,35.0,35.32,29150.63,上大股份,35.89,35.73,34.86
2025-06-19,35.2,35.26,33.73,34.02,45709.83,上大股份,35.59,35.48,34.89
2025-06-20,34.05,34.13,33.35,33.41,27349.7,上大股份,34.87,35.27,34.91
2025-06-23,33.18,33.64,33.1,33.57,25307.54,上大股份,34.34,35.08,34.92
2025-06-24,33.92,34.36,33.85,34.28,29085.51,上大股份,34.12,34.99,34.93
2025-06-25,34.19,34.45,33.8,34.44,35391.84,上大股份,33.94,34.92,34.96
2025-06-26,34.42,35.41,34.1,34.66,41625.25,上大股份,34.07,34.83,35.02
2025-06-27,34.71,35.18,34.52,34.81,28270.07,上大股份,34.35,34.61,35.08
2025-06-30,34.99,35.67,34.76,35.61,46051.3,上大股份,34.76,34.55,35.12
2025-07-01,35.79,35.86,35.19,35.47,31518.27,上大股份,35.0,34.56,35.13
2025-07-02,35.26,35.97,35.04,35.5,39042.07,上大股份,35.21,34.58,35.15
2025-07-03,35.42,36.49,35.27,35.58,39640.31,上大股份,35.39,34.73,35.11
2025-07-04,35.4,35.48,34.79,34.82,31280.8,上大股份,35.4,34.87,35.07
2025-07-07,34.78,35.14,34.5,35.05,18853.19,上大股份,35.28,35.02,35.05
2025-07-08,35.04,35.61,34.92,35.52,26978.86,上大股份,35.29,35.15,35.07
2025-07-09,35.58,35.89,35.04,35.04,33183.36,上大股份,35.2,35.21,35.06
2025-07-10,35.02,35.19,34.66,34.81,22143.35,上大股份,35.05,35.22,35.03
2025-07-11,35.0,35.9,34.73,35.46,40829.71,上大股份,35.18,35.29,34.95
2025-07-14,35.38,35.7,35.2,35.2,20145.16,上大股份,35.21,35.24,34.9
2025-07-15,35.06,35.3,34.18,34.55,33185.45,上大股份,35.01,35.15,34.86
2025-07-16,34.42,34.89,34.42,34.58,15370.03,上大股份,34.92,35.06,34.82
2025-07-17,34.6,34.8,34.4,34.75,17835.69,上大股份,34.91,34.98,34.86
2025-07-18,34.66,35.75,34.66,35.43,40111.89,上大股份,34.9,35.04,34.96
2025-07-21,35.43,35.79,35.25,35.71,32294.07,上大股份,35.0,35.11,35.06
2025-07-22,35.68,36.1,35.5,35.91,38947.31,上大股份,35.28,35.14,35.14
2025-07-23,35.86,36.1,35.4,35.5,33093.25,上大股份,35.46,35.19,35.2
2025-07-24,35.32,36.45,35.32,36.01,49145.54,上大股份,35.71,35.31,35.27
2025-07-25,35.88,36.11,35.52,35.73,30808.53,上大股份,35.77,35.34,35.31
2025-07-28,35.58,36.08,35.51,35.69,27034.37,上大股份,35.77,35.39,35.32
2025-07-29,35.52,35.69,35.18,35.69,25684.52,上大股份,35.72,35.5,35.33
2025-07-30,35.74,36.66,35.58,35.92,58793.5,上大股份,35.81,35.63,35.35
2025-07-31,35.72,36.48,35.13,35.23,44236.62,上大股份,35.65,35.68,35.33
2025-08-01,35.3,35.55,34.95,35.05,23892.5,上大股份,35.52,35.64,35.34
