date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,55.51,55.99,51.32,53.13,21321.83,佳力奇,53.13,53.13,53.13
2025-03-25,52.8,54.12,52.21,52.95,8449.65,佳力奇,53.04,53.04,53.04
2025-03-26,53.0,53.8,52.62,53.14,6285.62,佳力奇,53.07,53.07,53.07
2025-03-27,53.27,53.36,51.5,52.26,7564.23,佳力奇,52.87,52.87,52.87
2025-03-28,52.31,52.73,51.5,51.52,5503.94,佳力奇,52.6,52.6,52.6
2025-03-31,51.52,51.52,50.12,50.9,6849.05,佳力奇,52.15,52.32,52.32
2025-04-01,51.19,53.66,51.01,52.45,11448.4,佳力奇,52.05,52.34,52.34
2025-04-02,52.25,52.8,51.63,51.93,7223.4,佳力奇,51.81,52.28,52.28
2025-04-03,51.6,52.36,50.77,51.22,5873.9,佳力奇,51.6,52.17,52.17
2025-04-07,48.8,48.99,40.98,41.24,20274.36,佳力奇,49.55,51.07,51.07
2025-04-08,42.5,44.99,42.0,43.27,15300.23,佳力奇,48.02,50.09,50.36
2025-04-09,42.7,48.55,42.39,47.73,26557.22,佳力奇,47.08,49.57,50.14
2025-04-10,46.88,49.45,46.88,47.8,23459.78,佳力奇,46.25,49.03,49.96
2025-04-11,47.88,48.2,47.1,47.53,15291.07,佳力奇,45.51,48.56,49.79
2025-04-14,47.7,48.0,47.26,47.78,9461.15,佳力奇,46.82,48.18,49.66
2025-04-15,47.76,47.76,46.54,47.26,6959.0,佳力奇,47.62,47.82,49.51
2025-04-16,47.58,48.84,47.11,47.55,19841.42,佳力奇,47.58,47.33,49.39
2025-04-17,46.75,49.49,46.61,47.54,16131.73,佳力奇,47.53,46.89,49.29
2025-04-18,47.3,47.81,46.51,46.99,9028.7,佳力奇,47.42,46.47,49.17
2025-04-21,47.0,48.88,46.59,48.32,11494.96,佳力奇,47.53,47.18,49.13
2025-04-22,48.0,48.75,47.8,48.28,8328.1,佳力奇,47.74,47.68,48.88
2025-04-23,48.29,49.4,47.93,49.23,13265.68,佳力奇,48.07,47.83,48.7
2025-04-24,47.0,47.23,44.8,45.95,27639.51,佳力奇,47.75,47.64,48.34
2025-04-25,45.94,46.4,45.16,45.91,11767.26,佳力奇,47.54,47.48,48.02
2025-04-28,46.18,46.18,45.11,45.21,6790.04,佳力奇,46.92,47.22,47.7
2025-04-29,45.25,46.01,44.91,45.53,5762.01,佳力奇,46.37,47.05,47.44
2025-04-30,45.8,46.48,45.66,46.05,6374.33,佳力奇,45.73,46.9,47.12
2025-05-06,46.11,47.49,46.11,47.49,7851.99,佳力奇,46.04,46.9,46.89
2025-05-07,48.51,53.79,48.51,51.16,36353.71,佳力奇,47.09,47.31,46.89
2025-05-08,50.75,57.2,50.02,56.0,56317.45,佳力奇,49.25,48.08,47.63
2025-05-09,54.89,54.89,52.77,53.48,40960.71,佳力奇,50.84,48.6,48.14
2025-05-12,52.8,55.98,52.0,55.0,41884.96,佳力奇,52.63,49.18,48.5
2025-05-13,55.0,55.2,53.25,53.36,28392.45,佳力奇,53.8,49.92,48.78
2025-05-14,53.41,53.94,52.01,52.35,15822.95,佳力奇,54.04,50.56,49.02
2025-05-15,52.55,52.78,51.1,51.58,13200.16,佳力奇,53.15,51.2,49.21
2025-05-16,52.0,52.28,50.94,51.07,10529.03,佳力奇,52.67,51.75,49.4
2025-05-19,50.89,52.19,50.29,51.49,15258.19,佳力奇,51.97,52.3,49.6
2025-05-20,51.38,51.57,50.38,50.85,12432.1,佳力奇,51.47,52.63,49.76
2025-05-21,50.87,50.87,49.95,50.1,9741.0,佳力奇,51.02,52.53,49.92
2025-05-22,50.2,52.06,49.62,50.63,19597.45,佳力奇,50.83,51.99,50.04
2025-05-23,50.0,50.98,49.58,49.73,13090.6,佳力奇,50.56,51.62,50.11
2025-05-26,49.57,50.12,49.21,50.05,6734.45,佳力奇,50.27,51.12,50.15
2025-05-27,49.9,50.15,49.09,49.93,7697.15,佳力奇,50.09,50.78,50.35
2025-05-28,49.73,50.38,48.51,48.62,8518.0,佳力奇,49.79,50.4,50.48
2025-05-29,48.52,49.29,48.48,49.15,7923.47,佳力奇,49.5,50.16,50.68
2025-05-30,49.13,49.44,48.42,48.79,9133.61,佳力奇,49.31,49.93,50.84
2025-06-03,49.37,52.6,49.37,51.57,29697.26,佳力奇,49.61,49.94,51.12
2025-06-04,51.29,51.94,50.38,50.55,16218.91,佳力奇,49.74,49.91,51.27
2025-06-05,50.5,50.8,49.74,50.42,11791.36,佳力奇,50.1,49.94,51.24
2025-06-06,50.61,51.6,50.2,50.28,16407.15,佳力奇,50.32,49.91,50.95
2025-06-09,50.11,51.36,50.11,50.62,14146.03,佳力奇,50.69,50.0,50.81
2025-06-10,50.36,50.51,48.51,49.02,15754.15,佳力奇,50.18,49.9,50.51
2025-06-11,49.1,49.5,48.75,49.33,7157.15,佳力奇,49.93,49.84,50.31
2025-06-12,49.06,49.97,48.75,49.44,7131.3,佳力奇,49.74,49.92,50.16
2025-06-13,49.66,51.79,49.57,50.94,26040.14,佳力奇,49.87,50.1,50.13
2025-06-16,50.89,51.66,49.93,51.28,19504.82,佳力奇,50.0,50.34,50.14
2025-06-17,51.26,51.28,50.08,51.09,13336.06,佳力奇,50.42,50.3,50.12
2025-06-18,50.66,58.85,50.5,55.75,56861.57,佳力奇,51.7,50.82,50.36
2025-06-19,54.0,54.89,52.68,53.85,42413.13,佳力奇,52.58,51.16,50.55
2025-06-20,53.67,53.67,51.7,51.99,25934.76,佳力奇,52.79,51.33,50.62
2025-06-23,52.5,53.3,51.67,52.96,24002.71,佳力奇,53.13,51.56,50.78
2025-06-24,51.09,52.63,49.55,52.21,29604.06,佳力奇,53.35,51.88,50.89
2025-06-25,51.98,54.36,51.7,53.52,32180.63,佳力奇,52.91,52.3,51.07
2025-06-26,52.91,56.47,52.6,54.61,41362.28,佳力奇,53.06,52.82,51.37
2025-06-27,53.71,57.0,53.71,55.48,37530.04,佳力奇,53.76,53.27,51.68
2025-06-30,55.91,57.98,55.5,57.0,39740.87,佳力奇,54.56,53.85,52.1
2025-07-01,56.52,56.95,55.2,55.72,30566.18,佳力奇,55.27,54.31,52.3
2025-07-02,55.39,58.39,54.52,55.32,29553.7,佳力奇,55.63,54.27,52.54
2025-07-03,55.0,57.58,54.78,55.36,20166.3,佳力奇,55.78,54.42,52.79
2025-07-04,54.83,59.69,54.12,57.66,59384.15,佳力奇,56.21,54.98,53.16
2025-07-07,57.31,57.99,56.01,56.59,28612.2,佳力奇,56.13,55.35,53.46
2025-07-08,56.46,56.98,55.77,56.6,27016.0,佳力奇,56.31,55.79,53.84
2025-07-09,56.6,67.92,56.09,61.42,86927.89,佳力奇,57.53,56.58,54.44
2025-07-10,58.3,61.2,58.3,60.0,59286.86,佳力奇,58.45,57.11,54.97
2025-07-11,59.11,60.99,57.6,60.39,45118.43,佳力奇,59.0,57.61,55.44
2025-07-14,59.3,63.59,58.83,62.0,48562.93,佳力奇,60.08,58.11,55.98
2025-07-15,61.5,61.98,59.1,60.18,35633.12,佳力奇,60.8,58.55,56.43
2025-07-16,59.99,60.16,59.02,59.6,22677.62,佳力奇,60.43,58.98,56.62
2025-07-17,59.91,61.99,59.37,61.41,36048.35,佳力奇,60.72,59.58,57.0
2025-07-18,60.65,61.41,59.58,59.97,27254.54,佳力奇,60.63,59.82,57.4
2025-07-21,59.53,60.8,57.97,59.46,25364.78,佳力奇,60.12,60.1,57.72
2025-07-22,59.46,60.56,58.2,58.4,27156.59,佳力奇,59.77,60.28,58.03
2025-07-23,57.87,57.9,56.09,56.61,27756.18,佳力奇,59.17,59.8,58.19
2025-07-24,56.54,57.88,56.35,57.5,18260.13,佳力奇,58.39,59.55,58.33
2025-07-25,57.5,57.51,56.62,57.4,12889.93,佳力奇,57.87,59.25,58.43
2025-07-28,57.4,58.69,57.12,58.29,17845.76,佳力奇,57.64,58.88,58.49
2025-07-29,57.8,59.27,57.66,59.23,18752.89,佳力奇,57.81,58.79,58.67
2025-07-30,59.18,60.54,58.11,59.26,26908.36,佳力奇,58.34,58.75,58.87
2025-07-31,58.88,59.75,57.11,57.8,23366.36,佳力奇,58.4,58.39,58.99
