date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,6.24,6.28,5.83,5.97,117901.0,金鹰股份,5.97,5.97,5.97
2025-03-25,5.99,6.07,5.83,6.01,72795.8,金鹰股份,5.99,5.99,5.99
2025-03-26,5.93,6.21,5.93,6.19,87666.23,金鹰股份,6.06,6.06,6.06
2025-03-27,6.13,6.22,6.05,6.12,44304.0,金鹰股份,6.07,6.07,6.07
2025-03-28,6.09,6.15,5.94,5.98,47587.0,金鹰股份,6.05,6.05,6.05
2025-03-31,5.93,5.99,5.75,5.94,51398.0,金鹰股份,6.05,6.04,6.04
2025-04-01,5.92,6.12,5.9,6.09,67990.0,金鹰股份,6.06,6.04,6.04
2025-04-02,6.0,6.0,5.75,5.81,95749.0,金鹰股份,5.99,6.01,6.01
2025-04-03,5.71,5.84,5.66,5.75,69627.01,金鹰股份,5.91,5.98,5.98
2025-04-07,5.56,5.56,5.18,5.18,64452.0,金鹰股份,5.75,5.9,5.9
2025-04-08,5.01,5.16,4.71,4.85,113047.46,金鹰股份,5.54,5.79,5.81
2025-04-09,4.83,4.93,4.4,4.91,98360.25,金鹰股份,5.3,5.68,5.73
2025-04-10,5.0,5.14,4.98,5.06,78383.74,金鹰股份,5.15,5.57,5.68
2025-04-11,5.02,5.17,5.01,5.11,35802.0,金鹰股份,5.02,5.47,5.64
2025-04-14,5.15,5.24,5.13,5.16,41679.01,金鹰股份,5.02,5.39,5.61
2025-04-15,5.21,5.35,5.15,5.33,61479.0,金鹰股份,5.11,5.32,5.59
2025-04-16,5.27,5.33,5.07,5.19,46544.35,金鹰股份,5.17,5.24,5.57
2025-04-17,5.16,5.32,5.13,5.27,31501.01,金鹰股份,5.21,5.18,5.55
2025-04-18,5.22,5.33,5.17,5.24,31010.0,金鹰股份,5.24,5.13,5.53
2025-04-21,5.22,5.33,5.19,5.31,36544.0,金鹰股份,5.27,5.14,5.52
2025-04-22,5.35,5.39,5.27,5.38,26502.7,金鹰股份,5.28,5.2,5.49
2025-04-23,5.4,5.45,5.39,5.44,25716.0,金鹰股份,5.33,5.25,5.47
2025-04-24,5.41,5.62,5.4,5.45,48350.01,金鹰股份,5.36,5.29,5.43
2025-04-25,5.42,5.63,5.42,5.5,38616.0,金鹰股份,5.42,5.33,5.4
