date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,3.57,3.65,3.57,3.57,461544.4,*ST海华,3.57,3.57,3.57
2025-03-25,3.21,3.21,3.21,3.21,88703.0,*ST海华,3.39,3.39,3.39
2025-03-26,2.89,3.18,2.89,3.04,1288787.51,*ST海华,3.27,3.27,3.27
2025-03-27,2.9,2.95,2.82,2.83,917680.35,*ST海华,3.16,3.16,3.16
2025-03-28,2.83,2.85,2.73,2.75,527285.02,*ST海华,3.08,3.08,3.08
2025-03-31,2.68,2.68,2.56,2.61,477398.95,*ST海华,2.89,3.0,3.0
2025-04-01,2.61,2.71,2.61,2.66,359488.01,*ST海华,2.78,2.95,2.95
2025-04-02,2.67,2.72,2.63,2.67,225489.1,*ST海华,2.7,2.92,2.92
2025-04-03,2.66,2.7,2.62,2.65,197309.58,*ST海华,2.67,2.89,2.89
2025-04-07,2.51,2.52,2.39,2.39,286896.0,*ST海华,2.6,2.84,2.84
2025-04-08,2.3,2.44,2.3,2.37,274690.0,*ST海华,2.55,2.72,2.8
2025-04-09,2.32,2.44,2.14,2.41,295395.0,*ST海华,2.5,2.64,2.76
2025-04-10,2.43,2.55,2.43,2.53,328715.0,*ST海华,2.47,2.59,2.75
2025-04-11,2.51,2.59,2.48,2.57,246811.0,*ST海华,2.45,2.56,2.73
2025-04-14,2.56,2.83,2.55,2.71,478369.29,*ST海华,2.52,2.56,2.73
2025-04-15,2.71,2.83,2.63,2.8,426388.0,*ST海华,2.6,2.58,2.74
2025-04-16,2.8,2.83,2.71,2.79,434938.87,*ST海华,2.68,2.59,2.74
2025-04-17,2.74,2.77,2.51,2.61,635252.89,*ST海华,2.7,2.58,2.73
2025-04-18,2.59,2.6,2.5,2.52,267514.21,*ST海华,2.69,2.57,2.72
2025-04-21,2.37,2.51,2.36,2.47,316878.41,*ST海华,2.64,2.58,2.71
2025-04-23,2.35,2.35,2.35,2.35,92937.0,*ST海华,2.55,2.58,2.65
2025-04-24,2.3,2.45,2.3,2.33,643290.03,*ST海华,2.46,2.57,2.6
2025-04-25,2.27,2.31,2.21,2.26,496678.15,*ST海华,2.39,2.54,2.56
2025-04-28,2.26,2.27,2.15,2.17,331446.0,*ST海华,2.32,2.5,2.53
2025-04-29,2.16,2.28,2.15,2.26,252359.44,*ST海华,2.27,2.46,2.51
2025-04-30,2.25,2.37,2.25,2.31,291276.75,*ST海华,2.27,2.41,2.49
2025-05-06,2.33,2.43,2.3,2.43,296154.96,*ST海华,2.29,2.37,2.48
2025-05-07,2.43,2.46,2.39,2.42,235375.05,*ST海华,2.32,2.35,2.47
2025-05-08,2.42,2.53,2.42,2.48,226756.25,*ST海华,2.38,2.35,2.46
2025-05-09,2.48,2.57,2.44,2.5,230282.98,*ST海华,2.43,2.35,2.46
2025-05-12,2.52,2.63,2.5,2.63,231022.17,*ST海华,2.49,2.38,2.48
2025-05-13,2.65,2.73,2.61,2.64,334462.64,*ST海华,2.53,2.41,2.49
2025-05-14,2.63,2.67,2.57,2.63,188554.25,*ST海华,2.58,2.45,2.49
2025-05-15,2.72,2.76,2.68,2.76,384138.77,*ST海华,2.63,2.51,2.5
2025-05-16,2.76,2.85,2.67,2.8,343444.13,*ST海华,2.69,2.56,2.51
2025-05-19,2.91,2.94,2.85,2.94,108383.0,*ST海华,2.75,2.62,2.52
2025-05-20,3.09,3.09,2.94,2.96,408640.02,*ST海华,2.82,2.68,2.52
2025-05-21,3.02,3.11,2.98,3.11,184971.45,*ST海华,2.91,2.74,2.55
2025-05-22,3.12,3.27,3.07,3.11,351002.65,*ST海华,2.98,2.81,2.58
2025-05-23,3.09,3.12,2.95,2.97,254217.2,*ST海华,3.02,2.86,2.6
2025-05-26,2.97,3.01,2.91,2.98,159426.0,*ST海华,3.03,2.89,2.63
2025-05-27,2.98,3.13,2.96,3.1,200538.0,*ST海华,3.05,2.94,2.67
2025-05-28,3.14,3.26,3.08,3.26,313366.86,*ST海华,3.08,3.0,2.72
2025-05-29,3.26,3.38,3.17,3.17,275356.0,*ST海华,3.1,3.04,2.77
2025-05-30,3.15,3.23,3.13,3.16,138716.0,*ST海华,3.13,3.08,2.82
2025-06-03,3.17,3.18,3.06,3.06,147208.0,*ST海华,3.15,3.09,2.86
2025-06-04,3.08,3.17,3.07,3.1,104833.0,*ST海华,3.15,3.1,2.89
2025-06-05,3.11,3.13,3.06,3.09,102623.86,*ST海华,3.12,3.1,2.92
2025-06-06,3.1,3.17,3.08,3.13,92401.4,*ST海华,3.11,3.1,2.95
2025-06-09,3.13,3.24,3.13,3.24,115470.01,*ST海华,3.12,3.13,2.99
2025-06-10,3.24,3.26,3.16,3.23,134042.0,*ST海华,3.16,3.15,3.02
2025-06-11,3.24,3.31,3.21,3.26,132402.0,*ST海华,3.19,3.17,3.05
2025-06-12,3.25,3.29,3.14,3.2,116550.0,*ST海华,3.21,3.16,3.08
2025-06-13,3.19,3.19,3.06,3.07,121303.62,*ST海华,3.2,3.15,3.1
2025-06-16,3.05,3.22,3.04,3.22,139350.02,*ST海华,3.2,3.16,3.12
2025-06-17,3.28,3.37,3.23,3.24,156232.01,*ST海华,3.2,3.18,3.13
2025-06-18,3.26,3.35,3.2,3.28,140919.0,*ST海华,3.2,3.2,3.15
2025-06-19,3.27,3.28,3.13,3.14,137253.0,*ST海华,3.19,3.2,3.15
2025-06-20,3.14,3.15,3.07,3.1,83775.0,*ST海华,3.2,3.2,3.15
2025-06-23,3.06,3.14,3.04,3.11,127222.01,*ST海华,3.17,3.18,3.16
2025-06-24,3.13,3.17,3.11,3.15,84165.1,*ST海华,3.16,3.18,3.17
2025-06-25,3.15,3.15,3.02,3.05,156930.0,*ST海华,3.11,3.16,3.16
2025-06-26,3.05,3.06,3.01,3.03,85137.0,*ST海华,3.09,3.14,3.15
2025-06-27,3.02,3.06,2.98,3.02,96401.0,*ST海华,3.07,3.13,3.14
2025-06-30,3.0,3.05,2.95,3.04,100734.0,*ST海华,3.06,3.12,3.14
2025-07-01,3.05,3.07,3.01,3.06,96045.0,*ST海华,3.04,3.1,3.14
2025-07-02,3.05,3.07,3.02,3.06,89047.0,*ST海华,3.04,3.08,3.14
2025-07-03,3.05,3.15,3.05,3.14,130466.0,*ST海华,3.06,3.08,3.14
2025-07-04,3.11,3.13,3.02,3.03,156046.0,*ST海华,3.07,3.07,3.13
2025-07-07,3.02,3.05,3.0,3.04,81380.0,*ST海华,3.07,3.06,3.12
2025-07-08,3.04,3.06,3.03,3.06,51478.0,*ST海华,3.07,3.05,3.12
2025-07-09,3.07,3.08,3.02,3.04,80683.0,*ST海华,3.06,3.05,3.1
2025-07-10,3.05,3.19,3.04,3.19,217984.0,*ST海华,3.07,3.07,3.1
2025-07-11,3.19,3.21,3.14,3.16,181371.0,*ST海华,3.1,3.08,3.11
2025-07-14,3.16,3.17,3.08,3.1,109460.0,*ST海华,3.11,3.09,3.1
2025-07-15,3.08,3.09,3.0,3.02,142730.0,*ST海华,3.1,3.08,3.09
2025-07-16,3.03,3.12,3.02,3.11,96960.0,*ST海华,3.12,3.09,3.08
2025-07-17,3.13,3.17,3.1,3.12,124263.0,*ST海华,3.1,3.09,3.08
2025-07-18,3.1,3.15,3.07,3.12,79399.01,*ST海华,3.09,3.1,3.08
2025-07-21,3.15,3.24,3.13,3.22,140646.0,*ST海华,3.12,3.11,3.09
2025-07-22,3.22,3.25,3.16,3.21,87295.0,*ST海华,3.16,3.13,3.09
2025-07-23,3.22,3.22,3.16,3.17,54560.0,*ST海华,3.17,3.14,3.1
2025-07-24,3.16,3.19,3.15,3.18,53424.0,*ST海华,3.18,3.14,3.1
2025-07-25,3.18,3.34,3.14,3.33,183153.0,*ST海华,3.22,3.16,3.12
2025-07-28,3.32,3.4,3.3,3.35,128220.0,*ST海华,3.25,3.18,3.14
2025-07-29,3.36,3.44,3.27,3.32,126994.01,*ST海华,3.27,3.21,3.15
2025-07-30,3.35,3.36,3.15,3.16,284534.0,*ST海华,3.27,3.22,3.15
2025-07-31,3.1,3.23,3.1,3.18,112179.0,*ST海华,3.27,3.22,3.16
2025-08-01,3.21,3.31,3.16,3.17,85777.0,*ST海华,3.24,3.23,3.16
2025-08-04,3.17,3.28,3.13,3.27,88109.0,*ST海华,3.22,3.23,3.17
2025-08-05,3.27,3.33,3.24,3.3,89882.0,*ST海华,3.22,3.24,3.19
2025-08-06,3.3,3.42,3.29,3.36,96501.0,*ST海华,3.26,3.26,3.2
2025-08-07,3.36,3.39,3.33,3.33,86318.0,*ST海华,3.29,3.28,3.21
2025-08-08,3.35,3.5,3.33,3.5,193458.01,*ST海华,3.35,3.29,3.23
2025-08-11,3.55,3.66,3.48,3.54,270295.0,*ST海华,3.41,3.31,3.25
2025-08-12,3.55,3.72,3.5,3.7,240713.76,*ST海华,3.49,3.35,3.28
2025-08-13,3.69,3.89,3.62,3.83,236766.0,*ST海华,3.58,3.42,3.32
2025-08-14,3.74,3.84,3.71,3.76,167351.0,*ST海华,3.67,3.48,3.35
2025-08-15,3.79,3.95,3.77,3.95,118899.0,*ST海华,3.76,3.55,3.39
2025-08-18,4.1,4.15,4.03,4.11,306671.35,*ST海华,3.87,3.64,3.44
2025-08-19,4.14,4.32,4.11,4.32,142352.0,*ST海华,3.99,3.74,3.49
2025-08-20,4.37,4.5,4.1,4.43,407923.5,*ST海华,4.11,3.85,3.55
2025-08-21,4.5,4.65,4.5,4.6,304003.02,*ST海华,4.28,3.97,3.63
2025-08-22,4.53,4.73,4.47,4.55,355386.12,*ST海华,4.4,4.08,3.69
2025-08-25,4.61,4.78,4.61,4.78,244360.6,*ST海华,4.54,4.2,3.76
2025-08-26,4.8,5.02,4.71,5.02,154770.71,*ST海华,4.68,4.33,3.84
2025-08-27,5.03,5.24,4.77,4.77,366194.88,*ST海华,4.74,4.43,3.92
2025-08-28,4.7,4.8,4.53,4.56,253063.29,*ST海华,4.74,4.51,3.99
2025-08-29,4.58,4.73,4.55,4.63,142084.2,*ST海华,4.75,4.58,4.07
2025-09-01,4.65,4.68,4.4,4.4,158866.0,*ST海华,4.68,4.61,4.12
2025-09-02,4.4,4.54,4.18,4.54,195624.62,*ST海华,4.58,4.63,4.18
2025-09-03,4.51,4.77,4.51,4.77,141291.02,*ST海华,4.58,4.66,4.25
2025-09-04,4.8,4.93,4.66,4.73,157248.0,*ST海华,4.61,4.68,4.32
2025-09-05,4.73,4.82,4.57,4.62,111154.1,*ST海华,4.61,4.68,4.38
2025-09-08,4.56,4.85,4.56,4.83,119967.68,*ST海华,4.7,4.69,4.44
2025-09-09,4.83,5.03,4.81,5.0,134887.47,*ST海华,4.79,4.68,4.51
2025-09-10,4.94,5.23,4.94,5.2,108230.18,*ST海华,4.88,4.73,4.58
2025-09-11,5.24,5.36,5.0,5.18,127130.0,*ST海华,4.97,4.79,4.65
2025-09-12,5.18,5.44,5.15,5.44,142649.35,*ST海华,5.13,4.87,4.72
2025-09-15,5.46,5.71,5.46,5.71,199789.76,*ST海华,5.31,5.0,4.8
2025-09-16,5.68,5.7,5.42,5.51,179154.91,*ST海华,5.41,5.1,4.86
2025-09-17,5.6,5.79,5.55,5.75,167859.0,*ST海华,5.52,5.2,4.93
2025-09-18,5.61,5.67,5.5,5.52,133282.0,*ST海华,5.59,5.28,4.98
2025-09-19,5.48,5.63,5.38,5.51,81243.1,*ST海华,5.6,5.36,5.02
2025-09-22,5.5,5.74,5.5,5.63,93238.4,*ST海华,5.58,5.44,5.07
2025-09-23,5.64,5.73,5.46,5.53,88629.15,*ST海华,5.59,5.5,5.09
2025-09-24,5.54,5.66,5.34,5.59,89934.01,*ST海华,5.56,5.54,5.13
2025-09-25,5.59,5.76,5.45,5.72,121000.69,*ST海华,5.6,5.59,5.19
2025-09-26,5.72,5.99,5.72,5.79,118240.51,*ST海华,5.65,5.63,5.25
2025-09-29,5.9,5.9,5.69,5.78,80270.0,*ST海华,5.68,5.63,5.32
2025-09-30,5.78,5.78,5.67,5.72,61024.0,*ST海华,5.72,5.65,5.38
2025-10-09,5.76,5.91,5.43,5.59,170554.0,*ST海华,5.72,5.64,5.42
2025-10-10,5.4,5.4,5.31,5.31,60320.0,*ST海华,5.64,5.62,5.45
2025-10-20,5.58,5.58,5.31,5.58,121455.01,*ST海华,5.6,5.62,5.49
2025-10-21,5.75,5.84,5.32,5.38,204517.94,*ST海华,5.52,5.6,5.52
2025-10-22,5.34,5.45,5.11,5.11,145868.09,*ST海华,5.39,5.56,5.53
2025-10-23,5.1,5.16,4.85,4.97,133294.46,*ST海华,5.27,5.5,5.52
2025-10-24,4.97,5.18,4.97,5.1,63521.01,*ST海华,5.23,5.43,5.51
2025-10-27,5.2,5.29,4.93,5.26,96047.0,*ST海华,5.16,5.38,5.5
2025-10-28,5.27,5.31,5.16,5.2,53608.01,*ST海华,5.13,5.32,5.48
2025-10-29,5.2,5.2,5.02,5.08,47411.22,*ST海华,5.12,5.26,5.46
2025-10-30,5.06,5.12,5.02,5.07,45178.0,*ST海华,5.14,5.21,5.42
2025-10-31,5.1,5.26,5.04,5.23,62053.02,*ST海华,5.17,5.2,5.41
2025-11-03,5.26,5.43,5.21,5.42,76060.1,*ST海华,5.2,5.18,5.4
2025-11-04,5.42,5.53,5.36,5.42,65339.2,*ST海华,5.24,5.19,5.39
2025-11-05,5.44,5.44,5.34,5.37,40828.0,*ST海华,5.3,5.21,5.38
2025-11-06,5.32,5.4,5.24,5.36,39629.37,*ST海华,5.36,5.25,5.37
2025-11-07,5.36,5.38,5.27,5.31,30886.0,*ST海华,5.38,5.27,5.35
2025-11-10,5.3,5.34,5.21,5.26,28845.0,*ST海华,5.34,5.27,5.33
2025-11-11,5.23,5.34,5.23,5.25,36739.01,*ST海华,5.31,5.28,5.3
2025-11-12,5.25,5.31,5.16,5.23,42862.0,*ST海华,5.28,5.29,5.28
2025-11-13,5.23,5.3,5.17,5.23,35314.0,*ST海华,5.26,5.31,5.26
2025-11-14,5.22,5.22,5.16,5.16,49390.0,*ST海华,5.23,5.3,5.25
2025-11-17,5.19,5.19,5.0,5.08,59221.0,*ST海华,5.19,5.27,5.22
2025-11-18,5.04,5.08,4.96,5.02,60940.01,*ST海华,5.14,5.23,5.21
2025-11-19,5.05,5.15,4.96,5.03,68354.0,*ST海华,5.1,5.19,5.2
2025-11-20,5.03,5.07,4.95,4.95,43345.0,*ST海华,5.05,5.15,5.2
2025-11-21,4.95,4.95,4.72,4.78,76902.0,*ST海华,4.97,5.1,5.19
2025-11-24,4.85,5.0,4.79,4.98,44972.0,*ST海华,4.95,5.07,5.17
2025-11-25,4.98,5.14,4.98,5.07,43119.0,*ST海华,4.96,5.05,5.17
2025-11-26,5.05,5.07,4.94,4.99,36850.0,*ST海华,4.95,5.03,5.16
2025-11-27,5.01,5.24,4.81,5.24,85552.67,*ST海华,5.01,5.03,5.17
2025-11-28,5.28,5.5,5.28,5.36,94619.0,*ST海华,5.13,5.05,5.18
2025-12-01,5.42,5.48,5.25,5.31,53799.81,*ST海华,5.19,5.07,5.17
2025-12-02,5.29,5.31,5.17,5.2,49726.15,*ST海华,5.22,5.09,5.16
2025-12-03,5.16,5.25,5.13,5.18,45821.0,*ST海华,5.26,5.11,5.15
