date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,67.36,67.59,66.78,67.06,183654.58,万华化学,67.06,67.06,67.06
2025-03-25,67.1,68.55,66.7,68.48,249868.29,万华化学,67.77,67.77,67.77
2025-03-26,68.43,68.46,67.93,68.07,121131.77,万华化学,67.87,67.87,67.87
2025-03-27,68.1,69.0,68.08,68.53,171345.7,万华化学,68.04,68.04,68.04
2025-03-28,68.54,68.94,67.54,67.71,141281.09,万华化学,67.97,67.97,67.97
2025-03-31,68.09,68.55,67.07,67.21,152553.87,万华化学,68.0,67.84,67.84
2025-04-01,67.22,67.64,66.88,67.1,143215.92,万华化学,67.72,67.74,67.74
2025-04-02,67.1,67.14,66.52,66.59,170742.98,万华化学,67.43,67.59,67.59
2025-04-03,65.59,66.0,65.4,65.74,195279.41,万华化学,66.87,67.39,67.39
2025-04-07,62.8,62.8,59.17,59.17,449230.37,万华化学,65.16,66.57,66.57
2025-04-08,60.2,60.25,57.88,60.25,435352.5,万华化学,63.77,65.88,65.99
2025-04-09,59.17,60.17,58.5,60.17,321192.83,万华化学,62.38,65.05,65.51
2025-04-10,61.48,61.49,60.01,60.88,266348.66,万华化学,61.24,64.34,65.15
2025-04-11,60.35,60.5,59.65,60.2,183921.26,万华化学,60.13,63.5,64.8
2025-04-14,60.24,60.45,59.31,59.45,241032.49,万华化学,60.19,62.68,64.44
2025-04-15,58.36,58.38,55.22,56.26,669616.48,万华化学,59.39,61.58,63.93
2025-04-16,56.27,56.3,54.56,55.35,419179.0,万华化学,58.43,60.41,63.42
2025-04-17,54.8,55.27,54.58,54.89,344153.18,万华化学,57.23,59.24,62.95
2025-04-18,54.91,55.05,54.6,54.99,208294.6,万华化学,56.19,58.16,62.53
2025-04-21,54.88,54.88,53.89,54.26,340943.55,万华化学,55.15,57.67,62.12
2025-04-22,54.0,54.55,53.89,54.08,233711.05,万华化学,54.71,57.05,61.47
2025-04-23,54.32,55.67,54.32,55.05,396007.23,万华化学,54.65,56.54,60.8
2025-04-24,55.17,55.17,54.22,54.45,211666.36,万华化学,54.57,55.9,60.12
2025-04-25,54.9,56.99,54.89,56.05,486824.98,万华化学,54.78,55.48,59.49
2025-04-28,56.05,56.05,55.13,55.19,221997.62,万华化学,54.96,55.06,58.87
2025-04-29,55.21,55.22,54.34,54.5,217374.17,万华化学,55.05,54.88,58.23
2025-04-30,54.4,55.13,54.3,54.44,167348.18,万华化学,54.93,54.79,57.6
2025-05-06,54.88,55.1,54.5,55.06,266810.04,万华化学,55.05,54.81,57.02
2025-05-07,56.0,56.1,54.97,55.43,266257.97,万华化学,54.92,54.85,56.51
2025-05-08,55.02,55.7,54.88,55.45,204165.72,万华化学,54.98,54.97,56.32
2025-05-09,55.39,55.39,54.68,54.89,178434.57,万华化学,55.05,55.05,56.05
2025-05-12,55.49,57.48,55.4,57.48,613487.12,万华化学,55.66,55.29,55.92
2025-05-13,58.0,58.1,56.78,56.96,338236.97,万华化学,56.04,55.54,55.72
2025-05-14,56.95,58.32,56.79,58.29,380970.6,万华化学,56.61,55.77,55.63
2025-05-15,58.03,58.42,57.28,57.43,246833.39,万华化学,57.01,55.99,55.52
2025-05-16,57.15,57.19,56.62,56.83,186262.62,万华化学,57.4,56.23,55.55
2025-05-19,56.83,56.94,56.15,56.75,143919.78,万华化学,57.25,56.46,55.62
2025-05-20,56.66,57.09,56.31,56.81,142920.53,万华化学,57.22,56.63,55.72
2025-05-21,56.54,57.06,56.51,56.66,128649.48,万华化学,56.9,56.76,55.8
2025-05-22,56.6,56.6,56.04,56.16,130733.83,万华化学,56.64,56.83,55.9
2025-05-23,56.22,57.05,56.06,56.08,215233.74,万华化学,56.49,56.95,56.0
2025-05-26,56.09,56.19,55.33,55.41,185026.31,万华化学,56.22,56.74,56.02
2025-05-27,55.43,55.53,54.9,54.95,142351.25,万华化学,55.85,56.54,56.04
2025-05-28,55.11,55.14,54.88,54.91,96506.91,万华化学,55.5,56.2,55.98
2025-05-29,54.98,55.53,54.65,55.53,143998.44,万华化学,55.38,56.01,56.0
2025-05-30,54.88,54.88,53.92,54.14,150576.25,万华化学,54.99,55.74,55.98
2025-06-03,54.06,54.38,54.0,54.14,121928.25,万华化学,54.73,55.48,55.97
2025-06-04,54.14,54.62,54.01,54.42,115984.2,万华化学,54.63,55.24,55.94
2025-06-05,54.5,54.58,54.08,54.26,156285.47,万华化学,54.5,55.0,55.88
2025-06-06,54.28,55.79,54.25,54.88,243160.57,万华化学,54.37,54.87,55.85
2025-06-09,55.07,55.6,54.8,55.17,182017.66,万华化学,54.57,54.78,55.86
2025-06-10,55.18,55.38,54.31,54.63,207078.83,万华化学,54.67,54.7,55.72
2025-06-11,54.64,55.14,54.53,55.02,156004.58,万华化学,54.79,54.71,55.62
2025-06-12,54.98,54.99,54.42,54.5,163103.25,万华化学,54.84,54.67,55.43
2025-06-13,54.31,55.22,54.0,54.41,209050.99,万华化学,54.75,54.56,55.28
2025-06-16,54.36,54.85,54.01,54.13,189961.46,万华化学,54.54,54.56,55.15
2025-06-17,54.14,54.27,53.88,53.98,132341.43,万华化学,54.41,54.54,55.01
2025-06-18,54.04,54.4,53.85,53.96,130096.0,万华化学,54.2,54.49,54.87
2025-06-19,53.95,53.97,53.24,53.4,167777.05,万华化学,53.98,54.41,54.7
2025-06-20,53.4,53.82,53.19,53.19,140224.37,万华化学,53.73,54.24,54.56
2025-06-23,52.9,52.9,52.1,52.53,217468.5,万华化学,53.41,53.98,54.38
2025-06-24,52.54,53.3,52.49,53.24,237343.45,万华化学,53.26,53.84,54.27
2025-06-25,53.24,53.69,52.83,53.61,254327.34,万华化学,53.19,53.7,54.2
2025-06-26,53.52,53.79,53.16,53.17,201586.84,万华化学,53.15,53.56,54.12
2025-06-27,53.17,53.97,53.1,53.39,240336.75,万华化学,53.19,53.46,54.01
2025-06-30,53.39,54.32,53.23,54.26,242871.23,万华化学,53.53,53.47,54.01
2025-07-01,54.03,54.49,53.93,53.98,161936.8,万华化学,53.68,53.47,54.01
2025-07-02,53.98,54.99,53.8,54.21,314323.69,万华化学,53.8,53.5,54.0
2025-07-03,54.22,54.98,54.0,54.56,263591.87,万华化学,54.08,53.61,54.01
2025-07-04,54.57,54.66,53.91,54.09,226735.94,万华化学,54.22,53.7,53.97
2025-07-07,54.09,54.98,53.93,54.3,186016.07,万华化学,54.23,53.88,53.93
2025-07-08,54.3,55.79,54.01,55.3,369202.62,万华化学,54.49,54.09,53.96
2025-07-09,55.33,55.44,54.36,54.44,265129.01,万华化学,54.54,54.17,53.93
2025-07-10,54.45,56.8,54.45,56.41,671779.33,万华化学,54.91,54.49,54.03
2025-07-11,56.18,56.52,55.72,55.72,401421.96,万华化学,55.23,54.73,54.09
2025-07-14,55.73,56.05,55.23,55.25,263069.97,万华化学,55.42,54.83,54.15
2025-07-15,55.25,55.45,54.5,55.02,245152.88,万华化学,55.37,54.93,54.2
2025-07-16,55.0,55.09,54.71,54.84,155576.74,万华化学,55.45,54.99,54.25
2025-07-17,54.89,55.33,54.72,55.15,223018.42,万华化学,55.2,55.05,54.33
2025-07-18,55.52,59.96,55.31,59.72,1178913.41,万华化学,56.0,55.61,54.66
2025-07-21,59.99,60.35,59.01,59.94,628162.66,万华化学,56.93,56.18,55.03
2025-07-22,60.4,63.05,59.9,63.05,1030836.19,万华化学,58.54,56.95,55.52
2025-07-23,63.0,63.28,61.66,61.83,682328.08,万华化学,59.94,57.69,55.93
2025-07-24,61.25,62.71,61.24,62.51,510849.5,万华化学,61.41,58.3,56.4
2025-07-25,62.58,64.64,62.57,62.98,546335.89,万华化学,62.06,59.03,56.88
2025-07-28,62.0,62.96,61.55,62.6,398068.61,万华化学,62.59,59.76,57.29
2025-07-29,62.61,63.15,61.83,61.96,307875.0,万华化学,62.38,60.46,57.69
2025-07-30,62.56,64.95,62.52,63.84,662587.11,万华化学,62.78,61.36,58.18
2025-07-31,63.8,63.8,61.82,62.31,515264.96,万华化学,62.74,62.07,58.56
2025-08-01,61.4,61.88,60.66,60.92,393958.4,万华化学,62.33,62.19,58.9
2025-08-04,60.4,60.78,59.92,60.48,255821.07,万华化学,61.9,62.25,59.21
2025-08-05,60.58,61.25,60.5,60.99,227963.21,万华化学,61.71,62.04,59.5
2025-08-06,60.99,61.36,60.57,61.08,197458.52,万华化学,61.16,61.97,59.83
2025-08-07,61.19,61.55,60.24,60.62,224056.53,万华化学,60.82,61.78,60.04
2025-08-08,60.8,61.46,60.3,60.8,209182.31,万华化学,60.79,61.56,60.29
2025-08-11,61.07,61.8,61.0,61.46,263564.26,万华化学,60.99,61.45,60.6
2025-08-12,61.08,64.49,60.9,62.9,633869.85,万华化学,61.37,61.54,61.0
2025-08-13,62.91,63.16,62.31,62.98,313200.04,万华化学,61.75,61.45,61.41
2025-08-14,62.99,63.47,62.05,62.51,306673.75,万华化学,62.13,61.47,61.77
2025-08-15,62.15,63.65,62.1,62.99,309612.11,万华化学,62.57,61.68,61.94
2025-08-18,63.05,63.7,62.63,62.71,395253.76,万华化学,62.82,61.9,62.08
2025-08-19,62.9,64.2,62.13,62.19,381996.52,万华化学,62.68,62.02,62.03
2025-08-20,62.19,63.09,61.57,63.04,337232.86,万华化学,62.69,62.22,62.09
2025-08-21,63.16,66.0,63.16,65.6,785601.88,万华化学,63.31,62.72,62.25
2025-08-22,65.85,67.48,65.41,67.17,564038.43,万华化学,64.14,63.36,62.46
2025-08-25,67.25,68.77,66.6,68.17,513981.26,万华化学,65.23,64.03,62.74
2025-08-26,68.17,70.78,67.72,69.63,556442.67,万华化学,66.72,64.7,63.12
2025-08-27,69.64,70.24,68.05,68.05,487421.53,万华化学,67.72,65.21,63.33
2025-08-28,67.84,69.15,66.5,68.13,485337.12,万华化学,68.23,65.77,63.62
2025-08-29,68.14,69.12,68.06,68.6,361429.3,万华化学,68.52,66.33,64.0
2025-09-01,68.6,69.85,68.0,69.02,403277.47,万华化学,68.69,66.96,64.43
2025-09-02,69.02,69.21,66.95,67.27,385692.19,万华化学,68.21,67.47,64.75
2025-09-03,67.27,67.96,65.9,66.89,284232.67,万华化学,67.98,67.85,65.04
2025-09-04,66.09,66.6,63.78,64.69,502025.87,万华化学,67.29,67.76,65.24
2025-09-05,64.64,66.12,64.51,65.85,324338.29,万华化学,66.74,67.63,65.49
2025-09-08,65.88,69.93,65.77,69.6,630918.66,万华化学,66.86,67.77,65.9
2025-09-09,69.65,70.2,67.82,68.52,403632.65,万华化学,67.11,67.66,66.18
2025-09-10,67.84,68.38,66.96,67.54,244392.88,万华化学,67.24,67.61,66.41
2025-09-11,67.3,68.5,66.82,68.43,319294.65,万华化学,67.99,67.64,66.7
2025-09-12,68.44,68.71,67.1,67.79,263774.07,万华化学,68.38,67.56,66.94
2025-09-15,67.79,69.09,67.5,67.74,209925.1,万华化学,68.0,67.43,67.2
2025-09-16,67.81,68.05,66.0,66.61,284113.48,万华化学,67.62,67.37,67.42
2025-09-17,66.32,67.5,66.06,67.01,212181.75,万华化学,67.52,67.38,67.62
2025-09-18,67.02,67.08,65.35,65.88,314009.89,万华化学,67.01,67.5,67.63
2025-09-19,65.66,66.52,65.31,65.31,293062.87,万华化学,66.51,67.44,67.54
2025-09-22,65.22,65.22,63.51,64.1,287562.59,万华化学,65.78,66.89,67.33
2025-09-23,64.12,64.41,62.59,63.34,268882.6,万华化学,65.13,66.38,67.02
2025-09-24,63.06,63.92,63.0,63.68,215650.93,万华化学,64.46,65.99,66.8
2025-09-25,63.66,65.35,63.55,64.56,285235.59,万华化学,64.2,65.6,66.62
2025-09-26,64.48,64.87,63.9,64.01,209298.25,万华化学,63.94,65.22,66.39
2025-09-29,64.2,66.53,63.7,65.94,329371.69,万华化学,64.31,65.04,66.24
2025-09-30,65.88,66.86,65.26,66.58,293174.11,万华化学,64.95,65.04,66.2
2025-10-09,66.58,67.85,65.3,67.73,335340.0,万华化学,65.76,65.11,66.25
2025-10-10,67.5,68.8,66.66,67.73,328917.39,万华化学,66.4,65.3,66.4
2025-10-13,65.12,66.78,64.99,66.35,306093.72,万华化学,66.87,65.4,66.42
2025-10-14,66.54,67.45,64.54,64.77,306328.49,万华化学,66.63,65.47,66.18
2025-10-15,64.7,65.56,64.07,64.75,208856.78,万华化学,66.27,65.61,65.99
2025-10-16,64.82,64.82,62.55,62.99,351123.83,万华化学,65.32,65.54,65.77
2025-10-17,62.96,63.65,61.5,61.51,301345.79,万华化学,64.07,65.24,65.42
2025-10-20,62.03,62.03,60.61,60.86,259369.26,万华化学,62.98,64.92,65.07
2025-10-21,61.09,61.55,60.6,61.18,191258.97,万华化学,62.26,64.45,64.74
2025-10-22,61.2,61.58,60.81,61.34,158524.72,万华化学,61.58,63.92,64.48
2025-10-23,61.24,62.8,60.85,62.73,225942.42,万华化学,61.52,63.42,64.27
2025-10-24,62.69,62.97,61.01,61.45,310696.41,万华化学,61.51,62.79,64.05
2025-10-27,62.0,63.3,61.81,62.49,367917.59,万华化学,61.84,62.41,63.9
2025-10-28,62.66,62.66,61.41,61.48,247704.19,万华化学,61.9,62.08,63.77
2025-10-29,61.4,62.45,61.03,61.99,269625.42,万华化学,62.03,61.8,63.71
2025-10-30,62.0,62.25,61.18,61.71,280866.99,万华化学,61.82,61.67,63.61
2025-10-31,61.88,63.33,61.87,62.63,311848.57,万华化学,62.06,61.79,63.51
2025-11-03,62.85,62.96,61.66,62.52,182917.73,万华化学,62.07,61.95,63.44
2025-11-04,62.35,62.85,61.11,61.6,189338.55,万华化学,62.09,61.99,63.22
2025-11-05,61.11,62.08,60.69,61.47,177935.6,万华化学,61.99,62.01,62.96
2025-11-06,61.3,62.45,61.3,61.7,205363.1,万华化学,61.98,61.9,62.66
2025-11-07,61.69,65.51,61.35,65.27,762160.0,万华化学,62.51,62.29,62.54
2025-11-10,66.2,68.78,66.15,67.86,786641.6,万华化学,63.58,62.82,62.62
2025-11-11,67.4,68.49,66.75,67.95,373544.69,万华化学,64.85,63.47,62.77
2025-11-12,68.0,68.5,67.23,67.77,299056.91,万华化学,66.11,64.05,62.92
2025-11-13,67.4,69.16,67.4,68.71,416458.4,万华化学,67.51,64.75,63.21
2025-11-14,67.4,68.28,65.8,65.8,504502.96,万华化学,67.62,65.06,63.43
2025-11-17,65.08,67.68,65.08,66.38,326430.84,万华化学,67.32,65.45,63.7
2025-11-18,66.4,66.76,65.02,65.4,234161.99,万华化学,66.81,65.83,63.91
2025-11-19,65.2,66.0,65.0,65.61,162992.74,万华化学,66.38,66.24,64.13
2025-11-20,65.97,66.47,64.18,64.3,207793.25,万华化学,65.5,66.5,64.2
2025-11-21,63.85,63.93,62.33,62.71,298714.74,万华化学,64.88,66.25,64.27
2025-11-24,63.43,63.65,62.26,62.79,242334.82,万华化学,64.16,65.74,64.28
2025-11-25,63.0,64.1,62.93,63.04,216534.63,万华化学,63.69,65.25,64.36
2025-11-26,63.06,63.88,62.82,63.7,168651.0,万华化学,63.31,64.84,64.45
2025-11-27,63.4,66.33,63.35,65.9,378088.66,万华化学,63.63,64.56,64.66
2025-11-28,65.89,67.98,65.85,67.12,388355.22,万华化学,64.51,64.69,64.88
2025-12-01,66.97,68.18,66.6,67.96,312903.08,万华化学,65.54,64.85,65.15
2025-12-02,67.8,68.09,66.9,67.0,205282.97,万华化学,66.34,65.01,65.42
2025-12-03,67.2,69.37,67.13,68.2,459657.55,万华化学,67.24,65.27,65.76
2025-12-04,68.07,68.8,67.26,67.68,191121.02,万华化学,67.59,65.61,66.06
2025-12-05,67.82,70.67,67.7,69.98,496446.3,万华化学,68.16,66.34,66.29
2025-12-08,70.2,70.7,69.38,69.97,329802.85,万华化学,68.57,67.06,66.4
2025-12-09,69.97,71.0,69.0,69.3,332060.86,万华化学,69.03,67.68,66.47
2025-12-10,68.97,69.43,67.9,69.3,238362.99,万华化学,69.25,68.24,66.54
2025-12-11,69.31,70.5,68.18,68.47,199392.22,万华化学,69.4,68.5,66.53
2025-12-12,68.47,68.81,67.53,68.47,225459.49,万华化学,69.1,68.63,66.66
2025-12-15,68.44,70.99,68.0,69.69,352823.6,万华化学,69.05,68.81,66.83
2025-12-16,69.55,70.19,67.98,70.07,280234.8,万华化学,69.2,69.11,67.06
2025-12-17,69.75,74.88,69.75,74.22,701133.83,万华化学,70.18,69.72,67.49
2025-12-18,74.23,76.99,73.85,75.54,506723.1,万华化学,71.6,70.5,68.06
2025-12-19,75.07,76.08,75.07,75.59,243168.29,万华化学,73.02,71.06,68.7
2025-12-22,75.59,76.19,75.11,75.79,264728.38,万华化学,74.24,71.64,69.35
2025-12-23,75.81,76.18,74.5,74.8,259293.25,万华化学,75.19,72.19,69.94
2025-12-24,74.98,77.37,74.86,77.07,346061.52,万华化学,75.76,72.97,70.61
2025-12-25,77.09,78.5,76.67,76.71,245153.18,万华化学,75.99,73.8,71.15
2025-12-26,76.6,78.0,75.7,76.98,271029.18,万华化学,76.27,74.65,71.64
2025-12-29,76.92,77.2,75.7,76.15,213799.64,万华化学,76.34,75.29,72.05
2025-12-30,75.5,77.99,75.02,77.0,266284.29,万华化学,76.78,75.98,72.55
2025-12-31,76.8,77.43,76.09,76.68,164028.35,万华化学,76.7,76.23,72.97
2026-01-05,77.2,78.81,76.23,77.33,261561.4,万华化学,76.83,76.41,73.46
2026-01-06,77.03,83.38,77.03,82.95,584610.93,万华化学,78.02,77.15,74.1
