date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,4.92,4.96,4.68,4.76,114828.0,莫高股份,4.76,4.76,4.76
2025-03-25,4.77,4.77,4.67,4.76,49093.01,莫高股份,4.76,4.76,4.76
2025-03-26,4.72,4.86,4.72,4.83,70130.0,莫高股份,4.78,4.78,4.78
2025-03-27,4.81,4.91,4.75,4.82,66169.1,莫高股份,4.79,4.79,4.79
2025-03-28,4.81,4.82,4.64,4.7,53992.0,莫高股份,4.77,4.77,4.77
2025-03-31,4.65,4.68,4.56,4.58,50351.0,莫高股份,4.74,4.74,4.74
2025-04-01,4.62,4.8,4.62,4.75,68840.0,莫高股份,4.74,4.74,4.74
2025-04-02,4.75,4.8,4.7,4.75,29996.0,莫高股份,4.72,4.74,4.74
2025-04-03,4.69,4.79,4.69,4.76,38186.0,莫高股份,4.71,4.75,4.75
2025-04-07,4.59,4.59,4.28,4.28,100750.0,莫高股份,4.62,4.7,4.7
2025-04-08,4.25,4.43,4.22,4.36,99967.0,莫高股份,4.58,4.66,4.67
2025-04-09,4.3,4.56,4.15,4.55,111881.01,莫高股份,4.54,4.64,4.66
2025-04-10,4.55,4.88,4.52,4.76,137848.0,莫高股份,4.54,4.63,4.67
2025-04-11,4.78,4.87,4.72,4.76,64064.0,莫高股份,4.54,4.62,4.67
2025-04-14,4.77,4.85,4.77,4.82,44078.0,莫高股份,4.65,4.64,4.68
2025-04-15,4.83,5.23,4.83,5.01,187506.98,莫高股份,4.78,4.68,4.7
2025-04-16,4.95,5.07,4.93,5.02,108440.0,莫高股份,4.87,4.71,4.72
2025-04-17,5.01,5.13,4.95,5.04,102390.0,莫高股份,4.93,4.74,4.74
2025-04-18,5.0,5.11,4.95,5.1,98579.0,莫高股份,5.0,4.77,4.76
2025-04-21,5.03,5.05,4.79,4.96,188031.0,莫高股份,5.03,4.84,4.77
2025-04-22,4.95,5.0,4.86,4.89,79835.93,莫高股份,5.0,4.89,4.78
2025-04-23,4.88,4.93,4.78,4.8,79059.0,莫高股份,4.96,4.92,4.78
2025-04-24,4.82,4.82,4.71,4.72,56598.0,莫高股份,4.89,4.91,4.77
2025-04-25,4.72,4.79,4.69,4.71,55827.0,莫高股份,4.82,4.91,4.77
2025-04-28,4.72,4.72,4.53,4.56,65058.0,莫高股份,4.74,4.88,4.76
2025-04-29,4.61,4.82,4.61,4.78,96997.01,莫高股份,4.71,4.86,4.77
2025-04-30,4.78,4.94,4.78,4.9,99828.01,莫高股份,4.73,4.85,4.78
2025-05-06,4.93,5.06,4.91,5.04,89462.0,莫高股份,4.8,4.85,4.79
2025-05-07,5.07,5.14,5.04,5.1,108587.01,莫高股份,4.88,4.85,4.81
2025-05-08,5.1,5.18,5.06,5.14,78133.01,莫高股份,4.99,4.86,4.85
2025-05-09,5.15,5.27,5.09,5.23,107629.0,莫高股份,5.08,4.9,4.89
2025-05-12,5.23,5.29,5.14,5.18,80148.0,莫高股份,5.14,4.94,4.93
2025-05-13,5.23,5.26,5.15,5.18,53480.6,莫高股份,5.17,4.98,4.95
2025-05-14,5.18,5.22,5.09,5.16,45540.0,莫高股份,5.18,5.03,4.97
2025-05-15,5.15,5.24,5.12,5.23,60077.0,莫高股份,5.2,5.09,4.99
2025-05-16,5.23,5.26,5.15,5.18,53403.0,莫高股份,5.19,5.13,5.0
2025-05-19,5.27,5.48,5.23,5.4,116670.0,莫高股份,5.23,5.18,5.01
2025-05-20,5.4,5.63,5.36,5.56,128583.0,莫高股份,5.31,5.24,5.04
2025-05-21,5.48,5.69,5.44,5.47,103974.1,莫高股份,5.37,5.27,5.06
2025-05-22,5.47,5.49,5.31,5.36,75334.0,莫高股份,5.39,5.3,5.08
2025-05-23,5.32,5.37,5.22,5.24,74179.0,莫高股份,5.41,5.3,5.1
2025-05-26,5.27,5.46,5.22,5.36,71951.0,莫高股份,5.4,5.31,5.12
2025-05-27,5.4,5.54,5.4,5.5,92300.0,莫高股份,5.39,5.35,5.16
2025-05-28,5.47,5.58,5.41,5.43,105439.0,莫高股份,5.38,5.37,5.2
2025-05-29,5.39,5.47,5.33,5.45,68252.0,莫高股份,5.4,5.4,5.24
2025-05-30,5.45,6.0,5.34,6.0,198820.51,莫高股份,5.55,5.48,5.31
2025-06-03,6.6,6.6,6.01,6.04,624189.21,莫高股份,5.68,5.54,5.36
