date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,18.84,19.0,18.67,18.99,186252.56,老白干酒,18.99,18.99,18.99
2025-03-25,18.9,18.97,18.69,18.93,145317.0,老白干酒,18.96,18.96,18.96
2025-03-26,18.86,19.06,18.81,18.93,145729.99,老白干酒,18.95,18.95,18.95
2025-03-27,18.93,19.01,18.75,18.94,121217.99,老白干酒,18.95,18.95,18.95
2025-03-28,19.02,19.1,18.5,18.55,191400.9,老白干酒,18.87,18.87,18.87
2025-03-31,18.42,18.66,18.29,18.37,126871.63,老白干酒,18.74,18.78,18.78
2025-04-01,18.38,18.6,18.38,18.54,97831.36,老白干酒,18.67,18.75,18.75
2025-04-02,18.53,18.62,18.44,18.47,87404.0,老白干酒,18.57,18.72,18.72
2025-04-03,18.39,18.76,18.39,18.6,131902.9,老白干酒,18.51,18.7,18.7
2025-04-07,18.1,18.3,16.75,16.95,334655.81,老白干酒,18.19,18.53,18.53
2025-04-08,17.05,17.62,17.05,17.61,245655.5,老白干酒,18.03,18.39,18.44
2025-04-09,17.4,18.05,17.27,17.93,218293.4,老白干酒,17.91,18.29,18.4
2025-04-10,18.04,18.2,17.83,18.05,197539.6,老白干酒,17.83,18.2,18.37
2025-04-11,17.98,18.03,17.75,17.84,168264.6,老白干酒,17.68,18.09,18.34
2025-04-14,17.88,18.03,17.8,17.86,123055.35,老白干酒,17.86,18.02,18.3
2025-04-15,17.84,17.93,17.72,17.82,100602.45,老白干酒,17.9,17.97,18.27
2025-04-16,17.74,17.83,17.48,17.81,113966.21,老白干酒,17.88,17.89,18.25
2025-04-17,17.72,18.03,17.66,17.92,121905.28,老白干酒,17.85,17.84,18.23
2025-04-18,17.88,17.94,17.66,17.76,74935.43,老白干酒,17.83,17.76,18.2
2025-04-21,17.7,17.79,17.62,17.75,80901.5,老白干酒,17.81,17.84,18.18
2025-04-22,17.72,17.83,17.65,17.75,78732.78,老白干酒,17.8,17.85,18.12
2025-04-23,17.75,17.85,17.66,17.7,80690.92,老白干酒,17.78,17.83,18.06
2025-04-24,17.7,17.78,17.49,17.58,105755.98,老白干酒,17.71,17.78,17.99
2025-04-25,17.57,17.9,17.56,17.82,127979.65,老白干酒,17.72,17.78,17.93
2025-04-28,17.9,17.92,17.56,17.59,116919.0,老白干酒,17.69,17.75,17.89
2025-04-29,17.55,17.67,17.35,17.45,101750.48,老白干酒,17.63,17.71,17.84
2025-04-30,17.47,17.6,17.33,17.36,118863.45,老白干酒,17.56,17.67,17.78
2025-05-06,17.38,17.66,17.37,17.63,129723.47,老白干酒,17.57,17.64,17.74
2025-05-07,17.83,17.99,17.57,17.67,115869.02,老白干酒,17.54,17.63,17.69
2025-05-08,17.6,17.91,17.56,17.81,116402.09,老白干酒,17.58,17.64,17.74
2025-05-09,17.77,17.84,17.66,17.73,72650.0,老白干酒,17.64,17.63,17.74
2025-05-12,17.72,17.79,17.66,17.79,82586.34,老白干酒,17.73,17.64,17.73
2025-05-13,17.89,17.89,17.7,17.74,87588.0,老白干酒,17.75,17.66,17.72
2025-05-14,17.71,18.09,17.57,17.94,181871.94,老白干酒,17.8,17.67,17.72
2025-05-15,17.81,17.9,17.62,17.64,103811.45,老白干酒,17.77,17.68,17.71
2025-05-16,17.68,17.68,17.48,17.5,82884.72,老白干酒,17.72,17.68,17.7
2025-05-19,17.4,17.45,17.24,17.45,87899.72,老白干酒,17.65,17.69,17.68
2025-05-20,17.44,17.54,17.41,17.45,90430.93,老白干酒,17.6,17.67,17.66
2025-05-21,17.46,17.49,17.36,17.37,80902.99,老白干酒,17.48,17.64,17.64
2025-05-22,17.38,17.4,17.22,17.23,80738.52,老白干酒,17.4,17.58,17.61
2025-05-23,17.23,17.3,17.1,17.1,81095.01,老白干酒,17.32,17.52,17.58
2025-05-26,17.11,17.27,16.98,17.17,74399.74,老白干酒,17.26,17.46,17.55
2025-05-27,17.16,17.33,17.16,17.21,84518.48,老白干酒,17.22,17.41,17.53
2025-05-28,17.21,17.25,17.1,17.11,73340.0,老白干酒,17.16,17.32,17.5
2025-05-29,17.12,17.19,17.03,17.19,74340.27,老白干酒,17.16,17.28,17.48
2025-05-30,17.13,17.19,17.05,17.07,74031.32,老白干酒,17.15,17.24,17.46
2025-06-03,17.05,17.06,16.9,16.92,118899.79,老白干酒,17.1,17.18,17.44
2025-06-04,16.92,17.06,16.92,17.04,89608.03,老白干酒,17.07,17.14,17.41
2025-06-05,17.07,17.11,17.01,17.06,74831.61,老白干酒,17.06,17.11,17.38
2025-06-06,17.06,17.1,16.97,17.05,58471.43,老白干酒,17.03,17.09,17.34
2025-06-09,17.01,17.09,17.01,17.07,79613.06,老白干酒,17.03,17.09,17.3
2025-06-10,17.08,17.08,16.79,16.88,167089.4,老白干酒,17.02,17.06,17.26
2025-06-11,16.88,17.03,16.84,16.94,85533.5,老白干酒,17.0,17.03,17.22
2025-06-12,16.93,16.93,16.8,16.83,102461.05,老白干酒,16.95,17.01,17.16
2025-06-13,16.85,16.85,16.61,16.65,130621.09,老白干酒,16.87,16.95,17.11
2025-06-16,16.51,16.75,16.41,16.74,100955.02,老白干酒,16.81,16.92,17.08
2025-06-17,16.68,16.84,16.65,16.83,79865.03,老白干酒,16.8,16.91,17.05
2025-06-18,16.89,17.25,16.89,17.08,193091.92,老白干酒,16.83,16.91,17.03
2025-06-19,17.0,17.01,16.75,16.9,119304.03,老白干酒,16.84,16.9,17.0
2025-06-20,16.46,16.65,16.26,16.56,177054.9,老白干酒,16.82,16.85,16.97
2025-06-23,16.41,16.41,16.22,16.32,111640.16,老白干酒,16.74,16.77,16.93
2025-06-24,16.4,16.43,16.32,16.4,111349.51,老白干酒,16.65,16.73,16.89
2025-06-25,16.4,16.54,16.3,16.54,143395.75,老白干酒,16.54,16.68,16.86
2025-06-26,16.52,16.68,16.46,16.58,142745.19,老白干酒,16.48,16.66,16.83
2025-06-27,16.75,16.75,16.53,16.56,113995.76,老白干酒,16.48,16.65,16.8
2025-06-30,16.6,16.91,16.52,16.75,167320.58,老白干酒,16.57,16.65,16.78
2025-07-01,16.63,16.68,16.56,16.65,111841.14,老白干酒,16.62,16.63,16.77
2025-07-02,16.68,16.81,16.64,16.75,147410.92,老白干酒,16.66,16.6,16.76
2025-07-03,16.7,16.79,16.64,16.69,94112.13,老白干酒,16.68,16.58,16.74
2025-07-04,16.76,16.83,16.66,16.71,94831.11,老白干酒,16.71,16.6,16.72
2025-07-07,16.78,16.8,16.68,16.69,68263.42,老白干酒,16.7,16.63,16.7
2025-07-08,16.72,16.74,16.66,16.74,109952.2,老白干酒,16.72,16.67,16.7
2025-07-09,16.7,16.9,16.68,16.74,157189.7,老白干酒,16.71,16.69,16.69
2025-07-10,16.7,16.82,16.6,16.78,134526.68,老白干酒,16.73,16.71,16.68
2025-07-11,16.78,17.1,16.73,16.92,252145.12,老白干酒,16.77,16.74,16.7
2025-07-14,16.84,16.89,16.78,16.86,113866.76,老白干酒,16.81,16.75,16.7
2025-07-15,16.82,16.82,16.55,16.61,139510.99,老白干酒,16.78,16.75,16.69
2025-07-16,16.6,16.79,16.55,16.74,103413.46,老白干酒,16.78,16.75,16.67
2025-07-17,16.74,16.84,16.67,16.73,80083.0,老白干酒,16.77,16.75,16.67
2025-07-18,16.74,16.88,16.71,16.8,122924.56,老白干酒,16.75,16.76,16.68
2025-07-21,16.8,16.84,16.75,16.84,113415.26,老白干酒,16.74,16.78,16.7
2025-07-22,16.84,17.25,16.76,17.22,314240.66,老白干酒,16.87,16.82,16.74
2025-07-23,17.2,17.29,16.97,17.01,222564.06,老白干酒,16.92,16.85,16.77
2025-07-24,17.05,17.25,17.0,17.24,183976.08,老白干酒,17.02,16.9,16.8
2025-07-25,17.2,17.29,17.06,17.1,166327.0,老白干酒,17.08,16.92,16.83
2025-07-28,17.09,17.1,16.91,17.02,114412.52,老白干酒,17.12,16.93,16.84
2025-07-29,16.95,17.02,16.84,16.98,106123.8,老白干酒,17.07,16.97,16.86
2025-07-30,16.92,17.14,16.88,17.0,126657.78,老白干酒,17.07,16.99,16.87
2025-07-31,16.95,16.95,16.72,16.78,132492.26,老白干酒,16.98,17.0,16.88
2025-08-01,16.78,16.84,16.72,16.77,68789.0,老白干酒,16.91,17.0,16.88
2025-08-04,16.7,16.78,16.6,16.78,59604.98,老白干酒,16.86,16.99,16.88
2025-08-05,16.8,16.85,16.76,16.85,74812.33,老白干酒,16.84,16.95,16.89
2025-08-06,16.85,16.87,16.76,16.84,67655.1,老白干酒,16.8,16.94,16.89
2025-08-07,16.81,16.87,16.78,16.84,83614.34,老白干酒,16.82,16.9,16.9
2025-08-08,16.81,16.86,16.76,16.77,73941.37,老白干酒,16.82,16.86,16.89
2025-08-11,16.74,17.12,16.72,17.03,182193.61,老白干酒,16.87,16.86,16.9
2025-08-12,17.0,17.18,16.96,17.07,160568.3,老白干酒,16.91,16.87,16.92
2025-08-13,17.08,17.13,16.91,17.06,142186.37,老白干酒,16.95,16.88,16.94
2025-08-14,17.05,17.2,16.91,16.98,162375.0,老白干酒,16.98,16.9,16.95
2025-08-15,16.95,17.04,16.87,16.98,149803.36,老白干酒,17.02,16.92,16.96
2025-08-18,16.99,17.18,16.99,17.09,208682.9,老白干酒,17.04,16.95,16.97
2025-08-19,17.1,17.73,17.09,17.41,434755.96,老白干酒,17.1,17.01,16.98
2025-08-20,17.3,18.18,17.25,18.04,626475.33,老白干酒,17.3,17.13,17.03
2025-08-21,18.05,18.06,17.55,17.66,371472.45,老白干酒,17.44,17.21,17.05
2025-08-22,17.7,17.72,17.56,17.71,216378.57,老白干酒,17.58,17.3,17.08
2025-08-25,17.71,18.6,17.69,18.4,588786.86,老白干酒,17.84,17.44,17.15
2025-08-26,18.3,18.6,18.09,18.26,378305.23,老白干酒,18.01,17.56,17.22
2025-08-27,18.17,18.25,17.72,17.73,357247.55,老白干酒,17.95,17.63,17.25
2025-08-28,17.7,17.9,17.25,17.62,275659.04,老白干酒,17.94,17.69,17.29
2025-08-29,17.9,18.6,17.9,18.19,489431.57,老白干酒,18.04,17.81,17.37
2025-09-01,18.2,18.5,18.08,18.28,358224.68,老白干酒,18.02,17.93,17.44
2025-09-02,18.29,18.98,18.22,18.41,493632.56,老白干酒,18.05,18.03,17.52
2025-09-03,18.33,18.77,17.85,17.89,329412.83,老白干酒,18.08,18.02,17.57
2025-09-04,17.92,18.03,17.68,17.97,246057.49,老白干酒,18.15,18.05,17.63
2025-09-05,17.97,18.04,17.66,18.04,229489.19,老白干酒,18.12,18.08,17.69
2025-09-08,18.12,18.24,17.95,18.08,264143.17,老白干酒,18.08,18.05,17.74
2025-09-09,17.95,18.06,17.81,18.02,193355.0,老白干酒,18.0,18.02,17.79
2025-09-10,17.9,18.13,17.82,17.88,181912.98,老白干酒,18.0,18.04,17.83
2025-09-11,17.8,18.0,17.65,18.0,225294.37,老白干酒,18.0,18.08,17.88
2025-09-12,17.85,18.27,17.8,17.81,234440.34,老白干酒,17.96,18.04,17.92
2025-09-15,17.71,17.78,17.66,17.71,136160.32,老白干酒,17.88,17.98,17.96
2025-09-16,17.75,17.87,17.66,17.85,129579.94,老白干酒,17.85,17.92,17.98
2025-09-17,17.84,17.85,17.69,17.74,126082.39,老白干酒,17.82,17.91,17.96
2025-09-18,17.76,17.76,17.31,17.41,220577.13,老白干酒,17.7,17.85,17.95
2025-09-19,17.35,17.53,17.16,17.52,160770.98,老白干酒,17.65,17.8,17.94
2025-09-22,17.4,17.41,17.26,17.33,85354.81,老白干酒,17.57,17.73,17.89
2025-09-23,17.34,17.34,17.0,17.06,121096.77,老白干酒,17.41,17.63,17.83
2025-09-24,17.03,17.2,17.0,17.18,86630.02,老白干酒,17.3,17.56,17.8
2025-09-25,17.1,17.22,17.07,17.12,91871.27,老白干酒,17.24,17.47,17.77
2025-09-26,17.05,17.2,17.0,17.15,112839.05,老白干酒,17.17,17.41,17.72
2025-09-29,17.16,17.44,17.01,17.33,139356.62,老白干酒,17.17,17.37,17.68
2025-09-30,17.3,17.3,17.17,17.2,99751.44,老白干酒,17.2,17.3,17.61
2025-10-09,17.12,17.13,16.83,17.01,173899.39,老白干酒,17.16,17.23,17.57
2025-10-10,17.0,17.08,16.92,17.03,110340.6,老白干酒,17.14,17.19,17.52
2025-10-13,16.7,16.95,16.6,16.9,104154.34,老白干酒,17.09,17.13,17.47
2025-10-14,16.95,17.22,16.87,17.19,195662.83,老白干酒,17.07,17.12,17.42
2025-10-15,17.1,17.23,17.04,17.14,132346.4,老白干酒,17.05,17.12,17.38
2025-10-16,17.12,17.2,17.06,17.19,116948.04,老白干酒,17.09,17.13,17.34
2025-10-17,17.17,17.17,16.86,16.89,115979.36,老白干酒,17.06,17.1,17.29
2025-10-20,16.93,16.98,16.83,16.91,67804.2,老白干酒,17.06,17.08,17.24
2025-10-21,16.92,16.96,16.85,16.93,67538.1,老白干酒,17.01,17.04,17.2
2025-10-22,16.9,17.01,16.87,16.9,59891.89,老白干酒,16.96,17.01,17.16
2025-10-23,16.87,16.95,16.75,16.93,88058.22,老白干酒,16.91,17.0,17.12
2025-10-24,16.93,16.97,16.85,16.89,86642.43,老白干酒,16.91,16.99,17.09
2025-10-27,16.86,16.94,16.83,16.9,88413.22,老白干酒,16.91,16.99,17.06
2025-10-28,16.9,17.0,16.86,16.93,78176.11,老白干酒,16.91,16.96,17.04
2025-10-29,16.92,16.92,16.81,16.92,89834.28,老白干酒,16.91,16.94,17.03
2025-10-30,16.75,16.98,16.72,16.77,125489.05,老白干酒,16.88,16.9,17.01
2025-10-31,16.75,16.93,16.7,16.9,115679.44,老白干酒,16.88,16.9,17.0
2025-11-03,16.83,16.9,16.76,16.9,97183.88,老白干酒,16.88,16.9,16.99
2025-11-04,16.88,16.88,16.72,16.76,97878.56,老白干酒,16.85,16.88,16.96
2025-11-05,16.7,16.79,16.62,16.71,72784.82,老白干酒,16.81,16.86,16.93
2025-11-06,16.72,16.78,16.7,16.71,70277.25,老白干酒,16.8,16.84,16.92
2025-11-07,16.68,16.77,16.66,16.67,84257.01,老白干酒,16.75,16.82,16.9
2025-11-10,16.65,17.21,16.61,17.19,338946.71,老白干酒,16.81,16.85,16.92
2025-11-11,17.17,17.17,16.92,17.07,187243.19,老白干酒,16.87,16.86,16.91
2025-11-12,17.05,17.17,16.92,16.99,134499.99,老白干酒,16.93,16.87,16.9
2025-11-13,16.98,17.07,16.9,17.04,125006.68,老白干酒,16.99,16.89,16.9
2025-11-14,16.98,17.16,16.92,16.92,117388.0,老白干酒,17.04,16.9,16.9
2025-11-17,16.9,16.93,16.76,16.92,99283.0,老白干酒,16.99,16.9,16.9
2025-11-18,16.91,17.03,16.82,16.88,95102.0,老白干酒,16.95,16.91,16.9
2025-11-19,16.85,16.92,16.71,16.75,79016.92,老白干酒,16.9,16.91,16.89
2025-11-20,16.8,16.83,16.66,16.73,75573.68,老白干酒,16.84,16.92,16.88
2025-11-21,16.7,16.84,16.3,16.36,140215.51,老白干酒,16.73,16.88,16.85
2025-11-24,16.39,16.46,16.3,16.4,71002.37,老白干酒,16.62,16.81,16.83
2025-11-25,16.4,16.44,16.37,16.4,73383.33,老白干酒,16.53,16.74,16.8
2025-11-26,16.42,16.47,16.36,16.42,59506.1,老白干酒,16.46,16.68,16.77
2025-11-27,16.44,16.46,16.37,16.38,55101.0,老白干酒,16.39,16.62,16.76
2025-11-28,16.38,16.41,16.31,16.37,55075.52,老白干酒,16.39,16.56,16.73
2025-12-01,16.37,16.43,16.33,16.4,62428.0,老白干酒,16.39,16.51,16.7
2025-12-02,16.38,16.39,16.33,16.34,51954.89,老白干酒,16.38,16.45,16.68
2025-12-03,16.33,16.35,16.12,16.14,82601.61,老白干酒,16.33,16.39,16.65
2025-12-04,16.12,16.25,15.91,16.21,90823.28,老白干酒,16.29,16.34,16.63
2025-12-05,16.21,16.24,16.1,16.22,55542.0,老白干酒,16.26,16.33,16.61
2025-12-08,16.24,16.27,16.17,16.24,57162.77,老白干酒,16.23,16.31,16.56
