date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,3.91,3.92,3.79,3.85,331481.02,大众公用,3.85,3.85,3.85
2025-03-25,3.86,3.88,3.83,3.87,196859.04,大众公用,3.86,3.86,3.86
2025-03-26,3.87,3.92,3.84,3.91,251575.66,大众公用,3.88,3.88,3.88
2025-03-27,3.89,3.92,3.84,3.87,190127.7,大众公用,3.88,3.88,3.88
2025-03-28,3.87,3.89,3.81,3.81,209896.39,大众公用,3.86,3.86,3.86
2025-03-31,3.82,3.82,3.74,3.77,260521.86,大众公用,3.85,3.85,3.85
2025-04-01,3.78,3.83,3.78,3.79,193577.43,大众公用,3.83,3.84,3.84
2025-04-02,3.79,3.81,3.77,3.78,150791.08,大众公用,3.8,3.83,3.83
2025-04-03,3.76,3.81,3.74,3.8,199272.32,大众公用,3.79,3.83,3.83
2025-04-07,3.6,3.68,3.42,3.42,511713.5,大众公用,3.71,3.79,3.79
2025-04-08,3.41,3.47,3.35,3.43,485003.74,大众公用,3.64,3.74,3.75
2025-04-09,3.38,3.52,3.24,3.5,464176.11,大众公用,3.59,3.71,3.73
2025-04-10,3.54,3.61,3.52,3.55,317976.23,大众公用,3.54,3.67,3.72
2025-04-11,3.53,3.58,3.51,3.55,252659.27,大众公用,3.49,3.64,3.71
2025-04-14,3.56,3.62,3.56,3.62,263328.04,大众公用,3.53,3.62,3.7
2025-04-15,3.65,3.66,3.55,3.58,233840.45,大众公用,3.56,3.6,3.69
2025-04-16,3.58,3.58,3.49,3.54,232172.65,大众公用,3.57,3.58,3.68
2025-04-17,3.53,3.56,3.51,3.54,165389.05,大众公用,3.57,3.55,3.68
2025-04-18,3.54,3.58,3.51,3.54,186444.75,大众公用,3.56,3.53,3.67
2025-04-21,3.52,3.59,3.52,3.58,159511.5,大众公用,3.56,3.54,3.66
2025-04-22,3.59,3.62,3.58,3.62,200570.23,大众公用,3.56,3.56,3.65
2025-04-23,3.63,3.68,3.6,3.61,174342.53,大众公用,3.58,3.57,3.64
2025-04-24,3.61,3.64,3.57,3.59,169762.0,大众公用,3.59,3.58,3.62
2025-04-25,3.6,3.68,3.58,3.63,233852.64,大众公用,3.61,3.58,3.61
2025-04-28,3.64,3.64,3.54,3.54,200703.4,大众公用,3.6,3.58,3.6
2025-04-29,3.54,3.57,3.51,3.54,139163.15,大众公用,3.58,3.57,3.59
2025-04-30,3.67,3.81,3.67,3.68,575232.55,大众公用,3.6,3.59,3.58
2025-05-06,3.72,3.81,3.7,3.81,415315.92,大众公用,3.64,3.61,3.58
2025-05-07,3.85,3.98,3.81,3.89,719629.65,大众公用,3.69,3.65,3.59
2025-05-08,3.8,3.88,3.79,3.85,390407.92,大众公用,3.75,3.68,3.61
2025-05-09,3.84,3.85,3.8,3.82,215500.0,大众公用,3.81,3.7,3.63
2025-05-12,3.82,3.85,3.81,3.83,211048.85,大众公用,3.84,3.72,3.65
