date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,3.49,3.51,3.42,3.46,141652.1,轻纺城,3.46,3.46,3.46
2025-03-25,3.46,3.5,3.44,3.49,114524.65,轻纺城,3.48,3.48,3.48
2025-03-26,3.5,3.57,3.49,3.55,121712.43,轻纺城,3.5,3.5,3.5
2025-03-27,3.55,3.57,3.52,3.53,81883.1,轻纺城,3.51,3.51,3.51
2025-03-28,3.53,3.54,3.48,3.51,84871.8,轻纺城,3.51,3.51,3.51
2025-03-31,3.49,3.51,3.43,3.45,88715.1,轻纺城,3.51,3.5,3.5
2025-04-01,3.48,3.58,3.48,3.57,153114.89,轻纺城,3.52,3.51,3.51
2025-04-02,3.57,3.6,3.54,3.56,118138.35,轻纺城,3.52,3.52,3.52
2025-04-03,3.53,3.61,3.53,3.61,132568.01,轻纺城,3.54,3.53,3.53
2025-04-07,3.44,3.51,3.25,3.25,254119.67,轻纺城,3.49,3.5,3.5
2025-04-08,3.27,3.35,3.23,3.31,182516.95,轻纺城,3.46,3.48,3.48
2025-04-09,3.28,3.37,3.17,3.35,212330.3,轻纺城,3.42,3.47,3.47
2025-04-10,3.39,3.48,3.34,3.47,225737.61,轻纺城,3.4,3.46,3.47
2025-04-11,3.45,3.49,3.43,3.44,161029.0,轻纺城,3.36,3.45,3.47
2025-04-14,3.45,3.53,3.44,3.52,144731.14,轻纺城,3.42,3.45,3.47
2025-04-15,3.53,3.55,3.48,3.53,121137.26,轻纺城,3.46,3.46,3.48
2025-04-16,3.53,3.6,3.51,3.57,167007.87,轻纺城,3.51,3.46,3.48
2025-04-17,3.56,3.59,3.53,3.55,126328.56,轻纺城,3.52,3.46,3.48
2025-04-18,3.55,3.58,3.47,3.49,183999.77,轻纺城,3.53,3.45,3.48
2025-04-21,3.48,3.49,3.42,3.44,207957.44,轻纺城,3.52,3.47,3.48
2025-04-22,3.44,3.78,3.43,3.78,326341.99,轻纺城,3.57,3.51,3.5
2025-04-23,4.0,4.16,3.94,4.16,420687.27,轻纺城,3.68,3.6,3.53
2025-04-24,4.48,4.48,3.79,3.88,1228313.52,轻纺城,3.75,3.64,3.55
2025-04-25,3.82,3.88,3.69,3.71,751509.0,轻纺城,3.79,3.66,3.56
2025-04-28,3.7,3.73,3.58,3.59,451491.9,轻纺城,3.82,3.67,3.56
2025-04-29,3.6,3.63,3.55,3.62,305437.45,轻纺城,3.79,3.68,3.57
2025-04-30,3.57,3.61,3.51,3.51,313950.45,轻纺城,3.66,3.67,3.57
2025-05-06,3.51,3.57,3.51,3.57,198634.22,轻纺城,3.6,3.68,3.57
2025-05-07,3.59,3.65,3.57,3.65,281320.48,轻纺城,3.59,3.69,3.57
2025-05-08,3.62,3.65,3.59,3.64,242226.05,轻纺城,3.6,3.71,3.59
2025-05-09,3.63,3.67,3.59,3.6,194202.0,轻纺城,3.59,3.69,3.6
2025-05-12,3.63,3.64,3.59,3.63,168890.3,轻纺城,3.62,3.64,3.62
2025-05-13,3.66,3.68,3.63,3.65,196207.01,轻纺城,3.63,3.62,3.63
2025-05-14,3.65,3.69,3.62,3.69,216690.18,轻纺城,3.64,3.62,3.64
2025-05-15,3.71,3.87,3.7,3.75,330623.23,轻纺城,3.66,3.63,3.65
2025-05-16,3.72,3.81,3.68,3.73,306143.25,轻纺城,3.69,3.64,3.66
2025-05-19,3.71,3.75,3.7,3.74,195312.0,轻纺城,3.71,3.66,3.67
2025-05-20,3.74,3.76,3.7,3.72,156493.01,轻纺城,3.73,3.68,3.68
2025-05-21,3.71,3.78,3.69,3.77,235410.55,轻纺城,3.74,3.69,3.69
