date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,20.95,21.23,20.72,21.01,41982.01,北京人力,21.01,21.01,21.01
2025-03-25,21.01,21.1,20.02,20.59,52284.12,北京人力,20.8,20.8,20.8
2025-03-26,20.44,20.65,20.38,20.48,17720.4,北京人力,20.69,20.69,20.69
2025-03-27,20.52,20.84,20.18,20.68,27272.44,北京人力,20.69,20.69,20.69
2025-03-28,20.69,20.73,20.15,20.34,16269.18,北京人力,20.62,20.62,20.62
2025-03-31,21.11,21.86,20.37,21.46,68947.1,北京人力,20.71,20.76,20.76
2025-04-01,21.43,21.66,20.98,21.13,39416.0,北京人力,20.82,20.81,20.81
2025-04-02,21.13,21.68,20.8,20.88,39210.65,北京人力,20.9,20.82,20.82
2025-04-03,20.75,21.39,20.57,21.2,26670.01,北京人力,21.0,20.86,20.86
2025-04-07,19.99,21.0,19.2,19.77,52882.52,北京人力,20.89,20.75,20.75
2025-04-08,20.2,21.2,20.05,20.77,52133.49,北京人力,20.75,20.73,20.76
2025-04-09,20.44,21.48,19.72,21.28,46054.0,北京人力,20.78,20.8,20.8
2025-04-10,21.09,21.85,21.09,21.21,38206.22,北京人力,20.85,20.87,20.83
2025-04-11,21.32,21.71,21.05,21.4,27883.14,北京人力,20.89,20.94,20.87
2025-04-14,21.62,21.95,21.29,21.73,32925.01,北京人力,21.28,21.08,20.93
2025-04-15,21.55,21.73,21.17,21.52,20421.84,北京人力,21.43,21.09,20.97
2025-04-16,21.49,21.71,21.27,21.61,18892.83,北京人力,21.49,21.14,21.0
2025-04-17,21.5,22.48,21.3,21.89,33588.01,北京人力,21.63,21.24,21.05
2025-04-18,21.89,21.91,21.33,21.53,20497.0,北京人力,21.66,21.27,21.08
2025-04-21,21.3,22.35,21.3,22.15,27202.01,北京人力,21.74,21.51,21.13
2025-04-22,22.0,22.39,21.8,22.35,28075.91,北京人力,21.91,21.67,21.2
2025-04-23,22.21,22.49,21.96,22.42,26338.0,北京人力,22.07,21.78,21.29
2025-04-24,22.6,22.71,21.98,22.15,35646.35,北京人力,22.12,21.88,21.37
2025-04-25,22.14,22.77,22.04,22.32,50016.39,北京人力,22.28,21.97,21.46
