date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,4.3,4.35,4.21,4.3,209065.0,华鼎股份,4.3,4.3,4.3
2025-03-25,4.28,4.35,4.25,4.33,166083.86,华鼎股份,4.31,4.31,4.31
2025-03-26,4.32,4.44,4.3,4.44,324278.35,华鼎股份,4.36,4.36,4.36
2025-03-27,4.43,4.47,4.35,4.43,249727.03,华鼎股份,4.38,4.38,4.38
2025-03-28,4.42,4.43,4.27,4.28,273085.0,华鼎股份,4.36,4.36,4.36
2025-03-31,4.22,4.32,4.21,4.28,189478.0,华鼎股份,4.35,4.34,4.34
2025-04-01,4.28,4.32,4.26,4.3,143843.44,华鼎股份,4.35,4.34,4.34
2025-04-02,4.29,4.32,4.25,4.3,137115.69,华鼎股份,4.32,4.33,4.33
2025-04-03,4.24,4.32,4.23,4.28,135807.0,华鼎股份,4.29,4.33,4.33
2025-04-07,3.99,4.15,3.85,3.85,289580.0,华鼎股份,4.2,4.28,4.28
2025-04-08,3.75,3.88,3.6,3.67,381030.07,华鼎股份,4.08,4.22,4.22
2025-04-09,3.62,3.77,3.4,3.74,317045.23,华鼎股份,3.97,4.16,4.18
2025-04-10,3.81,3.96,3.81,3.86,312225.64,华鼎股份,3.88,4.1,4.16
2025-04-11,3.82,3.93,3.82,3.89,215904.0,华鼎股份,3.8,4.04,4.14
2025-04-14,3.95,4.09,3.91,4.03,272422.53,华鼎股份,3.84,4.02,4.13
2025-04-15,4.0,4.02,3.88,3.97,299280.54,华鼎股份,3.9,3.99,4.12
2025-04-16,3.95,4.01,3.85,3.91,195144.64,华鼎股份,3.93,3.95,4.11
2025-04-17,3.89,3.93,3.87,3.9,135365.0,华鼎股份,3.94,3.91,4.1
2025-04-18,3.89,3.92,3.84,3.88,116996.0,华鼎股份,3.94,3.87,4.09
2025-04-21,3.9,3.96,3.87,3.95,189146.2,华鼎股份,3.92,3.88,4.08
2025-04-22,3.93,4.02,3.93,3.97,180975.0,华鼎股份,3.92,3.91,4.06
2025-04-23,3.99,3.99,3.94,3.96,146993.0,华鼎股份,3.93,3.93,4.04
2025-04-24,3.96,3.97,3.91,3.95,112668.0,华鼎股份,3.94,3.94,4.02
2025-04-25,3.95,3.99,3.93,3.94,144768.18,华鼎股份,3.95,3.95,4.0
