date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,22.0,22.46,21.58,22.45,366920.94,首创证券,22.45,22.45,22.45
2025-03-25,22.25,22.37,21.84,21.9,255628.21,首创证券,22.17,22.17,22.17
2025-03-26,21.85,22.04,21.52,21.56,229066.0,首创证券,21.97,21.97,21.97
2025-03-27,21.48,22.54,21.29,21.98,467431.6,首创证券,21.97,21.97,21.97
2025-03-28,21.82,22.26,21.74,21.89,290098.0,首创证券,21.96,21.96,21.96
2025-03-31,21.78,22.05,21.3,21.39,255034.63,首创证券,21.74,21.86,21.86
2025-04-01,21.43,21.55,21.03,21.42,200015.15,首创证券,21.65,21.8,21.8
2025-04-02,21.29,21.55,21.28,21.4,144686.07,首创证券,21.62,21.75,21.75
2025-04-03,21.3,21.6,21.18,21.3,147019.32,首创证券,21.48,21.7,21.7
2025-04-07,19.84,20.49,19.17,19.3,377187.18,首创证券,20.96,21.46,21.46
2025-04-08,19.89,19.96,19.22,19.51,283386.49,首创证券,20.59,21.16,21.28
2025-04-09,19.26,20.1,18.86,19.9,316652.4,首创证券,20.28,20.96,21.17
2025-04-10,20.26,20.35,19.93,20.03,296040.14,首创证券,20.01,20.81,21.08
2025-04-11,20.03,20.33,19.91,20.18,219894.2,首创证券,19.78,20.63,21.01
2025-04-14,20.25,20.29,20.06,20.18,178004.28,首创证券,19.96,20.46,20.96
2025-04-15,20.12,20.12,19.85,19.93,136703.1,首创证券,20.04,20.32,20.9
2025-04-16,19.94,19.95,19.49,19.75,146038.46,首创证券,20.01,20.15,20.83
2025-04-17,19.65,19.84,19.62,19.68,116164.92,首创证券,19.94,19.98,20.76
2025-04-18,19.61,19.93,19.6,19.8,122463.0,首创证券,19.87,19.83,20.71
2025-04-21,19.71,19.9,19.67,19.9,104660.1,首创证券,19.81,19.89,20.67
2025-04-22,19.84,19.95,19.8,19.86,111641.63,首创证券,19.8,19.92,20.54
2025-04-23,19.91,19.97,19.77,19.85,117317.1,首创证券,19.82,19.92,20.44
2025-04-24,19.85,20.25,19.75,19.84,180976.74,首创证券,19.85,19.9,20.35
2025-04-25,19.8,20.02,19.76,19.84,154592.29,首创证券,19.86,19.86,20.25
2025-04-28,19.84,19.84,19.13,19.42,158235.6,首创证券,19.76,19.79,20.12
2025-04-29,19.33,19.59,19.33,19.42,95970.92,首创证券,19.67,19.74,20.03
2025-04-30,18.85,19.18,18.78,18.91,239235.8,首创证券,19.49,19.65,19.9
2025-05-06,18.93,19.33,18.93,19.31,188930.02,首创证券,19.38,19.62,19.8
