date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,2.98,3.01,2.96,3.01,1085419.6,大唐发电,3.01,3.01,3.01
2025-03-25,3.0,3.04,2.98,3.03,1143203.49,大唐发电,3.02,3.02,3.02
2025-03-26,3.02,3.03,2.91,2.92,1841537.17,大唐发电,2.99,2.99,2.99
2025-03-27,2.92,2.93,2.88,2.89,865533.61,大唐发电,2.96,2.96,2.96
2025-03-28,2.9,2.91,2.85,2.85,845691.28,大唐发电,2.94,2.94,2.94
2025-03-31,2.85,2.98,2.85,2.95,1870745.2,大唐发电,2.93,2.94,2.94
2025-04-01,2.95,3.04,2.95,2.99,1359395.78,大唐发电,2.92,2.95,2.95
2025-04-02,2.99,3.0,2.93,2.95,786836.75,大唐发电,2.93,2.95,2.95
2025-04-03,2.94,2.99,2.93,2.98,830527.08,大唐发电,2.94,2.95,2.95
2025-04-07,2.88,2.91,2.69,2.75,1950472.35,大唐发电,2.92,2.93,2.93
2025-04-08,2.76,2.87,2.76,2.85,1444860.33,大唐发电,2.9,2.92,2.92
2025-04-09,2.83,2.84,2.73,2.83,1494778.61,大唐发电,2.87,2.9,2.92
2025-04-10,2.85,2.87,2.82,2.84,1133757.11,大唐发电,2.85,2.89,2.91
2025-04-11,2.83,2.83,2.79,2.81,926888.37,大唐发电,2.82,2.88,2.9
2025-04-14,2.82,2.87,2.82,2.86,1005863.69,大唐发电,2.84,2.88,2.9
2025-04-15,2.88,2.91,2.85,2.9,1089879.08,大唐发电,2.85,2.88,2.9
2025-04-16,2.91,2.98,2.9,2.93,1519281.33,大唐发电,2.87,2.87,2.9
2025-04-17,2.93,2.97,2.91,2.94,949350.16,大唐发电,2.89,2.87,2.9
2025-04-18,2.95,2.96,2.91,2.93,691292.0,大唐发电,2.91,2.86,2.91
2025-04-21,2.94,2.99,2.93,2.97,959985.5,大唐发电,2.93,2.89,2.91
2025-04-22,2.96,2.99,2.94,2.95,956549.95,大唐发电,2.94,2.9,2.91
2025-04-23,2.97,3.02,2.96,2.97,1184522.51,大唐发电,2.95,2.91,2.9
2025-04-24,2.98,3.09,2.97,3.03,1554047.77,大唐发电,2.97,2.93,2.91
2025-04-25,3.05,3.08,3.03,3.07,1556847.59,大唐发电,3.0,2.95,2.92
2025-04-28,3.11,3.16,3.07,3.12,2189581.98,大唐发电,3.03,2.98,2.93
2025-04-29,3.18,3.29,3.12,3.14,3260634.57,大唐发电,3.07,3.0,2.94
2025-04-30,3.11,3.19,3.09,3.1,1539547.25,大唐发电,3.09,3.02,2.95
2025-05-06,3.11,3.2,3.11,3.19,1481597.67,大唐发电,3.12,3.05,2.96
2025-05-07,3.2,3.22,3.15,3.18,1175646.01,大唐发电,3.15,3.07,2.97
2025-05-08,3.19,3.22,3.17,3.2,1079399.41,大唐发电,3.16,3.1,2.99
2025-05-09,3.2,3.33,3.2,3.3,1827494.13,大唐发电,3.19,3.13,3.01
2025-05-12,3.29,3.32,3.22,3.24,1595217.16,大唐发电,3.22,3.16,3.03
2025-05-13,3.23,3.27,3.18,3.26,1200827.37,大唐发电,3.24,3.18,3.05
2025-05-14,3.26,3.27,3.2,3.25,857132.21,大唐发电,3.25,3.2,3.08
2025-05-15,3.24,3.29,3.21,3.23,899335.17,大唐发电,3.26,3.21,3.1
2025-05-16,3.21,3.24,3.2,3.22,750378.48,大唐发电,3.24,3.22,3.11
2025-05-19,3.22,3.29,3.21,3.27,1056582.75,大唐发电,3.25,3.23,3.13
2025-05-20,3.26,3.35,3.26,3.34,1177877.24,大唐发电,3.26,3.25,3.15
2025-05-21,3.35,3.39,3.33,3.34,1006014.99,大唐发电,3.28,3.26,3.17
2025-05-22,3.32,3.36,3.27,3.29,791183.54,大唐发电,3.29,3.27,3.18
2025-05-23,3.28,3.29,3.21,3.23,988888.0,大唐发电,3.29,3.27,3.2
2025-05-26,3.23,3.29,3.22,3.28,843413.01,大唐发电,3.3,3.27,3.21
2025-05-27,3.28,3.31,3.25,3.27,732531.56,大唐发电,3.28,3.27,3.23
2025-05-28,3.27,3.27,3.18,3.22,946035.85,大唐发电,3.26,3.27,3.23
2025-05-29,3.22,3.23,3.19,3.2,714415.21,大唐发电,3.24,3.27,3.24
2025-05-30,3.2,3.23,3.18,3.19,712413.34,大唐发电,3.23,3.26,3.24
2025-06-03,3.2,3.23,3.15,3.22,875804.61,大唐发电,3.22,3.26,3.25
2025-06-04,3.21,3.25,3.19,3.2,724361.61,大唐发电,3.21,3.24,3.25
2025-06-05,3.2,3.23,3.18,3.18,622324.12,大唐发电,3.2,3.23,3.25
2025-06-06,3.18,3.22,3.17,3.21,680344.74,大唐发电,3.2,3.22,3.25
2025-06-09,3.22,3.24,3.18,3.22,853511.16,大唐发电,3.21,3.22,3.24
2025-06-10,3.22,3.28,3.21,3.25,1272473.1,大唐发电,3.21,3.22,3.24
2025-06-11,3.25,3.32,3.23,3.3,1001304.9,大唐发电,3.23,3.22,3.25
2025-06-12,3.3,3.32,3.27,3.28,640726.0,大唐发电,3.25,3.22,3.25
2025-06-13,3.28,3.34,3.27,3.3,1058055.39,大唐发电,3.27,3.24,3.25
2025-06-16,3.31,3.35,3.27,3.29,1023332.16,大唐发电,3.28,3.24,3.25
2025-06-17,3.29,3.32,3.24,3.32,782405.71,大唐发电,3.3,3.26,3.26
2025-06-18,3.32,3.33,3.27,3.3,581381.0,大唐发电,3.3,3.26,3.25
2025-06-19,3.29,3.3,3.2,3.21,1038581.55,大唐发电,3.28,3.27,3.25
2025-06-20,3.21,3.25,3.2,3.22,727868.46,大唐发电,3.27,3.27,3.24
