date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,7.33,7.37,7.22,7.34,880078.69,中信银行,7.34,7.34,7.34
2025-03-25,7.34,7.43,7.23,7.28,971038.89,中信银行,7.31,7.31,7.31
2025-03-26,7.24,7.35,7.21,7.25,660376.92,中信银行,7.29,7.29,7.29
2025-03-27,7.21,7.33,7.21,7.25,431352.6,中信银行,7.28,7.28,7.28
2025-03-28,7.25,7.25,7.09,7.11,597284.45,中信银行,7.25,7.25,7.25
2025-03-31,7.15,7.17,7.05,7.11,617627.97,中信银行,7.2,7.22,7.22
2025-04-01,7.12,7.15,6.96,7.11,777522.84,中信银行,7.17,7.21,7.21
2025-04-02,7.1,7.24,7.08,7.17,603873.87,中信银行,7.15,7.2,7.2
2025-04-03,7.11,7.25,7.08,7.22,435138.85,中信银行,7.14,7.2,7.2
2025-04-07,7.05,7.12,6.62,6.89,1175235.29,中信银行,7.1,7.17,7.17
2025-04-08,6.86,7.04,6.81,6.99,1267084.05,中信银行,7.08,7.14,7.16
2025-04-09,6.98,6.98,6.81,6.92,1036601.33,中信银行,7.04,7.1,7.14
2025-04-10,6.96,7.09,6.87,7.02,740942.15,中信银行,7.01,7.08,7.13
2025-04-11,7.07,7.07,6.9,7.02,756718.52,中信银行,6.97,7.06,7.12
2025-04-14,7.03,7.17,6.99,7.09,730981.92,中信银行,7.01,7.05,7.12
2025-04-15,7.1,7.26,7.08,7.22,652535.66,中信银行,7.05,7.06,7.12
2025-04-16,7.25,7.35,7.15,7.35,709890.64,中信银行,7.14,7.09,7.14
2025-04-17,7.31,7.41,7.17,7.41,674746.65,中信银行,7.22,7.11,7.15
2025-04-18,7.35,7.45,7.32,7.4,424345.16,中信银行,7.29,7.13,7.17
2025-04-21,7.38,7.47,7.32,7.32,517970.89,中信银行,7.34,7.17,7.17
2025-04-22,7.31,7.36,7.27,7.27,503973.32,中信银行,7.35,7.2,7.17
2025-04-23,7.29,7.31,7.2,7.2,407839.48,中信银行,7.32,7.23,7.17
2025-04-24,7.23,7.31,7.2,7.26,415610.67,中信银行,7.29,7.25,7.17
2025-04-25,7.26,7.31,7.15,7.2,422497.07,中信银行,7.25,7.27,7.16
2025-04-28,7.2,7.37,7.18,7.35,661764.38,中信银行,7.26,7.3,7.18
2025-04-29,7.32,7.37,7.2,7.2,424627.12,中信银行,7.24,7.3,7.18
2025-04-30,7.22,7.25,7.08,7.21,887325.03,中信银行,7.24,7.28,7.19
2025-05-06,7.25,7.25,7.12,7.14,642301.38,中信银行,7.22,7.26,7.18
2025-05-07,7.2,7.24,7.12,7.23,576351.89,中信银行,7.23,7.24,7.18
2025-05-08,7.2,7.3,7.2,7.3,447807.29,中信银行,7.22,7.24,7.21
2025-05-09,7.3,7.5,7.27,7.47,754387.8,中信银行,7.27,7.26,7.23
2025-05-12,7.47,7.51,7.39,7.45,540865.4,中信银行,7.32,7.28,7.26
2025-05-13,7.44,7.64,7.39,7.63,644183.13,中信银行,7.42,7.32,7.29
2025-05-14,7.61,7.7,7.56,7.65,606103.3,中信银行,7.5,7.36,7.32
2025-05-15,7.63,7.69,7.59,7.62,394329.64,中信银行,7.56,7.39,7.34
2025-05-16,7.61,7.62,7.4,7.53,538522.4,中信银行,7.58,7.42,7.36
2025-05-19,7.53,7.57,7.48,7.51,368031.84,中信银行,7.59,7.45,7.37
2025-05-20,7.53,7.67,7.49,7.51,490856.31,中信银行,7.56,7.49,7.37
2025-05-21,7.51,7.65,7.51,7.6,429429.44,中信银行,7.55,7.53,7.38
2025-05-22,7.62,7.9,7.57,7.89,949058.82,中信银行,7.61,7.59,7.41
2025-05-23,7.89,8.04,7.76,7.8,811284.03,中信银行,7.66,7.62,7.44
2025-05-26,7.78,7.84,7.61,7.64,532056.53,中信银行,7.69,7.64,7.46
2025-05-27,7.65,7.75,7.64,7.66,444848.86,中信银行,7.72,7.64,7.48
2025-05-28,7.66,7.76,7.64,7.72,404665.38,中信银行,7.74,7.65,7.51
2025-05-29,7.73,7.74,7.64,7.68,403351.0,中信银行,7.7,7.65,7.52
2025-05-30,7.71,7.99,7.7,7.96,765252.96,中信银行,7.73,7.7,7.56
2025-06-03,7.99,8.29,7.94,8.23,1197874.37,中信银行,7.85,7.77,7.61
2025-06-04,8.21,8.39,8.18,8.36,573112.08,中信银行,7.99,7.85,7.67
2025-06-05,8.35,8.44,8.28,8.33,452508.15,中信银行,8.11,7.93,7.73
2025-06-06,8.35,8.45,8.33,8.41,489563.86,中信银行,8.26,7.98,7.78
2025-06-09,8.41,8.46,8.12,8.41,723848.96,中信银行,8.35,8.04,7.83
2025-06-10,8.4,8.51,8.3,8.34,587402.93,中信银行,8.37,8.11,7.87
2025-06-11,8.38,8.45,8.3,8.4,521985.5,中信银行,8.38,8.18,7.91
2025-06-12,8.43,8.56,8.35,8.36,581119.71,中信银行,8.38,8.25,7.95
2025-06-13,8.38,8.48,8.28,8.34,1597975.5,中信银行,8.37,8.31,7.98
2025-06-16,8.36,8.48,8.32,8.43,647106.34,中信银行,8.37,8.36,8.03
2025-06-17,8.42,8.57,8.42,8.5,445535.12,中信银行,8.41,8.39,8.08
2025-06-18,8.52,8.67,8.49,8.65,488823.12,中信银行,8.46,8.42,8.14
2025-06-19,8.65,8.81,8.6,8.78,475617.35,中信银行,8.54,8.46,8.19
2025-06-20,8.75,8.88,8.68,8.7,611306.99,中信银行,8.61,8.49,8.24
2025-06-23,8.69,8.72,8.5,8.69,715876.03,中信银行,8.66,8.52,8.28
2025-06-24,8.68,8.73,8.49,8.59,861966.49,中信银行,8.68,8.54,8.33
2025-06-25,8.6,8.71,8.49,8.7,773748.54,中信银行,8.69,8.57,8.38
2025-06-26,8.68,8.78,8.6,8.76,495862.65,中信银行,8.69,8.61,8.43
2025-06-27,8.73,8.77,8.43,8.46,932892.7,中信银行,8.64,8.63,8.47
2025-06-30,8.39,8.51,8.31,8.5,617129.6,中信银行,8.6,8.63,8.5
2025-07-01,8.51,8.64,8.5,8.6,349460.5,中信银行,8.6,8.64,8.52
2025-07-02,8.6,8.65,8.51,8.51,584897.51,中信银行,8.57,8.63,8.52
2025-07-03,8.53,8.64,8.45,8.57,657215.72,中信银行,8.53,8.61,8.54
2025-07-04,8.58,8.9,8.56,8.89,808591.71,中信银行,8.61,8.63,8.56
2025-07-07,8.89,9.01,8.8,8.98,564552.03,中信银行,8.71,8.66,8.59
2025-07-08,8.97,9.04,8.81,8.95,506336.6,中信银行,8.78,8.69,8.62
2025-07-09,8.94,9.07,8.86,8.96,544940.77,中信银行,8.87,8.72,8.65
2025-07-10,8.83,8.89,8.74,8.74,877503.66,中信银行,8.9,8.72,8.66
2025-07-11,8.77,8.81,8.51,8.51,866380.78,中信银行,8.83,8.72,8.67
2025-07-14,8.54,8.75,8.53,8.67,796829.47,中信银行,8.77,8.74,8.69
2025-07-15,8.66,8.72,8.54,8.61,626921.82,中信银行,8.7,8.74,8.69
2025-07-16,8.6,8.64,8.43,8.56,515791.81,中信银行,8.62,8.74,8.69
2025-07-17,8.51,8.56,8.43,8.47,397220.56,中信银行,8.56,8.73,8.67
2025-07-18,8.48,8.54,8.45,8.46,431003.37,中信银行,8.55,8.69,8.66
2025-07-21,8.42,8.52,8.37,8.5,531328.42,中信银行,8.52,8.64,8.65
2025-07-22,8.47,8.53,8.35,8.41,601997.34,中信银行,8.48,8.59,8.64
2025-07-23,8.43,8.53,8.38,8.44,567342.16,中信银行,8.46,8.54,8.63
2025-07-24,8.44,8.44,8.21,8.24,827370.55,中信银行,8.41,8.49,8.6
2025-07-25,8.23,8.27,8.12,8.14,526802.7,中信银行,8.35,8.45,8.59
2025-07-28,8.14,8.31,8.12,8.18,662697.11,中信银行,8.28,8.4,8.57
2025-07-29,8.17,8.27,8.11,8.12,496206.85,中信银行,8.22,8.35,8.55
2025-07-30,8.15,8.27,8.11,8.19,558501.29,中信银行,8.17,8.32,8.53
2025-07-31,8.2,8.23,8.06,8.19,518448.81,中信银行,8.16,8.29,8.51
2025-08-01,8.17,8.25,8.07,8.19,546026.01,中信银行,8.17,8.26,8.48
2025-08-04,8.15,8.28,8.15,8.25,529282.16,中信银行,8.19,8.24,8.44
2025-08-05,8.22,8.49,8.21,8.43,681944.65,中信银行,8.25,8.24,8.41
2025-08-06,8.46,8.51,8.37,8.38,398114.96,中信银行,8.29,8.23,8.38
2025-08-07,8.37,8.42,8.28,8.42,368266.87,中信银行,8.33,8.25,8.37
2025-08-08,8.42,8.46,8.37,8.39,280796.06,中信银行,8.37,8.27,8.36
2025-08-11,8.37,8.41,8.22,8.24,517869.8,中信银行,8.37,8.28,8.34
2025-08-12,8.23,8.37,8.22,8.35,439412.87,中信银行,8.36,8.3,8.33
2025-08-13,8.38,8.4,8.23,8.25,448037.58,中信银行,8.33,8.31,8.31
2025-08-14,8.25,8.39,8.23,8.27,414212.78,中信银行,8.3,8.32,8.3
2025-08-15,8.26,8.28,7.96,8.06,874114.05,中信银行,8.23,8.3,8.28
2025-08-18,8.03,8.05,7.89,7.97,999748.82,中信银行,8.18,8.28,8.26
2025-08-19,7.96,8.0,7.9,7.95,597023.93,中信银行,8.1,8.23,8.23
2025-08-20,7.93,8.02,7.88,7.97,515569.94,中信银行,8.04,8.19,8.21
2025-08-21,7.99,8.13,7.95,8.08,607144.64,中信银行,8.01,8.15,8.2
2025-08-22,8.08,8.08,7.91,8.02,552984.65,中信银行,8.0,8.12,8.19
2025-08-25,7.99,8.09,7.96,8.08,558829.1,中信银行,8.02,8.1,8.19
2025-08-26,8.05,8.09,8.0,8.02,1077478.51,中信银行,8.03,8.07,8.18
2025-08-27,8.01,8.02,7.86,7.91,800839.89,中信银行,8.02,8.03,8.17
2025-08-28,7.88,8.01,7.77,7.98,830330.73,中信银行,8.0,8.0,8.16
2025-08-29,7.98,8.16,7.88,7.9,1006554.48,中信银行,7.98,7.99,8.15
2025-09-01,7.91,7.97,7.75,7.78,735971.82,中信银行,7.92,7.97,8.12
2025-09-02,7.78,8.01,7.77,7.99,921713.9,中信银行,7.91,7.97,8.1
2025-09-03,8.0,8.01,7.81,7.85,561626.47,中信银行,7.9,7.96,8.07
2025-09-04,7.82,8.05,7.66,8.02,1152085.08,中信银行,7.91,7.96,8.05
2025-09-05,7.96,7.98,7.78,7.81,853898.58,中信银行,7.89,7.93,8.02
2025-09-08,7.79,7.89,7.7,7.72,674467.27,中信银行,7.88,7.9,8.0
2025-09-09,7.74,7.82,7.71,7.81,484194.95,中信银行,7.84,7.88,7.97
2025-09-10,7.82,7.93,7.78,7.9,542856.14,中信银行,7.85,7.88,7.95
2025-09-11,7.89,7.94,7.8,7.9,575699.59,中信银行,7.83,7.87,7.94
2025-09-12,7.89,7.92,7.78,7.81,396175.67,中信银行,7.83,7.86,7.92
2025-09-15,7.81,7.85,7.71,7.75,482204.63,中信银行,7.83,7.86,7.91
