date,open,high,low,close,volume,stock_name,ma5,ma10,ma20
2025-03-24,14.57,15.44,14.15,15.14,131281.64,新亚强,15.14,15.14,15.14
2025-03-25,14.88,15.35,14.8,14.84,94895.11,新亚强,14.99,14.99,14.99
2025-03-26,14.69,15.05,14.6,14.7,71851.24,新亚强,14.89,14.89,14.89
2025-03-27,14.7,15.06,14.59,14.61,80784.18,新亚强,14.82,14.82,14.82
2025-03-28,14.5,14.69,14.08,14.08,72745.96,新亚强,14.67,14.67,14.67
2025-03-31,13.97,14.06,13.59,13.93,53158.88,新亚强,14.43,14.55,14.55
2025-04-01,13.92,14.5,13.92,14.18,35063.6,新亚强,14.3,14.5,14.5
2025-04-02,14.22,14.45,14.03,14.2,30475.2,新亚强,14.2,14.46,14.46
2025-04-03,14.0,14.52,13.77,14.43,56066.61,新亚强,14.16,14.46,14.46
2025-04-07,13.9,13.9,12.99,12.99,47591.17,新亚强,13.95,14.31,14.31
2025-04-08,12.68,12.89,11.78,12.25,72914.11,新亚强,13.61,14.02,14.12
2025-04-09,12.0,12.39,11.04,12.27,59744.14,新亚强,13.23,13.76,13.97
2025-04-10,12.4,12.86,12.4,12.72,51018.83,新亚强,12.93,13.57,13.87
2025-04-11,12.67,12.88,12.48,12.74,27141.72,新亚强,12.59,13.38,13.79
2025-04-14,12.81,13.02,12.8,12.89,23667.17,新亚强,12.57,13.26,13.73
2025-04-15,12.89,13.58,12.86,13.22,52996.05,新亚强,12.77,13.19,13.7
2025-04-16,13.01,13.24,12.76,12.96,29956.53,新亚强,12.91,13.07,13.66
2025-04-17,12.82,13.19,12.82,13.09,27474.57,新亚强,12.98,12.96,13.62
2025-04-18,13.11,13.16,12.87,12.97,18873.0,新亚强,13.03,12.81,13.59
2025-04-21,12.94,13.11,12.81,13.09,17410.66,新亚强,13.07,12.82,13.57
2025-04-22,13.09,13.17,12.92,13.13,20152.8,新亚强,13.05,12.91,13.46
2025-04-23,13.1,13.33,13.1,13.29,26623.99,新亚强,13.11,13.01,13.39
2025-04-24,13.35,13.47,13.12,13.32,23927.69,新亚强,13.16,13.07,13.32
2025-04-25,13.3,13.44,13.12,13.24,20483.04,新亚强,13.21,13.12,13.25
2025-04-28,13.24,13.24,12.92,13.03,20215.66,新亚强,13.2,13.13,13.2
2025-04-29,13.08,13.44,12.99,13.32,34205.36,新亚强,13.24,13.14,13.17
2025-04-30,13.37,13.37,13.01,13.02,31604.0,新亚强,13.19,13.15,13.11
2025-05-06,13.05,13.37,13.05,13.34,24143.27,新亚强,13.19,13.18,13.07
